mlbam_id,name,link,active,season
2857,Veterans Memorial Stadium,/api/v1/venues/2857,True,2025
7253,Ontario Sports Empire Baseball Stadium,/api/v1/venues/7253,True,2025
7258,Sun Marine Stadium,/api/v1/venues/7258,True,2025
7260,Coloso del Pacifico,/api/v1/venues/7260,True,2025
7261,Petco Park Events,/api/v1/venues/7261,True,2025
2525,Jack Russell Memorial Stadium,/api/v1/venues/2525,False,2025
7254,Wilson Stadium,/api/v1/venues/7254,True,2025
7259,Sokken Stadium,/api/v1/venues/7259,True,2025
4925,Stuart Stadium,/api/v1/venues/4925,False,1955
4882,Parkway Field,/api/v1/venues/4882,False,1956
4449,Estadio Mariano 'Mini' Meaux,/api/v1/venues/4449,False,2015
4834,Holman Stadium,/api/v1/venues/4834,False,1986
2506,City of Palms Park,/api/v1/venues/2506,False,2018
2395,Oracle Park,/api/v1/venues/2395,True,2025
5162,Kal Tire Place,/api/v1/venues/5162,False,2017
4832,Heritage Park,/api/v1/venues/4832,False,1994
2680,Petco Park,/api/v1/venues/2680,True,2025
4837,Hooker Field,/api/v1/venues/4837,False,2003
2958,Estadio Beto Avila,/api/v1/venues/2958,True,2025
3122,Estadio Roberto Clemente Walker,/api/v1/venues/3122,True,2025
2641,Drillers Stadium,/api/v1/venues/2641,False,2010
32,American Family Field,/api/v1/venues/32,True,2025
7149,Stevens Park,/api/v1/venues/7149,False,1909
6554,Anson's Park,/api/v1/venues/6554,False,2025
680,T-Mobile Park,/api/v1/venues/680,True,2025
6032,Estadio Arturo C. Nahl,/api/v1/venues/6032,True,2025
2504,The Stadium at the ESPN Wide World of Sports,/api/v1/venues/2504,True,2025
5156,Cambria County War Memorial Arena,/api/v1/venues/5156,False,2015
2810,Memorial Stadium,/api/v1/venues/2810,True,2025
5186,Webster Bank Arena,/api/v1/venues/5186,False,2017
6083,Roger Dean Stadium Complex (MIA),/api/v1/venues/6083,True,2025
4912,Sanders-Jacobs Field,/api/v1/venues/4912,False,1986
3809,Camelback Ranch,/api/v1/venues/3809,True,2025
4818,Four Mile Run Park,/api/v1/venues/4818,False,1983
2721,Robert F. Kennedy Memorial Stadium,/api/v1/venues/2721,False,2007
4213,Norwood Oval,/api/v1/venues/4213,False,2017
2701,Walmart Park,/api/v1/venues/2701,True,2025
6020,Academia De Béisbol Felipe Alou,/api/v1/venues/6020,True,2025
3329,Arvest Ballpark,/api/v1/venues/3329,True,2025
2774,Northwest Federal Field,/api/v1/venues/2774,False,2020
2829,Pirate City Complex,/api/v1/venues/2829,True,2025
6350,Muncie IN (Unknown),/api/v1/venues/6350,False,2025
3652,Armin-Wolf Baseball Arena,/api/v1/venues/3652,True,2025
2524,Phoenix Municipal Stadium,/api/v1/venues/2524,True,2025
2846,UCHealth Park,/api/v1/venues/2846,True,2025
6444,Windsor Airport Field,/api/v1/venues/6444,False,2025
3289,Citi Field,/api/v1/venues/3289,True,2025
5167,Pegula Ice Arena,/api/v1/venues/5167,False,2017
5028,Bell Centre,/api/v1/venues/5028,False,2018
2538,"US West Sports Complex, Hi Corbett Field",/api/v1/venues/2538,False,2011
3123,Exhibition Stadium,/api/v1/venues/3123,False,1989
3557,MLB Urban Youth Academy,/api/v1/venues/3557,False,2009
2660,Doubleday Field,/api/v1/venues/2660,False,2010
3790,Parkview Field,/api/v1/venues/3790,True,2025
6120,Goodyear Ballpark Complex (CLE),/api/v1/venues/6120,True,2025
4845,LaGrave Field,/api/v1/venues/4845,False,2025
4780,Burns Stadium,/api/v1/venues/4780,False,2002
6359,Morrison IL (Unknown),/api/v1/venues/6359,False,2025
4890,Pikeville Athletic Field Complex,/api/v1/venues/4890,False,1984
4788,Crockett Park,/api/v1/venues/4788,False,1987
2740,Canal Park,/api/v1/venues/2740,True,2025
2827,Northwestern Medicine Field,/api/v1/venues/2827,True,2025
4873,Muzzy Field,/api/v1/venues/4873,False,1982
7255,Erlanger Park,/api/v1/venues/7255,True,2025
7256,Hillsboro Hops Ballpark,/api/v1/venues/7256,True,2025
6790,Kinsman Hardware Field,/api/v1/venues/6790,False,2025
7194,Pioneer Memorial Stadium,/api/v1/venues/7194,False,1948
7079,Atwood Stadium,/api/v1/venues/7079,False,2025
6817,Graham Field,/api/v1/venues/6817,False,2025
7212,Southside Park,/api/v1/venues/7212,False,2025
6413,Association Park II,/api/v1/venues/6413,False,2025
6792,Jeannette PA (Unknown),/api/v1/venues/6792,False,2025
3132,Lloyd Street Grounds,/api/v1/venues/3132,False,1901
3556,MacKenzie Stadium,/api/v1/venues/3556,False,2009
4945,Washington Park,/api/v1/venues/4945,False,1979
3072,Tomas Oroz Gaytan,/api/v1/venues/3072,False,2016
5025,Bankers Life Fieldhouse,/api/v1/venues/5025,False,2016
2528,Dell Diamond,/api/v1/venues/2528,True,2025
2624,PGE Park,/api/v1/venues/2624,False,2010
2502,Hermosillo,/api/v1/venues/2502,False,2003
4830,Henderson Stadium,/api/v1/venues/4830,False,1998
2757,Heritage Financial Park,/api/v1/venues/2757,True,2025
3125,Forbes Field,/api/v1/venues/3125,False,1970
3136,Mile High Stadium,/api/v1/venues/3136,False,1994
4849,Lansdowne Park,/api/v1/venues/4849,False,1954
5175,TCF Bank Stadium,/api/v1/venues/5175,False,2017
2830,Ogren Park Allegiance Field,/api/v1/venues/2830,True,2025
3650,Blansko Field,/api/v1/venues/3650,False,2008
4892,Pompano Beach Municipal Stadium,/api/v1/venues/4892,False,1991
6361,Casino Park,/api/v1/venues/6361,False,2025
6177,Katy Park,/api/v1/venues/6177,False,2025
6646,Eclipse Park III,/api/v1/venues/6646,False,2025
2505,Fort Lauderdale Stadium,/api/v1/venues/2505,False,2009
7084,McNulty Field,/api/v1/venues/7084,False,1907
3869,Estadio Enzo Hernandez,/api/v1/venues/3869,False,2011
7088,Maple Avenue Field,/api/v1/venues/7088,False,1931
4710,Estadio Panamericano,/api/v1/venues/4710,True,2025
2518,American Family Fields of Phoenix,/api/v1/venues/2518,True,2025
6144,Woodbine IA (Unknown),/api/v1/venues/6144,False,2025
2779,Delta Dental Park,/api/v1/venues/2779,True,2025
2724,Louisville Slugger Field,/api/v1/venues/2724,True,2025
3209,Estadio 18 de Marzo de 1938,/api/v1/venues/3209,False,2014
4919,Smithson Stadium,/api/v1/venues/4919,False,1944
4805,Durham Athletic Park,/api/v1/venues/4805,False,2004
6395,Sherman Field,/api/v1/venues/6395,False,2025
6148,Pann Park,/api/v1/venues/6148,False,2025
2889,Busch Stadium,/api/v1/venues/2889,True,2025
7113,Inlet Park I,/api/v1/venues/7113,False,1913
5027,BB&T Center,/api/v1/venues/5027,False,2018
3789,Greater Nevada Field,/api/v1/venues/3789,True,2025
4781,Bush Field,/api/v1/venues/4781,False,1995
2501,Kino Veterans Memorial Stadium,/api/v1/venues/2501,True,2025
7090,Lions Field,/api/v1/venues/7090,False,1937
6091,St. Louis Cardinals DR Complex,/api/v1/venues/6091,True,2025
4792,College Park,/api/v1/venues/4792,False,1996
3161,Mahaffey Park,/api/v1/venues/3161,False,1903
7257,CarMax Park,/api/v1/venues/7257,True,2025
6258,Park de Young,/api/v1/venues/6258,False,2025
7186,Pluto Park,/api/v1/venues/7186,False,1913
7123,Gordy Park,/api/v1/venues/7123,False,1941
7083,Mercer Park,/api/v1/venues/7083,False,1943
7170,Smedley Field,/api/v1/venues/7170,False,1948
7165,Soos Park,/api/v1/venues/7165,False,1947
7124,Gary Works Field,/api/v1/venues/7124,False,1939
6163,Williamsport PA (Unknown),/api/v1/venues/6163,False,2025
7109,Lambertville Base Ball Grounds,/api/v1/venues/7109,False,1906
5204,Cleveland Arena,/api/v1/venues/5204,False,1973
7177,Riverview Field,/api/v1/venues/7177,False,1916
7081,Miami Field,/api/v1/venues/7081,False,1941
6037,TicketSmarter Stadium,/api/v1/venues/6037,True,2025
7120,Grove Street Oval I,/api/v1/venues/7120,False,1930
7184,Pynchon Park,/api/v1/venues/7184,False,1940
7027,Christian Brothers College Field,/api/v1/venues/7027,False,2025
7061,Barnett Field,/api/v1/venues/7061,False,2025
