pitch_type,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance,pitcher_run_exp,run_exp,bat_speed,swing_length,pa,bip,singles,doubles,triples,hrs,so,k_percent,bb,bb_percent,api_break_z_with_gravity,api_break_z_induced,api_break_x_arm,api_break_x_batter_in,hyper_speed,bbdist,hardhit_percent,barrels_per_bbe_percent,barrels_per_pa_percent,release_pos_z,release_pos_x,plate_x,plate_z,obp,barrels_total,batter_run_value_per_100,xobp,xslg,pitcher_run_value_per_100,xbadiff,xobpdiff,xslgdiff,wobadiff,swing_miss_percent,arm_angle,whiff_rate
CH,10.303333333333336,0.2408666666666666,0.1395666666666666,0.2855333333333333,0.3803666666666666,0.2969666666666667,0.3063333333333333,0.2470333333333333,8.2,34.7,86.17666666666668,8.5,1788.7666666666669,85.60666666666665,85.69333333333334,22.53333333333333,69.9,72.9,0.0899999999999996,6.461333333333333,111.36666666666666,148.0,118.43333333333334,148.46666666666667,296.26666666666665,321.6333333333333,295.0,-0.7959666666666666,0.7959666666666666,70.33333333333333,7.783333333333333,37.8,26.5,5.4,1.7333333333333334,0.0666666666666666,1.0,8.6,22.28333333333333,2.533333333333333,6.930000000000001,2.7668636666666666,0.3753223333333333,1.2247226666666668,-0.761593,91.77333333333333,129.26666666666668,33.18868415234213,6.512572929722704,4.53804729563757,5.671666666666667,-0.4806666666666667,-0.0536666666666666,1.79,0.2953333333333333,1.7666666666666666,0.5359814215666667,0.3044,0.3895333333333333,-0.5359814215666667,-0.0061666666666666,-0.0090666666666666,-0.0091666666666666,-0.0093666666666666,32.53666666666667,34.96666666666667,0.32236528373867424
CS,0.3,,,,,,,,,,,,2404.0,71.2,70.36,2.0,2.0,3.0,-0.7999999999999972,5.9,97.0,149.0,107.0,147.0,297.0,315.0,300.0,0.124,-0.124,71.9,9.3,,,,,,,,,,,5.26,-0.722,-0.792,0.164,,,,,,5.43,2.88,0.71,2.28,,0.0,-2.48,,,2.48,,,,,100.0,41.2,1.0
CU,5.993333333333334,0.2136999999999999,0.1317333333333333,0.2993333333333333,0.3455333333333333,0.2611,0.2742666666666666,0.2199333333333333,4.233333333333333,18.566666666666663,87.88666666666667,9.62,2587.766666666667,79.5,79.33500000000001,12.066666666666666,35.666666666666664,48.46666666666667,-0.1599999999999999,6.3966666666666665,112.06666666666666,148.43333333333334,117.93333333333334,148.76666666666668,296.53333333333336,321.7333333333333,295.6666666666667,-0.3534666666666666,0.3534666666666666,68.3,7.716666666666667,19.9,12.266666666666667,2.7333333333333334,0.8333333333333334,0.0666666666666666,0.6,6.466666666666667,31.776666666666664,1.0333333333333334,4.36,4.477185,-0.8062176666666667,-0.8163769999999999,0.1925596666666666,91.83666666666666,115.53333333333332,35.253677750262085,8.860081615213529,5.668421418264102,5.928,-0.9286666666666666,0.0646666666666666,1.73,0.2513333333333333,1.0666666666666669,0.2491538225666666,0.2597,0.3688333333333333,-0.2491538225666666,-0.0062333333333333,-0.0083666666666666,-0.0232999999999999,-0.0131666666666666,33.47666666666667,43.126666666666665,0.3383177570093458
EP,0.3999999999999999,0.125,0.0,0.125,0.125,0.1105,1.0495,0.589,0.5,2.5,98.15,28.5,1211.0,46.75,44.365,0.0,2.5,3.5,-2.3999999999999986,4.18,114.5,152.0,132.0,149.0,307.0,326.5,303.0,0.328,-0.328,72.9,7.3,2.5,2.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.1165,0.4564999999999999,-0.208,0.081,101.1,288.0,75.0,50.0,50.0,7.16,-0.1699999999999999,0.0799999999999999,2.1,0.125,0.5,-7.6,0.589,1.969,7.6,-0.4639999999999999,-0.464,-1.844,-0.939,0.0,64.05000000000001,0.0
FA,0.725,0.2063333333333333,0.0,0.2063333333333333,0.2063333333333333,0.344,0.3133333333333333,0.163,1.0,3.6666666666666665,89.13333333333333,36.0,1638.5,63.225,60.96,0.5,4.5,6.25,-2.2499999999999982,4.3825,118.25,150.0,126.5,149.75,302.5,323.75,300.25,-0.1927499999999999,0.1927499999999999,72.125,7.25,5.0,3.6666666666666665,1.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,20.0,4.517275,1.3070625,0.4685375,0.1739875,92.05,211.5,20.634920634920636,0.0,0.0,6.45,-1.4625,-0.0799999999999999,2.42,0.4443333333333333,0.0,0.834125,0.4016666666666666,0.1946666666666666,-0.834125,0.0433333333333333,0.0426666666666666,0.0116666666666666,0.0306666666666666,10.0,38.775,0.1111111111111111
FC,8.25,0.2498666666666666,0.2066,0.2633333333333333,0.4564,0.3320333333333333,0.3383666666666666,0.2548666666666667,6.666666666666667,25.166666666666668,87.54666666666667,14.46,2412.4,89.47333333333333,89.768,13.4,54.96666666666667,60.43333333333333,0.3066666666666667,6.401333333333333,111.1,148.16666666666666,117.53333333333332,148.3,297.2,321.6333333333333,294.8,-0.4142333333333333,0.4142333333333333,70.26333333333334,7.180000000000001,28.83333333333333,20.53333333333333,3.9,1.5666666666666669,0.0666666666666666,1.1333333333333333,5.1,18.80333333333333,2.9,8.870000000000001,2.181945333333333,0.6681016666666667,-0.202538,-0.0051776666666666,92.1,149.7,38.78821896685529,9.46692800507146,7.065093584174329,5.7796666666666665,-1.113,0.166,2.441333333333333,0.3165333333333333,1.8666666666666667,0.2366713461666666,0.3237333333333333,0.4626666666666666,-0.2366713461666666,-0.005,-0.0071999999999999,-0.0062666666666666,-0.0063333333333333,25.41333333333333,38.42333333333333,0.24378411158277744
FF,32.24333333333333,0.2442,0.1833999999999999,0.2794,0.4276333333333333,0.3381,0.3571999999999999,0.2565,23.5,96.16666666666669,91.18666666666668,19.363333333333333,2304.8,94.19,94.35666666666664,49.16666666666666,219.83333333333331,236.3,0.1733333333333343,6.528666666666666,111.06666666666666,148.63333333333333,117.66666666666669,148.43333333333334,296.7,321.8333333333333,294.9,-0.1538666666666666,0.1538666666666666,69.61666666666666,6.766666666666667,112.13333333333334,73.76666666666667,14.6,4.433333333333334,0.4,4.066666666666666,23.666666666666668,21.42,13.3,11.756666666666666,1.2381133333333334,1.3506273333333332,0.6401076666666667,-0.1100953333333333,91.79666666666668,188.76666666666668,47.18481908701509,10.668307879195533,6.986470336563067,5.814666666666667,-0.7963333333333333,0.0006666666666666,2.8623333333333334,0.3409333333333333,7.733333333333333,0.0528620877,0.3538,0.4668,-0.0528620877,-0.0123,-0.0128666666666666,-0.0391666666666666,-0.0191,22.39333333333333,39.836666666666666,0.2236542835481425
FO,1.6,0.0,0.0,0.0,0.0,0.069,0.104,0.043,0.0,9.0,69.0,-1.0,1183.0,82.5,82.23,8.0,14.0,6.0,-0.2999999999999971,6.36,115.0,148.0,132.0,151.0,295.0,313.0,299.0,1.872,-1.872,65.5,8.3,10.0,3.0,0.0,0.0,0.0,0.0,6.0,60.0,1.0,10.0,3.297,0.083,0.873,-0.406,88.0,59.0,0.0,0.0,0.0,5.86,-2.15,-0.38,1.42,0.1,0.0,-9.36,0.138,0.049,9.36,-0.043,-0.038,-0.049,-0.035,57.1,44.7,0.5714285714285714
FS,4.146428571428571,0.1645555555555555,0.0462222222222222,0.2495925925925926,0.2107407407407407,0.1874814814814815,0.2335925925925926,0.2036666666666666,2.5185185185185186,16.11111111111111,86.93703703703704,5.711111111111112,1341.2142857142858,87.12142857142858,87.4057142857143,11.035714285714286,30.535714285714285,28.714285714285715,0.2785714285714279,6.543928571428571,113.46428571428572,148.0,118.53571428571428,149.17857142857142,295.7142857142857,321.10714285714283,295.92857142857144,1.0814285714285714,-1.0814285714285714,69.92962962962963,7.703703703703703,17.185185185185187,10.25925925925926,1.962962962962963,0.4074074074074074,0.037037037037037,0.1111111111111111,5.888888888888889,33.55185185185185,0.8888888888888888,3.914814814814815,2.730798214285714,0.2964117857142857,0.9411164285714284,-0.3067214285714286,92.21851851851852,116.14814814814817,34.742563375460975,3.9937868151375775,1.986158174492012,5.763928571428572,-1.5239285714285715,-0.2296428571428571,1.7164285714285714,0.2032222222222222,0.5357142857142857,-1.9339821045,0.2414444444444444,0.2855925925925926,1.9339821045,-0.0391111111111111,-0.0382222222222222,-0.0748518518518518,-0.0461111111111111,34.196296296296296,38.510714285714286,0.36140350877192984
KC,2.1666666666666665,0.2348888888888888,0.182,0.437875,0.4169444444444444,0.3165555555555556,0.2562777777777778,0.2115625,1.9444444444444444,7.888888888888889,88.24375,8.44375,2491.1111111111118,82.45555555555556,82.28944444444444,5.944444444444445,14.38888888888889,16.333333333333332,-0.1722222222222219,6.3566666666666665,114.5,147.94444444444446,118.61111111111111,149.05555555555554,295.44444444444446,322.6111111111111,297.1666666666667,-0.3595,0.3595,68.35555555555555,7.73888888888889,8.38888888888889,4.222222222222222,1.2222222222222223,0.3333333333333333,0.1111111111111111,0.2777777777777778,3.6666666666666665,44.06666666666667,0.4444444444444444,6.788888888888889,4.278407777777778,-0.884498888888889,-0.5399494444444444,0.2410083333333333,92.05555555555556,115.44444444444444,41.20501893939394,10.989583333333332,5.326340326340326,5.984444444444445,-0.8816666666666666,0.0788888888888888,1.5672222222222223,0.3073333333333333,0.5,1.7065339326111113,0.2737058823529411,0.365375,-1.7065339326111113,0.0526875,0.0517058823529411,0.1036874999999999,0.0602777777777777,40.30555555555556,45.34444444444445,0.41312741312741313
