pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
SL,2021-10-03,87.4,-1.67,6.29,"Castro, Harold",605612,656302,single,hit_into_play,,,,,13,Harold Castro singles on a line drive to left fielder Eloy Jimenez.,R,L,R,CWS,DET,X,7.0,line_drive,0,2,2021,0.49,-0.16,-0.09,1.38,,,,1,3,Top,94.0,112.67,,,518735,,,2.7772505235179192,-127.30922866968668,-5.379828998697532,4.803905642747897,24.181204963571297,-33.072942540624766,3.3,1.5,177.0,96.7,10.0,86.7,2952.0,5.6,632252,656302,518735,683734,514917,660162,641313,650391,641553,544725,54.87,0.783,0.734,0.9,1.0,1.0,0.0,4.0,19,3,Slider,1,1,1,1,1,1,1,1,Standard,Standard,31.0,-0.028,0.325,,
SL,2021-10-03,87.2,-1.77,6.33,"Castro, Harold",605612,656302,,swinging_strike,,,,,9,Harold Castro singles on a line drive to left fielder Eloy Jimenez.,R,L,R,CWS,DET,S,,,0,1,2021,0.48,0.07,0.54,1.52,,,,1,3,Top,,,,,518735,,,4.511926296488064,-126.91822816315754,-5.5439019471218005,4.347394426013661,23.30973023946247,-30.600121739448653,3.3,1.5,,,,86.5,2908.0,5.6,632252,656302,518735,683734,514917,660162,641313,650391,641553,544725,54.88,,,,,,,,19,2,Slider,1,1,1,1,1,1,1,1,Standard,Standard,49.0,0.0,-0.035,,
KC,2021-10-03,78.8,-1.21,6.54,"Castro, Harold",605612,656302,,swinging_strike,,,,,13,Harold Castro singles on a line drive to left fielder Eloy Jimenez.,R,L,R,CWS,DET,S,,,0,0,2021,0.16,-1.33,-0.68,0.82,,,,1,3,Top,,,,,518735,,,0.8362592828701952,-114.74865040031982,-3.106312852628029,1.275007927785046,21.83072577266049,-43.48771659652593,3.3,1.5,,,,78.0,2594.0,5.7,632252,656302,518735,683734,514917,660162,641313,650391,641553,544725,54.75,,,,,,,,19,1,Knuckle Curve,1,1,1,1,1,1,1,1,Standard,Standard,21.0,0.0,-0.027,,
FF,2021-10-03,95.9,-1.2,6.61,"Castro, Harold",605612,656302,triple,hit_into_play,,,,,14,Harold Castro triples (1) on a line drive to center fielder Adam Engel.,R,L,R,CWS,DET,X,8.0,line_drive,0,0,2021,-0.45,1.55,1.14,2.06,,,,2,1,Top,184.68,69.05,,,518735,,,7.104620437752217,-139.25859042632777,-9.822860497076796,-7.431196055864762,31.228656937282537,-9.889973100238509,3.3,1.5,273.0,94.1,20.0,94.8,2461.0,5.8,632252,656302,518735,683734,514917,660162,641313,650391,641553,544725,54.72,0.309,0.343,1.6,1.0,1.0,2.0,4.0,3,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,191.0,-0.026,0.275,,
FF,2021-10-03,97.4,-2.13,5.94,"Castro, Harold",605612,656629,sac_fly,hit_into_play,,,,,1,Harold Castro out on a sacrifice fly to left fielder Eloy Jimenez.   Akil Baddoo scores.,R,L,R,CWS,DET,X,7.0,fly_ball,0,1,2021,-0.41,1.79,-0.34,2.88,668731.0,,,1,5,Top,73.74,96.0,,,518735,,,5.7604524310958825,-141.66841014831363,-6.793379061620953,-6.85255895842241,33.509451142411045,-6.777990441421799,3.3,1.5,287.0,91.0,43.0,97.7,2688.0,6.6,632252,656629,518735,683734,514917,660162,641313,650391,641553,544725,53.95,0.003,0.003,0.0,1.0,0.0,0.0,3.0,36,2,4-Seam Fastball,1,1,1,1,2,1,2,1,Strategic,Standard,209.0,-0.033,-0.108,,
FF,2021-10-03,96.9,-2.22,5.9,"Castro, Harold",605612,656629,,swinging_strike,,,,,11,Harold Castro out on a sacrifice fly to left fielder Eloy Jimenez.   Akil Baddoo scores.,R,L,R,CWS,DET,S,,,0,0,2021,-0.83,1.6,-1.22,2.82,668731.0,,,1,5,Top,,,,,518735,,,4.585210593232548,-140.9819112647467,-6.356437918753037,-12.09530388830026,32.981165195149714,-9.609317815261267,3.3,1.5,,,,97.1,2614.0,6.5,632252,656629,518735,683734,514917,660162,641313,650391,641553,544725,54.0,,,,,,,,36,1,4-Seam Fastball,1,1,1,1,1,1,1,1,Strategic,Standard,209.0,0.0,-0.071,,
FF,2021-10-03,93.5,-1.29,6.1,"Castro, Harold",605612,641582,field_error,hit_into_play,,,,,4,Harold Castro reaches on a fielding error by third baseman Yoan Moncada.   Zack Short to 2nd.,R,L,R,CWS,DET,X,5.0,ground_ball,0,1,2021,-0.49,1.56,-0.79,2.42,,,670097.0,2,9,Top,86.57,123.55,,,641470,,,2.340400204066838,-136.0587420686191,-7.126025536558621,-6.544018881553313,30.586453208076207,-11.43698962129296,3.3,1.5,38.0,99.2,-2.0,93.0,2328.0,6.0,632252,641582,641470,683734,514917,660162,641313,650391,641553,544725,54.46,0.377,0.338,0.9,1.0,0.0,0.0,2.0,73,2,4-Seam Fastball,2,5,5,2,5,2,5,2,Standard,Standard,202.0,-0.003,0.357,,
SL,2021-10-03,84.7,-2.2,5.68,"Castro, Harold",605612,572193,field_out,hit_into_play,,,,,6,Harold Castro flies out to center fielder Adam Engel.,R,L,R,CWS,DET,X,8.0,fly_ball,3,2,2021,0.44,0.21,0.4,2.43,,,,0,8,Top,136.63,100.44,,,641470,,,5.192111792248058,-123.31621347363011,-1.71757250176002,3.529856506263701,22.35345755585094,-29.943541237309528,3.3,1.5,248.0,89.0,49.0,84.6,2274.0,6.0,632252,572193,641470,683734,514917,660162,641313,650391,641553,544725,54.48,0.011,0.012,0.0,1.0,0.0,0.0,3.0,60,6,Slider,2,2,2,2,2,2,2,2,Standard,Standard,175.0,0.046,-0.318,,
FF,2021-10-03,92.5,-1.44,6.12,"Castro, Harold",605612,641582,,foul,,,,,13,Harold Castro reaches on a fielding error by third baseman Yoan Moncada.   Zack Short to 2nd.,R,L,R,CWS,DET,S,,,0,0,2021,-0.61,1.56,-1.1,2.3,,,670097.0,2,9,Top,,,,,641470,,,2.1846807547768803,-134.62552417916322,-7.293443046070507,-7.834494443314816,29.70678728573457,-11.84783124580582,3.3,1.5,217.0,72.8,48.0,92.1,2327.0,6.1,632252,641582,641470,683734,514917,660162,641313,650391,641553,544725,54.39,,,,,,,,73,1,4-Seam Fastball,2,5,5,2,5,2,5,2,Standard,Standard,209.0,0.0,-0.042,,
FF,2021-10-03,91.7,-2.15,5.78,"Castro, Harold",605612,572193,,ball,,,,,11,Harold Castro flies out to center fielder Adam Engel.,R,L,R,CWS,DET,B,,,2,2,2021,-0.65,1.34,-2.02,3.73,,,,0,8,Top,,,,,641470,,,1.718771743029495,-133.52267358672523,-2.2152153059863653,-8.184195364116402,29.21201152458316,-15.898843419431705,3.3,1.5,,,,91.4,2233.0,6.1,632252,572193,641470,683734,514917,660162,641313,650391,641553,544725,54.39,,,,,,,,60,5,4-Seam Fastball,2,2,2,2,2,2,2,2,Standard,Standard,215.0,0.0,0.101,,
