pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
FF,2021-10-03,97.4,-2.14,5.68,"Paredes, Isaac",670623,656629,strikeout,called_strike,,,,,6,Isaac Paredes called out on strikes.,R,R,R,CWS,DET,S,2.0,,3,2,2021,-0.63,1.77,0.36,2.15,,,,2,7,Top,,,,,641470,,,8.21103932138903,-141.37034351426547,-8.024176403386743,-10.425390985693548,34.61716695936477,-6.77754861789125,3.25,1.54,,,,97.7,2729.0,6.8,632252,656629,641470,683734,514917,660162,641313,650391,641553,544725,53.73,,0.0,0.0,1.0,0.0,0.0,,53,6,4-Seam Fastball,1,2,2,1,2,1,2,1,Standard,Standard,210.0,0.012,-0.134,,
SL,2021-10-03,84.2,-2.3,5.57,"Paredes, Isaac",670623,656629,,ball,,,,,9,Isaac Paredes called out on strikes.,R,R,R,CWS,DET,B,,,2,2,2021,0.85,-0.17,0.81,1.87,,,,2,7,Top,,,,,641470,,,5.562039850687166,-122.65733222598358,-1.9448113312132405,7.6647486775317155,22.36179655660456,-33.703875140211565,3.19,1.49,,,,85.1,2568.0,6.6,632252,656629,641470,683734,514917,660162,641313,650391,641553,544725,53.88,,,,,,,,53,5,Slider,1,2,2,1,2,1,2,1,Standard,Standard,51.0,0.0,0.043,,
FF,2021-10-03,96.8,-2.11,5.73,"Paredes, Isaac",670623,656629,,called_strike,,,,,2,Isaac Paredes called out on strikes.,R,R,R,CWS,DET,S,,,2,1,2021,-0.73,1.61,0.21,3.25,,,,2,7,Top,,,,,641470,,,7.9246301905922145,-140.7167921093192,-4.774393630792967,-11.426328171620918,31.65724483892864,-9.8567380622892,3.19,1.52,,,,97.5,2715.0,6.7,632252,656629,641470,683734,514917,660162,641313,650391,641553,544725,53.79,,,,,,,,53,4,4-Seam Fastball,1,2,2,1,2,1,2,1,Standard,Standard,211.0,0.0,-0.028,,
FF,2021-10-03,96.9,-2.22,5.75,"Paredes, Isaac",670623,656629,,ball,,,,,11,Isaac Paredes called out on strikes.,R,R,R,CWS,DET,B,,,1,1,2021,-0.79,1.62,-0.06,4.32,,,,2,7,Top,,,,,641470,,,7.619274553266271,-140.92730780823135,-1.97337103540222,-12.245617003967908,32.47397443161112,-10.337277693055814,3.1,1.54,,,,97.2,2660.0,6.5,632252,656629,641470,683734,514917,660162,641313,650391,641553,544725,53.95,,,,,,,,53,3,4-Seam Fastball,1,2,2,1,2,1,2,1,Standard,Standard,212.0,0.0,0.02,,
FF,2021-10-03,95.8,-2.11,5.71,"Paredes, Isaac",670623,656629,,called_strike,,,,,2,Isaac Paredes called out on strikes.,R,R,R,CWS,DET,S,,,1,0,2021,-0.65,1.67,0.21,3.2,,,,2,7,Top,,,,,641470,,,7.626547315880905,-139.23329052075886,-4.798599552143304,-10.119252454176324,30.84495643877642,-9.589704425300658,3.2,1.58,,,,96.3,2652.0,6.6,632252,656629,641470,683734,514917,660162,641313,650391,641553,544725,53.89,,,,,,,,53,2,4-Seam Fastball,1,2,2,1,2,1,2,1,Standard,Standard,206.0,0.0,-0.02,,
CU,2021-10-03,81.0,-2.18,5.64,"Paredes, Isaac",670623,656629,,ball,,,,,14,Isaac Paredes called out on strikes.,R,R,R,CWS,DET,B,,,0,0,2021,0.47,-0.65,1.09,0.42,,,,2,7,Top,,,,,641470,,,6.452499852081187,-117.76799109887314,-3.7715754997615134,3.0902176194189512,22.984409454676516,-37.70593408211063,3.14,1.59,,,,81.3,2497.0,6.6,632252,656629,641470,683734,514917,660162,641313,650391,641553,544725,53.88,,,,,,,,53,1,Curveball,1,2,2,1,2,1,2,1,Standard,Standard,45.0,0.0,0.016,,
FF,2021-10-03,98.1,-1.09,6.55,"Paredes, Isaac",670623,656302,field_out,hit_into_play,,,,,4,Isaac Paredes flies out to left fielder Eloy Jimenez.,R,R,R,CWS,DET,X,7.0,fly_ball,2,2,2021,-0.25,1.41,-0.64,2.48,,,,0,3,Top,58.8,108.03,,,518735,,,1.7730858978302522,-142.68912465756844,-8.739954467091637,-3.855450440026599,30.16872680144584,-11.182218909393765,3.32,1.51,279.0,91.3,48.0,97.7,2482.0,5.9,632252,656302,518735,683734,514917,660162,641313,650391,641553,544725,54.6,0.003,0.003,0.0,1.0,0.0,0.0,3.0,18,5,4-Seam Fastball,1,1,1,1,1,1,1,1,Standard,Standard,191.0,0.025,-0.217,,
SL,2021-10-03,89.1,-1.58,6.26,"Paredes, Isaac",670623,656302,,ball,,,,,14,Isaac Paredes flies out to left fielder Eloy Jimenez.,R,R,R,CWS,DET,B,,,1,2,2021,0.16,0.31,1.61,0.35,,,,0,3,Top,,,,,518735,,,7.467256991578864,-129.37146514819452,-9.109255718261425,0.3277243054561455,24.89461823291919,-27.087002323233044,3.14,1.48,,,,88.7,2986.0,6.0,632252,656302,518735,683734,514917,660162,641313,650391,641553,544725,54.52,,,,,,,,18,4,Slider,1,1,1,1,1,1,1,1,Standard,Standard,53.0,0.0,0.043,,
FF,2021-10-03,97.0,-1.13,6.54,"Paredes, Isaac",670623,656302,,foul,,,,,4,Isaac Paredes flies out to left fielder Eloy Jimenez.,R,R,R,CWS,DET,S,,,1,1,2021,-0.71,1.83,-0.35,2.09,,,,0,3,Top,,,,,518735,,,3.663094464964836,-140.92939818466814,-10.399497870597814,-10.348581611323638,32.90900894747994,-5.628984896385427,3.32,1.51,69.0,88.1,88.0,96.0,2472.0,5.9,632252,656302,518735,683734,514917,660162,641313,650391,641553,544725,54.63,,,,,,,,18,3,4-Seam Fastball,1,1,1,1,1,1,1,1,Standard,Standard,194.0,0.0,-0.057,,
SL,2021-10-03,87.4,-1.37,6.36,"Paredes, Isaac",670623,656302,,ball,,,,,14,Isaac Paredes flies out to left fielder Eloy Jimenez.,R,R,R,CWS,DET,B,,,0,1,2021,0.51,0.13,1.86,0.87,,,,0,3,Top,,,,,518735,,,6.67387400127258,-127.03995966877696,-7.325267963841566,4.291014858740379,24.73034336978685,-29.502427043953347,3.08,1.43,,,,86.9,2886.0,5.9,632252,656302,518735,683734,514917,660162,641313,650391,641553,544725,54.56,,,,,,,,18,2,Slider,1,1,1,1,1,1,1,1,Standard,Standard,49.0,0.0,0.027,,
SL,2021-10-03,85.2,-1.34,6.49,"Paredes, Isaac",670623,656302,,called_strike,,,,,5,Isaac Paredes flies out to left fielder Eloy Jimenez.,R,R,R,CWS,DET,S,,,0,0,2021,0.3,0.3,0.06,2.3,,,,0,3,Top,,,,,518735,,,2.659601285292607,-124.20062244735904,-4.205777513303989,2.687894114442484,22.62901175652191,-28.427181296086847,3.12,1.48,,,,85.1,2719.0,5.9,632252,656302,518735,683734,514917,660162,641313,650391,641553,544725,54.58,,,,,,,,18,1,Slider,1,1,1,1,1,1,1,1,Standard,Standard,60.0,0.0,-0.038,,
