pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
FF,2021-08-15,92.8,-1.69,6.33,"Robson, Jacob",615699,663474,strikeout,swinging_strike,,,,,1,Jacob Robson strikes out swinging.,R,L,R,DET,CLE,S,2.0,,0,2,2021,-0.51,1.82,-0.31,2.99,,,,0,7,Bot,,,,,595978,,,4.659399899578463,-134.87706700930622,-6.731652184397463,-7.270313059967095,30.343122088886837,-8.730434220854837,3.3,1.5,,,,93.1,2375,6.6,632910,663474,595978,680911,665926,608070,642708,640458,664702,605548,53.87,,0.0,0.0,1.0,0.0,0.0,,58,3,4-Seam Fastball,0,11,0,11,11,0,0,11,Standard,Standard,189,0.0,-0.152,,
CU,2021-08-15,78.8,-1.9,6.34,"Robson, Jacob",615699,663474,,swinging_strike,,,,,8,Jacob Robson strikes out swinging.,R,L,R,DET,CLE,S,,,0,1,2021,0.36,-0.88,-0.1,1.83,,,,0,7,Bot,,,,,595978,,,3.244760788619429,-114.8127095078376,-1.335131795215925,2.569631936487628,21.843515815675463,-39.952551152832925,3.3,1.5,,,,79.0,2096,6.4,632910,663474,595978,680911,665926,608070,642708,640458,664702,605548,54.1,,,,,,,,58,2,Curveball,0,11,0,11,11,0,0,11,Standard,Standard,29,0.0,-0.052,,
FF,2021-08-15,92.3,-1.62,6.38,"Robson, Jacob",615699,663474,,swinging_strike,,,,,6,Jacob Robson strikes out swinging.,R,L,R,DET,CLE,S,,,0,0,2021,-0.36,1.63,0.45,2.63,,,,0,7,Bot,,,,,595978,,,6.102715452973199,-134.16199627312895,-7.351027143912057,-5.602351200395088,28.531100395220584,-11.015122228376413,3.3,1.5,,,,93.1,2283,6.8,632910,663474,595978,680911,665926,608070,642708,640458,664702,605548,53.72,,,,,,,,58,1,4-Seam Fastball,0,11,0,11,11,0,0,11,Standard,Standard,193,0.0,-0.038,,
FC,2021-08-15,99.9,-0.69,6.12,"Robson, Jacob",615699,661403,strikeout,swinging_strike,,,,,1,Jacob Robson strikes out swinging.,R,L,R,DET,CLE,S,2.0,,0,2,2021,-0.07,0.91,-0.69,3.32,,,,2,9,Bot,,,,,595978,,,0.1531793245719271,-145.5285908538079,-4.524643074488271,-0.9638925777423788,32.17737848837705,-18.380351293042636,3.3,1.5,,,,100.3,2431,6.3,632910,661403,595978,680911,665926,644374,642708,640458,664702,605548,54.16,,0.0,0.0,1.0,0.0,0.0,,73,3,Cutter,0,11,0,11,11,0,0,11,Standard,Standard,188,0.0,-0.061,,
SL,2021-08-15,92.4,-0.45,6.08,"Robson, Jacob",615699,661403,,swinging_strike,,,,,5,Jacob Robson strikes out swinging.,R,L,R,DET,CLE,S,,,0,1,2021,0.56,0.64,-0.06,2.61,,,,2,9,Bot,,,,,595978,,,-0.2266243301106485,-134.6280507032734,-4.521564839154316,6.932596867600916,24.96508753151137,-23.632801134872995,3.3,1.5,,,,92.8,2506,6.1,632910,661403,595978,680911,665926,644374,642708,640458,664702,605548,54.36,,,,,,,,73,2,Slider,0,11,0,11,11,0,0,11,Standard,Standard,66,0.0,-0.024,,
FC,2021-08-15,100.8,-0.82,6.08,"Robson, Jacob",615699,661403,,called_strike,,,,,5,Jacob Robson strikes out swinging.,R,L,R,DET,CLE,S,,,0,0,2021,0.18,0.95,-0.07,2.01,,,,2,9,Bot,,,,,595978,,,1.6672468092267465,-146.75757393923993,-8.341052797017332,2.288211860212017,32.00377492099429,-16.69230796270292,3.1,1.4,,,,101.8,2624,6.6,632910,661403,595978,680911,665926,644374,642708,640458,664702,605548,53.88,,,,,,,,73,1,Cutter,0,11,0,11,11,0,0,11,Standard,Standard,174,0.0,-0.018,,
CU,2021-08-13,81.1,-0.9,6.09,"Robson, Jacob",615699,668676,strikeout,called_strike,,,,,7,Jacob Robson called out on strikes.,R,L,R,DET,CLE,S,2.0,,1,2,2021,-0.01,-0.39,-0.53,1.82,,,,0,8,Bot,,,,,595978,,,0.8449501076843071,-118.21244872771008,-2.235151875721101,-0.2933671025354122,21.37408800607265,-35.63362233566865,3.26,1.46,,,,81.0,1845,6.0,632920,668676,595978,680911,676391,644374,642708,640458,664702,605548,54.51,,0.0,0.0,1.0,0.0,0.0,,62,4,Curveball,2,7,2,7,7,2,2,7,Standard,Standard,24,-0.007,-0.174,,
FF,2021-08-13,93.7,-0.87,6.11,"Robson, Jacob",615699,668676,,ball,,,,,12,Jacob Robson called out on strikes.,R,L,R,DET,CLE,B,,,0,2,2021,-0.86,1.29,0.11,3.88,,,,0,8,Bot,,,,,595978,,,4.4100078309326,-136.40519650309844,-2.824127586727129,-11.772607370345916,31.53012169546247,-15.74109814953142,3.25,1.4,,,,93.1,2131,6.0,632920,668676,595978,680911,676391,644374,642708,640458,664702,605548,54.48,,,,,,,,62,3,4-Seam Fastball,2,7,2,7,7,2,2,7,Standard,Standard,215,0.0,0.022,,
FF,2021-08-13,92.1,-0.98,6.06,"Robson, Jacob",615699,668676,,foul_tip,,,,,3,Jacob Robson called out on strikes.,R,L,R,DET,CLE,S,,,0,1,2021,-0.66,1.46,0.6,2.8,,,,0,8,Bot,,,,,595978,,,5.426938871257768,-133.89452919183125,-5.551255081442953,-9.172178366905875,31.17954780272575,-13.641022301475603,3.3,1.5,,,,91.5,2080,6.1,632920,668676,595978,680911,676391,644374,642708,640458,664702,605548,54.35,,,,,,,,62,2,4-Seam Fastball,2,7,2,7,7,2,2,7,Standard,Standard,216,0.0,-0.052,,
CH,2021-08-13,85.1,-1.12,6.01,"Robson, Jacob",615699,668676,,foul,,,,,5,Jacob Robson called out on strikes.,R,L,R,DET,CLE,S,,,0,0,2021,-0.82,0.85,-0.11,2.53,,,,0,8,Bot,,,,,595978,,,3.981900898759565,-123.9787655916258,-3.5687892483022408,-9.259224015118614,24.062256263965477,-22.91465223466313,3.3,1.5,3.0,58.4,-44.0,84.8,1545,6.0,632920,668676,595978,680911,676391,644374,642708,640458,664702,605548,54.53,,,,,,,,62,1,Changeup,2,7,2,7,7,2,2,7,Standard,Standard,229,0.0,-0.038,,
CH,2021-08-13,85.9,-0.95,5.94,"Robson, Jacob",615699,668676,field_out,hit_into_play,,,,,4,Jacob Robson grounds out softly to first baseman Owen Miller.   Victor Reyes to 2nd.,R,L,R,DET,CLE,X,3.0,ground_ball,1,1,2021,-0.61,1.18,-0.54,2.33,,,622682.0,1,5,Bot,150.25,172.26,,,595978,,,2.20056620479341,-124.99652262605316,-4.688577561307453,-6.793891519863343,25.400675683924003,-19.09937532045085,3.3,1.5,2.0,61.9,-54.0,86.0,1515,6.4,632920,668676,595978,680911,676391,644374,642708,640458,664702,605548,54.14,0.24,0.216,0.0,1.0,0.0,0.0,2.0,39,3,Changeup,1,4,1,4,4,1,1,4,Standard,Standard,228,-0.023,-0.38,,
CU,2021-08-13,80.0,-0.79,6.09,"Robson, Jacob",615699,668676,,ball,,,,,11,Jacob Robson grounds out softly to first baseman Owen Miller.   Victor Reyes to 2nd.,R,L,R,DET,CLE,B,,,0,1,2021,-0.08,-0.56,-1.44,4.12,,,622682.0,1,5,Bot,,,,,595978,,,-1.279517541130764,-116.45613652015908,3.4127289828955703,-0.4405437642612541,22.974841131840783,-38.16553858988748,3.31,1.56,,,,79.1,1860,5.8,632920,668676,595978,680911,676391,644374,642708,640458,664702,605548,54.74,,,,,,,,39,2,Curveball,1,4,1,4,4,1,1,4,Standard,Standard,35,0.0,0.045,,
FF,2021-08-13,92.0,-0.73,6.03,"Robson, Jacob",615699,668676,,called_strike,,,,,14,Jacob Robson grounds out softly to first baseman Owen Miller.   Victor Reyes to 2nd.,R,L,R,DET,CLE,S,,,0,0,2021,-0.89,1.19,0.9,2.09,,,622682.0,1,5,Bot,,,,,595978,,,6.054831377632199,-133.74648796287795,-6.721689651310497,-11.947865348035812,29.20158622587492,-16.591968096528195,3.28,1.53,,,,91.7,2001,6.2,632920,668676,595978,680911,676391,644374,642708,640458,664702,605548,54.3,,,,,,,,39,1,4-Seam Fastball,1,4,1,4,4,1,1,4,Standard,Standard,212,0.0,-0.048,,
CH,2021-08-13,88.6,-1.03,5.98,"Robson, Jacob",615699,668676,strikeout,swinging_strike,,,,,13,Jacob Robson strikes out swinging.,R,L,R,DET,CLE,S,2.0,,0,2,2021,-1.01,0.61,-0.4,1.24,,,,1,3,Bot,,,,,595978,,,3.641352499921469,-128.8375422051169,-6.758522468179888,-12.027625957165384,26.329236081877465,-24.223064360096245,3.3,1.5,,,,88.3,1559,6.1,632920,668676,595978,680911,676391,644374,642708,640458,664702,605548,54.37,,0.0,0.0,1.0,0.0,0.0,,22,3,Changeup,0,2,0,2,2,0,0,2,Infield shade,Standard,231,-0.018,-0.101,,
CH,2021-08-13,87.5,-0.97,5.99,"Robson, Jacob",615699,668676,,swinging_strike,,,,,13,Jacob Robson strikes out swinging.,R,L,R,DET,CLE,S,,,0,1,2021,-0.88,0.96,-0.18,1.28,,,,1,3,Bot,,,,,595978,,,3.7198660020704977,-127.28931598366349,-7.201900296586805,-10.326008061881154,24.800359590540825,-20.4635942811602,3.3,1.5,,,,87.5,1758,6.2,632920,668676,595978,680911,676391,644374,642708,640458,664702,605548,54.31,,,,,,,,22,2,Changeup,0,2,0,2,2,0,0,2,Strategic,Standard,228,0.0,-0.035,,
FF,2021-08-13,93.1,-0.83,6.07,"Robson, Jacob",615699,668676,,called_strike,,,,,9,Jacob Robson strikes out swinging.,R,L,R,DET,CLE,S,,,0,0,2021,-0.65,1.52,0.33,1.62,,,,1,3,Bot,,,,,595978,,,4.397643000902318,-135.32194484636747,-8.991727180484816,-8.894238302562044,28.19420061235148,-11.74597110284953,3.22,1.42,,,,93.2,2073,6.3,632920,668676,595978,680911,676391,644374,642708,640458,664702,605548,54.17,,,,,,,,22,1,4-Seam Fastball,0,2,0,2,2,0,0,2,Standard,Standard,210,0.0,-0.027,,
CH,2021-08-12,85.8,-1.14,5.91,"Robson, Jacob",615699,650959,field_out,hit_into_play,,,,,4,"Jacob Robson grounds out sharply, second baseman Jorge Mateo to first baseman Trey Mancini.",R,L,R,BAL,DET,X,4.0,ground_ball,2,2,2021,-0.39,0.64,-0.47,2.44,,,,1,6,Top,143.01,133.32,,,642851,,,2.3945804106259057,-125.0222901052824,-3.342075095880916,-4.523569771541012,23.340598583062214,-25.000548887792338,3.3,1.5,111.0,100.9,7.0,87.4,1590,7.0,632938,650959,642851,641820,622761,596748,621006,669720,656775,621466,53.46,0.594,0.535,0.0,1.0,0.0,0.0,4.0,46,5,Changeup,2,6,6,2,6,2,6,2,Standard,Standard,202,0.004,-0.142,,
