pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
CH,2021-05-23,78.8,1.35,5.63,"Jones, JaCoby",592444,663460,field_out,hit_into_play,,,,,12,"JaCoby Jones grounds out, second baseman Whit Merrifield to first baseman Ryan O'Hearn.",R,R,L,KC,DET,X,4.0,ground_ball,0,0,2021,1.38,0.71,0.94,2.68,,,,1,4,Top,127.84,140.7,,,521692,,,-3.448991986051434,-114.68142966027348,-0.7995986692184269,12.731894408407731,24.40822972067336,-26.07786189466567,3.47,1.59,30.0,84.4,-3.0,78.5,1821.0,6.4,634002,663460,521692,656811,593160,642721,670032,643217,572191,624585,54.08,0.126,0.179,0.0,1.0,0.0,0.0,2.0,26,1,Changeup,0,2,2,0,2,0,2,0,Infield shade,Standard,114.0,0.012,-0.163,,
FF,2021-05-23,94.5,1.21,5.66,"Jones, JaCoby",592444,663460,strikeout,called_strike,,,,,9,JaCoby Jones called out on strikes.,R,R,L,KC,DET,S,2.0,,0,2,2021,0.73,1.38,0.3,1.91,408234.0,606992.0,592348.0,2,1,Top,,,,,521692,,,-4.028026874841156,-137.4713399603814,-7.15501615058173,10.202770655604985,30.77634786763516,-13.33215708160018,3.54,1.72,,,,94.7,2172.0,6.5,634002,663460,521692,656811,593160,642721,670032,643217,572191,624585,54.04,,0.0,0.0,1.0,0.0,0.0,,8,3,4-Seam Fastball,0,2,2,0,2,0,2,0,Standard,Standard,143.0,0.053,-0.428,,
FF,2021-05-23,91.3,1.19,5.61,"Jones, JaCoby",592444,663460,,swinging_strike,,,,,2,JaCoby Jones called out on strikes.,R,R,L,KC,DET,S,,,0,1,2021,0.78,1.17,0.0,2.94,408234.0,606992.0,592348.0,2,1,Top,,,,,521692,,,-4.714309618253416,-132.89323018973994,-3.3731595133013506,10.218322731777032,28.992644580442104,-17.77441173403531,3.47,1.59,,,,91.9,2154.0,6.7,634002,663460,521692,656811,593160,642721,670032,643217,572191,624585,53.8,,,,,,,,8,2,4-Seam Fastball,0,2,2,0,2,0,2,0,Strategic,Standard,145.0,0.0,-0.237,,
FF,2021-05-23,92.4,1.12,5.68,"Jones, JaCoby",592444,663460,,foul,,,,,13,JaCoby Jones called out on strikes.,R,R,L,KC,DET,S,,,0,0,2021,0.28,1.52,-0.86,2.52,408234.0,606992.0,592348.0,2,1,Top,,,,,521692,,,-5.658389449526903,-134.3518188985908,-5.5018962507063325,4.657589195677614,31.807482347444765,-12.8132609415378,3.47,1.59,6.0,56.5,-22.0,92.3,2210.0,6.5,634002,663460,521692,656811,593160,642721,670032,643217,572191,624585,54.03,,,,,,,,8,1,4-Seam Fastball,0,2,2,0,2,0,2,0,Standard,Standard,147.0,0.0,-0.134,,
FF,2021-05-23,96.2,-1.89,5.44,"Jones, JaCoby",592444,676604,walk,ball,,,,,12,JaCoby Jones walks.   Niko Goodrum to 2nd.,R,R,R,KC,DET,B,,,3,2,2021,-0.95,1.31,0.99,2.95,,,592348.0,1,6,Top,,,,,521692,,,9.674063660471605,-139.67270089556246,-3.8451101589491095,-14.767559530550107,35.849993342739744,-14.4592261336628,3.46,1.69,,,,94.6,2270.0,5.8,634002,676604,521692,656811,593160,642721,670032,643217,572191,624585,54.71,,0.691717,0.7,1.0,0.0,0.0,,43,6,4-Seam Fastball,0,2,2,0,2,0,2,0,Standard,Standard,216.0,-0.024,0.311,,
FF,2021-05-23,95.7,-1.86,5.56,"Jones, JaCoby",592444,676604,,ball,,,,,11,JaCoby Jones walks.   Niko Goodrum to 2nd.,R,R,R,KC,DET,B,,,2,2,2021,-1.15,1.2,-1.31,5.35,,,592348.0,1,6,Top,,,,,521692,,,3.998584061608163,-139.1831963732967,2.4092664590778847,-15.811318933506929,36.35989403896766,-17.614142782660874,3.42,1.67,,,,94.0,2436.0,5.7,634002,676604,521692,656811,593160,642721,670032,643217,572191,624585,54.82,,,,,,,,43,5,4-Seam Fastball,0,2,2,0,2,0,2,0,Standard,Standard,217.0,0.0,0.12,,
SL,2021-05-23,88.7,-1.89,5.48,"Jones, JaCoby",592444,676604,,ball,,,,,12,JaCoby Jones walks.   Niko Goodrum to 2nd.,R,R,R,KC,DET,B,,,1,2,2021,0.27,0.05,1.04,3.96,,,592348.0,1,6,Top,,,,,521692,,,6.506174535977367,-128.97396134007383,2.2405328977513763,1.5487416290349354,29.040199865117685,-32.31944477219734,3.41,1.64,,,,87.3,2818.0,5.6,634002,676604,521692,656811,593160,642721,670032,643217,572191,624585,54.87,,,,,,,,43,4,Slider,0,2,2,0,2,0,2,0,Standard,Standard,114.0,0.0,0.048,,
FF,2021-05-23,95.8,-1.74,5.49,"Jones, JaCoby",592444,676604,,ball,,,,,3,JaCoby Jones walks.   Niko Goodrum to 2nd.,R,R,R,KC,DET,B,,,0,2,2021,-0.77,1.45,0.72,3.43,,,592348.0,1,6,Top,,,,,521692,,,8.151862873961331,-139.23544200334973,-3.0149797117695325,-12.029904823860626,34.93047748690447,-12.891460669282155,3.41,1.69,,,,94.2,2357.0,5.7,634002,676604,521692,656811,593160,642721,670032,643217,572191,624585,54.79,,,,,,,,43,3,4-Seam Fastball,0,2,2,0,2,0,2,0,Standard,Standard,216.0,0.0,0.023,,
FF,2021-05-23,96.4,-1.9,5.48,"Jones, JaCoby",592444,676604,,swinging_strike,,,,,3,JaCoby Jones walks.   Niko Goodrum to 2nd.,R,R,R,KC,DET,S,,,0,1,2021,-0.57,1.29,0.4,3.37,,,592348.0,1,6,Top,,,,,521692,,,7.310086319663741,-140.23471741921577,-2.954826591474201,-9.213013304517318,32.76416939183208,-14.65297579170228,3.47,1.59,,,,95.2,2372.0,5.7,634002,676604,521692,656811,593160,642721,670032,643217,572191,624585,54.81,,,,,,,,43,2,4-Seam Fastball,0,2,2,0,2,0,2,0,Standard,Standard,217.0,0.0,-0.063,,
SL,2021-05-23,85.5,-1.98,5.46,"Jones, JaCoby",592444,676604,,swinging_strike,,,,,14,JaCoby Jones walks.   Niko Goodrum to 2nd.,R,R,R,KC,DET,S,,,0,0,2021,0.53,-0.15,0.9,1.5,,,592348.0,1,6,Top,,,,,521692,,,5.629872713377876,-124.3770281085861,-2.7107174564188368,4.347216138851933,25.83840467748362,-33.33453244138655,3.47,1.59,,,,84.4,2724.0,5.7,634002,676604,521692,656811,593160,642721,670032,643217,572191,624585,54.83,,,,,,,,43,1,Slider,0,2,2,0,2,0,2,0,Standard,Standard,78.0,0.0,-0.048,,
