pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
FF,2021-10-03,97.4,-1.6,6.4,"Goodrum, Niko",592348,656302,field_out,hit_into_play,,,,,5,Niko Goodrum lines out sharply to center fielder Adam Engel.,R,L,R,CWS,DET,X,8.0,line_drive,2,1,2021,-0.37,1.63,0.01,2.87,605612.0,,,2,3,Top,125.9,46.22,,,518735,,,5.1401306138294105,-141.68134619801387,-7.706215063666226,-6.086244638469592,29.5585334402709,-8.645560571352867,3.49,1.6,378.0,103.6,20.0,97.2,2596.0,6.0,632252,656302,518735,683734,514917,660162,641313,650391,641553,544725,54.52,0.657,0.868,0.0,1.0,0.0,0.0,6.0,21,4,4-Seam Fastball,1,1,1,1,1,1,1,1,Infield shade,Standard,200.0,0.042,-0.373,,
SL,2021-10-03,87.3,-1.97,6.16,"Goodrum, Niko",592348,656302,,ball,,,,,14,Niko Goodrum lines out sharply to center fielder Adam Engel.,R,L,R,CWS,DET,B,,,1,1,2021,0.45,0.36,0.81,-0.67,,605612.0,,2,3,Top,,,,,518735,,,5.722265818446946,-126.70952566674912,-11.001002139872863,3.822743658779369,23.582255053773665,-26.332338074889265,3.69,1.74,,,,87.2,2889.0,6.2,632252,656302,518735,683734,514917,660162,641313,650391,641553,544725,54.32,,,,,,,,21,3,Slider,1,1,1,1,1,1,1,1,Standard,Standard,47.0,-0.005,0.04,,
SL,2021-10-03,90.5,-1.84,6.19,"Goodrum, Niko",592348,656302,,ball,,,,,14,Niko Goodrum lines out sharply to center fielder Adam Engel.,R,L,R,CWS,DET,B,,,0,1,2021,0.4,0.48,1.49,1.92,,605612.0,,2,3,Top,,,,,518735,,,7.388476979376332,-131.56514412388572,-5.734294255947902,3.2202214785908536,26.521727173688472,-25.56486485647072,3.75,1.78,,,,90.1,2911.0,6.0,632252,656302,518735,683734,514917,660162,641313,650391,641553,544725,54.53,,,,,,,,21,2,Slider,1,1,1,1,1,1,1,1,Standard,Standard,85.0,0.0,0.018,,
FF,2021-10-03,97.1,-1.62,6.39,"Goodrum, Niko",592348,656302,,called_strike,,,,,8,Niko Goodrum lines out sharply to center fielder Adam Engel.,R,L,R,CWS,DET,S,,,0,0,2021,-0.22,1.7,0.15,1.89,,605612.0,,2,3,Top,,,,,518735,,,5.1976531000844535,-141.05443903433408,-10.310877456994763,-4.13068820056633,32.568238337582656,-7.264214093951756,3.78,1.83,,,,96.3,2473.0,5.9,632252,656302,518735,683734,514917,660162,641313,650391,641553,544725,54.56,,,,,,,,21,1,4-Seam Fastball,1,1,1,1,1,1,1,1,Standard,Standard,195.0,0.0,-0.045,,
FF,2021-10-03,98.6,-2.1,5.82,"Goodrum, Niko",592348,656629,strikeout,foul_tip,,,,,4,Niko Goodrum strikes out on a foul tip.,R,L,R,CWS,DET,S,2.0,,3,2,2021,-0.68,1.74,-0.34,2.6,,,,0,6,Top,,,,,641470,,,6.384317787928233,-143.30925505885227,-7.340275691501417,-10.945732182597013,34.797119753962264,-6.735313611789766,3.49,1.6,,,,98.7,2476.0,6.5,632252,656629,641470,683734,514917,660162,641313,650391,641553,544725,53.95,,0.0,0.0,1.0,0.0,0.0,,43,9,4-Seam Fastball,1,2,2,1,2,1,2,1,Infield shift,Standard,215.0,0.024,-0.318,,
FF,2021-10-03,98.3,-2.13,5.84,"Goodrum, Niko",592348,656629,,foul,,,,,1,Niko Goodrum strikes out on a foul tip.,R,L,R,CWS,DET,S,,,3,2,2021,-0.95,1.66,-0.78,3.2,,,,0,6,Top,,,,,641470,,,5.9025916006831975,-142.95369073054488,-5.568742993884091,-14.418978673497318,32.937777382552184,-8.364991073190165,3.49,1.6,247.0,78.6,30.0,98.9,2751.0,6.6,632252,656629,641470,683734,514917,660162,641313,650391,641553,544725,53.86,,,,,,,,43,8,4-Seam Fastball,1,2,2,1,2,1,2,1,Infield shift,Standard,211.0,0.0,0.0,,
FF,2021-10-03,99.8,-2.31,5.82,"Goodrum, Niko",592348,656629,,ball,,,,,11,Niko Goodrum strikes out on a foul tip.,R,L,R,CWS,DET,B,,,2,2,2021,-0.9,1.44,-1.06,3.78,,,,0,6,Top,,,,,641470,,,5.577783603980111,-145.3615022827181,-3.682770648276998,-14.000107081100706,32.56449447300265,-11.027300787642856,3.73,1.76,,,,100.5,2696.0,6.5,632252,656629,641470,683734,514917,660162,641313,650391,641553,544725,53.96,,,,,,,,43,7,4-Seam Fastball,1,2,2,1,2,1,2,1,Infield shift,Standard,212.0,0.0,0.101,,
SL,2021-10-03,84.9,-2.46,5.62,"Goodrum, Niko",592348,656629,,ball,,,,,14,Niko Goodrum strikes out on a foul tip.,R,L,R,CWS,DET,B,,,1,2,2021,0.88,-0.1,0.6,1.66,,,,0,6,Top,,,,,641470,,,5.445041372676141,-123.58480824698093,-2.814922662965321,8.114286787484147,22.279060058098192,-32.89009805762568,3.69,1.78,,,,85.7,2539.0,6.5,632252,656629,641470,683734,514917,660162,641313,650391,641553,544725,53.95,,,,,,,,43,6,Slider,1,2,2,1,2,1,2,1,Infield shift,Standard,48.0,0.0,0.043,,
FF,2021-10-03,98.0,-2.35,5.75,"Goodrum, Niko",592348,656629,,foul,,,,,5,Niko Goodrum strikes out on a foul tip.,R,L,R,CWS,DET,S,,,1,2,2021,-0.91,1.45,-0.21,2.78,,,,0,6,Top,,,,,641470,,,7.951100565284887,-142.5110538539951,-5.9425482498721625,-14.192533379380937,31.83336494683464,-11.192596002885251,3.49,1.6,216.0,74.8,45.0,98.9,2621.0,6.7,632252,656629,641470,683734,514917,660162,641313,650391,641553,544725,53.76,,,,,,,,43,5,4-Seam Fastball,1,2,2,1,2,1,2,1,Infield shift,Standard,214.0,0.0,0.0,,
FF,2021-10-03,97.7,-2.27,5.84,"Goodrum, Niko",592348,656629,,foul,,,,,5,Niko Goodrum strikes out on a foul tip.,R,L,R,CWS,DET,S,,,1,2,2021,-0.79,1.41,0.05,2.75,,,,0,6,Top,,,,,641470,,,8.094024826692728,-142.07056911982835,-6.132546676872793,-12.545944500134617,30.413035024731645,-11.836614651434068,3.49,1.6,236.0,74.1,32.0,98.3,2555.0,6.5,632252,656629,641470,683734,514917,660162,641313,650391,641553,544725,53.96,,,,,,,,43,4,4-Seam Fastball,1,2,2,1,2,1,2,1,Infield shift,Standard,219.0,0.0,0.0,,
SL,2021-10-03,83.1,-2.4,5.64,"Goodrum, Niko",592348,656629,,foul,,,,,9,Niko Goodrum strikes out on a foul tip.,R,L,R,CWS,DET,S,,,1,1,2021,0.94,-0.13,0.47,1.55,,,,0,6,Top,,,,,641470,,,4.750901643641085,-121.06568131186384,-2.7243182093828757,8.455228027176073,21.403825054820764,-33.2015343955772,3.49,1.6,14.0,77.4,-6.0,83.8,2587.0,6.5,632252,656629,641470,683734,514917,660162,641313,650391,641553,544725,54.02,,,,,,,,43,3,Slider,1,2,2,1,2,1,2,1,Infield shift,Standard,62.0,0.0,-0.057,,
CU,2021-10-03,80.8,-2.33,5.75,"Goodrum, Niko",592348,656629,,ball,,,,,14,Niko Goodrum strikes out on a foul tip.,R,L,R,CWS,DET,B,,,0,1,2021,0.78,-0.87,0.51,-0.29,,,,0,6,Top,,,,,641470,,,4.841769149667563,-117.6014897971608,-5.172662864384691,6.308244892082745,22.16584301388806,-39.433273845545706,3.75,1.74,,,,81.0,2563.0,6.4,632252,656629,641470,683734,514917,660162,641313,650391,641553,544725,54.08,,,,,,,,43,2,Curveball,1,2,2,1,2,1,2,1,Infield shift,Standard,46.0,0.0,0.027,,
SL,2021-10-03,85.2,-1.89,6.3,"Goodrum, Niko",592348,656302,strikeout,swinging_strike_blocked,,,,,14,"Niko Goodrum strikes out swinging, catcher Yasmani Grandal to first baseman Andrew Vaughn.",R,L,R,CWS,DET,S,2.0,,1,2,2021,0.85,-0.42,1.28,0.45,,606992.0,,2,1,Top,,,,,518735,,,5.713562318127032,-123.99277832628238,-6.606370226620489,7.698522454831691,23.431076105896317,-35.496875292142946,3.49,1.6,,,,85.0,2885.0,6.0,632252,656302,518735,683734,514917,660162,641313,650391,641553,544725,54.47,,0.0,0.0,1.0,0.0,0.0,,5,4,Slider,0,1,1,0,1,0,1,0,Standard,Standard,50.0,0.03,-0.213,,
FF,2021-10-03,96.6,-2.26,5.86,"Goodrum, Niko",592348,656629,,called_strike,,,,,5,Niko Goodrum strikes out on a foul tip.,R,L,R,CWS,DET,S,,,0,0,2021,-0.87,1.82,-0.23,2.69,,,,0,6,Top,,,,,641470,,,7.42048413847143,-140.22798719280712,-6.991784587811219,-13.253256487416278,34.67093525054587,-6.728568519354252,3.78,1.78,,,,96.4,2678.0,6.5,632252,656629,641470,683734,514917,660162,641313,650391,641553,544725,53.97,,,,,,,,43,1,4-Seam Fastball,1,2,2,1,2,1,2,1,Infield shift,Standard,210.0,0.0,-0.038,,
SL,2021-10-03,84.6,-1.87,6.37,"Goodrum, Niko",592348,656302,,swinging_strike,,,,,14,"Niko Goodrum strikes out swinging, catcher Yasmani Grandal to first baseman Andrew Vaughn.",R,L,R,CWS,DET,S,,,1,1,2021,0.57,0.08,0.89,1.39,,606992.0,,2,1,Top,,,,,518735,,,5.26805815000664,-123.1081305775347,-5.399905706604611,4.782260427976168,23.770981864298427,-30.481116495486823,3.49,1.6,,,,84.1,2880.0,5.9,632252,656302,518735,683734,514917,660162,641313,650391,641553,544725,54.6,,,,,,,,5,3,Slider,0,1,1,0,1,0,1,0,Standard,Standard,59.0,0.0,-0.076,,
