pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
FF,2021-08-20,93.4,2.51,6.0,"Núñez, Renato",600524,592662,field_out,hit_into_play,,,,,5,Renato Nunez lines out to center fielder Randal Grichuk.,R,R,L,TOR,DET,X,8.0,line_drive,0,1,2021,0.75,1.53,-0.07,2.16,,,,0,7,Top,125.16,61.23,,,672386,,,-8.307926295173495,-135.52849878227894,-7.432841407215802,11.181021429424794,32.14380038843452,-11.811170589187231,3.41,1.56,342.0,94.9,22.0,93.2,2279,6.5,632888,592662,672386,665489,543760,669289,666182,666971,545341,606192,53.97,0.214,0.254,0.0,1.0,0.0,0.0,3.0,46,2,4-Seam Fastball,1,0,0,1,0,1,0,1,Standard,Standard,147,0.043,-0.203,,
FF,2021-08-20,93.2,2.75,5.85,"Núñez, Renato",600524,592662,,called_strike,,,,,7,Renato Nunez lines out to center fielder Randal Grichuk.,R,R,L,TOR,DET,S,,,0,0,2021,0.52,1.54,-0.8,1.9,,,,0,7,Top,,,,,672386,,,-10.23270037006874,-135.06684618704807,-7.680226094189824,8.783850926302838,32.497638324997986,-11.717004675221014,3.3,1.6,,,,92.7,2216,6.4,632888,592662,672386,665489,543760,669289,666182,666971,545341,606192,54.05,,,,,,,,46,1,4-Seam Fastball,1,0,0,1,0,1,0,1,Standard,Standard,143,0.0,-0.038,,
FF,2021-08-20,95.3,2.57,6.01,"Núñez, Renato",600524,592662,field_out,hit_into_play,,,,,4,Renato Nunez pops out to first baseman Vladimir Guerrero in foul territory.,R,R,L,TOR,DET,X,3.0,popup,3,1,2021,0.56,1.45,-0.44,2.71,,,,1,4,Top,140.73,195.37,,,672386,,,-9.196250713416507,-138.3055617716585,-6.239399526088564,9.30404880186124,32.19402072558767,-12.36657410183419,3.41,1.56,41.0,71.4,82.0,95.3,2271,6.5,632888,592662,672386,665489,543760,669289,666182,666971,545341,606192,53.98,0.003,0.004,0.0,1.0,0.0,0.0,3.0,25,5,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,144,0.019,-0.278,,
FF,2021-08-20,95.0,2.51,6.04,"Núñez, Renato",600524,592662,,ball,,,,,12,Renato Nunez pops out to first baseman Vladimir Guerrero in foul territory.,R,R,L,TOR,DET,B,,,2,1,2021,0.62,1.47,0.19,4.18,,,,1,4,Top,,,,,672386,,,-7.48093783522737,-138.0977749279769,-2.494351816120881,9.60774722824817,31.95437486430489,-13.073865420002718,3.41,1.63,,,,95.0,2205,6.4,632888,592662,672386,665489,543760,669289,666182,666971,545341,606192,54.07,,,,,,,,25,4,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,144,0.0,0.083,,
SL,2021-08-20,87.0,2.76,6.02,"Núñez, Renato",600524,592662,,ball,,,,,14,Renato Nunez pops out to first baseman Vladimir Guerrero in foul territory.,R,R,L,TOR,DET,B,,,1,1,2021,-0.23,0.52,0.35,1.34,,,,1,4,Top,,,,,672386,,,-5.292347537542944,-126.5113690946569,-6.126314877933805,-1.486974979185599,24.813677169064157,-25.55584943853679,3.51,1.71,,,,87.1,2109,6.3,632888,592662,672386,665489,543760,669289,666182,666971,545341,606192,54.18,,,,,,,,25,3,Slider,0,0,0,0,0,0,0,0,Standard,Standard,145,0.0,0.038,,
FF,2021-08-20,93.3,2.39,6.24,"Núñez, Renato",600524,592662,,foul,,,,,1,Renato Nunez pops out to first baseman Vladimir Guerrero in foul territory.,R,R,L,TOR,DET,S,,,1,0,2021,0.67,1.27,-0.68,3.05,,,,1,4,Top,,,,,672386,,,-9.367495675658192,-135.51483240215953,-5.235101859328082,10.310742178926535,29.492382473431476,-15.52695962482954,3.41,1.56,352.0,98.8,41.0,93.2,2223,6.3,632888,592662,672386,665489,543760,669289,666182,666971,545341,606192,54.17,,,,,,,,25,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,148,0.0,-0.032,,
CH,2021-08-20,92.3,2.74,6.12,"Núñez, Renato",600524,592662,,ball,,,,,14,Renato Nunez pops out to first baseman Vladimir Guerrero in foul territory.,R,R,L,TOR,DET,B,,,0,0,2021,0.59,1.45,1.47,2.51,,,,1,4,Top,,,,,672386,,,-4.5374048786329615,-134.29653311938245,-6.549489415854875,8.172243511646249,28.70300093893075,-13.425442518271412,3.48,1.65,,,,92.6,2235,6.5,632888,592662,672386,665489,543760,669289,666182,666971,545341,606192,54.04,,,,,,,,25,1,Changeup,0,0,0,0,0,0,0,0,Standard,Standard,151,0.0,0.026,,
FF,2021-08-20,95.0,2.59,5.94,"Núñez, Renato",600524,592662,field_out,hit_into_play,,,,,5,"Renato Nunez grounds out, shortstop Bo Bichette to first baseman Vladimir Guerrero.",R,R,L,TOR,DET,X,6.0,ground_ball,3,2,2021,0.88,1.22,-0.18,2.41,,,,1,2,Top,110.25,143.22,,,672386,,,-9.226051332676644,-137.8818076812685,-6.293072664717461,13.294197942727571,31.462956652628076,-15.37996502192925,3.41,1.56,77.0,93.0,3.0,95.0,2242,6.5,632888,592662,672386,665489,543760,669289,666182,666971,545341,606192,53.99,0.431,0.406,0.0,1.0,0.0,0.0,4.0,8,7,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,145,0.017,-0.213,,
SL,2021-08-20,89.5,2.67,5.98,"Núñez, Renato",600524,592662,,foul,,,,,7,"Renato Nunez grounds out, shortstop Bo Bichette to first baseman Vladimir Guerrero.",R,R,L,TOR,DET,S,,,3,2,2021,-0.03,0.62,-0.33,1.83,,,,1,2,Top,,,,,672386,,,-7.32555486168301,-130.12413629503837,-5.532177923111318,1.2410043350582138,27.483255028464743,-24.109417621081683,3.41,1.56,,,,89.5,2086,6.3,632888,592662,672386,665489,543760,669289,666182,666971,545341,606192,54.16,,,,,,,,8,6,Slider,0,0,0,0,0,0,0,0,Standard,Standard,147,0.0,0.0,,
FF,2021-08-20,93.8,2.44,6.02,"Núñez, Renato",600524,592662,,ball,,,,,13,"Renato Nunez grounds out, shortstop Bo Bichette to first baseman Vladimir Guerrero.",R,R,L,TOR,DET,B,,,2,2,2021,0.66,1.38,-1.16,2.09,,,,1,2,Top,,,,,672386,,,-10.803895362069005,-135.99545059643637,-7.481470394774211,10.577317992524325,31.00750668742347,-13.498056552086204,3.3,1.63,,,,94.0,2197,6.7,632888,592662,672386,665489,543760,669289,666182,666971,545341,606192,53.81,,,,,,,,8,5,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,146,0.0,0.071,,
