pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
FF,2021-10-02,94.0,-1.28,6.44,"Grossman, Robbie",543257,608337,single,hit_into_play,,,,,2,Robbie Grossman singles on a line drive to left fielder Eloy Jimenez.,R,L,R,CWS,DET,X,7.0,line_drive,3,2,2021,-0.45,1.62,0.15,2.81,,,,0,4,Top,98.72,120.17,,,518735,,,4.73983237780562,-136.67456400915668,-7.295022512900438,-6.7584260570263455,31.127995285513705,-10.451374956821333,3.37,1.53,210.0,70.2,25.0,94.5,2199.0,6.7,632265,608337,518735,547989,544725,660162,641313,650391,673357,641553,53.81,0.971,0.907,0.9,1.0,1.0,0.0,4.0,22,6,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shift,Standard,201.0,-0.044,0.327,,
CH,2021-10-02,81.4,-1.4,6.38,"Grossman, Robbie",543257,608337,,called_strike,,,,,6,Robbie Grossman singles on a line drive to left fielder Eloy Jimenez.,R,L,R,CWS,DET,S,,,3,1,2021,-0.81,1.23,0.53,2.0,,,,0,4,Top,,,,,518735,,,5.887657026425273,-118.43007449620217,-5.6265677191509,-8.679580892292483,21.17872377550592,-19.74611311974643,2.72,1.53,,,,81.7,1544.0,6.4,632265,608337,518735,547989,544725,660162,641313,650391,673357,641553,54.13,,,,,,,,22,5,Changeup,0,0,0,0,0,0,0,0,Infield shift,Standard,217.0,0.0,-0.077,,
FF,2021-10-02,93.0,-1.3,6.4,"Grossman, Robbie",543257,608337,,ball,,,,,12,Robbie Grossman singles on a line drive to left fielder Eloy Jimenez.,R,L,R,CWS,DET,B,,,2,1,2021,-0.4,1.49,0.61,4.06,,,,0,4,Top,,,,,518735,,,5.801657258044953,-135.34780562483462,-3.548194733334712,-6.082671343290492,28.01690784487528,-13.242503364881903,2.87,1.53,,,,93.9,2200.0,6.7,632265,608337,518735,547989,544725,660162,641313,650391,673357,641553,53.81,,,,,,,,22,4,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shift,Standard,201.0,0.0,0.113,,
CH,2021-10-02,80.5,-1.39,6.38,"Grossman, Robbie",543257,608337,,called_strike,,,,,1,Robbie Grossman singles on a line drive to left fielder Eloy Jimenez.,R,L,R,CWS,DET,S,,,2,0,2021,-0.96,0.91,-0.67,2.75,,,,0,4,Top,,,,,518735,,,3.4582135174419832,-117.24539385474796,-3.120830138446504,-9.547436257253649,22.746373605372064,-23.44889681157677,2.84,1.53,,,,80.8,1446.0,6.5,632265,608337,518735,547989,544725,660162,641313,650391,673357,641553,53.96,,,,,,,,22,3,Changeup,0,0,0,0,0,0,0,0,Infield shift,Standard,216.0,0.0,-0.067,,
CH,2021-10-02,81.7,-1.45,6.34,"Grossman, Robbie",543257,608337,,ball,,,,,14,Robbie Grossman singles on a line drive to left fielder Eloy Jimenez.,R,L,R,CWS,DET,B,,,1,0,2021,-0.73,1.08,0.56,0.39,,,,0,4,Top,,,,,518735,,,6.006922645780229,-118.65718357362334,-9.037661882351893,-8.024819608804469,20.96238041481327,-20.44130921289895,2.97,1.53,,,,82.9,1506.0,7.0,632265,608337,518735,547989,544725,660162,641313,650391,673357,641553,53.47,,,,,,,,22,2,Changeup,0,0,0,0,0,0,0,0,Infield shift,Standard,223.0,0.0,0.07,,
FF,2021-10-02,92.6,-1.24,6.48,"Grossman, Robbie",543257,608337,,ball,,,,,12,Robbie Grossman singles on a line drive to left fielder Eloy Jimenez.,R,L,R,CWS,DET,B,,,0,0,2021,-0.58,1.72,0.13,3.58,,,,0,4,Top,,,,,518735,,,4.809650882999717,-134.71317068468352,-5.404553717179815,-8.163271178902484,30.207307136622536,-10.22244777119253,2.85,1.53,,,,93.5,2301.0,6.9,632265,608337,518735,547989,544725,660162,641313,650391,673357,641553,53.59,,,,,,,,22,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shift,Standard,203.0,0.0,0.038,,
SI,2021-10-02,88.9,1.6,6.01,"Grossman, Robbie",543257,572971,single,hit_into_play,,,,,14,Robbie Grossman singles on a line drive to right fielder Adam Engel.   Daz Cameron scores.    Akil Baddoo to 3rd.,R,R,L,CWS,DET,X,9.0,line_drive,1,2,2021,1.54,0.74,0.58,1.05,,663662.0,668731.0,2,7,Top,168.96,128.33,,,518735,,,-5.687616117716429,-129.1574238624366,-7.572083374358251,18.4108457898765,28.20448245844892,-22.45527422129425,3.37,1.53,158.0,63.8,21.0,88.1,2080.0,6.0,632265,572971,518735,547989,544725,660162,641313,650391,673357,641553,54.49,0.62,0.558,0.9,1.0,1.0,0.0,4.0,50,4,Sinker,0,3,3,0,4,0,4,0,Standard,Standard,132.0,-0.048,1.028,,
CH,2021-10-02,81.3,1.5,6.02,"Grossman, Robbie",543257,572971,,called_strike,,,,,7,Robbie Grossman singles on a line drive to right fielder Adam Engel.   Daz Cameron scores.    Akil Baddoo to 3rd.,R,R,L,CWS,DET,S,,,1,1,2021,1.33,0.49,-0.29,1.39,,663662.0,668731.0,2,7,Top,,,,,518735,,,-6.499517700960832,-118.25074611680805,-4.704915425001005,13.75383826162847,21.873905574745763,-26.83739270461362,3.04,1.44,,,,80.7,1685.0,5.8,632265,572971,518735,547989,544725,660162,641313,650391,673357,641553,54.65,,,,,,,,50,3,Changeup,0,3,3,0,3,0,3,0,Standard,Standard,126.0,0.0,-0.116,,
FC,2021-10-02,87.7,1.46,6.11,"Grossman, Robbie",543257,572971,,ball,,,,,13,Robbie Grossman singles on a line drive to right fielder Adam Engel.   Daz Cameron scores.    Akil Baddoo to 3rd.,R,R,L,CWS,DET,B,,,0,1,2021,0.12,0.56,-0.89,1.87,,663662.0,668731.0,2,7,Top,,,,,518735,,,-5.876658392679121,-127.62493847774364,-5.276617397413596,2.471508092970876,25.093229458501952,-25.197335533295345,3.12,1.53,,,,87.0,2284.0,5.7,632265,572971,518735,547989,544725,660162,641313,650391,673357,641553,54.76,,,,,,,,50,2,Cutter,0,3,3,0,3,0,3,0,Standard,Standard,151.0,0.0,0.054,,
SI,2021-10-02,89.3,1.51,6.05,"Grossman, Robbie",543257,572971,,called_strike,,,,,9,Robbie Grossman singles on a line drive to right fielder Adam Engel.   Daz Cameron scores.    Akil Baddoo to 3rd.,R,R,L,CWS,DET,S,,,0,0,2021,1.36,0.7,0.59,1.72,,663662.0,668731.0,2,7,Top,,,,,518735,,,-5.106762472636848,-129.8046752746043,-6.0548016777097535,16.460489063319006,28.468354359477097,-23.185685717104967,3.19,1.53,,,,88.7,2126.0,6.1,632265,572971,518735,547989,544725,660162,641313,650391,673357,641553,54.43,,,,,,,,50,1,Sinker,0,3,3,0,3,0,3,0,Infield shade,Standard,142.0,0.0,-0.074,,
