pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
CH,2021-08-09,82.6,-1.65,5.94,"Burrows, Beau",571718,663366,field_out,hit_into_play,,,,,5,Brian Goodwin flies out to center fielder Jake Cave.,R,L,R,MIN,CWS,X,8.0,fly_ball,1,1,2021,-0.98,0.91,-0.12,2.59,,,,2,2,Top,127.22,43.43,,,680777,,,5.289760148355173,-120.275709089807,-2.914786471756368,-10.523547233212511,22.433075064783264,-22.918878850230534,3.37,1.53,383.0,97.0,32.0,81.5,1791,5.4,632964,663366,680777,593934,593871,650333,592743,663616,595909,596146,55.11,0.294,0.509,0.0,1.0,0.0,0.0,5.0,18,3,Changeup,0,7,7,0,7,0,7,0,Infield shift,Standard,236,0.001,-0.099,,
CH,2021-08-09,83.1,-1.63,5.94,"Burrows, Beau",571718,663366,,foul,,,,,5,Brian Goodwin flies out to center fielder Jake Cave.,R,L,R,MIN,CWS,S,,,1,0,2021,-0.92,1.19,0.0,2.46,,,,2,2,Top,,,,,680777,,,5.427397497814116,-120.90179808638854,-3.83755744688058,-10.076356092610167,21.56448222986289,-19.893601461721047,3.37,1.53,3.0,58.3,-44.0,81.9,2005,5.3,632964,663366,680777,593934,593871,650333,592743,663616,595909,596146,55.19,,,,,,,,18,2,Changeup,0,7,7,0,7,0,7,0,Infield shift,Standard,231,0.0,-0.02,,
SL,2021-08-09,85.2,-1.7,5.9,"Burrows, Beau",571718,663366,,ball,,,,,14,Brian Goodwin flies out to center fielder Jake Cave.,R,L,R,MIN,CWS,B,,,0,0,2021,0.19,0.51,0.85,-1.77,,,,2,2,Top,,,,,680777,,,5.504244612120543,-123.54674055550088,-12.502818078596428,0.877202636531627,23.056335151162603,-24.70633074750705,3.37,1.53,,,,83.8,2078,5.4,632964,663366,680777,593934,593871,650333,592743,663616,595909,596146,55.09,,,,,,,,18,1,Slider,0,7,7,0,7,0,7,0,Infield shift,Standard,213,0.0,0.016,,
FF,2021-08-09,90.8,-1.39,5.99,"Burrows, Beau",660162,663366,field_out,hit_into_play,,,,,4,Yoan Moncada flies out to left fielder Trevor Larnach.,R,L,R,MIN,CWS,X,7.0,fly_ball,2,1,2021,-0.65,1.53,-0.66,2.42,,,,1,2,Top,62.51,134.42,,,680777,,,3.156490869759127,-132.15123036463777,-6.24109743541864,-8.33114320675501,26.900406061615847,-13.077889140069342,3.47,1.59,224.0,88.8,58.0,89.6,2152,5.5,632964,663366,680777,593934,593871,650333,592743,663616,595909,596146,55.04,0.014,0.015,0.0,1.0,0.0,0.0,3.0,17,4,4-Seam Fastball,0,7,7,0,7,0,7,0,Infield shift,Standard,203,0.003,-0.195,,
FF,2021-08-09,91.6,-1.48,5.95,"Burrows, Beau",660162,663366,,foul,,,,,9,Yoan Moncada flies out to left fielder Trevor Larnach.,R,L,R,MIN,CWS,S,,,2,0,2021,-0.62,1.34,0.33,2.07,,,,1,2,Top,,,,,680777,,,5.828476792162478,-133.2482017356908,-6.7806104668543,-8.568381653758935,26.28027369914432,-14.8836460053616,3.47,1.59,4.0,101.6,-29.0,90.6,2138,5.5,632964,663366,680777,593934,593871,650333,592743,663616,595909,596146,55.0,,,,,,,,17,3,4-Seam Fastball,0,7,7,0,7,0,7,0,Infield shift,Standard,209,0.0,-0.044,,
CH,2021-08-09,82.9,-1.92,5.89,"Burrows, Beau",660162,663366,,ball,,,,,14,Yoan Moncada flies out to left fielder Trevor Larnach.,R,L,R,MIN,CWS,B,,,1,0,2021,-1.03,1.2,0.37,1.15,,,,1,2,Top,,,,,680777,,,7.111376381336179,-120.40659138082628,-6.624684353184733,-11.361044490090196,21.701538942167986,-19.408515735667837,3.38,1.59,,,,81.7,1815,5.4,632964,663366,680777,593934,593871,650333,592743,663616,595909,596146,55.06,,,,,,,,17,2,Changeup,0,7,7,0,7,0,7,0,Infield shift,Standard,236,0.0,0.05,,
CH,2021-08-09,82.7,-1.64,5.88,"Burrows, Beau",660162,663366,,ball,,,,,14,Yoan Moncada flies out to left fielder Trevor Larnach.,R,L,R,MIN,CWS,B,,,0,0,2021,-0.88,1.3,1.15,-0.53,,,,1,2,Top,,,,,680777,,,7.940090888364145,-119.9030390343646,-10.497292922910525,-9.94969248116998,20.789037484223787,-17.770743121003274,3.42,1.59,,,,81.6,2013,5.5,632964,663366,680777,593934,593871,650333,592743,663616,595909,596146,54.97,,,,,,,,17,1,Changeup,0,7,7,0,7,0,7,0,Infield shift,Standard,231,0.0,0.026,,
FF,2021-08-09,92.4,-1.41,5.95,"Burrows, Beau",650391,663366,home_run,hit_into_play,,,,,11,Eloy Jimenez homers (5) on a fly ball to left field.   Tim Anderson scores.    Cesar Hernandez scores.,R,R,R,MIN,CWS,X,,fly_ball,1,0,2021,-0.42,1.81,-0.47,3.79,641313.0,,514917.0,1,2,Top,18.78,99.81,,,680777,,,3.2391612705551336,-134.38050065659385,-3.4990767596697805,-5.776482844534521,32.51443418374262,-9.867754108074232,3.55,1.63,359.0,94.1,33.0,90.7,2227,5.5,632964,663366,680777,593934,593871,650333,592743,663616,595909,596146,54.97,0.12,0.21,2.0,1.0,0.0,3.0,3.0,16,2,4-Seam Fastball,0,4,4,0,7,0,7,0,Standard,Standard,197,-0.075,2.036,,
SL,2021-08-09,84.3,-1.58,5.88,"Burrows, Beau",650391,663366,,ball,,,,,14,Eloy Jimenez homers (5) on a fly ball to left field.   Tim Anderson scores.    Cesar Hernandez scores.,R,R,R,MIN,CWS,B,,,0,0,2021,0.35,0.41,2.07,2.56,641313.0,,514917.0,1,2,Top,,,,,680777,,,7.631023188464431,-122.58484534983738,-2.1204743440413547,1.963046537797912,25.363546164270463,-27.817888443534688,3.62,1.63,,,,82.5,2160,5.2,632964,663366,680777,593934,593871,650333,592743,663616,595909,596146,55.26,,,,,,,,16,1,Slider,0,4,4,0,4,0,4,0,Standard,Standard,185,0.0,0.059,,
FF,2021-08-09,92.5,-1.37,5.95,"Burrows, Beau",547989,663366,field_out,hit_into_play,,,,,3,Jose Abreu flies out sharply to center fielder Jake Cave.   Tim Anderson to 3rd.,R,R,R,MIN,CWS,X,8.0,fly_ball,2,1,2021,-0.5,1.74,0.71,3.6,,641313.0,514917.0,0,2,Top,105.04,44.9,,,680777,,,6.293122200595003,-134.5137979214512,-3.888431000495232,-7.514218082427147,30.037517776814056,-10.461352717491302,3.49,1.6,383.0,105.8,36.0,91.0,2258,5.5,632964,663366,680777,593934,593871,650333,592743,663616,595909,596146,55.02,0.734,1.478,0.0,1.0,0.0,0.0,6.0,15,4,4-Seam Fastball,0,4,4,0,4,0,4,0,Standard,Standard,200,0.008,-0.621,,
