pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
SL,2021-08-13,84.0,-1.51,5.86,"Farmer, Buck",640458,571656,force_out,hit_into_play,,,,,4,"Oscar Mercado grounds into a force out, shortstop Harold Castro to second baseman Jonathan Schoop.   Bradley Zimmer out at 2nd.",R,R,R,DET,CLE,X,6.0,ground_ball,2,2,2021,0.21,0.17,-0.31,2.6,664702.0,608070.0,605548.0,2,9,Top,97.3,127.06,,,606992,,,2.3555813933233822,-122.46517225464936,-1.5733780703016305,1.6984828118171815,22.29232387091089,-30.317225873418018,3.47,1.59,124.0,97.7,5.0,84.1,2658.0,6.1,632920,571656,606992,600524,570731,600869,605612,615699,622682,543257,54.42,0.534,0.512,0.0,1.0,0.0,0.0,4.0,71,6,Slider,2,7,7,2,7,2,7,2,Standard,Standard,123.0,0.002,-0.623,,
CH,2021-08-13,88.3,-1.67,5.89,"Farmer, Buck",640458,571656,,ball,,,,,13,"Oscar Mercado grounds into a force out, shortstop Harold Castro to second baseman Jonathan Schoop.   Bradley Zimmer out at 2nd.",R,R,R,DET,CLE,B,,,1,2,2021,-1.5,0.35,-2.01,2.1,664702.0,608070.0,605548.0,2,9,Top,,,,,606992,,,2.2897538343667905,-128.59542511146023,-3.858263967089516,-17.17761231073029,26.61759816114732,-27.726329095073996,3.47,1.65,,,,87.6,1709.0,5.8,632920,571656,606992,600524,570731,600869,605612,615699,622682,543257,54.68,,,,,,,,71,5,Changeup,2,7,7,2,7,2,7,2,Standard,Standard,250.0,0.0,0.087,,
SL,2021-08-13,84.3,-1.57,5.9,"Farmer, Buck",640458,571656,,foul,,,,,14,"Oscar Mercado grounds into a force out, shortstop Harold Castro to second baseman Jonathan Schoop.   Bradley Zimmer out at 2nd.",R,R,R,DET,CLE,S,,,1,2,2021,0.04,0.2,1.1,2.44,664702.0,608070.0,605548.0,2,9,Top,,,,,606992,,,6.076079224997484,-122.72893631018135,-2.115264425036933,-0.7319518594338891,22.481073943737595,-29.94935337494428,3.47,1.59,7.0,68.4,-18.0,83.9,2608.0,5.8,632920,571656,606992,600524,570731,600869,605612,615699,622682,543257,54.68,,,,,,,,71,4,Slider,2,7,7,2,7,2,7,2,Standard,Standard,89.0,0.0,0.0,,
FF,2021-08-13,94.5,-1.24,6.0,"Farmer, Buck",640458,571656,,foul,,,,,2,"Oscar Mercado grounds into a force out, shortstop Harold Castro to second baseman Jonathan Schoop.   Bradley Zimmer out at 2nd.",R,R,R,DET,CLE,S,,,1,1,2021,-1.07,1.47,0.04,3.25,664702.0,608070.0,605548.0,2,9,Top,,,,,606992,,,5.6840424401133935,-137.38100451548857,-4.704372186723592,-14.8435610437072,31.945734336108742,-12.75174415880386,3.47,1.59,154.0,74.7,73.0,93.8,2362.0,6.0,632920,571656,606992,600524,570731,600869,605612,615699,622682,543257,54.46,,,,,,,,71,3,4-Seam Fastball,2,7,7,2,7,2,7,2,Standard,Standard,222.0,0.0,-0.205,,
CH,2021-08-13,88.1,-1.68,5.91,"Farmer, Buck",640458,571656,,called_strike,,,,,9,"Oscar Mercado grounds into a force out, shortstop Harold Castro to second baseman Jonathan Schoop.   Bradley Zimmer out at 2nd.",R,R,R,DET,CLE,S,,,1,0,2021,-1.48,0.11,0.5,2.04,664702.0,608070.0,605548.0,2,9,Top,,,,,606992,,,8.31908939354488,-128.03032827743974,-3.492719787991326,-18.03658181257233,26.2327703243796,-30.477806827202127,3.54,1.63,,,,87.4,1867.0,5.9,632920,571656,606992,600524,570731,600869,605612,615699,622682,543257,54.59,,,,,,,,71,2,Changeup,2,7,7,2,7,2,7,2,Standard,Standard,243.0,0.0,-0.152,,
SL,2021-08-13,84.2,-1.44,5.87,"Farmer, Buck",640458,571656,,ball,,,,,14,"Oscar Mercado grounds into a force out, shortstop Harold Castro to second baseman Jonathan Schoop.   Bradley Zimmer out at 2nd.",R,R,R,DET,CLE,B,,,0,0,2021,0.07,0.24,0.51,1.25,664702.0,608070.0,605548.0,2,9,Top,,,,,606992,,,4.362281360323853,-122.4813755303079,-4.799606170611747,-0.1322452220190351,24.386687397930583,-29.05072250800642,3.57,1.66,,,,83.8,2671.0,6.0,632920,571656,606992,600524,570731,600869,605612,615699,622682,543257,54.45,,,,,,,,71,1,Slider,2,7,7,2,7,2,7,2,Standard,Standard,216.0,0.0,0.082,,
FF,2021-08-13,94.6,-1.3,6.01,"Farmer, Buck",605548,571656,walk,ball,,,,,11,Bradley Zimmer walks.   Myles Straw to 3rd.    Jose Ramirez to 2nd.,R,L,R,DET,CLE,B,,,3,2,2021,-1.14,1.46,-0.91,2.94,,664702.0,608070.0,2,9,Top,,,,,606992,,,3.513211065129227,-137.60388809939306,-5.470068033660804,-15.203948399168162,34.059441207097755,-12.619839751157343,3.38,1.64,,,,93.5,2411.0,5.9,632920,571656,606992,600524,570731,600869,605612,615699,622682,543257,54.6,,0.691717,0.7,1.0,0.0,0.0,,70,6,4-Seam Fastball,2,7,7,2,7,2,7,2,Standard,Standard,226.0,-0.001,0.307,,
CH,2021-08-13,88.3,-1.55,5.88,"Farmer, Buck",605548,571656,,called_strike,,,,,8,Bradley Zimmer walks.   Myles Straw to 3rd.    Jose Ramirez to 2nd.,R,L,R,DET,CLE,S,,,3,1,2021,-1.45,-0.18,0.04,1.71,,664702.0,608070.0,2,9,Top,,,,,606992,,,6.836009924130795,-128.35180313971773,-3.597794587598952,-17.435227724353577,28.275868746965298,-33.59039443601392,3.17,1.53,,,,87.3,1777.0,5.8,632920,571656,606992,600524,570731,600869,605612,615699,622682,543257,54.65,,,,,,,,70,5,Changeup,2,7,7,2,7,2,7,2,Standard,Standard,250.0,0.0,-0.137,,
FF,2021-08-13,94.6,-1.31,6.04,"Farmer, Buck",605548,571656,,ball,,,,,11,Bradley Zimmer walks.   Myles Straw to 3rd.    Jose Ramirez to 2nd.,R,L,R,DET,CLE,B,,,2,1,2021,-1.1,1.52,-0.74,4.17,,664702.0,608070.0,2,9,Top,,,,,606992,,,3.879464221511134,-137.62109018701133,-2.503260771032421,-14.773779579154697,33.92025697798006,-12.640809900890284,3.39,1.69,,,,93.4,2364.0,5.8,632920,571656,606992,600524,570731,600869,605612,615699,622682,543257,54.65,,,,,,,,70,4,4-Seam Fastball,2,7,7,2,7,2,7,2,Standard,Standard,227.0,0.0,0.136,,
CH,2021-08-13,88.9,-1.6,5.84,"Farmer, Buck",605548,571656,,ball,,,,,13,Bradley Zimmer walks.   Myles Straw to 3rd.    Jose Ramirez to 2nd.,R,L,R,DET,CLE,B,,,1,1,2021,-1.31,0.68,-0.58,1.16,,664702.0,608070.0,2,9,Top,,,,,606992,,,5.18211355350588,-129.30112933579173,-6.807239854383572,-15.749015085829472,26.08478571012114,-23.385654732498327,3.39,1.66,,,,88.3,1607.0,5.9,632920,571656,606992,600524,570731,600869,605612,615699,622682,543257,54.63,,,,,,,,70,3,Changeup,2,7,7,2,7,2,7,2,Standard,Standard,246.0,0.0,0.094,,
