pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
FF,2021-09-29,95.3,-1.63,5.65,"Mize, Casey",595909,663554,strikeout,swinging_strike,,,,,9,Jake Cave strikes out swinging.,R,L,R,MIN,DET,S,2.0,,2,2,2021,-0.87,1.11,0.43,1.78,,,,2,4,Bot,,,,,606992,,,7.456944426319707,-138.5273544106717,-7.104621557481952,-12.863539160474392,30.323536249517083,-16.521677807769635,3.37,1.53,,,,96.7,2231.0,7.1,632300,663554,606992,570731,605612,600869,592348,543257,668731,663662,53.4,,0.0,0.0,1.0,0.0,0.0,,33,5,4-Seam Fastball,3,1,3,1,1,3,3,1,Infield shift,Standard,221.0,-0.007,-0.091,,
FF,2021-09-29,93.9,-1.61,5.65,"Mize, Casey",595909,663554,,foul,,,,,3,Jake Cave strikes out swinging.,R,L,R,MIN,DET,S,,,2,1,2021,-0.53,1.24,0.6,3.17,,,,2,4,Bot,,,,,606992,,,6.985862349302647,-136.58472944789796,-3.506484947351247,-8.142929178480028,28.809149201421345,-15.99964985182686,3.37,1.53,176.0,73.9,59.0,95.1,2076.0,6.9,632300,663554,606992,570731,605612,600869,592348,543257,668731,663662,53.56,,,,,,,,33,4,4-Seam Fastball,3,1,3,1,1,3,3,1,Infield shift,Standard,223.0,0.0,-0.028,,
FF,2021-09-29,94.1,-1.5,5.67,"Mize, Casey",595909,663554,,ball,,,,,12,Jake Cave strikes out swinging.,R,L,R,MIN,DET,B,,,1,1,2021,-0.58,1.16,1.54,2.5,,,,2,4,Bot,,,,,606992,,,9.293145420676618,-136.80321705229193,-5.185533190041863,-9.21729170541712,28.24423363997817,-16.617727217123576,3.32,1.62,,,,95.7,2075.0,7.1,632300,663554,606992,570731,605612,600869,592348,543257,668731,663662,53.4,,,,,,,,33,3,4-Seam Fastball,3,1,3,1,1,3,3,1,Infield shift,Standard,224.0,0.0,0.02,,
FF,2021-09-29,92.8,-1.68,5.64,"Mize, Casey",595909,663554,,swinging_strike,,,,,1,Jake Cave strikes out swinging.,R,L,R,MIN,DET,S,,,1,0,2021,-0.49,1.18,-0.35,3.23,,,,2,4,Bot,,,,,606992,,,4.519615221262233,-135.11146777022373,-3.0476816073223336,-6.944729763639505,26.873664196241368,-17.197078472588796,3.37,1.53,,,,94.0,2074.0,6.7,632300,663554,606992,570731,605612,600869,592348,543257,668731,663662,53.76,,,,,,,,33,2,4-Seam Fastball,3,1,3,1,1,3,3,1,Infield shift,Standard,223.0,0.0,-0.02,,
KC,2021-09-29,79.1,-2.11,5.47,"Mize, Casey",595909,663554,,ball,,,,,11,Jake Cave strikes out swinging.,R,L,R,MIN,DET,B,,,0,0,2021,0.99,-0.64,-0.51,3.79,,,,2,4,Bot,,,,,606992,,,1.663550598439124,-115.03861298055136,4.385484381495211,8.537307574735774,21.108618951945257,-38.92010660533466,3.32,1.59,,,,79.8,2111.0,6.8,632300,663554,606992,570731,605612,600869,592348,543257,668731,663662,53.7,,,,,,,,33,1,Knuckle Curve,3,1,3,1,1,3,3,1,Infield shift,Standard,52.0,0.0,0.016,,
FF,2021-09-29,93.6,-1.6,5.73,"Mize, Casey",624503,663554,field_out,hit_into_play,,,,,1,Nick Gordon flies out to left fielder Robbie Grossman.,R,L,R,MIN,DET,X,7.0,fly_ball,2,2,2021,-0.85,1.14,-0.39,2.93,,,,1,4,Bot,43.77,104.54,,,606992,,,5.043982731613244,-136.30818341913798,-4.097822420492523,-11.639151511195534,27.897514084969533,-17.1895339502475,3.37,1.53,309.0,90.8,42.0,94.9,2137.0,6.9,632300,663554,606992,570731,605612,600869,592348,543257,668731,663662,53.63,0.003,0.003,0.0,1.0,0.0,0.0,3.0,32,5,4-Seam Fastball,3,1,3,1,1,3,3,1,Infield shift,Standard,222.0,-0.011,-0.142,,
FF,2021-09-29,93.3,-1.6,5.53,"Mize, Casey",624503,663554,,foul,,,,,3,Nick Gordon flies out to left fielder Robbie Grossman.,R,L,R,MIN,DET,S,,,2,1,2021,-0.88,1.24,0.44,3.01,,,,1,4,Bot,,,,,606992,,,7.27110264598125,-135.717402504731,-3.5164376658705,-12.492104050330598,28.460062413597456,-16.186565177043395,3.37,1.53,173.0,64.1,36.0,94.6,2061.0,7.0,632300,663554,606992,570731,605612,600869,592348,543257,668731,663662,53.52,,,,,,,,32,4,4-Seam Fastball,3,1,3,1,1,3,3,1,Infield shift,Standard,224.0,0.0,-0.053,,
FF,2021-09-29,92.4,-1.89,5.47,"Mize, Casey",624503,663554,,foul,,,,,7,Nick Gordon flies out to left fielder Robbie Grossman.,R,L,R,MIN,DET,S,,,2,0,2021,-0.97,0.99,-0.49,2.1,,,,1,4,Bot,,,,,606992,,,5.779219318802652,-134.48752951422935,-5.000695704679263,-13.011662981312012,28.29299367642428,-19.22756432907557,3.37,1.53,227.0,72.6,33.0,93.8,2044.0,7.1,632300,663554,606992,570731,605612,600869,592348,543257,668731,663662,53.44,,,,,,,,32,3,4-Seam Fastball,3,1,3,1,1,3,3,1,Infield shift,Standard,225.0,0.0,-0.044,,
FS,2021-09-29,84.9,-2.02,5.44,"Mize, Casey",624503,663554,,ball,,,,,11,Nick Gordon flies out to left fielder Robbie Grossman.,R,L,R,MIN,DET,B,,,1,0,2021,-1.1,-0.15,-1.16,3.65,,,,1,4,Bot,,,,,606992,,,4.219980175944112,-123.54348711754506,2.449158149465024,-12.07072423753876,24.54027036112843,-34.46512301976712,3.42,1.68,,,,85.3,931.0,6.5,632300,663554,606992,570731,605612,600869,592348,543257,668731,663662,53.97,,,,,,,,32,2,Split-Finger,3,1,3,1,1,3,3,1,Infield shift,Standard,254.0,0.0,0.05,,
KC,2021-09-29,80.2,-2.14,5.41,"Mize, Casey",624503,663554,,ball,,,,,14,Nick Gordon flies out to left fielder Robbie Grossman.,R,L,R,MIN,DET,B,,,0,0,2021,0.92,-0.87,0.92,2.36,,,,1,4,Bot,,,,,606992,,,5.061387847606063,-116.60477113090808,1.6779426953821437,7.367213354319422,23.353551134422208,-40.65641733914512,3.45,1.69,,,,80.6,2278.0,6.8,632300,663554,606992,570731,605612,600869,592348,543257,668731,663662,53.71,,,,,,,,32,1,Knuckle Curve,3,1,3,1,1,3,3,1,Infield shift,Standard,57.0,0.0,0.026,,
SL,2021-09-29,84.7,-2.17,5.35,"Mize, Casey",593934,663554,field_out,hit_into_play,,,,,6,Miguel Sano lines out to left fielder Robbie Grossman.,R,R,R,MIN,DET,X,7.0,line_drive,1,0,2021,0.34,0.05,0.49,2.87,,,,0,4,Bot,56.95,100.26,,,606992,,,5.581623232511544,-123.31441251315132,0.3857478290447027,2.54350553653851,21.407706322453155,-31.889664627774625,3.55,1.63,298.0,93.5,21.0,86.0,2135.0,6.8,632300,663554,606992,570731,605612,600869,592348,543257,668731,663662,53.66,0.226,0.248,0.0,1.0,0.0,0.0,3.0,31,2,Slider,3,1,3,1,1,3,3,1,Infield shift,Standard,137.0,-0.014,-0.28,,
SL,2021-09-29,84.3,-2.07,5.34,"Mize, Casey",593934,663554,,ball,,,,,14,Miguel Sano lines out to left fielder Robbie Grossman.,R,R,R,MIN,DET,B,,,0,0,2021,0.35,-0.08,2.16,1.2,,,,0,4,Bot,,,,,606992,,,9.209404462695694,-122.52953506941932,-3.152286028199184,1.9043058656239915,21.417998048076363,-32.574956435344795,3.55,1.79,,,,85.4,2121.0,6.8,632300,663554,606992,570731,605612,600869,592348,543257,668731,663662,53.69,,,,,,,,31,1,Slider,3,1,3,1,1,3,3,1,Infield shift,Standard,112.0,0.0,0.038,,
KC,2021-09-29,81.0,-2.03,5.45,"Mize, Casey",596146,663554,field_out,hit_into_play,,,,,7,"Max Kepler grounds out, shortstop Niko Goodrum to first baseman Jonathan Schoop.",R,L,R,MIN,DET,X,6.0,ground_ball,1,1,2021,0.83,-0.85,-0.52,1.8,,,,2,3,Bot,138.24,145.79,,,606992,,,1.812935002608997,-118.04397148861278,0.1336824669754501,7.423507272689634,22.9586126120467,-40.39580624082887,3.55,1.63,10.0,96.4,-9.0,81.7,2102.0,6.7,632300,663554,606992,570731,605612,600869,592348,543257,668731,663662,53.75,0.206,0.207,0.0,1.0,0.0,0.0,2.0,25,3,Knuckle Curve,3,0,3,0,0,3,3,0,Infield shift,Standard,54.0,-0.005,-0.099,,
FF,2021-09-29,93.8,-1.69,5.65,"Mize, Casey",596146,663554,,foul,,,,,5,"Max Kepler grounds out, shortstop Niko Goodrum to first baseman Jonathan Schoop.",R,L,R,MIN,DET,S,,,1,0,2021,-0.81,1.31,0.27,2.24,,,,2,3,Bot,,,,,606992,,,6.922051437254786,-136.38946368462987,-6.064506785258391,-11.555112602489157,29.210395351355768,-14.664380119523267,3.55,1.63,177.0,66.4,54.0,94.9,2243.0,6.9,632300,663554,606992,570731,605612,600869,592348,543257,668731,663662,53.56,,,,,,,,25,2,4-Seam Fastball,3,0,3,0,0,3,3,0,Infield shift,Standard,223.0,0.0,-0.02,,
