pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
SL,2021-10-03,84.9,1.78,5.99,"Norris, Daniel",641355,596057,field_out,hit_into_play,,,,,8.0,"Cody Bellinger grounds out, second baseman Jace Peterson to first baseman Rowdy Tellez.",R,L,L,LAD,MIL,X,4.0,ground_ball,1,0,2021,-0.3,-0.23,-0.16,1.55,,,666158.0,2,8,Bot,138.05,175.8,,,444489,,,-3.892644969627464,-123.66587402309104,-3.6213238943097448,-2.3102025691531973,23.91139168781637,-34.03037550787639,3.55,1.63,33.0,74.3,0.0,84.0,2638.0,5.6,632242,596057,444489,642133,607054,649966,642715,621438,598265,541645,54.9,0.143,0.15,0.0,1.0,0.0,0.0,2.0,73,2,Slider,10,3,10,3,3,10,10,3,Infield shift,Standard,294.0,0.0,-0.263,,
FF,2021-10-03,90.8,1.81,5.9,"Norris, Daniel",641355,596057,,ball,,,,,12.0,"Cody Bellinger grounds out, second baseman Jace Peterson to first baseman Rowdy Tellez.",R,L,L,LAD,MIL,B,,,0,0,2021,0.51,1.25,0.9,3.55,,,666158.0,2,8,Bot,,,,,444489,,,-3.339506869618793,-132.2584746034589,-2.674793035036826,6.7166840332646185,26.314440410111068,-17.03997863326601,3.52,1.49,,,,90.3,2199.0,5.8,632242,596057,444489,642133,607054,649966,642715,621438,598265,541645,54.73,,,,,,,,73,1,4-Seam Fastball,10,3,10,3,3,10,10,3,Infield shift,Standard,148.0,0.0,0.036,,
FF,2021-10-03,91.6,1.93,6.01,"Norris, Daniel",666158,596057,walk,ball,,,,,14.0,Gavin Lux walks.,R,L,L,LAD,MIL,B,,,3,2,2021,0.65,1.47,1.14,1.7,,,,2,8,Bot,,,,,444489,,,-3.3560786920135066,-133.14947750366613,-8.082019594736458,8.47907710313238,29.110496059428296,-13.148893578779234,3.27,1.44,,,,90.5,2384.0,5.7,632242,596057,444489,642133,607054,649966,642715,621438,598265,541645,54.79,,0.691717,0.7,1.0,0.0,0.0,,72,6,4-Seam Fastball,10,3,10,3,3,10,10,3,Standard,Standard,139.0,0.0,0.093,,
CH,2021-10-03,84.5,2.17,5.89,"Norris, Daniel",666158,596057,,ball,,,,,14.0,Gavin Lux walks.,R,L,L,LAD,MIL,B,,,2,2,2021,0.77,-0.64,0.86,1.31,,,,2,8,Bot,,,,,444489,,,-4.528188310691224,-123.0088209260146,-2.987240383862538,8.776335104757992,25.787691010387217,-38.221031322128326,3.14,1.34,,,,83.1,1371.0,5.4,632242,596057,444489,642133,607054,649966,642715,621438,598265,541645,55.07,,,,,,,,72,5,Changeup,10,3,10,3,3,10,10,3,Standard,Standard,97.0,0.0,0.043,,
FF,2021-10-03,92.6,1.68,6.02,"Norris, Daniel",666158,596057,,called_strike,,,,,1.0,Gavin Lux walks.,R,L,L,LAD,MIL,S,,,2,1,2021,0.43,1.43,-0.51,3.08,,,,2,8,Bot,,,,,444489,,,-6.451772827328972,-134.7116662254617,-4.78953280602619,6.526495803762658,27.41364021763283,-13.921540270545554,3.3,1.39,,,,91.8,2513.0,5.7,632242,596057,444489,642133,607054,649966,642715,621438,598265,541645,54.79,,,,,,,,72,4,4-Seam Fastball,10,3,10,3,3,10,10,3,Standard,Standard,149.0,0.0,-0.028,,
SL,2021-10-03,84.5,1.9,5.9,"Norris, Daniel",666158,596057,,ball,,,,,7.0,Gavin Lux walks.,R,L,L,LAD,MIL,B,,,1,1,2021,-0.44,0.0,-0.35,1.47,,,,2,8,Bot,,,,,444489,,,-4.287922769312292,-123.0082705921786,-3.970729949815477,-3.715160712026989,22.92444775428981,-31.6076563841978,3.28,1.58,,,,83.6,2714.0,5.6,632242,596057,444489,642133,607054,649966,642715,621438,598265,541645,54.95,,,,,,,,72,3,Slider,10,3,10,3,3,10,10,3,Standard,Standard,273.0,0.0,0.02,,
FF,2021-10-03,90.5,1.85,5.84,"Norris, Daniel",666158,596057,,foul,,,,,3.0,Gavin Lux walks.,R,L,L,LAD,MIL,S,,,1,0,2021,0.7,1.31,0.79,3.28,,,,2,8,Bot,,,,,444489,,,-4.116470154864733,-131.87769750062265,-3.2828203667730147,9.037444886562858,25.39178440002273,-16.29948709960363,3.47,1.59,21.0,90.8,-8.0,90.1,2275.0,5.8,632242,596057,444489,642133,607054,649966,642715,621438,598265,541645,54.72,,,,,,,,72,2,4-Seam Fastball,10,3,10,3,3,10,10,3,Standard,Standard,146.0,0.0,-0.02,,
SL,2021-10-03,84.7,1.72,6.04,"Norris, Daniel",666158,596057,,ball,,,,,13.0,Gavin Lux walks.,R,L,L,LAD,MIL,B,,,0,0,2021,-0.41,-0.22,-0.94,0.92,,,,2,8,Bot,,,,,444489,,,-5.304533799767468,-123.2250139502862,-5.107943861217906,-3.0730009190140763,24.69247483738101,-33.59698518903839,3.3,1.45,,,,83.5,2620.0,5.5,632242,596057,444489,642133,607054,649966,642715,621438,598265,541645,54.96,,,,,,,,72,1,Slider,10,3,10,3,3,10,10,3,Standard,Standard,286.0,0.0,0.016,,
FF,2021-10-03,92.4,2.04,5.72,"Norris, Daniel",656578,596057,field_out,hit_into_play,,,,,8.0,"Andre Jackson grounds out, third baseman Luis Urias to first baseman Rowdy Tellez.",R,R,L,LAD,MIL,X,5.0,ground_ball,0,2,2021,0.55,1.2,-0.11,1.82,,,,1,8,Bot,102.66,164.54,,,444489,,,-6.580637158041907,-134.45562140665922,-6.746657392849709,7.941181370963146,24.957025089705084,-16.309248609681546,3.49,1.6,2.0,80.4,-36.0,91.9,2308.0,5.7,632242,596057,444489,642133,607054,649966,642715,621438,598265,541645,54.84,0.071,0.067,0.0,1.0,0.0,0.0,2.0,71,3,4-Seam Fastball,10,3,10,3,3,10,10,3,Standard,Standard,137.0,0.0,-0.101,,
FF,2021-10-03,90.3,2.15,5.68,"Norris, Daniel",656578,596057,,swinging_strike,,,,,8.0,"Andre Jackson grounds out, third baseman Luis Urias to first baseman Rowdy Tellez.",R,R,L,LAD,MIL,S,,,0,1,2021,0.73,1.25,-0.26,1.61,,,,1,8,Bot,,,,,444489,,,-7.473665809664202,-131.33172482119426,-6.8832431177271625,9.85167184913213,23.51755124861717,-16.387904685271714,3.49,1.6,,,,90.1,2307.0,5.8,632242,596057,444489,642133,607054,649966,642715,621438,598265,541645,54.67,,,,,,,,71,2,4-Seam Fastball,10,3,10,3,3,10,10,3,Standard,Standard,138.0,0.0,-0.035,,
FF,2021-10-03,89.5,2.14,5.77,"Norris, Daniel",656578,596057,,called_strike,,,,,9.0,"Andre Jackson grounds out, third baseman Luis Urias to first baseman Rowdy Tellez.",R,R,L,LAD,MIL,S,,,0,0,2021,0.93,1.23,0.53,1.72,,,,1,8,Bot,,,,,444489,,,-5.8613896891715225,-130.16889696971182,-6.60492107924064,11.691585324755392,23.665551426357325,-16.996986107754342,3.73,1.78,,,,89.1,2211.0,5.8,632242,596057,444489,642133,607054,649966,642715,621438,598265,541645,54.73,,,,,,,,71,1,4-Seam Fastball,10,3,10,3,3,10,10,3,Standard,Standard,138.0,0.0,-0.027,,
