pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
CH,2021-09-16,83.7,-1.85,5.19,"Carlton, Drew",640457,656290,field_out,hit_into_play,,,,,13,Austin Meadows flies out to left fielder Eric Haase.,R,L,R,TB,DET,X,7.0,fly_ball,1,1,2021,-1.63,0.64,-0.89,2.06,595281.0,650490.0,622534.0,2,6,Bot,85.18,105.95,,,572863,,,5.354672521189589,-121.6782662057411,-1.96522737194931,-17.196507880083118,26.83441890792639,-25.701434599054583,3.49,1.6,254.0,75.9,37.0,82.4,1926,5.7,632474,656290,572863,570731,650489,600869,592348,606992,656537,543257,54.76,0.131,0.125,0.0,1.0,0.0,0.0,3.0,53,3,Changeup,5,1,5,1,1,5,5,1,Strategic,Standard,260,-0.012,-0.735,,
CH,2021-09-16,84.1,-1.8,5.13,"Carlton, Drew",640457,656290,,swinging_strike,,,,,13,Austin Meadows flies out to left fielder Eric Haase.,R,L,R,TB,DET,S,,,1,0,2021,-1.66,0.44,-0.35,0.83,595281.0,650490.0,622534.0,2,6,Bot,,,,,572863,,,6.585179241397647,-122.24068068472324,-4.340869053859666,-17.93167546632354,26.78147630788372,-27.02892035102,3.49,1.6,,,,82.9,1967,5.8,632474,656290,572863,570731,650489,600869,592348,606992,656537,543257,54.68,,,,,,,,53,2,Changeup,5,1,5,1,1,5,5,1,Strategic,Standard,260,0.0,-0.152,,
FF,2021-09-16,89.4,-1.74,5.22,"Carlton, Drew",640457,656290,,ball,,,,,13,Austin Meadows flies out to left fielder Eric Haase.,R,L,R,TB,DET,B,,,0,0,2021,-1.31,0.97,-1.17,2.03,595281.0,650490.0,622534.0,2,6,Bot,,,,,572863,,,4.146011376325101,-130.05970482136888,-3.810845860281305,-15.75784781604948,29.864515105727136,-20.60403485894316,3.39,1.6,,,,88.3,1993,5.8,632474,656290,572863,570731,650489,600869,592348,606992,656537,543257,54.68,,,,,,,,53,1,4-Seam Fastball,5,1,5,1,1,5,5,1,Strategic,Standard,235,0.0,0.082,,
FF,2021-09-16,90.1,-1.94,5.2,"Carlton, Drew",622534,656290,walk,ball,,,,,13,Manuel Margot walks.   Kevin Kiermaier to 3rd.    Yandy Diaz to 2nd.,R,R,R,TB,DET,B,,,3,2,2021,-1.23,1.12,-1.29,1.95,,595281.0,650490.0,2,6,Bot,,,,,572863,,,4.176461669670148,-131.0034913966522,-4.402957927946322,-15.03154902754853,30.00425556485389,-18.55653695931575,3.46,1.64,,,,89.0,1968,5.8,632474,656290,572863,570731,650489,600869,592348,606992,656537,543257,54.67,,0.691717,0.7,1.0,0.0,0.0,,52,6,4-Seam Fastball,5,1,5,1,1,5,5,1,Standard,Standard,236,0.004,0.307,,
FF,2021-09-16,89.5,-1.81,5.22,"Carlton, Drew",622534,656290,,foul,,,,,6,Manuel Margot walks.   Kevin Kiermaier to 3rd.    Yandy Diaz to 2nd.,R,R,R,TB,DET,S,,,3,1,2021,-1.21,1.27,0.64,2.58,,595281.0,650490.0,2,6,Bot,,,,,572863,,,8.498979293616252,-130.04542986917423,-3.1180995301712597,-15.5201710479265,29.251866622938355,-17.38721635199542,3.32,1.51,195.0,70.2,25.0,88.4,2063,5.9,632474,656290,572863,570731,650489,600869,592348,606992,656537,543257,54.63,,,,,,,,52,5,4-Seam Fastball,5,1,5,1,1,5,5,1,Standard,Standard,243,0.0,-0.137,,
FF,2021-09-16,90.1,-1.82,5.16,"Carlton, Drew",622534,656290,,ball,,,,,14,Manuel Margot walks.   Kevin Kiermaier to 3rd.    Yandy Diaz to 2nd.,R,R,R,TB,DET,B,,,2,1,2021,-1.36,1.04,0.89,1.42,,595281.0,650490.0,2,6,Bot,,,,,572863,,,9.54799996295606,-130.77433873348485,-5.4424425053797,-17.710355605819892,29.22160996686545,-19.231031588187136,3.42,1.61,,,,89.1,2112,6.0,632474,656290,572863,570731,650489,600869,592348,606992,656537,543257,54.55,,,,,,,,52,4,4-Seam Fastball,5,1,5,1,1,5,5,1,Standard,Standard,244,0.0,0.136,,
FF,2021-09-16,89.7,-1.83,5.1,"Carlton, Drew",622534,656290,,ball,,,,,14,Manuel Margot walks.   Kevin Kiermaier to 3rd.    Yandy Diaz to 2nd.,R,R,R,TB,DET,B,,,1,1,2021,-1.38,1.11,1.38,2.12,,595281.0,650490.0,2,6,Bot,,,,,572863,,,10.684134129127676,-130.1888713027182,-3.6054364945883863,-17.960296027394307,29.22443635953837,-19.01282000773438,3.42,1.7,,,,88.3,2055,5.7,632474,656290,572863,570731,650489,600869,592348,606992,656537,543257,54.76,,,,,,,,52,3,4-Seam Fastball,5,1,5,1,1,5,5,1,Standard,Standard,242,0.0,0.094,,
SL,2021-09-16,80.1,-1.93,5.05,"Carlton, Drew",622534,656290,,blocked_ball,,,,,14,Manuel Margot walks.   Kevin Kiermaier to 3rd.    Yandy Diaz to 2nd.,R,R,R,TB,DET,B,,,0,1,2021,0.45,0.47,1.5,0.7,,595281.0,650490.0,2,6,Bot,,,,,572863,,,6.681312679955231,-116.52244229181652,-3.806166752040402,2.9612474555570807,20.880873566712328,-27.36048993173826,3.43,1.64,,,,79.7,2336,6.0,632474,656290,572863,570731,650489,600869,592348,606992,656537,543257,54.54,,,,,,,,52,2,Slider,5,1,5,1,1,5,5,1,Standard,Standard,77,0.0,0.054,,
FF,2021-09-16,89.5,-1.87,5.12,"Carlton, Drew",622534,656290,,called_strike,,,,,4,Manuel Margot walks.   Kevin Kiermaier to 3rd.    Yandy Diaz to 2nd.,R,R,R,TB,DET,S,,,0,0,2021,-1.25,1.27,-0.56,2.49,,595281.0,650490.0,2,6,Bot,,,,,572863,,,5.793706569659713,-130.29961706094602,-3.1369895241308354,-15.40802947620129,27.29946274208736,-17.279590334417268,3.53,1.68,,,,88.8,2132,5.8,632474,656290,572863,570731,650489,600869,592348,606992,656537,543257,54.71,,,,,,,,52,1,4-Seam Fastball,5,1,5,1,1,5,5,1,Standard,Standard,239,0.0,-0.074,,
FF,2021-09-16,89.7,-1.82,5.16,"Carlton, Drew",650490,656290,walk,ball,,,,,11,Yandy Diaz walks.   Kevin Kiermaier to 2nd.,R,R,R,TB,DET,B,,,3,1,2021,-1.07,1.12,-0.92,3.4,,,595281.0,2,6,Bot,,,,,572863,,,4.446658889279374,-130.623741379121,-0.7613615371098793,-13.206544317023804,27.66216867652193,-19.40072262871373,3.42,1.59,,,,89.1,1913,5.9,632474,656290,572863,570731,650489,600869,592348,606992,656537,543257,54.63,,0.691717,0.7,1.0,0.0,0.0,,51,5,4-Seam Fastball,5,1,5,1,1,5,5,1,Standard,Strategic,242,0.004,0.122,,
