pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
CH,2021-08-24,86.8,-2.29,5.16,"Ramírez, Erasmo",666185,541640,hit_by_pitch,hit_by_pitch,,,,,14,Dylan Carlson hit by pitch.,R,L,R,STL,DET,B,,,0,0,2021,-1.09,0.75,2.03,0.11,,624641.0,,2,8,Bot,,,,,606988,,,12.580100017969606,-125.75186314398492,-7.4741063492164574,-13.993421041826334,23.30040602736501,-22.7806984910766,3.47,1.59,,,,87.2,1895,6.6,632781,541640,606988,570731,605612,600869,670097,668731,656537,543257,53.91,,0.721932,0.7,1.0,0.0,0.0,,66,1,Changeup,1,4,1,4,4,1,1,4,Standard,Standard,224,0.021,0.135,,
FC,2021-08-24,89.6,-2.24,5.24,"Ramírez, Erasmo",502671,541640,field_out,hit_into_play,,,,,6,"Paul Goldschmidt grounds out, third baseman Jeimer Candelario to first baseman Jonathan Schoop.",R,R,R,STL,DET,X,5.0,ground_ball,3,1,2021,0.28,1.04,0.78,2.36,,624641.0,,1,8,Bot,98.13,158.19,,,606988,,,6.916457120057522,-130.403342215048,-3.3938448736093227,1.876155180317561,24.95943434270655,-19.700887929833947,3.49,1.6,84.0,75.1,8.0,90.3,2379,6.5,632781,541640,606988,570731,605612,600869,670097,668731,656537,543257,54.0,0.26,0.251,0.0,1.0,0.0,0.0,2.0,65,5,Cutter,1,4,1,4,4,1,1,4,Standard,Standard,203,-0.036,-0.41,,
FC,2021-08-24,89.5,-2.42,5.24,"Ramírez, Erasmo",502671,541640,,ball,,,,,14,"Paul Goldschmidt grounds out, third baseman Jeimer Candelario to first baseman Jonathan Schoop.",R,R,R,STL,DET,B,,,2,1,2021,0.27,0.87,1.26,1.9,,624641.0,,1,8,Bot,,,,,606988,,,8.513989582929511,-130.15837910153053,-4.128032833132526,1.5896311709547015,23.783752958789385,-21.611543346920065,3.5,1.69,,,,90.1,2405,6.4,632781,541640,606988,570731,605612,600869,670097,668731,656537,543257,54.07,,,,,,,,65,4,Cutter,1,4,1,4,4,1,1,4,Standard,Standard,186,0.0,0.061,,
SI,2021-08-24,91.9,-2.32,5.15,"Ramírez, Erasmo",502671,541640,,called_strike,,,,,14,"Paul Goldschmidt grounds out, third baseman Jeimer Candelario to first baseman Jonathan Schoop.",R,R,R,STL,DET,S,,,2,0,2021,-1.16,0.32,0.86,2.07,,624641.0,,1,8,Bot,,,,,606988,,,10.580889101661231,-133.48236661517416,-2.682394596063743,-16.097683747325508,26.561260060336647,-27.985381362268296,3.36,1.66,,,,92.2,2182,6.4,632781,541640,606988,570731,605612,600869,670097,668731,656537,543257,54.08,,,,,,,,65,3,Sinker,1,4,1,4,4,1,1,4,Standard,Standard,226,0.0,-0.045,,
FC,2021-08-24,89.9,-2.38,5.24,"Ramírez, Erasmo",502671,541640,,ball,,,,,14,"Paul Goldschmidt grounds out, third baseman Jeimer Candelario to first baseman Jonathan Schoop.",R,R,R,STL,DET,B,,,1,0,2021,0.17,0.91,1.46,1.43,,624641.0,,1,8,Bot,,,,,606988,,,9.188949288180565,-130.65504529528727,-5.455785332106161,0.177548461457651,24.923000836747192,-20.78311913884559,3.57,1.69,,,,90.5,2364,6.5,632781,541640,606988,570731,605612,600869,670097,668731,656537,543257,53.99,,,,,,,,65,2,Cutter,1,4,1,4,4,1,1,4,Infield shade,Standard,197,0.0,0.049,,
FF,2021-08-24,91.6,-2.18,5.27,"Ramírez, Erasmo",502671,541640,,ball,,,,,9,"Paul Goldschmidt grounds out, third baseman Jeimer Candelario to first baseman Jonathan Schoop.",R,R,R,STL,DET,B,,,0,0,2021,-0.96,0.95,0.49,1.96,,624641.0,,1,8,Bot,,,,,606988,,,8.826124866654599,-133.09187764632824,-4.52770497244803,-13.30742848949002,28.68043491981204,-20.07948692736576,3.37,1.64,,,,91.6,2086,6.4,632781,541640,606988,570731,605612,600869,670097,668731,656537,543257,54.1,,,,,,,,65,1,4-Seam Fastball,1,4,1,4,4,1,1,4,Standard,Standard,220,0.0,0.032,,
FC,2021-08-24,88.7,-2.29,5.43,"Ramírez, Erasmo",669242,541640,field_out,hit_into_play,,,,,2,"Tommy Edman grounds out, shortstop Zack Short to first baseman Jonathan Schoop.   Harrison Bader scores.    Edmundo Sosa to 2nd.",R,L,R,STL,DET,X,6.0,ground_ball,1,0,2021,0.39,0.56,0.19,3.06,664056.0,,624641.0,0,8,Bot,142.23,144.79,,,606988,,,5.274260747291646,-129.22611886341164,-0.957442508945762,3.416648502761364,24.934440085278474,-25.850279028826243,3.3,1.5,124.0,89.3,9.0,89.2,2346,6.4,632781,541640,606988,570731,605612,600869,670097,668731,656537,543257,54.11,0.594,0.566,0.0,1.0,0.0,0.0,4.0,64,2,Cutter,0,4,0,4,4,1,1,4,Infield shift,Standard,187,-0.041,-0.542,,
FC,2021-08-24,87.6,-2.27,5.33,"Ramírez, Erasmo",669242,541640,,blocked_ball,,,,,14,"Tommy Edman grounds out, shortstop Zack Short to first baseman Jonathan Schoop.   Harrison Bader scores.    Edmundo Sosa to 2nd.",R,L,R,STL,DET,B,,,0,0,2021,0.36,0.8,1.56,-0.01,664056.0,,624641.0,0,8,Bot,,,,,606988,,,8.52273790370196,-127.1427642420143,-8.47597558758266,2.367046583323447,23.603548967220195,-21.985418609580048,3.27,1.45,,,,88.3,2291,6.6,632781,541640,606988,570731,605612,600869,670097,668731,656537,543257,53.85,,,,,,,,64,1,Cutter,0,4,0,4,4,0,0,4,Infield shift,Standard,197,0.0,0.026,,
FC,2021-08-24,88.7,-2.09,5.36,"Ramírez, Erasmo",624641,541640,walk,ball,,,,,14,Edmundo Sosa walks.,R,R,R,STL,DET,B,,,3,2,2021,0.54,0.6,0.93,1.38,664056.0,,,0,8,Bot,,,,,606988,,,6.310951675689643,-129.16903013968312,-5.034928344678806,4.908527988368301,23.791933113069216,-24.654879133950327,3.38,1.54,,,,89.6,2334,6.5,632781,541640,606988,570731,605612,600869,670097,668731,656537,543257,53.98,,0.691717,0.7,1.0,0.0,0.0,,63,6,Cutter,0,4,0,4,4,0,0,4,Standard,Standard,198,0.056,0.399,,
FC,2021-08-24,88.8,-2.29,5.23,"Ramírez, Erasmo",624641,541640,,foul,,,,,6,Edmundo Sosa walks.,R,R,R,STL,DET,S,,,3,1,2021,0.34,0.93,0.6,2.45,664056.0,,,0,8,Bot,,,,,606988,,,6.3851402065870735,-129.29378647224493,-2.7741733998305382,2.699828445872225,24.16868070372134,-21.30888016194074,3.37,1.53,159.0,80.7,71.0,89.5,2496,6.5,632781,541640,606988,570731,605612,600869,670097,668731,656537,543257,54.04,,,,,,,,63,5,Cutter,0,4,0,4,4,0,0,4,Standard,Standard,186,0.0,-0.101,,
