pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
FF,2021-10-03,95.1,-2.09,5.85,"Jiménez, Joe",641553,641729,strikeout,swinging_strike,,,,,3,Adam Engel strikes out swinging.,R,R,R,CWS,DET,S,2.0,,0,2,2021,-0.79,1.45,0.42,3.04,,,650391.0,2,8,Bot,,,,,572863,,,8.362260709742664,-138.2381836916399,-4.954310999276633,-12.0059669504101,31.869121278070843,-12.67878409798349,3.47,1.59,,,,95.1,2466,6.4,632252,641729,572863,605612,650489,670623,670097,606992,668731,663662,54.06,,0.0,0.0,1.0,0.0,0.0,,66,3,4-Seam Fastball,2,2,2,2,2,2,2,2,Standard,Standard,215,-0.05,-0.138,,
SL,2021-10-03,83.7,-2.3,5.85,"Jiménez, Joe",641553,641729,,called_strike,,,,,4,Adam Engel strikes out swinging.,R,R,R,CWS,DET,S,,,0,1,2021,0.45,-0.04,-0.63,2.97,,,650391.0,2,8,Bot,,,,,572863,,,2.958716463017367,-121.9051847677962,-0.2205221563559946,3.9797337504750567,22.580716064938954,-32.6946732547091,3.59,1.81,,,,84.1,2156,6.4,632252,641729,572863,605612,650489,670623,670097,606992,668731,663662,54.12,,,,,,,,66,2,Slider,2,2,2,2,2,2,2,2,Standard,Standard,89,0.0,-0.047,,
FF,2021-10-03,94.0,-2.11,5.84,"Jiménez, Joe",641553,641729,,called_strike,,,,,8,Adam Engel strikes out swinging.,R,R,R,CWS,DET,S,,,0,0,2021,-1.06,1.55,0.08,1.94,,,650391.0,2,8,Bot,,,,,572863,,,8.048439583787003,-136.51625245000875,-7.8289298923355135,-14.981106708455174,30.5551461785356,-11.209761418801587,3.59,1.81,,,,94.3,2417,6.6,632252,641729,572863,605612,650489,670623,670097,606992,668731,663662,53.88,,,,,,,,66,1,4-Seam Fastball,2,2,2,2,2,2,2,2,Standard,Standard,210,0.0,-0.042,,
SL,2021-10-03,83.6,-2.37,5.85,"Jiménez, Joe",544725,641729,field_out,hit_into_play,,,,,8,Leury Garcia lines out to center fielder Akil Baddoo.,R,L,R,CWS,DET,X,8.0,line_drive,0,0,2021,0.41,0.18,-0.14,1.74,,,650391.0,1,8,Bot,129.5,51.29,,,572863,,,4.341282224477231,-121.83824748427934,-3.4788936907862977,3.3092874342230907,22.007901150257855,-29.96518811652242,3.26,1.48,365.0,99.1,22.0,84.1,2206,6.4,632252,641729,572863,605612,650489,670623,670097,606992,668731,663662,54.13,0.42,0.552,0.0,1.0,0.0,0.0,5.0,65,1,Slider,2,2,2,2,2,2,2,2,Standard,Standard,110,-0.056,-0.307,,
FF,2021-10-03,94.0,-2.17,5.78,"Jiménez, Joe",650391,641729,walk,ball,,,,,14,Eloy Jimenez walks.,R,R,R,CWS,DET,B,,,3,2,2021,-0.73,1.54,1.0,1.06,,,,1,8,Bot,,,,,572863,,,9.885484284615323,-136.27386723157312,-9.995245605633354,-11.174872984069998,27.89815658035761,-10.969804538867018,3.55,1.72,,,,94.7,2457,6.7,632252,641729,572863,605612,650489,670623,670097,606992,668731,663662,53.76,,0.691717,0.7,1.0,0.0,0.0,,64,6,4-Seam Fastball,2,2,2,2,2,2,2,2,Standard,Standard,215,0.047,0.215,,
SL,2021-10-03,85.5,-2.17,5.77,"Jiménez, Joe",650391,641729,,ball,,,,,14,Eloy Jimenez walks.,R,R,R,CWS,DET,B,,,2,2,2021,0.52,0.1,1.42,1.15,,,,1,8,Bot,,,,,572863,,,7.441359446274607,-124.37131325463088,-4.853347967077204,4.065577664868272,23.26229862462617,-30.366259140252968,3.46,1.76,,,,86.0,2167,6.5,632252,641729,572863,605612,650489,670623,670097,606992,668731,663662,53.99,,,,,,,,64,5,Slider,2,2,2,2,2,2,2,2,Standard,Standard,93,0.0,0.071,,
CH,2021-10-03,89.5,-2.23,5.66,"Jiménez, Joe",650391,641729,,called_strike,,,,,9,Eloy Jimenez walks.,R,R,R,CWS,DET,S,,,2,1,2021,-1.39,0.57,0.3,2.16,,,,1,8,Bot,,,,,572863,,,9.259743366443454,-129.92260497708804,-3.828174622092488,-17.732911773639366,27.48917226181545,-25.11490894619471,3.64,1.76,,,,90.0,2166,6.8,632252,641729,572863,605612,650489,670623,670097,606992,668731,663662,53.73,,,,,,,,64,4,Changeup,2,2,2,2,2,2,2,2,Standard,Standard,225,0.0,-0.053,,
FF,2021-10-03,94.1,-2.18,5.76,"Jiménez, Joe",650391,641729,,ball,,,,,12,Eloy Jimenez walks.,R,R,R,CWS,DET,B,,,1,1,2021,-0.52,1.4,0.89,2.8,,,,1,8,Bot,,,,,572863,,,9.171613292467203,-136.72894794926071,-5.088378421018594,-8.571637390102119,30.800124499026836,-13.59692209141426,3.64,1.79,,,,94.5,2340,6.7,632252,641729,572863,605612,650489,670623,670097,606992,668731,663662,53.84,,,,,,,,64,3,4-Seam Fastball,2,2,2,2,2,2,2,2,Standard,Standard,217,0.0,0.038,,
SL,2021-10-03,82.9,-2.22,5.85,"Jiménez, Joe",650391,641729,,ball,,,,,11,Eloy Jimenez walks.,R,R,R,CWS,DET,B,,,0,1,2021,0.77,-0.05,-1.26,3.75,,,,1,8,Bot,,,,,572863,,,0.6768290386117821,-120.72843302246686,1.7310661409646937,7.477580294863072,22.25498382537661,-33.22827111943928,3.62,1.72,,,,83.1,2134,6.3,632252,641729,572863,605612,650489,670623,670097,606992,668731,663662,54.23,,,,,,,,64,2,Slider,2,2,2,2,2,2,2,2,Standard,Standard,108,0.0,0.021,,
CH,2021-10-03,90.7,-2.34,5.74,"Jiménez, Joe",650391,641729,,swinging_strike,,,,,11,Eloy Jimenez walks.,R,R,R,CWS,DET,S,,,0,0,2021,-1.34,0.7,-1.11,3.33,,,,1,8,Bot,,,,,572863,,,5.984092063209112,-132.0286500762876,-1.589222515645162,-16.8934751570928,28.59769228285388,-23.911199375452,3.55,1.63,,,,91.1,2248,6.6,632252,641729,572863,605612,650489,670623,670097,606992,668731,663662,53.95,,,,,,,,64,1,Changeup,2,2,2,2,2,2,2,2,Standard,Standard,227,0.0,-0.027,,
