pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
SL,2021-10-02,88.1,-1.47,5.85,"Ureña, José",641553,570632,strikeout,swinging_strike,,,,,14,Adam Engel strikes out swinging.,R,R,R,CWS,DET,S,2.0,,0,2,2021,0.01,0.5,1.62,1.27,,,657757.0,1,7,Bot,,,,,606992,,,7.474555267289867,-128.17506219613506,-6.091385118652919,-1.295051479026783,24.17261772542285,-25.65334799618715,3.47,1.59,,,,88.2,2381.0,6.2,632265,570632,606992,408234,670623,600869,605612,543257,668731,663662,54.32,,0.0,0.0,1.0,0.0,0.0,,56,3,Slider,2,4,2,4,4,2,2,4,Standard,Standard,201.0,-0.048,-0.19,,
SL,2021-10-02,85.7,-1.46,5.85,"Ureña, José",641553,570632,,called_strike,,,,,5,Adam Engel strikes out swinging.,R,R,R,CWS,DET,S,,,0,1,2021,0.3,0.33,0.12,2.38,,,657757.0,1,7,Bot,,,,,606992,,,3.149190012331626,-124.90884725986616,-2.656063007361488,2.5068761550646914,24.14436490566273,-28.368423235137456,3.5,1.59,,,,86.0,2353.0,6.3,632265,570632,606992,408234,670623,600869,605612,543257,668731,663662,54.22,,,,,,,,56,2,Slider,2,4,2,4,4,2,2,4,Standard,Standard,179.0,0.0,-0.063,,
SL,2021-10-02,83.6,-1.77,5.91,"Ureña, José",641553,570632,,called_strike,,,,,9,Adam Engel strikes out swinging.,R,R,R,CWS,DET,S,,,0,0,2021,0.27,0.27,0.47,1.96,,,657757.0,1,7,Bot,,,,,606992,,,4.622466969938996,-121.76080090164206,-3.252408912592745,1.8442900419170676,21.96044143223318,-29.106663277092466,3.53,1.59,,,,83.7,2254.0,6.1,632265,570632,606992,408234,670623,600869,605612,543257,668731,663662,54.38,,,,,,,,56,1,Slider,2,4,2,4,4,2,2,4,Standard,Standard,173.0,0.0,-0.048,,
SI,2021-10-02,95.4,-1.77,5.87,"Ureña, José",657757,570632,single,hit_into_play,,,,,8,Gavin Sheets singles on a line drive to right fielder Daz Cameron.   Yoan Moncada scores.,R,L,R,CWS,DET,X,9.0,line_drive,2,1,2021,-1.32,0.41,-0.12,2.0,,660162.0,,1,7,Bot,188.14,117.87,,,606992,,,7.307914070082436,-138.62831753395932,-5.447247787136889,-18.634910520488063,31.953861772243638,-25.81541988647633,3.58,1.68,219.0,79.7,18.0,95.3,2163.0,6.4,632265,570632,606992,408234,670623,600869,605612,543257,668731,663662,54.14,0.963,0.904,0.9,1.0,1.0,0.0,4.0,55,4,Sinker,1,4,1,4,4,2,2,4,Strategic,Standard,218.0,0.082,0.626,,
SI,2021-10-02,95.8,-1.69,5.92,"Ureña, José",657757,570632,,ball,,,,,11,Gavin Sheets singles on a line drive to right fielder Daz Cameron.   Yoan Moncada scores.,R,L,R,CWS,DET,B,,,1,1,2021,-1.44,0.51,-1.89,2.53,,660162.0,,1,7,Bot,,,,,606992,,,2.704658831925755,-139.53365567874732,-4.497070336367008,-19.418376347571197,31.654514396536143,-24.642172322668,3.28,1.68,,,,95.7,2219.0,6.2,632265,570632,606992,408234,670623,600869,605612,543257,668731,663662,54.32,,,,,,,,55,3,Sinker,1,4,1,4,4,1,1,4,Strategic,Standard,223.0,0.0,0.05,,
FF,2021-10-02,95.6,-1.83,5.98,"Ureña, José",657757,570632,,foul,,,,,5,Gavin Sheets singles on a line drive to right fielder Daz Cameron.   Yoan Moncada scores.,R,L,R,CWS,DET,S,,,1,0,2021,-0.58,1.17,-0.1,2.9,,660162.0,,1,7,Bot,,,,,606992,,,5.822497732242447,-139.1453237990452,-5.103973612787209,-8.790028962667515,31.06266841354383,-16.037438991438187,3.58,1.68,90.0,69.2,80.0,95.3,2231.0,6.1,632265,570632,606992,408234,670623,600869,605612,543257,668731,663662,54.42,,,,,,,,55,2,4-Seam Fastball,1,4,1,4,4,1,1,4,Strategic,Standard,217.0,0.0,-0.046,,
CH,2021-10-02,89.2,-1.94,5.86,"Ureña, José",657757,570632,,ball,,,,,13,Gavin Sheets singles on a line drive to right fielder Daz Cameron.   Yoan Moncada scores.,R,L,R,CWS,DET,B,,,0,0,2021,-1.33,0.22,-1.44,2.07,,660162.0,,1,7,Bot,,,,,606992,,,4.005668620676664,-129.79707341536144,-3.73889893724626,-15.862523924203368,28.71993633082748,-29.052758171969707,3.25,1.68,,,,88.9,1607.0,6.2,632265,570632,606992,408234,670623,600869,605612,543257,668731,663662,54.28,,,,,,,,55,1,Changeup,1,4,1,4,4,1,1,4,Strategic,Standard,229.0,0.0,0.032,,
SI,2021-10-02,97.1,-1.73,5.88,"Ureña, José",660162,570632,double,hit_into_play,,,,,8,Yoan Moncada doubles (33) on a ground ball to right fielder Daz Cameron.   Yasmani Grandal scores.,R,L,R,CWS,DET,X,9.0,ground_ball,0,1,2021,-1.18,0.66,0.21,1.57,,518735.0,,1,7,Bot,219.21,104.79,,,606992,,,7.874276919393861,-141.00360806668715,-7.4875284782389855,-17.600024097387557,33.135979037855314,-21.767869128706856,3.47,1.59,15.0,102.2,-6.0,96.8,2257.0,6.3,632265,570632,606992,408234,670623,600869,605612,543257,668731,663662,54.2,0.269,0.295,1.25,1.0,1.0,1.0,2.0,54,2,Sinker,0,4,0,4,4,1,1,4,Strategic,Standard,220.0,0.061,1.013,,
SI,2021-10-02,96.1,-1.81,5.95,"Ureña, José",660162,570632,,called_strike,,,,,4,Yoan Moncada doubles (33) on a ground ball to right fielder Daz Cameron.   Yasmani Grandal scores.,R,L,R,CWS,DET,S,,,0,0,2021,-1.13,0.6,-0.6,2.42,,518735.0,,1,7,Bot,,,,,606992,,,5.708013896632222,-139.73071161635102,-5.02779851293806,-16.124724077110848,34.109808342469,-23.36661973182718,3.24,1.59,,,,95.0,2229.0,5.9,632265,570632,606992,408234,670623,600869,605612,543257,668731,663662,54.64,,,,,,,,54,1,Sinker,0,4,0,4,4,0,0,4,Strategic,Standard,219.0,0.0,-0.046,,
SL,2021-10-02,87.1,-1.55,6.01,"Ureña, José",650391,570632,strikeout,called_strike,,,,,2,Eloy Jimenez called out on strikes.,R,R,R,CWS,DET,S,2.0,,1,2,2021,0.6,0.26,-0.11,3.29,,518735.0,,0,7,Bot,,,,,606992,,,2.2184115369430044,-126.89170130660776,-0.9425013138587256,6.0584508574482765,24.86764957585552,-29.355562874200608,3.49,1.63,,,,86.9,2382.0,6.0,632265,570632,606992,408234,670623,600869,605612,543257,668731,663662,54.51,,0.0,0.0,1.0,0.0,0.0,,53,4,Slider,0,4,0,4,4,0,0,4,Infield shade,Standard,142.0,-0.033,-0.351,,
