pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
FF,2021-09-07,94.2,2.15,5.98,"Del Pozo, Miguel",660829,600887,field_out,hit_into_play,,,,,8,Hoy Park flies out to center fielder Derek Hill.,R,L,L,PIT,DET,X,8.0,fly_ball,0,0,2021,0.68,1.21,-0.02,1.72,,592325.0,621028.0,2,5,Bot,134.52,80.94,,,606992,,,-7.062143993309635,-136.87865976785207,-7.9666539338690034,10.083985616077022,28.613165792461345,-15.441686616990516,3.41,1.56,295.0,85.4,36.0,93.2,2223,5.6,632560,600887,606992,408234,570731,600869,592348,650489,656537,543257,54.86,0.009,0.008,0.0,1.0,0.0,0.0,3.0,48,1,4-Seam Fastball,1,2,1,2,2,1,1,2,Standard,Standard,148,-0.066,-0.45,,
CU,2021-09-07,82.6,1.83,6.03,"Del Pozo, Miguel",605421,600887,strikeout,called_strike,,,,,6,Michael Perez called out on strikes.,R,L,L,PIT,DET,S,2.0,,3,2,2021,-0.15,-0.38,0.48,1.93,,592325.0,621028.0,1,5,Bot,,,,,606992,,,-2.7201292473769234,-120.31759389723317,-2.138238037658334,-0.953393544668234,21.924086085041587,-35.68889724799498,2.99,1.41,,,,81.5,2406,5.4,632560,600887,606992,408234,570731,600869,592348,650489,656537,543257,55.13,,0.0,0.0,1.0,0.0,0.0,,47,7,Curveball,1,2,1,2,2,1,1,2,Standard,Standard,299,-0.066,-0.621,,
FF,2021-09-07,94.8,2.03,5.99,"Del Pozo, Miguel",605421,600887,,foul,,,,,9,Michael Perez called out on strikes.,R,L,L,PIT,DET,S,,,3,2,2021,0.71,1.38,0.68,1.95,,592325.0,621028.0,1,5,Bot,,,,,606992,,,-5.022666605893068,-137.82617392703474,-7.889355229353702,10.125136943099028,28.415222487320005,-13.071984482024186,3.3,1.5,316.0,90.0,31.0,93.9,2164,5.6,632560,600887,606992,408234,570731,600869,592348,650489,656537,543257,54.85,,,,,,,,47,6,4-Seam Fastball,1,2,1,2,2,1,1,2,Standard,Standard,140,0.0,0.0,,
FF,2021-09-07,94.3,2.05,5.93,"Del Pozo, Miguel",605421,600887,,swinging_strike,,,,,14,Michael Perez called out on strikes.,R,L,L,PIT,DET,S,,,3,1,2021,0.8,1.5,0.06,0.82,,592325.0,621028.0,1,5,Bot,,,,,606992,,,-6.814972510524237,-136.9128842257139,-10.747585430385929,11.46780873202946,28.36392043639861,-11.110496077281727,3.3,1.5,,,,93.0,2142,5.5,632560,600887,606992,408234,570731,600869,592348,650489,656537,543257,54.99,,,,,,,,47,5,4-Seam Fastball,1,2,1,2,2,1,1,2,Standard,Standard,147,0.0,-0.207,,
FF,2021-09-07,94.8,2.06,5.93,"Del Pozo, Miguel",605421,600887,,blocked_ball,,,,,13,Michael Perez called out on strikes.,R,L,L,PIT,DET,B,,,2,1,2021,0.88,1.27,-0.18,0.35,,592325.0,621028.0,1,5,Bot,,,,,606992,,,-7.718249213876557,-137.43006963799348,-11.558627737621707,12.913441920716243,30.681642509585803,-13.672131827732755,3.22,1.57,,,,93.5,2232,5.8,632560,600887,606992,408234,570731,600869,592348,650489,656537,543257,54.74,,,,,,,,47,4,4-Seam Fastball,1,2,1,2,2,1,1,2,Standard,Standard,143,0.0,0.252,,
FF,2021-09-07,94.1,2.09,6.0,"Del Pozo, Miguel",605421,600887,,foul,,,,,14,Michael Perez called out on strikes.,R,L,L,PIT,DET,S,,,2,0,2021,0.76,1.09,0.26,1.18,,592325.0,621028.0,1,5,Bot,,,,,606992,,,-6.323177849972562,-136.77089630169536,-9.137754390099191,10.864660038292426,27.94352672040229,-16.72359959730633,3.3,1.5,6.0,98.9,-11.0,93.1,2099,5.6,632560,600887,606992,408234,570731,600869,592348,650489,656537,543257,54.89,,,,,,,,47,3,4-Seam Fastball,1,2,1,2,2,1,1,2,Standard,Standard,141,0.0,-0.149,,
FF,2021-09-07,94.0,2.02,5.93,"Del Pozo, Miguel",605421,600887,,ball,,,,,14,Michael Perez called out on strikes.,R,L,L,PIT,DET,B,,,1,0,2021,0.63,1.12,0.11,0.82,,592325.0,621028.0,1,5,Bot,,,,,606992,,,-6.269143681695174,-136.63700992670795,-9.966521593656765,9.22293049998911,26.162072269470915,-16.23737721319692,3.16,1.52,,,,93.5,2058,5.8,632560,600887,606992,408234,570731,600869,592348,650489,656537,543257,54.75,,,,,,,,47,2,4-Seam Fastball,1,2,1,2,2,1,1,2,Standard,Standard,143,0.0,0.144,,
FF,2021-09-07,94.2,2.16,5.95,"Del Pozo, Miguel",605421,600887,,ball,,,,,14,Michael Perez called out on strikes.,R,L,L,PIT,DET,B,,,0,0,2021,0.8,1.12,1.56,2.35,,592325.0,621028.0,1,5,Bot,,,,,606992,,,-3.2752328054984496,-137.16573820313465,-6.136429692204092,10.769322766563542,26.261429913335785,-16.871789720873526,3.19,1.55,,,,93.6,2091,5.6,632560,600887,606992,408234,570731,600869,592348,650489,656537,543257,54.93,,,,,,,,47,1,4-Seam Fastball,1,2,1,2,2,1,1,2,Standard,Standard,147,0.0,0.093,,
FF,2021-09-07,93.4,2.07,5.91,"Del Pozo, Miguel",621028,600887,walk,ball,,,,,13,Kevin Newman walks.   Ben Gamel to 2nd.,R,R,L,PIT,DET,B,,,3,1,2021,0.7,1.03,-0.59,1.11,,,592325.0,1,5,Bot,,,,,606992,,,-8.27154678233874,-135.76825558820943,-8.835293082294763,10.268378926064592,24.422899510596288,-17.810840712960523,3.1,1.44,,,,92.9,2099,5.7,632560,600887,606992,408234,570731,600869,592348,650489,656537,543257,54.84,,0.691717,0.7,1.0,0.0,0.0,,46,5,4-Seam Fastball,1,2,1,2,2,1,1,2,Standard,Standard,138,0.053,0.197,,
CU,2021-09-07,83.7,2.06,5.97,"Del Pozo, Miguel",621028,600887,,blocked_ball,,,,,13,Kevin Newman walks.   Ben Gamel to 2nd.,R,R,L,PIT,DET,B,,,2,1,2021,-0.01,-0.47,-0.35,0.39,,,592325.0,1,5,Bot,,,,,606992,,,-5.442406857699976,-121.74509110402244,-5.443243281533276,1.0099098391531525,25.132759617023133,-35.87119287090948,3.06,1.43,,,,82.3,2462,5.5,632560,600887,606992,408234,570731,600869,592348,650489,656537,543257,55.01,,,,,,,,46,4,Curveball,1,2,1,2,2,1,1,2,Standard,Standard,289,0.0,0.137,,
