pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
FF,2021-06-04,95.5,-1.63,5.7,"Turnbull, Spencer",606213,605513,strikeout,swinging_strike,,,,,13,Yermin Mercedes strikes out swinging.,R,R,R,CWS,DET,S,2.0,,3,2,2021,-0.44,0.78,-1.19,2.29,,,,2,4,Bot,,,,,606992,,,2.17729856013672,-139.02350565432712,-5.139998320587855,-6.214732752849885,30.576521752493964,-21.15049372708948,3.32,1.51,,,,95.8,2517.0,6.4,633840,605513,606992,570731,650489,600869,670097,592348,656537,543257,54.08,,0.0,0.0,1.0,0.0,0.0,,29,12,4-Seam Fastball,1,1,1,1,1,1,1,1,Standard,Standard,219.0,-0.013,-0.134,,
CH,2021-06-04,89.2,-1.5,5.43,"Turnbull, Spencer",606213,605513,,foul,,,,,13,Yermin Mercedes strikes out swinging.,R,R,R,CWS,DET,S,,,3,2,2021,-1.32,-0.15,-0.92,2.37,,,,2,4,Bot,,,,,606992,,,4.216523865868395,-129.93921750595206,-1.269085573910992,-15.840970401827558,24.432288489036665,-33.819374475531085,3.32,1.51,6.0,99.9,-20.0,89.8,1829.0,6.3,633840,605513,606992,570731,650489,600869,670097,592348,656537,543257,54.15,,,,,,,,29,11,Changeup,1,1,1,1,1,1,1,1,Standard,Standard,251.0,0.0,0.0,,
FF,2021-06-04,96.4,-1.63,5.58,"Turnbull, Spencer",606213,605513,,foul,,,,,12,Yermin Mercedes strikes out swinging.,R,R,R,CWS,DET,S,,,3,2,2021,-0.14,0.67,0.99,2.8,,,,2,4,Bot,,,,,606992,,,7.340753324048846,-140.31380848372532,-3.386308475502499,-3.427265113847925,30.257534638847268,-22.78814485705325,3.32,1.51,157.0,79.6,68.0,97.4,2526.0,6.7,633840,605513,606992,570731,650489,600869,670097,592348,656537,543257,53.77,,,,,,,,29,10,4-Seam Fastball,1,1,1,1,1,1,1,1,Standard,Standard,228.0,0.0,0.0,,
SI,2021-06-04,96.5,-1.61,5.48,"Turnbull, Spencer",606213,605513,,foul,,,,,8,Yermin Mercedes strikes out swinging.,R,R,R,CWS,DET,S,,,3,2,2021,-1.21,0.33,-0.13,1.4,,,,2,4,Bot,,,,,606992,,,6.748751833835185,-140.38612246192565,-6.10014032456357,-17.542995613185937,29.206914111828493,-26.69968595438868,3.32,1.51,,,,97.3,2330.0,6.6,633840,605513,606992,570731,650489,600869,670097,592348,656537,543257,53.94,,,,,,,,29,9,Sinker,1,1,1,1,1,1,1,1,Standard,Standard,231.0,0.0,0.0,,
SI,2021-06-04,97.1,-1.57,5.47,"Turnbull, Spencer",606213,605513,,foul,,,,,11,Yermin Mercedes strikes out swinging.,R,R,R,CWS,DET,S,,,3,2,2021,-1.14,0.69,-0.89,2.8,,,,2,4,Bot,,,,,606992,,,4.430982676667591,-141.4387154843915,-3.234183184167168,-16.352868413803346,30.81258093895443,-22.4016477477348,3.32,1.51,163.0,60.4,53.0,97.5,2248.0,6.4,633840,605513,606992,570731,650489,600869,670097,592348,656537,543257,54.13,,,,,,,,29,8,Sinker,1,1,1,1,1,1,1,1,Standard,Standard,228.0,0.0,0.0,,
FF,2021-06-04,96.6,-1.35,5.61,"Turnbull, Spencer",606213,605513,,foul,,,,,14,Yermin Mercedes strikes out swinging.,R,R,R,CWS,DET,S,,,3,2,2021,-0.13,0.92,1.41,1.7,,,,2,4,Bot,,,,,606992,,,7.673312396084968,-140.47982498876772,-7.035984124741846,-3.1960249292808567,27.11273421093553,-18.628417775269103,3.32,1.51,,,,97.5,2525.0,6.5,633840,605513,606992,570731,650489,600869,670097,592348,656537,543257,54.02,,,,,,,,29,7,4-Seam Fastball,1,1,1,1,1,1,1,1,Standard,Standard,228.0,0.0,0.0,,
SL,2021-06-04,87.1,-1.6,5.51,"Turnbull, Spencer",606213,605513,,foul,,,,,4,Yermin Mercedes strikes out swinging.,R,R,R,CWS,DET,S,,,3,2,2021,0.41,-0.5,-0.58,2.5,,,,2,4,Bot,,,,,606992,,,1.6122584020333284,-126.876803372976,-0.092225228062917,4.178735974144617,24.182250761749728,-37.747450724715904,3.32,1.51,305.0,95.3,20.0,87.6,2494.0,6.4,633840,605513,606992,570731,650489,600869,670097,592348,656537,543257,54.13,,,,,,,,29,6,Slider,1,1,1,1,1,1,1,1,Standard,Standard,110.0,0.0,0.0,,
CU,2021-06-04,80.8,-1.57,5.78,"Turnbull, Spencer",606213,605513,,ball,,,,,14,Yermin Mercedes strikes out swinging.,R,R,R,CWS,DET,B,,,2,2,2021,1.02,-0.8,1.88,-0.16,,,,2,4,Bot,,,,,606992,,,5.74698388151428,-117.46292870527382,-5.016840501810758,8.282306416464314,23.059249416160156,-38.82056003643074,3.2,1.56,,,,80.6,2653.0,6.3,633840,605513,606992,570731,650489,600869,670097,592348,656537,543257,54.22,,,,,,,,29,5,Curveball,1,1,1,1,1,1,1,1,Standard,Standard,45.0,0.0,0.043,,
SL,2021-06-04,85.7,-1.67,5.6,"Turnbull, Spencer",606213,605513,,foul,,,,,4,Yermin Mercedes strikes out swinging.,R,R,R,CWS,DET,S,,,2,1,2021,0.57,-0.12,-0.58,2.58,,,,2,4,Bot,,,,,606992,,,1.4272150412668627,-124.9363091276194,-0.7696591883256201,5.857074597870099,20.526509395030462,-33.51443823453399,3.32,1.51,108.0,83.5,77.0,86.7,2595.0,6.4,633840,605513,606992,570731,650489,600869,670097,592348,656537,543257,54.09,,,,,,,,29,4,Slider,1,1,1,1,1,1,1,1,Standard,Standard,107.0,0.0,-0.028,,
SI,2021-06-04,97.4,-1.47,5.52,"Turnbull, Spencer",606213,605513,,ball,,,,,14,Yermin Mercedes strikes out swinging.,R,R,R,CWS,DET,B,,,1,1,2021,-1.14,0.27,0.73,1.38,,,,2,4,Bot,,,,,606992,,,8.549337736655833,-141.5790603740915,-6.233444333324569,-17.273713227814408,32.84987010328925,-27.294703934461808,3.19,1.5,,,,97.6,2305.0,6.5,633840,605513,606992,570731,650489,600869,670097,592348,656537,543257,54.03,,,,,,,,29,3,Sinker,1,1,1,1,1,1,1,1,Standard,Standard,235.0,0.0,0.02,,
