pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
SL,2021-10-03,78.3,1.94,5.88,"Alexander, Tyler",544725,641302,strikeout,swinging_strike,,,,,13,Leury Garcia strikes out swinging.,R,R,L,CWS,DET,S,2.0,,1,2,2021,-0.56,-0.33,-0.57,1.03,,,641470.0,2,6,Bot,,,,,572863,,,-4.368063800653712,-114.02624104315603,-3.0371130102395694,-4.144228167652892,20.301861502886428,-34.74071559925651,3.26,1.48,,,,78.5,2485.0,6.3,632252,641302,572863,605612,650489,670623,670097,606992,668731,663662,54.17,,0.0,0.0,1.0,0.0,0.0,,50,4,Slider,1,2,1,2,2,1,1,2,Standard,Standard,293.0,-0.042,-0.155,,
SI,2021-10-03,89.5,1.92,5.71,"Alexander, Tyler",544725,641302,,ball,,,,,11,Leury Garcia strikes out swinging.,R,R,L,CWS,DET,B,,,0,2,2021,1.25,1.18,-0.95,3.69,,,641470.0,2,6,Bot,,,,,572863,,,-9.731160843108514,-130.0084371545247,-1.4723239144966742,16.246098232667823,26.60195098312194,-18.688513269215303,3.08,1.5,,,,89.5,2155.0,6.4,632252,641302,572863,605612,650489,670623,670097,606992,668731,663662,54.15,,,,,,,,50,3,Sinker,1,2,1,2,2,1,1,2,Standard,Standard,149.0,0.0,0.017,,
SI,2021-10-03,89.9,1.84,5.75,"Alexander, Tyler",544725,641302,,foul_tip,,,,,2,Leury Garcia strikes out swinging.,R,R,L,CWS,DET,S,,,0,1,2021,0.76,1.49,-0.17,3.25,,,641470.0,2,6,Bot,,,,,572863,,,-6.562514802785439,-130.73127048036102,-3.4006992163360867,10.035762262797704,26.613986037796323,-14.49360436044918,3.26,1.48,,,,89.9,2343.0,6.2,632252,641302,572863,605612,650489,670623,670097,606992,668731,663662,54.25,,,,,,,,50,2,Sinker,1,2,1,2,2,1,1,2,Standard,Standard,148.0,0.0,-0.047,,
CH,2021-10-03,82.0,1.93,5.81,"Alexander, Tyler",544725,641302,,foul,,,,,6,Leury Garcia strikes out swinging.,R,R,L,CWS,DET,S,,,0,0,2021,1.26,0.68,0.8,2.61,,,641470.0,2,6,Bot,,,,,572863,,,-4.979607269045768,-119.32879230639082,-2.007418351704864,12.989245301588836,22.735328181785125,-25.49824038731948,3.26,1.48,305.0,86.5,32.0,82.0,1368.0,6.3,632252,641302,572863,605612,650489,670623,670097,606992,668731,663662,54.24,,,,,,,,50,1,Changeup,1,2,1,2,2,1,1,2,Standard,Standard,132.0,0.0,-0.042,,
FC,2021-10-03,82.4,2.08,5.71,"Alexander, Tyler",650391,641302,strikeout,called_strike,,,,,6,Eloy Jimenez called out on strikes.,R,R,L,CWS,DET,S,2.0,,1,2,2021,-0.76,0.2,0.57,2.81,,,641470.0,1,6,Bot,,,,,572863,,,-1.9471560748103096,-119.95830977192216,-0.4375819399816786,-6.8962672157804885,24.61013129176296,-30.37718452699486,3.55,1.74,,,,81.9,2191.0,6.1,632252,641302,572863,605612,650489,670623,670097,606992,668731,663662,54.45,,0.0,0.0,1.0,0.0,0.0,,49,4,Cutter,1,2,1,2,2,1,1,2,Standard,Standard,222.0,-0.05,-0.213,,
SL,2021-10-03,79.6,1.91,5.78,"Alexander, Tyler",650391,641302,,ball,,,,,13,Eloy Jimenez called out on strikes.,R,R,L,CWS,DET,B,,,0,2,2021,-0.32,-0.17,-0.56,1.22,,,641470.0,1,6,Bot,,,,,572863,,,-4.794101578086419,-115.8777437802216,-2.96535806803858,-2.061217204830157,20.77480626150721,-33.344188024744106,3.6,1.74,,,,79.5,2404.0,6.1,632252,641302,572863,605612,650489,670623,670097,606992,668731,663662,54.38,,,,,,,,49,3,Slider,1,2,1,2,2,1,1,2,Standard,Standard,283.0,0.0,0.023,,
SI,2021-10-03,89.2,1.98,5.67,"Alexander, Tyler",650391,641302,,foul,,,,,5,Eloy Jimenez called out on strikes.,R,R,L,CWS,DET,S,,,0,1,2021,1.25,0.92,-0.22,2.49,,,641470.0,1,6,Bot,,,,,572863,,,-8.031516192424125,-129.69967945922673,-3.765839225065666,15.770941888764812,25.38228984831317,-21.165202321056604,3.55,1.63,233.0,82.4,55.0,89.5,2116.0,6.4,632252,641302,572863,605612,650489,670623,670097,606992,668731,663662,54.11,,,,,,,,49,2,Sinker,1,2,1,2,2,1,1,2,Standard,Standard,147.0,0.0,-0.063,,
CH,2021-10-03,82.7,1.86,5.74,"Alexander, Tyler",650391,641302,,foul,,,,,12,Eloy Jimenez called out on strikes.,R,R,L,CWS,DET,S,,,0,0,2021,1.29,0.57,1.03,2.83,,,641470.0,1,6,Bot,,,,,572863,,,-4.425102942367673,-120.35178966720268,-1.2696655653918003,13.432591471115188,22.860377384747466,-26.56322850819308,3.55,1.63,,,,82.7,1400.0,6.2,632252,641302,572863,605612,650489,670623,670097,606992,668731,663662,54.26,,,,,,,,49,1,Changeup,1,2,1,2,2,1,1,2,Standard,Standard,129.0,0.0,-0.048,,
FC,2021-10-03,85.3,1.67,5.75,"Alexander, Tyler",641470,641302,walk,ball,,,,,13,Zack Collins walks.,R,L,L,CWS,DET,B,,,3,2,2021,-0.41,0.47,-1.25,2.65,,,,1,6,Bot,,,,,572863,,,-6.06316359861121,-124.21156596624556,-2.0599265155257305,-3.284638356794043,20.32104538415776,-27.05262671234313,3.73,1.76,,,,86.2,2388.0,6.4,632252,641302,572863,605612,650489,670623,670097,606992,668731,663662,54.08,,0.691717,0.7,1.0,0.0,0.0,,48,6,Cutter,1,2,1,2,2,1,1,2,Infield shift,Standard,206.0,0.045,0.215,,
SI,2021-10-03,89.2,1.88,5.61,"Alexander, Tyler",641470,641302,,ball,,,,,13,Zack Collins walks.,R,L,L,CWS,DET,B,,,2,2,2021,1.14,1.2,-0.93,2.14,,,,1,6,Bot,,,,,572863,,,-9.31983970187758,-129.58408970742877,-5.100795509636725,14.666870917234393,22.850659342436145,-17.750167071744293,3.78,1.76,,,,89.8,2065.0,6.4,632252,641302,572863,605612,650489,670623,670097,606992,668731,663662,54.13,,,,,,,,48,5,Sinker,1,2,1,2,2,1,1,2,Infield shift,Standard,155.0,0.0,0.071,,
SL,2021-10-03,80.0,1.73,5.71,"Alexander, Tyler",641470,641302,,ball,,,,,13,Zack Collins walks.,R,L,L,CWS,DET,B,,,1,2,2021,-0.39,-0.16,-0.82,0.63,,,,1,6,Bot,,,,,572863,,,-4.868800369889766,-116.53339061792036,-4.26504168257604,-2.775714934151069,19.63559204212919,-33.11856737304417,3.8,1.76,,,,80.4,2451.0,6.2,632252,641302,572863,605612,650489,670623,670097,606992,668731,663662,54.25,,,,,,,,48,4,Slider,1,2,1,2,2,1,1,2,Infield shift,Standard,283.0,0.0,0.028,,
FF,2021-10-03,89.8,1.96,5.76,"Alexander, Tyler",641470,641302,,called_strike,,,,,7,Zack Collins walks.,R,L,L,CWS,DET,S,,,1,1,2021,0.52,1.61,-0.48,2.06,,,,1,6,Bot,,,,,572863,,,-7.151774055148743,-130.44210709803562,-6.567441987889808,7.477378039632477,27.07432592941005,-12.626292243134566,3.86,1.8,,,,89.7,2313.0,6.3,632252,641302,572863,605612,650489,670623,670097,606992,668731,663662,54.19,,,,,,,,48,3,4-Seam Fastball,1,2,1,2,2,1,1,2,Infield shift,Standard,148.0,0.0,-0.043,,
FC,2021-10-03,84.8,1.85,5.79,"Alexander, Tyler",641470,641302,,called_strike,,,,,13,Zack Collins walks.,R,L,L,CWS,DET,S,,,1,0,2021,-0.21,0.59,-0.3,1.69,,,,1,6,Bot,,,,,572863,,,-4.611665269089373,-123.59273994863598,-4.519282675382321,-1.3456194758321725,21.224841649487235,-25.42639843202984,3.76,1.83,,,,85.1,2369.0,6.1,632252,641302,572863,605612,650489,670623,670097,606992,668731,663662,54.39,,,,,,,,48,2,Cutter,1,2,1,2,2,1,1,2,Infield shift,Standard,188.0,0.0,-0.032,,
FF,2021-10-03,89.2,1.88,5.83,"Alexander, Tyler",641470,641302,,ball,,,,,13,Zack Collins walks.,R,L,L,CWS,DET,B,,,0,0,2021,0.46,1.66,-1.29,2.3,,,,1,6,Bot,,,,,572863,,,-8.736027696581862,-129.53867697257417,-6.083247461732476,7.067166267822585,27.892816254177607,-12.391003406280742,3.84,1.83,,,,88.8,2307.0,6.2,632252,641302,572863,605612,650489,670623,670097,606992,668731,663662,54.28,,,,,,,,48,1,4-Seam Fastball,1,2,1,2,2,1,1,2,Infield shift,Standard,153.0,0.0,0.026,,
SL,2021-10-03,78.2,1.77,5.89,"Alexander, Tyler",660162,641302,strikeout,called_strike,,,,,7,Yoan Moncada called out on strikes.,R,R,L,CWS,DET,S,2.0,,1,2,2021,-0.4,-0.27,-0.77,1.58,,,,0,6,Bot,,,,,572863,,,-4.748155567047827,-113.78691766670607,-1.941833858347892,-2.661989151736833,20.465784754511947,-34.347813500090744,3.43,1.61,,,,78.4,2391.0,6.4,632252,641302,572863,605612,650489,670623,670097,606992,668731,663662,54.09,,0.0,0.0,1.0,0.0,0.0,,47,4,Slider,1,2,1,2,2,1,1,2,Standard,Standard,288.0,-0.04,-0.174,,
CH,2021-10-03,81.9,1.93,5.81,"Alexander, Tyler",660162,641302,,foul,,,,,6,Yoan Moncada called out on strikes.,R,R,L,CWS,DET,S,,,1,1,2021,1.16,0.58,0.39,2.49,,,,0,6,Bot,,,,,572863,,,-5.685309291479714,-119.32061561482192,-2.1357099847120717,12.119004945707172,20.36153001809644,-26.421453861868933,3.47,1.59,256.0,79.7,48.0,82.1,1354.0,6.1,632252,641302,572863,605612,650489,670623,670097,606992,668731,663662,54.38,,,,,,,,47,3,Changeup,1,2,1,2,2,1,1,2,Standard,Standard,133.0,0.0,-0.057,,
