pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
FF,2022-10-05,87.8,1.9,5.63,"Baddoo, Akil",668731,594835,single,hit_into_play,,,,,3,"Akil Baddoo singles on a ground ball to right fielder Mitch Haniger, deflected by first baseman Ty France.   Brendon Davis to 3rd.",R,L,L,SEA,DET,X,3.0,ground_ball,0,0,2022,1.28,1.17,0.79,3.03,,,663478.0,1,7,Top,179.4,113.56,,,592200,,,-5.349013467526923,-127.89339823319884,-2.648613763697216,15.152113485062316,24.56319461987184,-18.991551067360927,3.28,1.58,18.0,74.3,-8.0,88.3,1909,6.4,662195,594835,592200,664034,620443,647351,641487,666211,672284,571745,54.11,0.071,0.079,0.9,1.0,1.0,0.0,2.0,54,1,4-Seam Fastball,4,3,3,4,3,4,3,4,Standard,Standard,131,-0.119,0.483,,
FF,2022-10-05,88.5,1.94,5.7,"Baddoo, Akil",668731,594835,strikeout,foul_tip,,,,,1,Akil Baddoo strikes out on a foul tip.,R,L,L,SEA,DET,S,2.0,,1,2,2022,0.89,1.28,-0.47,2.98,,663478.0,,1,5,Top,,,,,592200,,,-7.749150540281255,-128.69051315042825,-3.2951175696218837,11.362987303385731,24.160570342922004,-17.38442509894619,3.28,1.58,,,,89.1,1962,6.5,662195,594835,592200,664034,620443,647351,641487,666211,672284,571745,54.01,,0.0,0.0,1.0,0.0,0.0,,36,4,4-Seam Fastball,2,2,2,2,2,2,2,2,Standard,Standard,139,0.046,-0.256,,
CU,2022-10-05,76.3,2.2,5.33,"Baddoo, Akil",668731,594835,,ball,,,,,13,Akil Baddoo strikes out on a foul tip.,R,L,L,SEA,DET,B,,,0,2,2022,-0.56,-0.84,-1.6,0.96,,,663478.0,1,5,Top,,,,,592200,,,-7.005304258598958,-110.97703518698722,-0.6503093286790977,-3.427177631816002,19.38175138147359,-39.27121649812527,3.3,1.45,,,,76.6,2188,6.4,662195,594835,592200,664034,620443,647351,641487,666211,672284,571745,54.06,,,,,,,,36,3,Curveball,2,2,2,2,2,2,2,2,Standard,Standard,328,-0.024,0.03,,
FF,2022-10-05,89.0,1.86,5.69,"Baddoo, Akil",668731,594835,,called_strike,,,,,11,Akil Baddoo strikes out on a foul tip.,R,L,L,SEA,DET,S,,,0,1,2022,1.06,1.25,-1.02,2.6,,,663478.0,1,5,Top,,,,,592200,,,-9.302367740536152,-129.29775514037252,-4.207655541672355,13.7056556999892,24.31580508886126,-17.44858522817252,3.28,1.59,,,,89.6,1987,6.5,662195,594835,592200,664034,620443,647351,641487,666211,672284,571745,53.96,,,,,,,,36,2,4-Seam Fastball,2,2,2,2,2,2,2,2,Standard,Standard,138,0.0,-0.068,,
CU,2022-10-05,74.8,2.23,5.32,"Baddoo, Akil",668731,594835,,called_strike,,,,,2,Akil Baddoo strikes out on a foul tip.,R,L,L,SEA,DET,S,,,0,0,2022,-0.25,-0.78,-0.1,2.83,,,663478.0,1,5,Top,,,,,592200,,,-4.361953837674872,-108.91746055331772,3.328671076233027,-1.3356568383942264,17.381447405549604,-39.13777690353183,3.24,1.51,,,,75.1,1760,6.2,662195,594835,592200,664034,620443,647351,641487,666211,672284,571745,54.26,,,,,,,,36,1,Curveball,2,2,2,2,2,2,2,2,Standard,Standard,331,0.0,-0.048,,
FF,2022-10-05,87.9,2.06,5.68,"Baddoo, Akil",668731,594835,field_out,hit_into_play,,,,,6,Akil Baddoo pops out to third baseman Abraham Toro in foul territory.,R,L,L,SEA,DET,X,5.0,popup,2,1,2022,1.07,1.02,0.35,2.4,,,,2,3,Top,79.46,158.47,,,592200,,,-6.365831592008861,-127.84057681227048,-3.9608554807271705,13.038843519693172,25.584193845585062,-20.365012466788876,3.28,1.58,156.0,66.9,57.0,88.0,1914,6.3,662195,594835,592200,664034,620443,647351,641487,666211,677594,571745,54.17,0.046,0.041,0.0,1.0,0.0,0.0,3.0,19,4,4-Seam Fastball,2,0,0,2,0,2,0,2,Infield shade,Standard,128,0.01,-0.114,,
CU,2022-10-05,77.4,2.22,5.49,"Baddoo, Akil",668731,594835,,ball,,,,,13,Akil Baddoo pops out to third baseman Abraham Toro in foul territory.,R,L,L,SEA,DET,B,,,1,1,2022,-0.59,-1.36,-1.44,0.36,,,,2,3,Top,,,,,592200,,,-6.692724059960352,-112.48883662936586,-1.4790889253680324,-3.7061057397229566,21.56785348325137,-43.60586160504892,3.13,1.49,,,,76.9,2309,6.2,662195,594835,592200,664034,620443,647351,641487,666211,677594,571745,54.35,,,,,,,,19,3,Curveball,2,0,0,2,0,2,0,2,Standard,Standard,343,0.0,0.021,,
FF,2022-10-05,89.1,1.85,5.83,"Baddoo, Akil",668731,594835,,ball,,,,,13,Akil Baddoo pops out to third baseman Abraham Toro in foul territory.,R,L,L,SEA,DET,B,,,0,1,2022,0.95,1.49,-0.56,1.38,,,,2,3,Top,,,,,592200,,,-7.894620568576022,-129.40951970861846,-8.045146898841875,12.246395710702458,25.369255764582952,-13.912237387393684,3.26,1.56,,,,89.2,2008,6.3,662195,594835,592200,664034,620443,647351,641487,666211,677594,571745,54.2,,,,,,,,19,2,4-Seam Fastball,2,0,0,2,0,2,0,2,Standard,Standard,143,0.0,0.011,,
FF,2022-10-05,88.0,1.96,5.71,"Baddoo, Akil",668731,594835,,foul,,,,,14,Akil Baddoo pops out to third baseman Abraham Toro in foul territory.,R,L,L,SEA,DET,S,,,0,0,2022,1.13,0.98,0.7,1.27,,,,2,3,Top,,,,,592200,,,-5.403395603037215,-128.01823889696288,-6.73812781316444,13.519292655272768,24.93765857077065,-20.24077313388568,3.28,1.58,,,,88.3,1869,6.3,662195,594835,592200,664034,620443,647351,641487,666211,677594,571745,54.15,,,,,,,,19,1,4-Seam Fastball,2,0,0,2,0,2,0,2,Standard,Standard,132,0.0,-0.017,,
FS,2022-10-05,84.3,-0.95,6.29,"Baddoo, Akil",668731,657024,strikeout,called_strike,,,,,6,Akil Baddoo called out on strikes.,R,L,R,SEA,DET,S,2.0,,1,2,2022,-0.82,-0.03,0.71,2.46,,,,2,9,Top,,,,,592200,,,5.512860129960409,-122.7344602370014,-2.5025084106450413,-9.314634472420998,23.416063526091783,-32.22078267574666,3.21,1.51,,,,85.0,985,6.6,662195,657024,592200,664034,620443,647351,641487,666211,672284,571745,53.88,,0.0,0.0,1.0,0.0,0.0,,70,4,Split-Finger,4,4,4,4,4,4,4,4,Standard,Standard,229,0.032,-0.07,,
FF,2022-10-05,93.8,-0.74,6.44,"Baddoo, Akil",668731,657024,,foul,,,,,9,Akil Baddoo called out on strikes.,R,L,R,SEA,DET,S,,,1,1,2022,-0.92,1.48,0.31,1.99,,,,2,9,Top,,,,,592200,,,4.764383471443597,-136.22157911897884,-9.03647509766552,-12.451900095259584,30.967749263464565,-11.899322923631996,3.28,1.58,5.0,76.1,-22.0,94.1,2272,6.6,662195,657024,592200,664034,620443,647351,641487,666211,672284,571745,53.87,,,,,,,,70,3,4-Seam Fastball,4,4,4,4,4,4,4,4,Standard,Standard,211,0.0,-0.023,,
