pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
SL,2022-06-15,85.5,-2.09,6.03,"Meadows, Austin",640457,663436,field_out,hit_into_play,,,,,9,Austin Meadows pops out to shortstop Danny Mendick.,R,L,R,DET,CWS,X,6.0,popup,0,1,2022,0.09,0.39,0.72,1.83,,,408234.0,1,6,Bot,111.09,119.97,,,664874,,,6.476305168901238,-124.3346554752307,-4.377259446550533,-0.4754376533031674,26.358451774443346,-27.398391823642807,3.45,1.62,204.0,74.7,52.0,85.6,2593.0,6.5,662883,663436,664874,683734,543281,660162,664901,572041,673357,641553,54.01,0.106,0.115,0.0,1.0,0.0,0.0,3.0,58,2,Slider,0,11,0,11,11,0,0,11,Infield shift,Standard,77.0,0.0,-0.252,,
FF,2022-06-15,91.6,-1.88,6.19,"Meadows, Austin",640457,663436,,called_strike,,,,,5,Austin Meadows pops out to shortstop Danny Mendick.,R,L,R,DET,CWS,S,,,0,0,2022,-1.06,1.58,-0.11,2.7,,,408234.0,1,6,Bot,,,,,664874,,,6.785614811369814,-133.07892315720605,-6.370885843544336,-14.016313018013006,28.680967722406336,-12.224890665057828,3.45,1.62,,,,92.0,2215.0,6.6,662883,663436,664874,683734,543281,660162,664901,572041,673357,641553,53.9,,,,,,,,58,1,4-Seam Fastball,0,11,0,11,11,0,0,11,Infield shift,Standard,216.0,0.0,-0.048,,
FF,2022-06-15,94.2,-1.25,5.65,"Meadows, Austin",640457,592826,field_out,hit_into_play,,,,,5,Austin Meadows flies out to left fielder AJ Pollock.,R,L,R,DET,CWS,X,7.0,fly_ball,0,1,2022,-0.24,1.39,-0.03,2.76,,,,0,2,Bot,45.88,123.62,,,664874,,,3.695790734781635,-137.16329158435775,-4.887123109161083,-3.8490849855611535,31.40835984853138,-13.758180910532474,3.45,1.62,272.0,78.8,34.0,94.4,2470.0,6.5,662883,592826,664874,683734,543281,660162,664901,572041,673357,641553,54.05,0.063,0.057,0.0,1.0,0.0,0.0,3.0,14,2,4-Seam Fastball,0,3,0,3,3,0,0,3,Infield shift,Standard,203.0,-0.022,-0.187,,
FF,2022-06-15,94.2,-1.35,5.6,"Meadows, Austin",640457,592826,,foul,,,,,9,Austin Meadows flies out to left fielder AJ Pollock.,R,L,R,DET,CWS,S,,,0,0,2022,-0.36,1.56,0.75,1.92,,,,0,2,Bot,,,,,664874,,,6.264460353619496,-136.96316832104588,-7.364799835211459,-5.907568579226799,28.96682406003356,-11.03066796597214,3.45,1.62,11.0,86.2,-9.0,94.7,2519.0,6.5,662883,592826,664874,683734,543281,660162,664901,572041,673357,641553,53.96,,,,,,,,14,1,4-Seam Fastball,0,3,0,3,3,0,0,3,Infield shift,Standard,206.0,0.0,-0.034,,
CU,2022-06-15,80.7,-1.85,6.32,"Meadows, Austin",640457,663436,single,hit_into_play,,,,,5,Austin Meadows singles on a sharp line drive to right fielder Adam Engel.,R,L,R,DET,CWS,X,9.0,line_drive,0,2,2022,0.44,-0.71,-0.15,2.43,,,,1,4,Bot,189.94,106.81,,,664874,,,2.948238140547897,-117.47757849460668,-0.6437519766576772,3.53812079597886,22.502808168928794,-38.81871685811214,3.45,1.62,278.0,108.2,15.0,80.8,2141.0,6.3,662883,663436,664874,683734,543281,660162,664901,572041,673357,641553,54.17,0.711,0.829,0.9,1.0,1.0,0.0,5.0,37,3,Curveball,0,7,0,7,7,0,0,7,Infield shift,Standard,37.0,0.007,0.317,,
FF,2022-06-15,96.1,-1.94,6.12,"Meadows, Austin",640457,663436,,foul,,,,,1,Austin Meadows singles on a sharp line drive to right fielder Adam Engel.,R,L,R,DET,CWS,S,,,0,1,2022,-0.83,1.36,-0.38,3.03,,,,1,4,Bot,,,,,664874,,,6.030685294926927,-139.68753936189347,-5.636142485816466,-12.278567738892974,33.584277010729274,-13.34757071191294,3.45,1.62,229.0,87.0,15.0,96.1,2346.0,6.5,662883,663436,664874,683734,543281,660162,664901,572041,673357,641553,54.0,,,,,,,,37,2,4-Seam Fastball,0,7,0,7,7,0,0,7,Infield shift,Standard,218.0,0.0,-0.031,,
FF,2022-06-15,93.0,-1.94,6.13,"Meadows, Austin",640457,663436,,called_strike,,,,,6,Austin Meadows singles on a sharp line drive to right fielder Adam Engel.,R,L,R,DET,CWS,S,,,0,0,2022,-0.67,1.38,0.54,2.45,,,,1,4,Bot,,,,,664874,,,7.860612460909052,-135.0633382937384,-6.677186267311416,-9.952765344675914,29.39343128267421,-14.027661175841178,3.45,1.62,,,,93.3,2270.0,6.6,662883,663436,664874,683734,543281,660162,664901,572041,673357,641553,53.95,,,,,,,,37,1,4-Seam Fastball,0,7,0,7,7,0,0,7,Infield shift,Standard,217.0,0.0,-0.024,,
FF,2022-06-14,95.5,-1.58,6.32,"Meadows, Austin",640457,656302,force_out,hit_into_play,,,,,9,"Austin Meadows grounds into a force out, first baseman Jose Abreu to shortstop Danny Mendick.   Victor Reyes to 3rd.    Harold Castro out at 2nd.    Austin Meadows to 1st.",R,L,R,DET,CWS,X,3.0,ground_ball,1,1,2022,-0.37,1.75,0.62,2.07,,622682.0,605612.0,1,5,Bot,149.68,162.84,,,624512,,,6.602980143402371,-138.7807531058072,-9.557973522427464,-6.056474019231651,26.16696850050629,-7.614165121752819,3.46,1.62,22.0,78.9,-4.0,96.1,2563.0,6.4,662884,656302,624512,547989,544725,660162,664901,572041,673357,641553,54.13,0.126,0.122,0.0,1.0,0.0,0.0,2.0,47,3,4-Seam Fastball,1,4,1,4,4,1,1,4,Infield shift,Standard,195.0,-0.049,-0.588,,
FF,2022-06-14,95.4,-1.51,6.32,"Meadows, Austin",640457,656302,,foul,,,,,12,"Austin Meadows grounds into a force out, first baseman Jose Abreu to shortstop Danny Mendick.   Victor Reyes to 3rd.    Harold Castro out at 2nd.    Austin Meadows to 1st.",R,L,R,DET,CWS,S,,,1,0,2022,-0.31,1.68,0.68,3.61,,622682.0,605612.0,1,5,Bot,,,,,624512,,,6.408366233473476,-138.69760095341456,-5.222254256146213,-5.447089130966335,32.85784860104421,-9.514389276127725,3.46,1.62,89.0,70.8,6.0,94.9,2590.0,6.2,662884,656302,624512,547989,544725,660162,664901,572041,673357,641553,54.34,,,,,,,,47,2,4-Seam Fastball,1,4,1,4,4,1,1,4,Infield shift,Standard,190.0,0.0,-0.089,,
KC,2022-06-14,80.1,-1.6,6.22,"Meadows, Austin",640457,656302,,ball,,,,,11,"Austin Meadows grounds into a force out, first baseman Jose Abreu to shortstop Danny Mendick.   Victor Reyes to 3rd.    Harold Castro out at 2nd.    Austin Meadows to 1st.",R,L,R,DET,CWS,B,,,0,0,2022,0.18,-1.3,-1.55,2.57,,622682.0,605612.0,1,5,Bot,,,,,624512,,,-0.2367199639685682,-116.73371871897558,1.0423246814153098,1.6573497967447848,21.404921411030585,-44.50776240662218,3.43,1.62,,,,80.0,2623.0,6.1,662884,656302,624512,547989,544725,660162,664901,572041,673357,641553,54.39,,,,,,,,47,1,Knuckle Curve,1,4,1,4,4,1,1,4,Infield shift,Standard,25.0,0.0,0.063,,
