pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
CH,2022-10-05,78.4,2.34,5.47,"Davis, Brendon",663478,594835,single,hit_into_play,,,,,12,Brendon Davis singles on a fly ball to center fielder Jarred Kelenic.,R,R,L,SEA,DET,X,8.0,fly_ball,1,2,2022,1.67,0.79,1.1,3.03,,,,0,7,Top,150.95,97.96,,,592200,,,-5.745355629192653,-114.03640896237567,0.1716027098636006,15.64488966603722,23.27518566818381,-25.576332474477,3.55,1.63,243.0,71.9,27.0,77.9,2025,6.2,662195,594835,592200,664034,620443,647351,641487,666211,672284,571745,54.26,0.834,0.782,0.9,1.0,1.0,0.0,4.0,52,4,Changeup,4,3,3,4,3,4,3,4,Infield shift,Standard,104,-0.071,0.458,,
FF,2022-10-05,88.5,1.9,5.7,"Davis, Brendon",663478,594835,,called_strike,,,,,4,Brendon Davis singles on a fly ball to center fielder Jarred Kelenic.,R,R,L,SEA,DET,S,,,1,1,2022,0.93,1.3,-0.59,3.01,,,,0,7,Top,,,,,592200,,,-8.023148669655804,-128.56813496954314,-3.1598452196593683,12.073940982387764,27.87963425627078,-17.313822128710992,3.59,1.74,,,,88.4,1888,6.4,662195,594835,592200,664034,620443,647351,641487,666211,672284,571745,54.07,,,,,,,,52,3,4-Seam Fastball,4,3,3,4,3,4,3,4,Infield shift,Standard,141,0.0,-0.054,,
FC,2022-10-05,85.5,2.01,5.6,"Davis, Brendon",663478,594835,,foul,,,,,12,Brendon Davis singles on a fly ball to center fielder Jarred Kelenic.,R,R,L,SEA,DET,S,,,1,0,2022,0.15,1.22,0.05,3.67,,,,0,7,Top,,,,,592200,,,-4.945148168874283,-124.56142840271632,-0.7813292594777879,2.539973816037014,23.153861157164645,-19.408797142727646,3.55,1.63,256.0,82.6,46.0,85.9,2027,6.3,662195,594835,592200,664034,620443,647351,641487,666211,672284,571745,54.21,,,,,,,,52,2,Cutter,4,3,3,4,3,4,3,4,Infield shift,Standard,144,0.0,-0.043,,
FC,2022-10-05,85.2,2.16,5.63,"Davis, Brendon",663478,594835,,ball,,,,,11,Brendon Davis singles on a fly ball to center fielder Jarred Kelenic.,R,R,L,SEA,DET,B,,,0,0,2022,0.16,0.95,-1.24,3.05,,,,0,7,Top,,,,,592200,,,-8.30873421474408,-123.93180705089225,-1.7193765826577303,3.132833637195596,22.450491169230848,-22.134196686752396,3.61,1.76,,,,85.6,2046,6.3,662195,594835,592200,664034,620443,647351,641487,666211,672284,571745,54.16,,,,,,,,52,1,Cutter,4,3,3,4,3,4,3,4,Infield shift,Standard,145,0.0,0.033,,
CH,2022-10-05,78.4,2.38,5.37,"Davis, Brendon",663478,594835,walk,ball,,,,,14,Brendon Davis walks.,R,R,L,SEA,DET,B,,,3,2,2022,1.5,0.86,1.83,2.03,,,,0,5,Top,,,,,592200,,,-3.9486358490084488,-113.990651980371,-1.8906016802964936,13.807226500992828,23.331867583733317,-24.551799250414685,3.66,1.78,,,,77.7,2108,6.1,662195,594835,592200,664034,620443,647351,641487,666211,672284,571745,54.44,,0.688744,0.7,1.0,0.0,0.0,,34,6,Changeup,2,2,2,2,2,2,2,2,Infield shift,Standard,107,-0.047,0.321,,
CH,2022-10-05,78.7,2.37,5.38,"Davis, Brendon",663478,594835,,ball,,,,,14,Brendon Davis walks.,R,R,L,SEA,DET,B,,,2,2,2022,1.33,0.53,0.92,2.05,,,,0,5,Top,,,,,592200,,,-5.581628489699809,-114.45525013750256,-1.315563930311165,12.703893114008238,23.428965178928863,-27.531771941560987,3.66,1.8,,,,78.1,2146,6.1,662195,594835,592200,664034,620443,647351,641487,666211,672284,571745,54.36,,,,,,,,34,5,Changeup,2,2,2,2,2,2,2,2,Infield shift,Standard,107,0.0,0.103,,
FF,2022-10-05,89.1,1.88,5.74,"Davis, Brendon",663478,594835,,called_strike,,,,,1,Brendon Davis walks.,R,R,L,SEA,DET,S,,,2,1,2022,0.89,1.38,-0.32,3.43,,,,0,5,Top,,,,,592200,,,-7.266132750359736,-129.63483655997317,-2.530773203962666,11.569647710004665,27.41308970467859,-16.243914410782427,3.7,1.8,,,,89.0,1951,6.3,662195,594835,592200,664034,620443,647351,641487,666211,672284,571745,54.23,,,,,,,,34,4,4-Seam Fastball,2,2,2,2,2,2,2,2,Infield shift,Standard,136,0.0,-0.066,,
CH,2022-10-05,77.8,2.39,5.33,"Davis, Brendon",663478,594835,,ball,,,,,14,Brendon Davis walks.,R,R,L,SEA,DET,B,,,1,1,2022,1.4,0.7,1.43,2.16,,,,0,5,Top,,,,,592200,,,-4.618363783287081,-113.12552544672424,-1.1258774816399968,12.880030336393146,21.8434339769616,-26.23753007622295,3.66,1.78,,,,77.5,2048,6.2,662195,594835,592200,664034,620443,647351,641487,666211,672284,571745,54.28,,,,,,,,34,3,Changeup,2,2,2,2,2,2,2,2,Infield shift,Standard,104,0.0,0.049,,
CH,2022-10-05,79.1,2.39,5.38,"Davis, Brendon",663478,594835,,swinging_strike,,,,,14,Brendon Davis walks.,R,R,L,SEA,DET,S,,,1,0,2022,1.6,0.85,1.03,1.86,,,,0,5,Top,,,,,592200,,,-5.934139459355824,-114.92893463501584,-2.388278768215049,15.274379420127003,23.079342344154306,-24.440163149284576,3.55,1.63,,,,78.6,2086,6.2,662195,594835,592200,664034,620443,647351,641487,666211,672284,571745,54.27,,,,,,,,34,2,Changeup,2,2,2,2,2,2,2,2,Infield shift,Standard,106,0.0,-0.043,,
CU,2022-10-05,77.0,2.21,5.49,"Davis, Brendon",663478,594835,,ball,,,,,13,Brendon Davis walks.,R,R,L,SEA,DET,B,,,0,0,2022,-0.41,-1.23,-0.66,0.8,,,,0,5,Top,,,,,592200,,,-5.3354197054638615,-111.95584845919606,-0.6883071645191735,-2.359820307610757,21.674955779590057,-42.5694142443669,3.66,1.72,,,,76.6,2158,6.2,662195,594835,592200,664034,620443,647351,641487,666211,672284,571745,54.29,,,,,,,,34,1,Curveball,2,2,2,2,2,2,2,2,Infield shift,Standard,330,0.0,0.033,,
