pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
SI,2022-06-10,94.0,-2.28,5.35,"Hill, Derek",656537,621244,single,hit_into_play,,,,,4,Derek Hill singles on a line drive to right fielder Teoscar Hernandez.   Spencer Torkelson to 3rd.    Tucker Barnhart to 2nd.,R,R,R,DET,TOR,X,9.0,line_drive,0,0,2022,-1.28,0.79,-0.54,2.69,,679529.0,571466.0,1,8,Bot,188.14,125.93,,,672386,,,7.366491469897358,-136.7560857428058,-2.9430796963461723,-17.72210574010794,29.63878609253789,-21.81896495043309,3.44,1.55,203.0,77.5,20.0,94.4,2138,6.5,662831,621244,672386,666971,624415,656305,669289,606132,605548,606192,54.02,0.949,0.901,0.9,1.0,1.0,0.0,4.0,68,1,Sinker,0,10,0,10,10,0,0,10,Standard,Standard,226,0.0,0.91,,
SI,2022-06-10,93.1,-2.06,5.41,"Hill, Derek",656537,621244,field_out,hit_into_play,,,,,11,"Derek Hill grounds out, second baseman Santiago Espinal to first baseman Cavan Biggio.",R,R,R,DET,TOR,X,4.0,ground_ball,1,2,2022,-1.31,0.97,-1.75,2.97,,,,0,6,Bot,121.5,153.13,,,672386,,,3.679168672262106,-135.5031185815536,-2.627714136121419,-16.8857175539742,31.26561495556373,-19.829888092282943,3.44,1.55,88.0,45.1,20.0,93.4,2093,6.6,662831,621244,672386,624415,669289,656305,666182,666971,543807,606192,53.94,0.211,0.243,0.0,1.0,0.0,0.0,1.0,51,4,Sinker,0,10,0,10,10,0,0,10,Infield shift,Strategic,224,-0.001,-0.158,,
SV,2022-06-10,83.1,-2.27,5.23,"Hill, Derek",656537,621244,,ball,,,,,14,"Derek Hill grounds out, second baseman Santiago Espinal to first baseman Cavan Biggio.",R,R,R,DET,TOR,B,,,0,2,2022,1.29,-0.23,1.36,1.55,,,,0,6,Bot,,,,,672386,,,5.786247316773101,-120.84790607599795,-1.4412335501363125,11.226615135828595,26.31445499023636,-34.290484112352345,3.33,1.55,,,,82.5,2242,6.2,662831,621244,672386,624415,669289,656305,666182,666971,543807,606192,54.29,,,,,,,,51,3,Slurve,0,10,0,10,10,0,0,10,Infield shift,Strategic,45,0.0,0.017,,
SI,2022-06-10,93.2,-2.01,5.36,"Hill, Derek",656537,621244,,called_strike,,,,,6,"Derek Hill grounds out, second baseman Santiago Espinal to first baseman Cavan Biggio.",R,R,R,DET,TOR,S,,,0,1,2022,-1.34,0.84,0.45,2.28,,,,0,6,Bot,,,,,672386,,,9.2810643028617,-135.43833762901556,-3.9937960283346015,-18.53097959963165,29.70037624755444,-21.07744089324933,3.36,1.55,,,,93.3,2081,6.5,662831,621244,672386,624415,669289,656305,666182,666971,543807,606192,54.05,,,,,,,,51,2,Sinker,0,10,0,10,10,0,0,10,Infield shift,Strategic,228,0.0,-0.046,,
FF,2022-06-10,92.9,-2.16,5.28,"Hill, Derek",656537,621244,,called_strike,,,,,2,"Derek Hill grounds out, second baseman Santiago Espinal to first baseman Cavan Biggio.",R,R,R,DET,TOR,S,,,0,0,2022,-0.78,1.5,0.1,3.1,,,,0,6,Bot,,,,,672386,,,7.523874046325803,-134.96220348994845,-3.0279933385350635,-11.267665570229893,31.87748048130986,-13.512369476802848,3.38,1.54,,,,92.7,2236,6.5,662831,621244,672386,624415,669289,656305,666182,666971,543807,606192,54.05,,,,,,,,51,1,4-Seam Fastball,0,10,0,10,10,0,0,10,Infield shift,Strategic,224,0.0,-0.034,,
FF,2022-06-10,95.4,-2.02,5.44,"Hill, Derek",656537,621244,strikeout,swinging_strike,,,,,11,Derek Hill strikes out swinging.,R,R,R,DET,TOR,S,2.0,,2,2,2022,-1.05,1.1,-1.16,3.47,,,,2,3,Bot,,,,,672386,,,4.632597489834303,-138.8322564890464,-1.9771783165939516,-14.671706069021514,33.2861724532695,-17.79811681240463,3.44,1.55,,,,95.2,2000,6.3,662831,621244,672386,624415,669289,656305,666182,666971,543807,606192,54.19,,0.0,0.0,1.0,0.0,0.0,,25,6,4-Seam Fastball,0,6,0,6,6,0,0,6,Infield shift,Strategic,229,-0.004,-0.083,,
FF,2022-06-10,95.5,-2.07,5.43,"Hill, Derek",656537,621244,,foul,,,,,5,Derek Hill strikes out swinging.,R,R,R,DET,TOR,S,,,2,2,2022,-0.91,1.12,0.0,2.18,,,,2,3,Bot,,,,,672386,,,7.51781045422112,-138.93072809859444,-5.488187079288912,-13.429918330006007,29.503014062030203,-16.614005450541274,3.44,1.55,282.0,87.6,36.0,96.0,2246,6.5,662831,621244,672386,624415,669289,656305,666182,666971,543807,606192,54.04,,,,,,,,25,5,4-Seam Fastball,0,6,0,6,6,0,0,6,Infield shift,Strategic,225,0.0,0.0,,
SI,2022-06-10,92.7,-2.03,5.34,"Hill, Derek",656537,621244,,ball,,,,,14,Derek Hill strikes out swinging.,R,R,R,DET,TOR,B,,,1,2,2022,-1.33,1.21,0.19,1.19,,,,2,3,Bot,,,,,672386,,,8.60102153421734,-134.53009951967786,-7.436755473137718,-18.03732922201619,30.30705619536388,-16.0012274469328,3.33,1.55,,,,92.9,1945,6.6,662831,621244,672386,624415,669289,656305,666182,666971,543807,606192,53.89,,,,,,,,25,4,Sinker,0,6,0,6,6,0,0,6,Infield shift,Strategic,224,0.0,0.014,,
FF,2022-06-10,93.5,-1.99,5.44,"Hill, Derek",656537,621244,,ball,,,,,12,Derek Hill strikes out swinging.,R,R,R,DET,TOR,B,,,0,2,2022,-0.36,1.43,1.63,3.51,,,,2,3,Bot,,,,,672386,,,10.132306301432296,-135.75998060806435,-2.3489835435179898,-6.649149258336967,30.127419608435407,-14.195026581651234,3.42,1.55,,,,93.6,2187,6.5,662831,621244,672386,624415,669289,656305,666182,666971,543807,606192,54.01,,,,,,,,25,3,4-Seam Fastball,0,6,0,6,6,0,0,6,Infield shift,Strategic,220,0.0,0.011,,
SI,2022-06-10,92.1,-2.27,5.29,"Hill, Derek",656537,621244,,foul,,,,,13,Derek Hill strikes out swinging.,R,R,R,DET,TOR,S,,,0,1,2022,-1.34,0.93,-1.6,1.94,,,,2,3,Bot,,,,,672386,,,4.623131256605545,-134.09311151014148,-4.70952165908449,-17.14622135240193,28.72489091455072,-20.143080080175345,3.44,1.55,,,,92.5,2001,6.5,662831,621244,672386,624415,669289,656305,666182,666971,543807,606192,54.03,,,,,,,,25,2,Sinker,0,6,0,6,6,0,0,6,Infield shift,Strategic,220,0.0,-0.023,,
