pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
FF,2022-04-30,90.1,1.32,6.1,"Garneau, Dustin",572863,477132,strikeout,called_strike,,,,,4,Dustin Garneau called out on strikes.,R,R,L,LAD,DET,S,2.0,,0,2,2022,-0.09,1.5,-0.69,2.73,,640457.0,600869.0,2,4,Top,,,,,605131,,,-4.806650288004358,-131.0491301084102,-5.59320048301642,-0.0336032572245741,28.7372687172529,-13.904574076874656,3.43,1.76,,,,90.2,2353,6.4,662698,477132,605131,518692,666158,571970,607208,621035,641355,605141,54.07,,0.0,0.0,1.0,0.0,0.0,,30,3,4-Seam Fastball,1,1,1,1,1,1,1,1,Infield shift,Strategic,172,0.052,-0.289,,
FF,2022-04-30,90.1,1.3,6.18,"Garneau, Dustin",572863,477132,,foul_tip,,,,,1,Dustin Garneau called out on strikes.,R,R,L,LAD,DET,S,,,0,1,2022,-0.49,1.58,-0.52,3.48,,640457.0,600869.0,2,4,Top,,,,,605131,,,-3.508748600508518,-131.18204429695638,-4.07552979992542,-4.823208742982108,29.255549555743126,-13.33273252568543,3.43,1.63,,,,90.3,2368,6.5,662698,477132,605131,518692,666158,571970,607208,621035,641355,605141,53.98,,,,,,,,30,2,4-Seam Fastball,1,1,1,1,1,1,1,1,Infield shift,Strategic,177,0.0,-0.095,,
SL,2022-04-30,85.9,1.27,6.17,"Garneau, Dustin",572863,477132,,swinging_strike,,,,,7,Dustin Garneau called out on strikes.,R,R,L,LAD,DET,S,,,0,0,2022,-0.2,0.66,-0.29,1.56,,640457.0,600869.0,2,4,Top,,,,,605131,,,-3.285142676564333,-124.89288725580025,-5.949795178875935,-1.3845322638476056,27.661849799716983,-24.22346133717507,3.43,1.63,,,,85.6,2573,6.4,662698,477132,605131,518692,666158,571970,607208,621035,641355,605141,54.1,,,,,,,,30,1,Slider,1,1,1,1,1,1,1,1,Infield shift,Strategic,209,0.0,-0.061,,
CU,2022-04-30,73.4,1.26,6.36,"Garneau, Dustin",572863,477132,strikeout,swinging_strike,,,,,6,Dustin Garneau strikes out swinging.,R,R,L,LAD,DET,S,2.0,,2,2,2022,-0.46,-1.31,0.68,2.8,,,,1,3,Top,,,,,605131,,,-0.3925464027408766,-106.72651698623088,2.4642732604688486,-3.3845986393702705,20.1750615791065,-42.84065784507982,3.43,1.63,,,,72.9,2358,6.2,662698,477132,605131,518692,666158,571970,607208,621035,641355,605141,54.32,,0.0,0.0,1.0,0.0,0.0,,16,6,Curveball,1,0,0,1,0,1,0,1,Infield shift,Strategic,348,0.018,-0.134,,
SL,2022-04-30,85.5,1.49,6.14,"Garneau, Dustin",572863,477132,,ball,,,,,13,Dustin Garneau strikes out swinging.,R,R,L,LAD,DET,B,,,1,2,2022,-0.72,0.04,-1.14,0.77,,,,1,3,Top,,,,,605131,,,-4.751041796981946,-124.51198148401092,-6.527155848413669,-6.631389925459303,22.87438881397828,-30.717648278137776,3.49,1.72,,,,85.7,2607,6.2,662698,477132,605131,518692,666158,571970,607208,621035,641355,605141,54.3,,,,,,,,16,5,Slider,1,0,0,1,0,1,0,1,Infield shift,Strategic,260,0.0,0.023,,
FF,2022-04-30,90.9,1.53,6.06,"Garneau, Dustin",572863,477132,,ball,,,,,14,Dustin Garneau strikes out swinging.,R,R,L,LAD,DET,B,,,0,2,2022,0.07,1.57,1.34,1.26,,,,1,3,Top,,,,,605131,,,-0.6367775874075513,-132.133638003923,-9.51093326488231,0.97459458110984,26.851085828521818,-12.017992721953616,3.42,1.82,,,,91.3,2424,6.5,662698,477132,605131,518692,666158,571970,607208,621035,641355,605141,54.01,,,,,,,,16,4,4-Seam Fastball,1,0,0,1,0,1,0,1,Infield shift,Strategic,168,0.0,0.011,,
SL,2022-04-30,86.0,1.43,6.19,"Garneau, Dustin",572863,477132,,foul,,,,,7,Dustin Garneau strikes out swinging.,R,R,L,LAD,DET,S,,,0,2,2022,-0.46,0.22,-0.56,1.57,,,,1,3,Top,,,,,605131,,,-3.7981310740838703,-125.29687579935114,-5.263720890344729,-4.173475919438138,22.17140276349089,-29.039525871880112,3.43,1.63,4.0,99.0,-23.0,86.6,2657,6.4,662698,477132,605131,518692,666158,571970,607208,621035,641355,605141,54.15,,,,,,,,16,3,Slider,1,0,0,1,0,1,0,1,Infield shift,Strategic,233,0.0,0.0,,
CU,2022-04-30,72.9,1.3,6.24,"Garneau, Dustin",572863,477132,,called_strike,,,,,9,Dustin Garneau strikes out swinging.,R,R,L,LAD,DET,S,,,0,1,2022,-0.58,-1.45,0.74,1.85,,,,1,3,Top,,,,,605131,,,-0.1267870873006052,-106.13567669837614,1.1142373549105402,-4.307604346061974,19.90179064812256,-43.51400695277128,3.45,1.7,,,,72.8,2456,6.4,662698,477132,605131,518692,666158,571970,607208,621035,641355,605141,54.12,,,,,,,,16,2,Curveball,1,0,0,1,0,1,0,1,Infield shift,Strategic,338,0.0,-0.031,,
FF,2022-04-30,90.6,1.47,6.1,"Garneau, Dustin",572863,477132,,called_strike,,,,,8,Dustin Garneau strikes out swinging.,R,R,L,LAD,DET,S,,,0,0,2022,0.11,1.57,-0.18,1.66,,,,1,3,Top,,,,,605131,,,-4.361415736788009,-131.6374814615441,-8.49252986015731,2.1925669894122213,27.93596287289286,-12.291338398695071,3.55,1.73,,,,90.7,2424,6.4,662698,477132,605131,518692,666158,571970,607208,621035,641355,605141,54.09,,,,,,,,16,1,4-Seam Fastball,1,0,0,1,0,1,0,1,Infield shift,Strategic,171,0.0,-0.024,,
SL,2022-04-23,83.4,2.07,6.55,"Garneau, Dustin",572863,596295,single,hit_into_play,,,,,3,Dustin Garneau singles on a line drive to right fielder Charlie Blackmon.,R,R,L,DET,COL,X,9.0,line_drive,2,2,2022,-0.58,0.09,0.28,2.93,,,,1,5,Bot,173.02,108.4,,,624513,,,-2.998402069619816,-121.55939019046718,-2.1865812590631912,-5.319380657369452,20.182333467194365,-31.066233760529062,3.48,1.64,210.0,94.4,12.0,84.4,2446,6.5,662849,596295,624513,656582,676701,641857,578428,592178,656541,453568,54.01,0.874,0.839,0.9,1.0,1.0,0.0,4.0,37,7,Slider,0,3,0,3,3,0,0,3,Infield shift,Standard,214,0.029,0.284,,
