pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
FF,2022-10-05,88.8,1.94,5.76,"Candelario, Jeimer",600869,594835,field_out,hit_into_play,,,,,1,"Jeimer Candelario grounds out, second baseman Luis Torrens to first baseman Ty France.",R,R,L,SEA,DET,X,4.0,ground_ball,1,2,2022,1.07,1.2,-0.58,3.06,,,,1,6,Top,117.04,153.61,,,592200,,,-8.365656454431159,-129.09919233040594,-3.0800652140626967,13.64432587162507,26.16927059357887,-18.237062571755125,3.33,1.64,24.0,68.5,-5.0,88.6,1871,6.1,662195,594835,592200,664034,620443,647351,641487,666211,672284,571745,54.37,0.089,0.08,0.0,1.0,0.0,0.0,2.0,44,5,4-Seam Fastball,2,3,3,2,3,2,3,2,Standard,Standard,137,0.018,-0.112,,
CH,2022-10-05,79.4,2.44,5.32,"Candelario, Jeimer",600869,594835,,ball,,,,,14,"Jeimer Candelario grounds out, second baseman Luis Torrens to first baseman Ty France.",R,R,L,SEA,DET,B,,,0,2,2022,1.41,0.58,1.36,1.86,,,,1,6,Top,,,,,592200,,,-4.990772791465044,-115.51033866247488,-1.8461018870819248,13.580676875815682,22.637227785041212,-26.862196702482315,3.26,1.62,,,,79.0,2058,6.2,662195,594835,592200,664034,620443,647351,641487,666211,672284,571745,54.35,,,,,,,,44,4,Changeup,2,3,3,2,3,2,3,2,Standard,Standard,101,0.0,0.011,,
CU,2022-10-05,78.8,2.22,5.42,"Candelario, Jeimer",600869,594835,,foul,,,,,13,"Jeimer Candelario grounds out, second baseman Luis Torrens to first baseman Ty France.",R,R,L,SEA,DET,S,,,0,2,2022,-0.13,-0.98,-0.78,1.34,,,,1,6,Top,,,,,592200,,,-6.242067981876961,-114.68671618402917,-0.2261879901511769,0.0582674134085474,21.51982033675781,-40.96118079724348,3.33,1.64,11.0,21.8,11.0,78.4,2062,6.0,662195,594835,592200,664034,620443,647351,641487,666211,672284,571745,54.5,,,,,,,,44,3,Curveball,2,3,3,2,3,2,3,2,Standard,Standard,327,0.0,0.0,,
FC,2022-10-05,86.1,2.18,5.55,"Candelario, Jeimer",600869,594835,,foul,,,,,1,"Jeimer Candelario grounds out, second baseman Luis Torrens to first baseman Ty France.",R,R,L,SEA,DET,S,,,0,1,2022,0.08,1.12,-0.47,2.92,,,,1,6,Top,,,,,592200,,,-6.481580826512302,-125.31002525561746,-2.293576764646705,2.16487403884912,24.769980740350206,-20.09677907432796,3.33,1.64,106.0,46.7,50.0,86.3,1958,6.3,662195,594835,592200,664034,620443,647351,641487,666211,672284,571745,54.16,,,,,,,,44,2,Cutter,2,3,3,2,3,2,3,2,Standard,Standard,149,0.0,-0.031,,
CU,2022-10-05,77.5,2.15,5.49,"Candelario, Jeimer",600869,594835,,called_strike,,,,,7,"Jeimer Candelario grounds out, second baseman Luis Torrens to first baseman Ty France.",R,R,L,SEA,DET,S,,,0,0,2022,-0.18,-1.17,-0.54,1.99,,,,1,6,Top,,,,,592200,,,-5.406112898800875,-112.61877186693992,1.6739307024253351,-0.432915113094011,21.891785711628533,-42.68142226379437,3.35,1.66,,,,77.0,2071,6.2,662195,594835,592200,664034,620443,647351,641487,666211,672284,571745,54.31,,,,,,,,44,1,Curveball,2,3,3,2,3,2,3,2,Infield shade,Standard,326,0.0,-0.024,,
CH,2022-10-05,78.7,2.38,5.3,"Candelario, Jeimer",600869,594835,single,hit_into_play,,,,,14,Jeimer Candelario singles on a ground ball to third baseman Abraham Toro.   Spencer Torkelson scores.    Eric Haase scores.    Jeimer Candelario to 2nd.  Throwing error by third baseman Abraham Toro.,R,R,L,SEA,DET,X,5.0,ground_ball,2,1,2022,1.35,0.57,1.25,1.49,679529.0,606992.0,,2,4,Top,106.23,172.18,,,592200,,,-4.956334673322726,-114.57650702089958,-2.515549625529249,12.831422637154786,20.590205096822032,-26.92109348274729,3.33,1.64,2.0,67.2,-38.0,78.8,1939,6.2,662195,594835,592200,664034,620443,647351,641487,666211,677594,571745,54.26,0.106,0.092,0.9,1.0,1.0,0.0,2.0,29,4,Changeup,2,0,0,2,2,2,2,2,Standard,Standard,106,-0.207,1.473,,
CH,2022-10-05,80.1,2.41,5.31,"Candelario, Jeimer",600869,594835,,swinging_strike,,,,,13,Jeimer Candelario singles on a ground ball to third baseman Abraham Toro.   Spencer Torkelson scores.    Eric Haase scores.    Jeimer Candelario to 2nd.  Throwing error by third baseman Abraham Toro.,R,R,L,SEA,DET,S,,,2,0,2022,1.43,0.39,-0.08,1.14,679529.0,606992.0,,2,4,Top,,,,,592200,,,-8.17103302221978,-116.35204144445768,-3.248501054552807,14.471800452562864,21.26020122240056,-28.18227973915773,3.33,1.64,,,,80.0,2067,6.2,662195,594835,592200,664034,620443,647351,641487,666211,677594,571745,54.27,,,,,,,,29,3,Changeup,2,0,0,2,0,2,0,2,Infield shade,Standard,104,0.0,-0.068,,
FF,2022-10-05,89.1,1.95,5.63,"Candelario, Jeimer",600869,594835,,ball,,,,,13,Jeimer Candelario singles on a ground ball to third baseman Abraham Toro.   Spencer Torkelson scores.    Eric Haase scores.    Jeimer Candelario to 2nd.  Throwing error by third baseman Abraham Toro.,R,R,L,SEA,DET,B,,,1,0,2022,0.97,1.26,-1.02,2.34,679529.0,606992.0,,2,4,Top,,,,,592200,,,-9.343451673068236,-129.49728631164555,-4.748108584929926,12.753039061557942,25.018048716914336,-17.117519357926774,3.29,1.55,,,,89.6,1970,6.5,662195,594835,592200,664034,620443,647351,641487,666211,677594,571745,54.01,,,,,,,,29,2,4-Seam Fastball,2,0,0,2,0,2,0,2,Infield shade,Standard,143,0.0,0.049,,
FC,2022-10-05,86.9,2.07,5.6,"Candelario, Jeimer",600869,594835,,ball,,,,,11,Jeimer Candelario singles on a ground ball to third baseman Abraham Toro.   Spencer Torkelson scores.    Eric Haase scores.    Jeimer Candelario to 2nd.  Throwing error by third baseman Abraham Toro.,R,R,L,SEA,DET,B,,,0,0,2022,0.28,1.02,-0.42,3.84,679529.0,606992.0,,2,4,Top,,,,,592200,,,-6.577626470299389,-126.46269239886168,-0.1681212183672493,4.22431318027323,22.77210366084413,-21.32294239997656,3.29,1.53,,,,87.6,1972,6.5,662195,594835,592200,664034,620443,647351,641487,666211,677594,571745,54.01,,,,,,,,29,1,Cutter,2,0,0,2,0,2,0,2,Infield shade,Standard,146,0.0,0.048,,
CH,2022-10-05,78.9,2.37,5.41,"Candelario, Jeimer",600869,594835,single,hit_into_play,,,,,9,Jeimer Candelario singles on a sharp ground ball to left fielder Taylor Trammell.,R,R,L,SEA,DET,X,7.0,ground_ball,2,1,2022,1.35,0.94,0.69,1.87,,,,2,2,Top,71.07,121.99,,,592200,,,-6.153868214865959,-114.79267916052444,-2.616418060457533,13.096539784248574,21.935594065117883,-23.57366932559143,3.33,1.64,143.0,101.0,8.0,78.8,2033,6.3,662195,594835,592200,664034,620443,647351,641487,666211,677594,571745,54.21,0.686,0.633,0.9,1.0,1.0,0.0,4.0,11,4,Changeup,2,0,0,2,0,2,0,2,Infield shade,Standard,105,-0.013,0.102,,
