pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
FC,2022-10-05,86.1,2.15,5.58,"Schoop, Jonathan",570731,594835,field_out,hit_into_play,,,,,11,Jonathan Schoop pops out to first baseman Ty France in foul territory.,R,R,L,SEA,DET,X,3.0,popup,0,1,2022,0.28,1.19,-0.2,3.88,,,,2,6,Top,168.24,179.46,,,592200,,,-6.155104906033949,-125.33713134668356,-0.299252826743466,4.104952656835799,22.603654966859065,-19.6414318846352,3.51,1.7,127.0,69.6,69.0,86.6,2046.0,6.3,662195,594835,592200,664034,620443,647351,641487,666211,672284,571745,54.16,0.0,0.0,0.0,1.0,0.0,0.0,3.0,45,2,Cutter,2,3,3,2,3,2,3,2,Infield shift,Standard,141.0,0.012,-0.082,,
CH,2022-10-05,79.2,2.38,5.37,"Schoop, Jonathan",570731,594835,,called_strike,,,,,9,Jonathan Schoop pops out to first baseman Ty France in foul territory.,R,R,L,SEA,DET,S,,,0,0,2022,1.66,0.86,0.57,1.86,,,,2,6,Top,,,,,592200,,,-7.054005310306818,-115.09271422356,-2.4265578405704704,16.034028217114106,22.37268621205148,-24.297187608960986,3.4,1.66,,,,79.0,2101.0,6.3,662195,594835,592200,664034,620443,647351,641487,666211,672284,571745,54.18,,,,,,,,45,1,Changeup,2,3,3,2,3,2,3,2,Infield shift,Standard,101.0,0.0,-0.017,,
FF,2022-10-05,89.7,1.91,5.71,"Schoop, Jonathan",570731,594835,field_out,hit_into_play,,,,,1,Jonathan Schoop flies out to center fielder Julio Rodriguez.,R,R,L,SEA,DET,X,8.0,fly_ball,0,0,2022,0.9,1.23,-0.54,3.25,,600869.0,,2,4,Top,98.47,76.42,,,592200,,,-7.971692202231797,-130.5085430184804,-2.7431365699639305,11.90385148923118,25.886355757071037,-17.66909254983768,3.51,1.7,312.0,84.6,31.0,90.2,1990.0,6.5,662195,594835,592200,664034,620443,647351,641487,666211,677594,571745,54.05,0.049,0.063,0.0,1.0,0.0,0.0,3.0,30,1,4-Seam Fastball,2,2,2,2,2,2,2,2,Standard,Standard,144.0,0.041,-0.312,,
CH,2022-10-05,78.1,2.3,5.38,"Schoop, Jonathan",570731,594835,field_out,hit_into_play,,,,,9,Jonathan Schoop pops out to first baseman Ty France in foul territory.,R,R,L,SEA,DET,X,3.0,popup,0,1,2022,1.18,1.03,0.73,1.67,,,600869.0,2,2,Top,170.81,162.63,,,592200,,,-5.532868394299002,-113.55622000130391,-2.9691545519336597,11.189644651347535,21.138034075478508,-22.954425880897293,3.51,1.7,145.0,59.6,55.0,78.0,2015.0,6.3,662195,594835,592200,664034,620443,647351,641487,666211,677594,571745,54.21,0.029,0.026,0.0,1.0,0.0,0.0,3.0,12,2,Changeup,2,0,0,2,0,2,0,2,Infield shift,Standard,104.0,0.022,-0.183,,
FC,2022-10-05,85.2,2.18,5.6,"Schoop, Jonathan",570731,594835,,called_strike,,,,,4,Jonathan Schoop pops out to first baseman Ty France in foul territory.,R,R,L,SEA,DET,S,,,0,0,2022,0.08,0.81,-0.44,2.77,,,600869.0,2,2,Top,,,,,592200,,,-6.347166925206923,-124.02769690834327,-2.077144260737381,1.953418697952164,20.922382006901707,-23.53110924472165,3.55,1.66,,,,86.0,1867.0,6.4,662195,594835,592200,664034,620443,647351,641487,666211,677594,571745,54.06,,,,,,,,12,1,Cutter,2,0,0,2,0,2,0,2,Infield shift,Standard,146.0,0.0,-0.035,,
ST,2022-10-05,82.4,-3.72,4.49,"Schoop, Jonathan",570731,623149,strikeout,swinging_strike,,,,,14,Jonathan Schoop strikes out swinging.,R,R,R,SEA,DET,S,2.0,,0,2,2022,1.17,0.97,1.13,1.5,,,,2,8,Top,,,,,592200,,,8.741984605497091,-119.68639073658056,-2.069483908296417,9.34253467068385,25.32873564819592,-22.708724834267677,3.51,1.7,,,,82.0,2577.0,6.3,662195,623149,592200,664034,620443,647351,641487,666211,672284,571745,54.15,,0.0,0.0,1.0,0.0,0.0,,64,3,Sweeper,4,4,4,4,4,4,4,4,Infield shift,Standard,88.0,0.025,-0.059,,
FF,2022-10-05,91.2,-3.62,4.49,"Schoop, Jonathan",570731,623149,,called_strike,,,,,3,Jonathan Schoop strikes out swinging.,R,R,R,SEA,DET,S,,,0,1,2022,-0.95,1.09,0.79,2.97,,,,2,8,Top,,,,,592200,,,13.136389439660782,-132.1546461156974,-0.2362965804048949,-13.911937313739854,28.16453999275502,-19.533211202675083,3.53,1.72,,,,91.1,2512.0,6.5,662195,623149,592200,664034,620443,647351,641487,666211,672284,571745,54.02,,,,,,,,64,2,4-Seam Fastball,4,4,4,4,4,4,4,4,Infield shift,Standard,230.0,0.0,-0.023,,
FF,2022-10-05,91.1,-3.66,4.42,"Schoop, Jonathan",570731,623149,,foul,,,,,6,Jonathan Schoop strikes out swinging.,R,R,R,SEA,DET,S,,,0,0,2022,-0.67,1.11,0.29,2.92,,,,2,8,Top,,,,,592200,,,11.331418846854078,-132.13541090898585,-0.1962202768873174,-10.355854695213592,28.825696590822893,-19.38557396805123,3.51,1.7,164.0,73.0,62.0,90.9,2493.0,6.4,662195,623149,592200,664034,620443,647351,641487,666211,672284,571745,54.1,,,,,,,,64,1,4-Seam Fastball,4,4,4,4,4,4,4,4,Infield shift,Standard,237.0,0.0,-0.017,,
SI,2022-10-04,91.7,1.3,5.45,"Schoop, Jonathan",570731,656954,single,hit_into_play,,,,,8,Jonathan Schoop singles on a ground ball to left fielder Jarred Kelenic.   Spencer Torkelson to 3rd.    Jeimer Candelario to 2nd.,R,R,L,SEA,DET,X,7.0,ground_ball,1,0,2022,0.97,0.62,-0.17,2.16,,679529.0,600869.0,1,5,Top,67.86,115.59,,,620443,,,-5.775066734426698,-133.3736277337663,-3.767795327372743,12.802647657995797,28.825113350084436,-24.19098162681093,3.53,1.7,16.0,103.7,-7.0,91.1,1998.0,6.0,662199,656954,620443,467793,647351,553993,664238,672284,677594,624428,54.52,0.351,0.321,0.9,1.0,1.0,0.0,2.0,44,2,Sinker,4,1,1,4,1,4,1,4,Standard,Standard,143.0,-0.071,0.847,,
FF,2022-10-04,91.7,1.02,5.61,"Schoop, Jonathan",570731,656954,,ball,,,,,11,Jonathan Schoop singles on a ground ball to left fielder Jarred Kelenic.   Spencer Torkelson to 3rd.    Jeimer Candelario to 2nd.,R,R,L,SEA,DET,B,,,0,0,2022,0.25,1.04,-0.59,4.72,,679529.0,600869.0,1,5,Top,,,,,620443,,,-4.5827909544600525,-133.50944043935104,1.3459228361049944,4.009519083065633,27.765018813391773,-20.22783128810873,3.53,1.76,,,,91.3,1974.0,6.0,662199,656954,620443,467793,647351,553993,664238,672284,677594,624428,54.54,,,,,,,,44,1,4-Seam Fastball,4,1,1,4,1,4,1,4,Standard,Standard,153.0,0.0,0.063,,
CH,2022-10-04,88.0,1.4,5.46,"Schoop, Jonathan",570731,656954,field_out,hit_into_play,,,,,6,"Jonathan Schoop grounds out, catcher Luis Torrens to first baseman Carlos Santana.",R,R,L,SEA,DET,X,2.0,ground_ball,0,0,2022,1.3,0.28,0.73,2.32,622682.0,679529.0,,1,3,Top,127.69,195.18,,,620443,,,-4.273518513256152,-128.1003176514408,-2.0637227059330425,15.16194610058397,27.5683533502363,-28.874480781559704,3.53,1.7,1.0,34.4,-75.0,87.1,1809.0,5.8,662199,656954,620443,467793,647351,553993,664238,672284,677594,624428,54.69,0.18,0.168,0.0,1.0,0.0,0.0,1.0,24,1,Changeup,1,1,1,1,1,1,1,1,Standard,Standard,133.0,0.087,-0.355,,
SL,2022-10-04,84.5,1.22,5.46,"Schoop, Jonathan",570731,656954,hit_by_pitch,hit_by_pitch,,,,,13,Jonathan Schoop hit by pitch.    Jeimer Candelario to 2nd.,R,R,L,SEA,DET,B,,,1,2,2022,-1.38,0.06,-2.51,0.44,668731.0,,600869.0,2,1,Top,,,,,620443,,,-5.908190579956579,-122.8933000572426,-5.415745647324369,-12.771671250916649,24.37340950421014,-30.655542870780856,3.53,1.7,,,,83.8,2659.0,5.8,662199,656954,620443,467793,647351,553993,664238,672284,677594,624428,54.67,,0.720213,0.7,1.0,0.0,0.0,,5,5,Slider,0,0,0,0,0,0,0,0,Standard,Standard,306.0,-0.025,0.413,,
