pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
CH,2022-09-06,87.6,-2.11,5.41,"Lester, Josh",623507,594577,strikeout,swinging_strike,,,,,13,Josh Lester strikes out swinging.,R,L,R,LAA,DET,S,2.0,,2,2,2022,-1.16,0.19,-0.11,1.32,,,679529.0,2,4,Top,,,,,545358,,,7.248908665717831,-127.40385941507584,-4.163226221911322,-14.12868357052044,24.239744461157446,-29.52474118098974,3.49,1.6,,,,87.9,1417,6.4,663407,594577,545358,645801,650859,622110,664058,666176,545361,621493,54.15,,0.0,0.0,1.0,0.0,0.0,,27,6,Changeup,3,1,1,3,1,3,1,3,Infield shift,Standard,237,0.025,-0.188,,
SL,2022-09-06,85.5,-2.27,5.42,"Lester, Josh",623507,594577,,blocked_ball,,,,,14,Josh Lester strikes out swinging.,R,L,R,LAA,DET,B,,,1,2,2022,0.41,-0.17,0.14,0.12,,,679529.0,2,4,Top,,,,,545358,,,4.854269739473604,-124.36697030974852,-5.858356272493708,3.24095089619976,24.838617238068807,-32.96754856775147,3.58,1.69,,,,85.3,2049,6.2,663407,594577,545358,645801,650859,622110,664058,666176,545361,621493,54.32,,,,,,,,27,5,Slider,3,1,1,3,1,3,1,3,Infield shift,Standard,75,0.0,0.029,,
SL,2022-09-06,84.5,-2.26,5.46,"Lester, Josh",623507,594577,,foul,,,,,13,Josh Lester strikes out swinging.,R,L,R,LAA,DET,S,,,1,2,2022,0.23,-0.09,-0.22,1.36,,,679529.0,2,4,Top,,,,,545358,,,4.27017307835074,-123.08620711009738,-3.0248816167282517,1.585428910380025,23.38471618570204,-32.74803814820265,3.49,1.6,3.0,67.4,-27.0,84.3,2079,6.0,663407,594577,545358,645801,650859,622110,664058,666176,545361,621493,54.49,,,,,,,,27,4,Slider,3,1,1,3,1,3,1,3,Infield shift,Standard,112,0.0,0.0,,
FF,2022-09-06,94.3,-1.91,5.49,"Lester, Josh",623507,594577,,foul,,,,,7,Josh Lester strikes out swinging.,R,L,R,LAA,DET,S,,,1,1,2022,-0.99,1.35,-0.29,1.91,,,679529.0,2,4,Top,,,,,545358,,,6.395095158534696,-137.0315011262318,-6.551370294894521,-13.91994854420801,31.14421887548592,-13.897941316927165,3.49,1.6,211.0,74.7,25.0,94.0,2261,6.3,663407,594577,545358,645801,650859,622110,664058,666176,545361,621493,54.24,,,,,,,,27,3,4-Seam Fastball,3,1,1,3,1,3,1,3,Infield shift,Standard,220,0.0,-0.051,,
CH,2022-09-06,87.7,-1.97,5.49,"Lester, Josh",623507,594577,,ball,,,,,13,Josh Lester strikes out swinging.,R,L,R,LAA,DET,B,,,0,1,2022,-1.21,0.37,-0.06,1.05,,,679529.0,2,4,Top,,,,,545358,,,7.117375881318389,-127.47031307987534,-5.361401028499233,-14.634023065485914,25.87842790387729,-27.264935094074456,3.53,1.65,,,,87.8,1440,6.4,663407,594577,545358,645801,650859,622110,664058,666176,545361,621493,54.12,,,,,,,,27,2,Changeup,3,1,1,3,1,3,1,3,Infield shift,Standard,242,0.0,0.026,,
SL,2022-09-06,84.7,-2.38,5.5,"Lester, Josh",623507,594577,,foul_tip,,,,,8,Josh Lester strikes out swinging.,R,L,R,LAA,DET,S,,,0,0,2022,0.34,0.07,-0.18,1.71,,,679529.0,2,4,Top,,,,,545358,,,4.450701385971998,-123.39845590199086,-2.667316162925656,2.652063307902442,24.07970414861962,-31.16961359703746,3.49,1.6,,,,84.6,2083,6.1,663407,594577,545358,645801,650859,622110,664058,666176,545361,621493,54.4,,,,,,,,27,1,Slider,3,1,1,3,1,3,1,3,Infield shift,Standard,98,0.0,-0.035,,
FF,2022-09-06,94.5,-2.01,5.56,"Lester, Josh",623507,594577,field_out,hit_into_play,,,,,4,"Josh Lester grounds out sharply, shortstop David Fletcher to first baseman Mike Ford.",R,L,R,LAA,DET,X,6.0,ground_ball,1,0,2022,-0.7,1.23,-0.28,2.34,,,,2,2,Top,159.22,142.39,,,545358,,,6.03840834457544,-137.51542412106124,-5.450872953374809,-10.174920505981753,29.971025925731315,-15.48080166131415,3.49,1.6,168.0,108.7,10.0,94.3,2264,6.2,663407,594577,545358,645801,650859,622110,664058,666176,545361,621493,54.35,0.871,0.883,0.0,1.0,0.0,0.0,5.0,10,2,4-Seam Fastball,1,0,0,1,0,1,0,1,Infield shift,Standard,223,0.011,-0.114,,
CU,2022-09-06,77.4,-2.04,5.74,"Lester, Josh",623507,594577,,ball,,,,,13,"Josh Lester grounds out sharply, shortstop David Fletcher to first baseman Mike Ford.",R,L,R,LAA,DET,B,,,0,0,2022,0.71,-1.0,-0.18,0.74,,,,2,2,Top,,,,,545358,,,2.674725960611429,-112.72316703318288,-1.8364335820069964,5.43015623822829,22.566557261749832,-40.507935172046025,3.53,1.6,,,,76.8,2517,6.1,663407,594577,545358,645801,650859,622110,664058,666176,545361,621493,54.44,,,,,,,,10,1,Curveball,1,0,0,1,0,1,0,1,Infield shift,Standard,49,0.0,0.015,,
SI,2022-09-06,91.8,4.29,4.34,"Lester, Josh",623507,571901,field_out,hit_into_play,,,,,9,"Josh Lester grounds out, shortstop David Fletcher to first baseman Mike Ford.",R,L,L,LAA,DET,X,6.0,ground_ball,1,1,2022,1.63,0.29,0.31,1.9,,,,1,7,Top,155.59,155.91,,,545358,,,-13.453895516000406,-132.980966167733,-0.8995833678765143,22.22864836435463,28.61127479172629,-28.724666032405835,3.49,1.6,3.0,88.5,-29.0,90.9,2245,6.0,663407,571901,545358,645801,650859,622110,664058,666176,545361,621493,54.52,0.066,0.052,0.0,1.0,0.0,0.0,2.0,46,3,Sinker,3,2,2,3,2,3,2,3,Infield shift,Standard,104,0.031,-0.148,,
SI,2022-09-06,91.0,4.28,4.31,"Lester, Josh",623507,571901,,ball,,,,,7,"Josh Lester grounds out, shortstop David Fletcher to first baseman Mike Ford.",R,L,L,LAA,DET,B,,,0,1,2022,1.59,0.45,-0.83,1.87,,,,1,7,Top,,,,,545358,,,-16.056048170393765,-131.64536746192385,-1.136273638727925,21.79902173621666,26.02001164419969,-26.93176304037095,3.54,1.72,,,,90.3,2245,6.1,663407,571901,545358,645801,650859,622110,664058,666176,545361,621493,54.44,,,,,,,,46,2,Sinker,3,2,2,3,2,3,2,3,Infield shift,Standard,109,0.0,0.016,,
