pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
FF,2022-10-05,87.8,1.92,5.59,"Clemens, Kody",665019,594835,field_out,hit_into_play,,,,,9,Kody Clemens flies out to center fielder Jarred Kelenic.,R,L,L,SEA,DET,X,8.0,fly_ball,0,1,2022,1.32,1.17,0.51,2.15,663478.0,,668731.0,1,7,Top,119.94,105.15,,,592200,,,-6.17644776353853,-127.63031511686616,-4.584799067282028,15.71636846002671,28.489741394765357,-18.67599800494817,3.42,1.67,237.0,76.1,44.0,87.8,1967.0,6.5,662195,594835,592200,664034,620443,647351,641487,666211,672284,571745,53.98,0.12,0.133,0.0,1.0,0.0,0.0,3.0,55,2,4-Seam Fastball,4,3,3,4,3,4,3,4,Standard,Standard,118.0,0.124,-0.208,,
FF,2022-10-05,89.1,1.87,5.66,"Clemens, Kody",665019,594835,,called_strike,,,,,4,Kody Clemens flies out to center fielder Jarred Kelenic.,R,L,L,SEA,DET,S,,,0,0,2022,1.17,1.34,-0.81,2.48,663478.0,,668731.0,1,7,Top,,,,,592200,,,-9.073398895502669,-129.3806308981101,-4.566490362980396,15.076969188406762,27.758152569048896,-16.34471243573994,3.42,1.58,,,,89.2,1969.0,6.5,662195,594835,592200,664034,620443,647351,641487,666211,672284,571745,53.96,,,,,,,,55,1,4-Seam Fastball,4,3,3,4,3,4,3,4,Standard,Standard,136.0,0.0,-0.073,,
SL,2022-10-04,80.9,1.37,5.5,"Clemens, Kody",665019,656954,home_run,hit_into_play,,,,,4,Kody Clemens hits a grand slam (5) to right center field.   Spencer Torkelson scores.    Jeimer Candelario scores.    Jonathan Schoop scores.,R,L,L,SEA,DET,X,,fly_ball,1,2,2022,-1.17,0.02,-0.52,2.56,679529.0,600869.0,570731.0,1,5,Top,200.29,49.72,,,620443,,,-1.9631337249755825,-117.9478990074621,-0.0141706740069609,-10.631989359196726,21.57362579652077,-32.210955621356256,3.42,1.67,411.0,104.9,28.0,80.6,2442.0,5.9,662199,656954,620443,467793,647351,553993,664238,672284,677594,624428,54.59,0.854,1.726,2.0,1.0,0.0,3.0,6.0,45,5,Slider,4,1,1,4,5,4,5,4,Standard,Standard,303.0,-0.353,2.877,,
SL,2022-10-04,81.7,1.48,5.53,"Clemens, Kody",665019,656954,,foul,,,,,2,Kody Clemens hits a grand slam (5) to right center field.   Spencer Torkelson scores.    Jeimer Candelario scores.    Jonathan Schoop scores.,R,L,L,SEA,DET,S,,,1,2,2022,-1.31,-0.11,-0.09,3.03,679529.0,600869.0,570731.0,1,5,Top,,,,,620443,,,-1.0164692138229057,-118.98767530673814,1.1412992392161434,-12.190663156878546,23.136138973369253,-33.691467197600225,3.42,1.67,180.0,67.1,24.0,81.3,2479.0,6.0,662199,656954,620443,467793,647351,553993,664238,672284,677594,624428,54.49,,,,,,,,45,4,Slider,4,1,1,4,1,4,1,4,Standard,Standard,308.0,0.0,0.0,,
SI,2022-10-04,91.1,1.35,5.45,"Clemens, Kody",665019,656954,,foul,,,,,13,Kody Clemens hits a grand slam (5) to right center field.   Spencer Torkelson scores.    Jeimer Candelario scores.    Jonathan Schoop scores.,R,L,L,SEA,DET,S,,,1,1,2022,0.93,0.69,-1.1,2.08,679529.0,600869.0,570731.0,1,5,Top,,,,,620443,,,-8.108106860338825,-132.42739043537813,-4.008776255839031,12.659501279221423,28.253170255415743,-23.376738016719585,3.42,1.67,,,,90.7,2075.0,6.1,662199,656954,620443,467793,647351,553993,664238,672284,677594,624428,54.4,,,,,,,,45,3,Sinker,4,1,1,4,1,4,1,4,Standard,Standard,153.0,0.0,-0.119,,
SL,2022-10-04,81.6,1.37,5.52,"Clemens, Kody",665019,656954,,blocked_ball,,,,,13,Kody Clemens hits a grand slam (5) to right center field.   Spencer Torkelson scores.    Jeimer Candelario scores.    Jonathan Schoop scores.,R,L,L,SEA,DET,B,,,0,1,2022,-1.04,0.27,-2.09,0.49,679529.0,600869.0,570731.0,1,5,Top,,,,,620443,,,-5.7555110049154345,-118.73994977557248,-5.250991088982518,-8.787281876451331,22.58808996834826,-28.806626082322943,3.42,1.74,,,,81.2,2537.0,6.0,662199,656954,620443,467793,647351,553993,664238,672284,677594,624428,54.5,,,,,,,,45,2,Slider,4,1,1,4,1,4,1,4,Standard,Standard,321.0,0.0,0.013,,
SL,2022-10-04,81.5,1.48,5.57,"Clemens, Kody",665019,656954,,swinging_strike,,,,,13,Kody Clemens hits a grand slam (5) to right center field.   Spencer Torkelson scores.    Jeimer Candelario scores.    Jonathan Schoop scores.,R,L,L,SEA,DET,S,,,0,0,2022,-0.9,0.08,-0.43,1.4,679529.0,600869.0,570731.0,1,5,Top,,,,,620443,,,-2.565958915827871,-118.77638798474656,-2.969447061351845,-8.049932074197619,21.6377326285134,-31.108968047598687,3.42,1.67,,,,81.3,2508.0,6.0,662199,656954,620443,467793,647351,553993,664238,672284,677594,624428,54.51,,,,,,,,45,1,Slider,4,1,1,4,1,4,1,4,Standard,Standard,296.0,0.0,-0.073,,
SI,2022-10-04,92.1,1.27,5.49,"Clemens, Kody",665019,656954,field_out,hit_into_play,,,,,3,Kody Clemens pops out to shortstop Dylan Moore.,R,L,L,SEA,DET,X,6.0,popup,0,0,2022,1.22,0.88,0.42,3.22,622682.0,679529.0,,2,3,Top,117.52,118.77,,,620443,,,-4.767801615897263,-134.14658421700037,-1.8842545778755155,15.762805302867742,28.23809802954494,-21.275340420124767,3.42,1.67,205.0,64.5,32.0,91.9,1959.0,6.1,662199,656954,620443,467793,647351,553993,664238,672284,677594,624428,54.42,0.809,0.762,0.0,1.0,0.0,0.0,4.0,25,1,Sinker,1,1,1,1,1,1,1,1,Standard,Standard,144.0,0.065,-0.521,,
SL,2022-10-04,84.2,1.42,5.58,"Clemens, Kody",665019,656954,strikeout,swinging_strike,,,,,13,Kody Clemens strikes out swinging.,R,L,L,SEA,DET,S,2.0,,1,2,2022,-1.35,0.36,-1.65,1.88,668731.0,600869.0,570731.0,2,1,Top,,,,,620443,,,-4.412131548828775,-122.6605752020654,-2.917103256236956,-12.84540210176156,23.537172798254,-28.214823570390728,3.42,1.67,,,,83.7,2662.0,5.8,662199,656954,620443,467793,647351,553993,664238,672284,677594,624428,54.69,,0.0,0.0,1.0,0.0,0.0,,6,5,Slider,0,0,0,0,0,0,0,0,Standard,Standard,298.0,0.072,-0.542,,
SL,2022-10-04,83.0,1.4,5.59,"Clemens, Kody",665019,656954,,foul,,,,,4,Kody Clemens strikes out swinging.,R,L,L,SEA,DET,S,,,1,2,2022,-1.62,0.04,-0.39,2.43,668731.0,600869.0,570731.0,2,1,Top,,,,,620443,,,-0.9322141466178324,-120.96244513156748,-0.8476842755826334,-15.66487027319996,24.237257818608597,-31.86284363653397,3.42,1.67,148.0,70.9,71.0,82.3,2560.0,5.8,662199,656954,620443,467793,647351,553993,664238,672284,677594,624428,54.67,,,,,,,,6,4,Slider,0,0,0,0,0,0,0,0,Standard,Standard,303.0,0.0,0.0,,
FF,2022-10-04,88.9,-4.0,4.28,"Clemens, Kody",665019,682171,strikeout,swinging_strike,,,,,1,Kody Clemens strikes out swinging.,R,L,R,SEA,DET,S,2.0,,1,2,2022,-0.09,0.68,-0.64,3.09,,,,0,7,Top,,,,,620443,,,8.417164323143462,-129.30972382533557,1.6839093968236294,-2.7350880104484334,26.360114192758605,-25.14437070674587,3.42,1.67,,,,88.8,2281.0,6.2,662199,682171,620443,467793,647351,553993,664238,672284,677594,624428,54.32,,0.0,0.0,1.0,0.0,0.0,,69,4,4-Seam Fastball,9,6,6,9,6,9,6,9,Standard,Standard,246.0,0.022,-0.158,,
SI,2022-10-04,92.2,1.19,5.49,"Clemens, Kody",665019,656954,,called_strike,,,,,4,Kody Clemens strikes out swinging.,R,L,L,SEA,DET,S,,,1,1,2022,1.28,0.62,-0.33,2.62,668731.0,600869.0,570731.0,2,1,Top,,,,,620443,,,-6.590479136437564,-134.0541050359132,-2.78008805885246,16.87568445833608,30.16989781107832,-24.2704882466931,3.42,1.76,,,,91.5,2053.0,6.0,662199,656954,620443,467793,647351,553993,664238,672284,677594,624428,54.52,,,,,,,,6,3,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,155.0,0.0,-0.179,,
SI,2022-10-04,91.7,1.17,5.56,"Clemens, Kody",665019,656954,,called_strike,,,,,1,Kody Clemens strikes out swinging.,R,L,L,SEA,DET,S,,,1,0,2022,1.16,0.64,-0.51,3.21,668731.0,600869.0,570731.0,2,1,Top,,,,,620443,,,-6.699912662182745,-133.39256624390185,-1.4567569420732545,15.357603704580082,29.163181331010637,-24.410449957762943,3.42,1.69,,,,91.0,2131.0,5.9,662199,656954,620443,467793,647351,553993,664238,672284,677594,624428,54.6,,,,,,,,6,2,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,154.0,0.0,-0.156,,
FF,2022-10-04,88.2,-4.01,4.22,"Clemens, Kody",665019,682171,,called_strike,,,,,13,Kody Clemens strikes out swinging.,R,L,R,SEA,DET,S,,,1,1,2022,-0.17,0.74,-0.87,1.98,,,,0,7,Top,,,,,620443,,,8.003780511441317,-128.32744339530538,-0.9041901362879848,-3.474189756530831,25.8599988590995,-23.99330992427695,3.42,1.76,,,,88.5,2196.0,6.4,662199,682171,620443,467793,647351,553993,664238,672284,677594,624428,54.06,,,,,,,,69,3,4-Seam Fastball,9,6,6,9,6,9,6,9,Standard,Standard,249.0,0.0,-0.054,,
SI,2022-10-04,92.6,1.18,5.49,"Clemens, Kody",665019,656954,,ball,,,,,13,Kody Clemens strikes out swinging.,R,L,L,SEA,DET,B,,,0,0,2022,1.2,0.91,-0.49,1.33,668731.0,600869.0,570731.0,2,1,Top,,,,,620443,,,-6.828404787361253,-134.54650010035107,-6.746908566517609,16.061832809658046,28.53479919105701,-19.854190757433685,3.42,1.67,,,,92.0,2072.0,6.0,662199,656954,620443,467793,647351,553993,664238,672284,677594,624428,54.52,,,,,,,,6,1,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,149.0,0.0,0.121,,
FF,2022-10-04,88.7,-4.05,4.23,"Clemens, Kody",665019,682171,,foul,,,,,9,Kody Clemens strikes out swinging.,R,L,R,SEA,DET,S,,,1,0,2022,-0.37,0.54,0.39,1.69,,,,0,7,Top,,,,,620443,,,11.630276319111823,-128.6956234114691,-1.3065421208324284,-6.437141567458893,24.94498939126186,-26.02854819012329,3.42,1.67,,,,88.8,2286.0,6.4,662199,682171,620443,467793,647351,553993,664238,672284,677594,624428,54.14,,,,,,,,69,2,4-Seam Fastball,9,6,6,9,6,9,6,9,Standard,Standard,256.0,0.0,-0.043,,
FF,2022-10-04,88.2,-3.95,4.26,"Clemens, Kody",665019,682171,,ball,,,,,14,Kody Clemens strikes out swinging.,R,L,R,SEA,DET,B,,,0,0,2022,-0.6,0.71,1.15,1.34,,,,0,7,Top,,,,,620443,,,13.60498340291351,-127.84357401190717,-2.4916671092793354,-9.134940269208878,23.569014334666957,-24.054192655456,3.42,1.69,,,,88.4,2240.0,6.4,662199,682171,620443,467793,647351,553993,664238,672284,677594,624428,54.11,,,,,,,,69,1,4-Seam Fastball,9,6,6,9,6,9,6,9,Standard,Standard,259.0,0.0,0.033,,
FA,2022-10-04,88.8,-1.04,6.8,"Clemens, Kody",665019,620443,field_out,hit_into_play,,,,,12,Kody Clemens flies out to right fielder Mitch Haniger.,R,L,R,SEA,DET,X,9.0,fly_ball,2,2,2022,-0.7,1.34,0.83,2.94,,595879.0,605612.0,2,10,Top,212.34,97.94,,,592200,,,5.908894110860539,-129.21159285995154,-6.160025846436667,-9.017058147061352,23.988243631208707,-16.007846506563943,3.42,1.67,327.0,95.5,41.0,87.4,2028.0,5.2,662200,620443,592200,664238,647351,553993,641487,624428,672284,571745,55.34,0.04,0.066,0.0,1.0,0.0,0.0,3.0,81,5,Other,5,6,6,5,6,5,6,5,Infield shift,Standard,198.0,0.069,-0.357,,
FA,2022-10-04,87.1,-1.96,6.07,"Clemens, Kody",665019,620443,,foul,,,,,9,Kody Clemens flies out to right fielder Mitch Haniger.,R,L,R,SEA,DET,S,,,2,1,2022,-1.14,1.09,0.36,2.11,,595879.0,605612.0,2,10,Top,,,,,592200,,,7.767039558162793,-126.69500718291218,-5.562338133623852,-13.780615459223355,23.249160229539974,-19.449336730138658,3.42,1.67,130.0,80.4,76.0,86.0,2013.0,5.4,662200,620443,592200,664238,647351,553993,641487,624428,672284,571745,55.11,,,,,,,,81,4,Other,5,6,6,5,6,5,6,5,Infield shift,Standard,210.0,0.0,-0.12,,
FA,2022-10-04,84.8,-1.7,6.26,"Clemens, Kody",665019,620443,,foul,,,,,3,Kody Clemens flies out to right fielder Mitch Haniger.,R,L,R,SEA,DET,S,,,2,0,2022,-0.43,1.43,0.36,2.97,,595879.0,605612.0,2,10,Top,,,,,592200,,,5.576925973447365,-123.4041750566306,-4.159192975618326,-5.468194002349955,23.60354145042609,-16.933642906200117,3.42,1.67,124.0,63.0,73.0,83.5,2006.0,5.3,662200,620443,592200,664238,647351,553993,641487,624428,672284,571745,55.19,,,,,,,,81,3,Other,5,6,6,5,6,5,6,5,Infield shift,Standard,215.0,0.0,-0.09,,
FA,2022-10-04,85.1,-1.77,5.99,"Clemens, Kody",665019,620443,,ball,,,,,14,Kody Clemens flies out to right fielder Mitch Haniger.,R,L,R,SEA,DET,B,,,1,0,2022,-0.7,0.97,1.11,2.37,,595879.0,605612.0,2,10,Top,,,,,592200,,,8.035446955771915,-123.70905998721172,-4.118743934155641,-8.744140278756046,22.83085980626708,-21.535999286517324,3.47,1.76,,,,84.2,1920.0,5.6,662200,620443,592200,664238,647351,553993,641487,624428,672284,571745,54.94,,,,,,,,81,2,Other,5,6,6,5,6,5,6,5,Infield shift,Standard,205.0,0.0,0.068,,
FA,2022-10-04,86.6,-1.66,6.32,"Clemens, Kody",665019,620443,,ball,,,,,14,Kody Clemens flies out to right fielder Mitch Haniger.,R,L,R,SEA,DET,B,,,0,0,2022,-1.06,1.13,1.72,2.43,,595879.0,605612.0,2,10,Top,,,,,592200,,,10.013253213004756,-125.68693204132346,-5.303776920495727,-13.215244168467766,24.12462189779974,-19.228439155371127,3.47,1.76,,,,85.1,1929.0,5.3,662200,620443,592200,664238,647351,553993,641487,624428,672284,571745,55.15,,,,,,,,81,1,Other,5,6,6,5,6,5,6,5,Infield shift,Standard,197.0,0.0,0.054,,
KC,2022-10-03,80.7,-1.3,5.9,"Clemens, Kody",665019,669923,force_out,hit_into_play,,,,,13,"Kody Clemens grounds into a force out, first baseman Ty France to shortstop Dylan Moore.   Jonathan Schoop out at 2nd.    Kody Clemens to 1st.",R,L,R,SEA,DET,X,3.0,ground_ball,0,1,2022,0.49,-0.65,-0.03,0.96,,,570731.0,0,4,Top,144.92,179.97,,,663728,,,1.899107663324051,-117.53022992579112,-3.0894267314695725,4.159261309736687,23.471702174660063,-37.76216609225504,3.42,1.67,3.0,87.4,-18.0,80.7,2154.0,6.4,662201,669923,663728,664034,624428,553993,664238,664059,672284,571745,54.12,0.106,0.101,0.0,1.0,0.0,0.0,2.0,28,2,Knuckle Curve,1,3,3,1,3,1,3,1,Infield shift,Standard,41.0,0.025,-0.444,,
FF,2022-10-03,92.0,-1.39,5.93,"Clemens, Kody",665019,669923,,foul,,,,,2,"Kody Clemens grounds into a force out, first baseman Ty France to shortstop Dylan Moore.   Jonathan Schoop out at 2nd.    Kody Clemens to 1st.",R,L,R,SEA,DET,S,,,0,0,2022,-0.72,1.23,-0.13,3.1,,,570731.0,0,4,Top,,,,,663728,,,4.7725538470783455,-133.9929874543342,-4.035392007720518,-9.668244020923366,27.5913636607244,-16.63977837441223,3.42,1.67,228.0,74.0,30.0,92.4,2026.0,6.3,662201,669923,663728,664034,624428,553993,664238,664059,672284,571745,54.15,,,,,,,,28,1,4-Seam Fastball,1,3,3,1,3,1,3,1,Standard,Standard,231.0,0.0,-0.066,,
SI,2022-10-03,94.9,-1.31,5.98,"Clemens, Kody",665019,669923,strikeout,called_strike,,,,,9,Kody Clemens called out on strikes.,R,L,R,SEA,DET,S,2.0,,0,2,2022,-1.38,0.83,0.53,2.05,,,,1,2,Top,,,,,663728,,,7.941897657466836,-137.79013566099889,-6.462116537954094,-19.41293304472659,31.879991927942875,-20.27489740928359,3.35,1.54,,,,95.0,2197.0,6.6,662201,669923,663728,664034,624428,553993,664238,664059,672284,571745,53.92,,0.0,0.0,1.0,0.0,0.0,,12,5,Sinker,1,1,1,1,1,1,1,1,Infield shift,Standard,217.0,0.017,-0.1,,
