pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
FF,2022-10-04,92.5,-0.16,6.99,"Cabrera, Miguel",408234,623167,field_out,hit_into_play,,,,,8.0,"Miguel Cabrera grounds out, shortstop J.  P. Crawford to first baseman Ty France.",R,R,R,SEA,DET,X,6.0,ground_ball,3,2,2022,-0.28,1.63,0.11,1.78,,,,0,4,Top,109.44,150.57,,,592200,,,1.29704155262362,-134.3430402624805,-10.955627956212233,-3.6137784712763095,26.89551985615051,-10.293931356197149,3.55,1.78,8.0,95.8,-12.0,91.9,2148.0,5.9,662200,623167,592200,664034,647351,553993,641487,624428,672284,571745,54.65,0.197,0.136,0.0,1.0,0.0,0.0,2.0,27,7,4-Seam Fastball,3,1,1,3,1,3,1,3,Standard,Standard,187.0,0.026,-0.299,,
CH,2022-10-04,82.0,-0.42,6.71,"Cabrera, Miguel",408234,623167,,ball,,,,,13.0,"Miguel Cabrera grounds out, shortstop J.  P. Crawford to first baseman Ty France.",R,R,R,SEA,DET,B,,,2,2,2022,-1.13,1.02,-0.09,0.92,,,,0,4,Top,,,,,592200,,,2.930716019096011,-119.29092461228744,-8.55460858432555,-11.423875295916764,20.396144137622567,-21.069247633568413,3.45,1.74,,,,82.2,1425.0,6.2,662200,623167,592200,664034,647351,553993,641487,624428,672284,571745,54.34,,,,,,,,27,6,Changeup,3,1,1,3,1,3,1,3,Standard,Standard,211.0,0.0,0.103,,
FF,2022-10-04,91.2,-0.31,6.98,"Cabrera, Miguel",408234,623167,,foul,,,,,8.0,"Miguel Cabrera grounds out, shortstop J.  P. Crawford to first baseman Ty France.",R,R,R,SEA,DET,S,,,2,2,2022,-0.19,1.7,0.24,2.14,,,,0,4,Top,,,,,592200,,,1.776832155146278,-132.46108903172723,-9.783867227121664,-2.620516738086083,28.85789086654094,-10.287041404958323,3.55,1.78,218.0,75.6,46.0,90.3,2136.0,5.9,662200,623167,592200,664034,647351,553993,641487,624428,672284,571745,54.63,,,,,,,,27,5,4-Seam Fastball,3,1,1,3,1,3,1,3,Standard,Standard,191.0,0.0,0.0,,
CH,2022-10-04,82.3,-0.42,6.67,"Cabrera, Miguel",408234,623167,,ball,,,,,13.0,"Miguel Cabrera grounds out, shortstop J.  P. Crawford to first baseman Ty France.",R,R,R,SEA,DET,B,,,1,2,2022,-0.8,0.82,-0.45,-1.2,,,,0,4,Top,,,,,592200,,,1.4651401701374005,-119.29666455887228,-12.845644966479515,-7.90286861026458,21.404860545789745,-22.175969555690717,3.55,1.76,,,,82.1,1392.0,6.2,662200,623167,592200,664034,647351,553993,641487,624428,672284,571745,54.26,,,,,,,,27,4,Changeup,3,1,1,3,1,3,1,3,Standard,Standard,205.0,0.0,0.037,,
FF,2022-10-04,90.4,-0.26,7.07,"Cabrera, Miguel",408234,623167,,ball,,,,,12.0,"Miguel Cabrera grounds out, shortstop J.  P. Crawford to first baseman Ty France.",R,R,R,SEA,DET,B,,,0,2,2022,-0.02,1.68,1.26,3.38,,,,0,4,Top,,,,,592200,,,3.7795687818125696,-131.63090664222537,-6.809478202320357,-0.9326892717911064,25.878592438920965,-11.428945345633853,3.55,1.78,,,,89.8,1490.0,5.7,662200,623167,592200,664034,647351,553993,641487,624428,672284,571745,54.8,,,,,,,,27,3,4-Seam Fastball,3,1,1,3,1,3,1,3,Standard,Standard,181.0,0.0,0.017,,
SL,2022-10-04,79.5,-0.34,7.01,"Cabrera, Miguel",408234,623167,,foul,,,,,6.0,"Miguel Cabrera grounds out, shortstop J.  P. Crawford to first baseman Ty France.",R,R,R,SEA,DET,S,,,0,1,2022,0.7,0.14,0.38,2.94,,,,0,4,Top,,,,,592200,,,0.2671547877176246,-115.8977236920408,-2.458934427164586,6.289931963077885,20.89688630748134,-30.688599390033925,3.55,1.78,95.0,66.8,9.0,78.8,2473.0,5.6,662200,623167,592200,664034,647351,553993,641487,624428,672284,571745,54.9,,,,,,,,27,2,Slider,3,1,1,3,1,3,1,3,Standard,Standard,55.0,0.0,-0.046,,
FC,2022-10-04,85.9,-0.29,7.07,"Cabrera, Miguel",408234,623167,,called_strike,,,,,5.0,"Miguel Cabrera grounds out, shortstop J.  P. Crawford to first baseman Ty France.",R,R,R,SEA,DET,S,,,0,0,2022,0.64,0.58,0.01,2.73,,,,0,4,Top,,,,,592200,,,-0.5889820215885135,-125.12791693669942,-5.223355641828196,6.873900332710324,22.09962383877741,-25.260761902560706,3.55,1.87,,,,85.3,2374.0,5.6,662200,623167,592200,664034,647351,553993,641487,624428,672284,571745,54.92,,,,,,,,27,1,Cutter,3,1,1,3,1,3,1,3,Standard,Standard,161.0,0.0,-0.034,,
FC,2022-10-04,88.6,-0.25,7.02,"Cabrera, Miguel",408234,623167,walk,ball,,,,,12.0,Miguel Cabrera walks.,R,R,R,SEA,DET,B,,,3,2,2022,0.46,0.63,1.06,2.84,,,,1,2,Top,,,,,592200,,,2.22982641998525,-129.15500359873468,-5.513442579183692,4.830362594051926,23.773076303591356,-24.22039685331992,3.51,1.76,,,,88.3,2422.0,5.8,662200,623167,592200,664034,647351,553993,641487,624428,672284,571745,54.75,,0.688744,0.7,1.0,0.0,0.0,,8,7,Cutter,0,0,0,0,0,0,0,0,Standard,Standard,160.0,-0.026,0.212,,
SL,2022-10-04,85.5,-1.34,6.14,"Cabrera, Miguel",408234,657024,single,hit_into_play,,,,,2.0,Miguel Cabrera singles on a sharp ground ball to center fielder Jarred Kelenic.,R,R,R,SEA,DET,X,8.0,ground_ball,1,1,2022,0.05,0.23,0.16,3.32,,,,1,8,Top,130.73,90.24,,,592200,,,3.440230322856714,-124.62458677845638,-0.8948829122682052,-0.1305965179241138,23.720937833777825,-29.811462664093867,3.55,1.78,25.0,102.0,-6.0,86.1,1988.0,6.5,662200,657024,592200,664034,647351,553993,641487,624428,672284,571745,54.04,0.294,0.214,0.9,1.0,1.0,0.0,2.0,65,3,Slider,5,5,5,5,5,5,5,5,Standard,Standard,159.0,-0.049,0.27,,
FF,2022-10-04,93.2,-0.75,6.48,"Cabrera, Miguel",408234,657024,,ball,,,,,12.0,Miguel Cabrera singles on a sharp ground ball to center fielder Jarred Kelenic.,R,R,R,SEA,DET,B,,,0,1,2022,-0.76,1.58,0.1,5.36,,,,1,8,Top,,,,,592200,,,3.913615551298732,-135.71182166139204,-0.5842910971718129,-10.313046198253662,30.721445949462574,-12.78426443426437,3.55,1.82,,,,93.7,2173.0,6.6,662200,657024,592200,664034,647351,553993,641487,624428,672284,571745,53.86,,,,,,,,65,2,4-Seam Fastball,5,5,5,5,5,5,5,5,Standard,Standard,208.0,0.0,0.016,,
