pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
FF,2022-10-05,87.5,2.04,5.61,"Greene, Riley",682985,594835,single,hit_into_play,,,,,6,Riley Greene singles on a sharp line drive to center fielder Jarred Kelenic.   Brendon Davis scores.    Akil Baddoo to 2nd.,R,L,L,SEA,DET,X,8.0,line_drive,1,0,2022,1.3,1.01,0.35,2.35,663478.0,,668731.0,2,7,Top,122.49,77.31,,,592200,,,-6.755728754230597,-127.1896725690635,-3.8139482038340287,15.448252251304217,25.97888549924854,-20.63502051494164,3.3,1.55,258.0,104.9,12.0,87.7,2035.0,6.5,662195,594835,592200,664034,620443,647351,641487,666211,672284,571745,54.02,0.857,0.856,0.9,1.0,1.0,0.0,4.0,56,2,4-Seam Fastball,4,3,3,4,4,4,4,4,Standard,Standard,127.0,-0.188,0.943,,
CU,2022-10-05,77.2,2.27,5.26,"Greene, Riley",682985,594835,,ball,,,,,13,Riley Greene singles on a sharp line drive to center fielder Jarred Kelenic.   Brendon Davis scores.    Akil Baddoo to 2nd.,R,L,L,SEA,DET,B,,,0,0,2022,-0.22,-0.76,-1.17,1.38,663478.0,,668731.0,2,7,Top,,,,,592200,,,-6.911890650679352,-112.2209431798736,0.1035458306065582,-0.6658579341929332,19.84558963464399,-38.86470008004222,3.28,1.55,,,,77.2,1790.0,6.3,662195,594835,592200,664034,620443,647351,641487,666211,672284,571745,54.18,,,,,,,,56,1,Curveball,4,3,3,4,3,4,3,4,Standard,Standard,324.0,0.0,0.064,,
FF,2022-10-05,87.9,1.94,5.63,"Greene, Riley",682985,594835,single,hit_into_play,,,,,6,Riley Greene singles on a line drive to center fielder Jarred Kelenic.   Kody Clemens to 3rd.,R,L,L,SEA,DET,X,8.0,line_drive,0,0,2022,1.07,1.17,0.3,2.15,,,665019.0,2,5,Top,142.64,85.71,,,592200,,,-6.204242578293987,-127.87682415997811,-4.7849745060682665,12.987546466455276,25.253646117335236,-18.56697686008189,3.3,1.55,204.0,88.6,12.0,88.4,2010.0,6.5,662195,594835,592200,664034,620443,647351,641487,666211,672284,571745,54.0,0.786,0.737,0.9,1.0,1.0,0.0,4.0,38,1,4-Seam Fastball,2,3,3,2,3,2,3,2,Standard,Standard,133.0,-0.027,0.288,,
CU,2022-10-05,77.9,2.27,5.47,"Greene, Riley",682985,594835,strikeout,swinging_strike,,,,,11,Riley Greene strikes out swinging.,R,L,L,SEA,DET,S,2.0,,1,2,2022,-0.53,-0.88,-0.93,2.64,,,,1,4,Top,,,,,592200,,,-5.883171256902699,-113.29029630510595,2.3946629410772395,-3.59220567614543,19.446483040705505,-40.45296032522966,3.3,1.55,,,,77.8,2037.0,6.1,662195,594835,592200,664034,620443,647351,641487,666211,677594,571745,54.35,,0.0,0.0,1.0,0.0,0.0,,26,4,Curveball,2,0,0,2,0,2,0,2,Standard,Standard,325.0,0.018,-0.112,,
FF,2022-10-05,88.8,2.03,5.82,"Greene, Riley",682985,594835,,ball,,,,,12,Riley Greene strikes out swinging.,R,L,L,SEA,DET,B,,,0,2,2022,0.92,1.39,0.17,4.78,,,,1,4,Top,,,,,592200,,,-6.459185303278193,-129.27527240830847,0.5653889791986182,11.671850488235808,25.282644422837784,-16.883411692822968,3.34,1.59,,,,89.0,1974.0,6.2,662195,594835,592200,664034,620443,647351,641487,666211,677594,571745,54.26,,,,,,,,26,3,4-Seam Fastball,2,0,0,2,0,2,0,2,Standard,Standard,135.0,0.0,0.011,,
FF,2022-10-05,88.6,1.97,5.71,"Greene, Riley",682985,594835,,foul,,,,,12,Riley Greene strikes out swinging.,R,L,L,SEA,DET,S,,,0,1,2022,0.97,1.24,0.93,3.09,,,,1,4,Top,,,,,592200,,,-4.571625990743257,-128.91691319383915,-2.893412004233737,11.794223925350082,28.34728902693981,-17.987256347305248,3.3,1.55,7.0,70.4,-23.0,88.4,1995.0,6.3,662195,594835,592200,664034,620443,647351,641487,666211,677594,571745,54.2,,,,,,,,26,2,4-Seam Fastball,2,0,0,2,0,2,0,2,Standard,Standard,130.0,0.0,-0.031,,
FF,2022-10-05,89.1,1.9,5.81,"Greene, Riley",682985,594835,,called_strike,,,,,1,Riley Greene strikes out swinging.,R,L,L,SEA,DET,S,,,0,0,2022,0.88,1.44,-0.46,2.9,,,,1,4,Top,,,,,592200,,,-7.623815627163585,-129.59283724778226,-4.12601447630331,11.520967804180902,26.879532709934363,-15.28027937394726,3.3,1.55,,,,89.0,2022.0,6.2,662195,594835,592200,664034,620443,647351,641487,666211,677594,571745,54.26,,,,,,,,26,1,4-Seam Fastball,2,0,0,2,0,2,0,2,Standard,Standard,140.0,0.0,-0.024,,
FF,2022-10-05,88.6,2.0,5.81,"Greene, Riley",682985,594835,field_out,hit_into_play,,,,,3,"Riley Greene grounds out softly, third baseman Abraham Toro to first baseman Ty France.",R,L,L,SEA,DET,X,5.0,ground_ball,0,1,2022,1.07,1.12,0.67,3.23,,,,2,1,Top,109.38,174.02,,,592200,,,-5.4842097842771285,-128.94358504203694,-2.5693717980612742,13.107061091612172,26.513648544726177,-19.386153901116288,3.3,1.55,71.0,35.9,29.0,88.5,1900.0,6.2,662195,594835,592200,664034,620443,647351,641487,666211,677594,571745,54.32,0.174,0.171,0.0,1.0,0.0,0.0,1.0,3,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,134.0,0.01,-0.082,,
FF,2022-10-05,89.2,1.85,5.92,"Greene, Riley",682985,594835,,called_strike,,,,,13,"Riley Greene grounds out softly, third baseman Abraham Toro to first baseman Ty France.",R,L,L,SEA,DET,S,,,0,0,2022,0.78,1.41,-0.85,2.27,,,,2,1,Top,,,,,592200,,,-8.25333024954697,-129.70120667083907,-5.955852353866204,10.419107031539834,24.979649347565545,-15.13059270248209,3.43,1.64,,,,89.5,1871.0,6.3,662195,594835,592200,664034,620443,647351,641487,666211,677594,571745,54.19,,,,,,,,3,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,146.0,0.0,-0.017,,
CU,2022-10-04,74.1,-0.21,7.01,"Greene, Riley",682985,623167,double,hit_into_play,,,,,5,Riley Greene doubles (18) on a line drive to right fielder Mitch Haniger.   Victor Reyes scores.,R,L,R,SEA,DET,X,9.0,line_drive,0,0,2022,0.57,-1.19,-0.05,2.12,,622682.0,,1,3,Top,206.67,126.57,,,592200,,,-0.6651082937888605,-107.8416426355954,-0.6197441179316335,4.587571788347866,19.85701269892324,-41.53298660981618,3.32,1.57,202.0,86.0,20.0,73.3,2622.0,5.8,662200,623167,592200,664034,647351,553993,641487,624428,672284,571745,54.71,0.551,0.534,1.25,1.0,1.0,1.0,4.0,18,1,Curveball,0,0,0,0,1,0,1,0,Standard,Standard,15.0,-0.114,0.966,,
