pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
FF,2022-10-05,88.7,1.93,5.63,"Kreidler, Ryan",668952,594835,field_out,hit_into_play,,,,,4,Ryan Kreidler pops out to first baseman Ty France in foul territory.,R,R,L,SEA,DET,X,3.0,popup,1,2,2022,1.17,1.32,-0.82,2.83,,,663478.0,0,7,Top,172.81,171.86,,,592200,,,-9.190255208210385,-128.89421685376502,-3.546148763710935,14.958861326041143,26.258923579229,-16.925035395222206,3.47,1.64,154.0,73.3,64.0,89.0,2055,6.5,662195,594835,592200,664034,620443,647351,641487,666211,672284,571745,54.02,0.006,0.005,0.0,1.0,0.0,0.0,3.0,53,5,4-Seam Fastball,4,3,3,4,3,4,3,4,Standard,Standard,133,0.065,-0.25,,
CH,2022-10-05,78.4,2.45,5.27,"Kreidler, Ryan",668952,594835,,foul,,,,,14,Ryan Kreidler pops out to first baseman Ty France in foul territory.,R,R,L,SEA,DET,S,,,1,2,2022,1.58,0.55,1.4,2.16,,,663478.0,0,7,Top,,,,,592200,,,-5.198117478243545,-113.94054499599191,-0.787200397653566,14.723652000449462,23.52667908378128,-27.49629723111005,3.47,1.64,171.0,60.0,44.0,78.0,2066,6.3,662195,594835,592200,664034,620443,647351,641487,666211,672284,571745,54.17,,,,,,,,53,4,Changeup,4,3,3,4,3,4,3,4,Standard,Standard,102,0.0,0.0,,
CH,2022-10-05,78.0,2.36,5.35,"Kreidler, Ryan",668952,594835,,called_strike,,,,,8,Ryan Kreidler pops out to first baseman Ty France in foul territory.,R,R,L,SEA,DET,S,,,1,1,2022,1.64,0.75,0.17,1.94,,,663478.0,0,7,Top,,,,,592200,,,-7.705234572891546,-113.28790724862804,-1.7369664991678162,15.591931806646995,22.74195210005208,-25.634726962847957,3.43,1.6,,,,77.5,2191,6.3,662195,594835,592200,664034,620443,647351,641487,666211,672284,571745,54.21,,,,,,,,53,3,Changeup,4,3,3,4,3,4,3,4,Standard,Standard,103,0.0,-0.088,,
CH,2022-10-05,78.1,2.36,5.31,"Kreidler, Ryan",668952,594835,,ball,,,,,14,Ryan Kreidler pops out to first baseman Ty France in foul territory.,R,R,L,SEA,DET,B,,,0,1,2022,1.73,0.5,1.55,2.02,,,663478.0,0,7,Top,,,,,592200,,,-4.940866199599832,-113.55629307423628,-1.0353588492863608,15.874275572838078,23.28352093332237,-27.885312050643453,3.43,1.53,,,,77.6,2113,6.3,662195,594835,592200,664034,620443,647351,641487,666211,672284,571745,54.22,,,,,,,,53,2,Changeup,4,3,3,4,3,4,3,4,Standard,Standard,96,0.0,0.051,,
FC,2022-10-05,86.1,2.14,5.59,"Kreidler, Ryan",668952,594835,,swinging_strike,,,,,1,Ryan Kreidler pops out to first baseman Ty France in foul territory.,R,R,L,SEA,DET,S,,,0,0,2022,0.33,1.23,-0.48,3.32,,,663478.0,0,7,Top,,,,,592200,,,-6.898426143537907,-125.25119339711355,-1.668545513020641,4.770171260931316,24.29146058658969,-19.10272070366449,3.47,1.64,10.0,,,86.5,2020,6.5,662195,594835,592200,664034,620443,647351,641487,666211,672284,571745,54.03,,,,,,,,53,1,Cutter,4,3,3,4,3,4,3,4,Standard,Standard,150,0.0,-0.066,,
FC,2022-10-05,87.5,2.04,5.5,"Kreidler, Ryan",668952,594835,field_out,hit_into_play,,,,,4,Ryan Kreidler flies out sharply to left fielder Taylor Trammell.,R,R,L,SEA,DET,X,7.0,fly_ball,0,1,2022,0.33,1.1,-0.72,2.9,,,663478.0,0,5,Top,44.62,82.6,,,592200,,,-7.384244567350994,-127.30134226367116,-2.424529876602333,5.09812546264821,25.935150052553265,-19.910709358803484,3.47,1.64,349.0,100.9,26.0,87.9,2018,6.5,662195,594835,592200,664034,620443,647351,641487,666211,672284,571745,53.99,0.6,1.021,0.0,1.0,0.0,0.0,6.0,35,2,Cutter,2,2,2,2,2,2,2,2,Standard,Standard,146,0.044,-0.287,,
FC,2022-10-05,85.6,2.12,5.52,"Kreidler, Ryan",668952,594835,,called_strike,,,,,3,Ryan Kreidler flies out sharply to left fielder Taylor Trammell.,R,R,L,SEA,DET,S,,,0,0,2022,0.02,0.95,0.76,3.23,,,663478.0,0,5,Top,,,,,592200,,,-3.249542892851541,-124.68167370759777,-1.0847435761552255,0.8376223572729525,24.08838521625993,-22.2453297740295,3.43,1.62,,,,85.8,1916,6.3,662195,594835,592200,664034,620443,647351,641487,666211,672284,571745,54.22,,,,,,,,35,1,Cutter,2,2,2,2,2,2,2,2,Standard,Standard,153,0.0,-0.066,,
CH,2022-10-05,78.6,2.29,5.45,"Kreidler, Ryan",668952,594835,field_out,hit_into_play,,,,,9,Ryan Kreidler flies out to right fielder Mitch Haniger.,R,R,L,SEA,DET,X,9.0,fly_ball,0,1,2022,1.46,0.45,0.67,2.0,,,,1,3,Top,184.0,91.84,,,592200,,,-6.197748703181499,-114.29884315314489,-1.4423874073322025,13.977904439139683,21.81212795821344,-28.19846248622861,3.47,1.64,301.0,85.8,30.0,78.2,1989,6.1,662195,594835,592200,664034,620443,647351,641487,666211,677594,571745,54.36,0.06,0.076,0.0,1.0,0.0,0.0,3.0,18,2,Changeup,2,0,0,2,0,2,0,2,Infield shift,Standard,107,0.017,-0.132,,
CU,2022-10-05,76.5,2.16,5.56,"Kreidler, Ryan",668952,594835,,called_strike,,,,,2,Ryan Kreidler flies out to right fielder Mitch Haniger.,R,R,L,SEA,DET,S,,,0,0,2022,-0.43,-0.86,0.23,2.79,,,,1,3,Top,,,,,592200,,,-3.284011694128197,-111.34313987033052,2.723649299995535,-2.9926151191540487,20.05305075438476,-40.07868807619174,3.38,1.47,,,,76.3,1833,6.1,662195,594835,592200,664034,620443,647351,641487,666211,677594,571745,54.38,,,,,,,,18,1,Curveball,2,0,0,2,0,2,0,2,Infield shift,Standard,326,0.0,-0.024,,
SL,2022-10-05,86.9,-1.25,6.16,"Kreidler, Ryan",668952,657024,strikeout,called_strike,,,,,9,Ryan Kreidler called out on strikes.,R,R,R,SEA,DET,S,2.0,,2,2,2022,0.05,0.46,0.74,1.8,,,,1,9,Top,,,,,592200,,,4.707636405677541,-126.52108303190212,-5.240853003939892,-0.3995612652741332,25.17858080464073,-26.40127087672608,3.4,1.51,,,,87.6,2072,6.7,662195,657024,592200,664034,620443,647351,641487,666211,672284,571745,53.85,,0.0,0.0,1.0,0.0,0.0,,69,6,Slider,4,4,4,4,4,4,4,4,Standard,Standard,153,0.044,-0.134,,
SL,2022-10-05,87.0,-1.23,6.05,"Kreidler, Ryan",668952,657024,,ball,,,,,14,Ryan Kreidler called out on strikes.,R,R,R,SEA,DET,B,,,1,2,2022,0.13,0.5,1.32,0.84,,,,1,9,Top,,,,,592200,,,5.903324165818822,-126.41457072026752,-7.393842186700536,0.2400416250497678,24.94171043060817,-25.556394727234945,3.4,1.55,,,,87.8,2252,6.8,662195,657024,592200,664034,620443,647351,641487,666211,672284,571745,53.72,,,,,,,,69,5,Slider,4,4,4,4,4,4,4,4,Standard,Standard,146,0.0,0.023,,
FF,2022-10-05,93.9,-0.83,6.49,"Kreidler, Ryan",668952,657024,,foul,,,,,11,Ryan Kreidler called out on strikes.,R,R,R,SEA,DET,S,,,1,2,2022,-1.01,1.5,-0.06,3.64,,,,1,9,Top,,,,,592200,,,4.272178710652872,-136.65410802397912,-4.996571504363415,-13.56542917865898,32.36019079463507,-12.48267763085417,3.47,1.64,129.0,79.2,9.0,94.3,2242,6.7,662195,657024,592200,664034,620443,647351,641487,666211,672284,571745,53.83,,,,,,,,69,4,4-Seam Fastball,4,4,4,4,4,4,4,4,Standard,Standard,206,0.0,0.0,,
