pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
CH,2022-10-04,85.2,1.46,5.59,"Barnhart, Tucker",571466,656954,field_out,hit_into_play,,,,,5,Tucker Barnhart lines out to right fielder Adam Frazier.,R,R,L,SEA,DET,X,9.0,line_drive,0,0,2022,0.86,0.44,-0.04,2.2,,,663478.0,1,5,Top,201.4,122.14,,,620443,,,-5.208525404856466,-124.00635507509465,-2.5551037618841,9.908764047968296,24.1746418062373,-27.342437630781397,3.14,1.44,267.0,87.9,23.0,84.7,1577.0,5.9,662199,656954,620443,467793,647351,553993,664238,672284,677594,624428,54.6,0.237,0.254,0.0,1.0,0.0,0.0,3.0,47,1,Changeup,4,5,5,4,5,4,5,4,Standard,Standard,135.0,0.029,-0.3,,
FF,2022-10-04,93.1,1.07,5.58,"Barnhart, Tucker",571466,656954,walk,ball,,,,,11,Tucker Barnhart walks.,R,R,L,SEA,DET,B,,,3,2,2022,0.35,1.1,-0.13,3.93,,,,1,4,Top,,,,,620443,,,-3.830445704379322,-135.67773003512622,-0.9200411080495328,5.141952523083382,27.502001462077512,-18.51603617060613,3.04,1.48,,,,92.9,1896.0,5.9,662199,656954,620443,467793,647351,553993,664238,672284,677594,624428,54.56,,0.688744,0.7,1.0,0.0,0.0,,33,7,4-Seam Fastball,2,1,1,2,1,2,1,2,Standard,Standard,144.0,-0.032,0.212,,
FF,2022-10-04,92.0,1.12,5.51,"Barnhart, Tucker",571466,656954,,foul,,,,,4,Tucker Barnhart walks.,R,R,L,SEA,DET,S,,,3,2,2022,0.52,1.08,-0.41,2.29,,,,1,4,Top,,,,,620443,,,-4.973782547253749,-133.93877447678278,-4.708760350948331,7.248026710912087,26.90689600868401,-18.35752115768879,3.14,1.44,2.0,79.2,-50.0,91.7,2000.0,5.9,662199,656954,620443,467793,647351,553993,664238,672284,677594,624428,54.55,,,,,,,,33,6,4-Seam Fastball,2,1,1,2,1,2,1,2,Standard,Standard,141.0,0.0,0.0,,
SL,2022-10-04,83.1,1.21,5.6,"Barnhart, Tucker",571466,656954,,ball,,,,,13,Tucker Barnhart walks.,R,R,L,SEA,DET,B,,,2,2,2022,-1.09,0.04,-0.91,0.81,,,,1,4,Top,,,,,620443,,,-2.685980245690103,-121.0566513846284,-4.593523494929594,-10.233534760887247,23.07871853357721,-31.080926786029263,3.0,1.52,,,,82.5,2506.0,5.7,662199,656954,620443,467793,647351,553993,664238,672284,677594,624428,54.75,,,,,,,,33,5,Slider,2,1,1,2,1,2,1,2,Standard,Standard,301.0,0.0,0.073,,
SL,2022-10-04,82.5,1.11,5.61,"Barnhart, Tucker",571466,656954,,ball,,,,,13,Tucker Barnhart walks.,R,R,L,SEA,DET,B,,,1,2,2022,-1.16,0.07,-0.86,-0.74,,,,1,4,Top,,,,,620443,,,-2.1996968121437046,-119.99453008825058,-7.995947152244074,-10.843742861800184,22.74998368038678,-30.14878172428637,3.08,1.48,,,,81.8,2544.0,5.8,662199,656954,620443,467793,647351,553993,664238,672284,677594,624428,54.68,,,,,,,,33,4,Slider,2,1,1,2,1,2,1,2,Standard,Standard,323.0,0.0,0.023,,
FF,2022-10-04,92.4,1.19,5.54,"Barnhart, Tucker",571466,656954,,foul,,,,,5,Tucker Barnhart walks.,R,R,L,SEA,DET,S,,,1,1,2022,0.43,1.0,-0.11,2.47,,,,1,4,Top,,,,,620443,,,-4.216503650480555,-134.55017648024128,-4.212131332885301,6.138741496214501,26.919614975734152,-19.344566469650182,3.14,1.44,188.0,70.5,27.0,92.1,1926.0,5.9,662199,656954,620443,467793,647351,553993,664238,672284,677594,624428,54.61,,,,,,,,33,3,4-Seam Fastball,2,1,1,2,1,2,1,2,Standard,Standard,141.0,0.0,-0.036,,
CH,2022-10-04,87.6,1.22,5.47,"Barnhart, Tucker",571466,656954,,called_strike,,,,,7,Tucker Barnhart walks.,R,R,L,SEA,DET,S,,,1,0,2022,1.24,-0.07,-0.76,1.64,,,,1,4,Top,,,,,620443,,,-7.336283579321922,-127.33385910652495,-2.9559616913123614,15.035293771134343,26.107217943576103,-32.5460049456349,3.08,1.48,,,,87.6,1909.0,6.3,662199,656954,620443,467793,647351,553993,664238,672284,677594,624428,54.16,,,,,,,,33,2,Changeup,2,1,1,2,1,2,1,2,Standard,Standard,140.0,0.0,-0.031,,
FF,2022-10-04,92.1,1.2,5.6,"Barnhart, Tucker",571466,656954,,ball,,,,,3,Tucker Barnhart walks.,R,R,L,SEA,DET,B,,,0,0,2022,0.34,1.02,0.78,2.67,,,,1,4,Top,,,,,620443,,,-1.7682418304806895,-134.13921241927628,-3.812818943549415,4.4753779996691705,27.16746342736529,-19.25316700598725,3.17,1.54,,,,91.6,1936.0,5.8,662199,656954,620443,467793,647351,553993,664238,672284,677594,624428,54.73,,,,,,,,33,1,4-Seam Fastball,2,1,1,2,1,2,1,2,Standard,Standard,141.0,0.0,0.023,,
FF,2022-10-04,92.1,1.12,5.56,"Barnhart, Tucker",571466,656954,field_out,hit_into_play,,,,,7,"Tucker Barnhart grounds out, shortstop Dylan Moore to first baseman Carlos Santana.",R,R,L,SEA,DET,X,6.0,ground_ball,1,0,2022,0.83,1.2,-0.55,1.61,,,,1,2,Top,104.87,154.62,,,620443,,,-5.982350576720167,-133.8774034435382,-6.778688224175832,11.217550549309331,28.099983050785006,-16.44947452949898,3.14,1.44,114.0,96.2,5.0,91.5,1930.0,5.9,662199,656954,620443,467793,647351,553993,664238,672284,677594,624428,54.56,0.509,0.495,0.0,1.0,0.0,0.0,4.0,15,2,4-Seam Fastball,1,0,0,1,0,1,0,1,Standard,Standard,146.0,0.017,-0.178,,
ST,2022-10-04,80.2,-4.01,4.11,"Barnhart, Tucker",571466,682171,strikeout,swinging_strike,,,,,9,Tucker Barnhart strikes out swinging.,R,L,R,SEA,DET,S,2.0,,2,2,2022,1.53,0.26,0.57,1.37,,,,2,7,Top,,,,,620443,,,7.222272190141169,-116.57462498901654,0.2580440511973618,12.31893379986763,24.728765859809386,-30.17437625231205,3.14,1.44,,,,79.8,2693.0,6.4,662199,682171,620443,467793,647351,553993,664238,672284,677594,624428,54.13,,0.0,0.0,1.0,0.0,0.0,,71,5,Sweeper,9,6,6,9,6,9,6,9,Infield shift,Standard,60.0,0.008,-0.083,,
