pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
FF,2022-09-29,91.9,-0.94,5.94,"Castro, Willi",650489,669169,double,hit_into_play,,,,,6,Willi Castro doubles (18) on a line drive to left fielder Edward Olivares.   Jonathan Schoop to 3rd.,R,L,R,DET,KC,X,7.0,line_drive,0,2,2022,-0.72,1.69,0.4,2.23,,,570731.0,2,4,Bot,63.05,135.86,,,669004,,,4.942814435115254,-133.59259686851388,-7.199949834483277,-9.708912279955948,28.44362346667675,-10.605760299122618,3.46,1.63,179.0,72.7,17.0,91.7,2288.0,6.2,662772,669169,669004,686469,670032,681987,677951,658668,572191,641531,54.28,0.726,0.657,1.25,1.0,1.0,1.0,4.0,33,3,4-Seam Fastball,1,0,1,0,0,1,1,0,Standard,Standard,213.0,0.032,0.865,,
SL,2022-09-29,81.5,-1.18,5.88,"Castro, Willi",650489,669169,,foul,,,,,5,Willi Castro doubles (18) on a line drive to left fielder Edward Olivares.   Jonathan Schoop to 3rd.,R,L,R,DET,KC,S,,,0,1,2022,0.24,0.15,0.1,2.76,,,570731.0,2,4,Bot,,,,,669004,,,2.410031250001178,-118.77994602196286,-0.7620620084455823,1.8256054130236976,21.502472013009548,-30.82804436056873,3.46,1.63,140.0,67.2,68.0,81.9,2220.0,6.4,662772,669169,669004,686469,670032,681987,677951,658668,572191,641531,54.13,,,,,,,,33,2,Slider,1,0,1,0,0,1,1,0,Standard,Standard,78.0,0.0,-0.048,,
SL,2022-09-29,83.1,-1.11,5.88,"Castro, Willi",650489,669169,,called_strike,,,,,7,Willi Castro doubles (18) on a line drive to left fielder Edward Olivares.   Jonathan Schoop to 3rd.,R,L,R,DET,KC,S,,,0,0,2022,0.33,0.31,-0.43,1.83,,,570731.0,2,4,Bot,,,,,669004,,,0.9202588368196136,-121.05550557487196,-3.4223097959349253,3.077833586759714,25.031515759644453,-28.623254685590528,3.64,1.71,,,,83.1,2223.0,6.4,662772,669169,669004,686469,670032,681987,677951,658668,572191,641531,54.14,,,,,,,,33,1,Slider,1,0,1,0,0,1,1,0,Standard,Standard,82.0,0.0,-0.035,,
CH,2022-09-29,84.8,-1.38,5.91,"Castro, Willi",650489,669169,home_run,hit_into_play,,,,,4,Willi Castro homers (8) on a fly ball to right center field.,R,L,R,DET,KC,X,,fly_ball,1,1,2022,-1.21,1.37,-0.48,2.64,,,,2,2,Bot,186.75,59.75,,,669004,,,4.531093550275243,-123.2587364193839,-3.92812600952688,-13.240007399612011,28.49167975368199,-17.754049720927686,3.46,1.63,376.0,101.9,23.0,84.2,1890.0,6.3,662772,669169,669004,686469,670032,681987,677951,658668,572191,641531,54.19,0.651,1.012,2.0,1.0,0.0,3.0,6.0,15,3,Changeup,0,0,0,0,0,1,1,0,Standard,Standard,222.0,0.115,1.006,,
CH,2022-09-29,82.4,-1.38,5.9,"Castro, Willi",650489,669169,,ball,,,,,11,Willi Castro homers (8) on a fly ball to right center field.,R,L,R,DET,KC,B,,,0,1,2022,-1.3,0.93,-0.96,2.98,,,,2,2,Bot,,,,,669004,,,3.510279251323957,-119.92679711198642,-1.8330788048920448,-13.161866075763523,26.70453432976556,-23.167461067336667,3.59,1.71,,,,82.1,1942.0,6.4,662772,669169,669004,686469,670032,681987,677951,658668,572191,641531,54.09,,,,,,,,15,2,Changeup,0,0,0,0,0,0,0,0,Standard,Standard,231.0,0.0,0.011,,
SI,2022-09-29,91.9,-0.93,6.05,"Castro, Willi",650489,669169,,foul,,,,,7,Willi Castro homers (8) on a fly ball to right center field.,R,L,R,DET,KC,S,,,0,0,2022,-0.97,1.98,-0.32,2.17,,,,2,2,Bot,,,,,669004,,,3.652666476958089,-133.50346850336868,-8.185599017192528,-12.377242248530942,31.626660403518503,-6.997030887349339,3.46,1.63,,,,91.5,2312.0,6.4,662772,669169,669004,686469,670032,681987,677951,658668,572191,641531,54.1,,,,,,,,15,1,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,200.0,0.0,-0.017,,
FF,2022-09-28,94.1,1.03,5.88,"Castro, Willi",650489,663738,field_out,hit_into_play,,,,,14,"Willi Castro grounds out, shortstop Nicky Lopez to first baseman Vinnie Pasquantino.",R,R,L,DET,KC,X,6.0,ground_ball,1,1,2022,0.53,1.45,0.23,1.41,,,,2,6,Bot,108.06,150.13,,,669004,,,-3.273040426279866,-136.76431007244048,-9.202531795175426,7.308578452670047,28.266917111999284,-12.185793707194971,3.48,1.64,4.0,95.5,-19.0,95.1,2164.0,6.8,662773,663738,669004,686469,686681,641531,670032,658668,671221,664728,53.71,0.134,0.129,0.0,1.0,0.0,0.0,2.0,53,3,4-Seam Fastball,2,1,2,1,1,2,2,1,Standard,Standard,149.0,-0.01,-0.093,,
CH,2022-09-28,85.7,1.6,5.67,"Castro, Willi",650489,663738,,ball,,,,,14,"Willi Castro grounds out, shortstop Nicky Lopez to first baseman Vinnie Pasquantino.",R,R,L,DET,KC,B,,,0,1,2022,1.23,0.83,1.45,1.44,,,,2,6,Bot,,,,,669004,,,-2.878022875908246,-124.77272301954144,-5.446369986397794,13.378485165736205,25.330959320031827,-22.59589148255672,3.47,1.6,,,,86.6,1650.0,6.9,662773,663738,669004,686469,686681,641531,670032,658668,671221,664728,53.64,,,,,,,,53,2,Changeup,2,1,2,1,1,2,2,1,Standard,Standard,114.0,0.0,0.011,,
CH,2022-09-28,84.8,1.3,5.67,"Castro, Willi",650489,663738,,swinging_strike,,,,,9,"Willi Castro grounds out, shortstop Nicky Lopez to first baseman Vinnie Pasquantino.",R,R,L,DET,KC,S,,,0,0,2022,1.21,0.9,0.29,1.69,,,,2,6,Bot,,,,,669004,,,-4.846495587095361,-123.29841760569292,-4.784819609362331,13.325879708158034,25.504764226153224,-22.207157571959367,3.48,1.64,,,,85.5,1613.0,6.9,662773,663738,669004,686469,686681,641531,670032,658668,671221,664728,53.61,,,,,,,,53,1,Changeup,2,1,2,1,1,2,2,1,Standard,Standard,120.0,0.0,-0.017,,
FF,2022-09-28,93.6,0.99,5.85,"Castro, Willi",650489,663738,single,hit_into_play,,,,,8,Willi Castro singles on a line drive to right fielder Kyle Isbel.,R,R,L,DET,KC,X,9.0,line_drive,2,0,2022,0.51,1.44,-0.21,2.13,,,,1,4,Bot,159.8,83.81,,,669004,,,-4.252340176493731,-136.20329641796891,-7.083925285099066,7.273143044476631,30.076095857609943,-12.921643628845628,3.48,1.64,299.0,96.1,16.0,94.4,2028.0,6.7,662773,663738,669004,686469,686681,641531,670032,658668,671221,664728,53.75,0.677,0.711,0.9,1.0,1.0,0.0,4.0,33,3,4-Seam Fastball,2,1,2,1,1,2,2,1,Standard,Standard,144.0,0.022,0.195,,
