pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
SL,2022-10-04,82.8,1.92,6.28,"Chafin, Andrew",672284,605177,strikeout,called_strike,,,,,9,Jarred Kelenic called out on strikes.,R,L,L,SEA,DET,S,2.0,,2,2,2022,0.06,-0.14,0.57,2.04,571745.0,553993.0,467793.0,2,7,Bot,,,,,606992,,,-3.207696055873465,-120.5787788569647,-2.882319097745642,1.2978318799385535,25.35544981799417,-33.19574494097891,3.39,1.61,,,,82.9,2467.0,6.5,662200,605177,606992,679529,605612,600869,595879,668731,682985,622682,54.02,,0.0,0.0,1.0,0.0,0.0,,63,5,Slider,5,5,5,5,5,5,5,5,Standard,Standard,319.0,-0.116,-0.649,,
SI,2022-10-04,92.7,1.84,6.43,"Chafin, Andrew",672284,605177,,foul,,,,,6,Jarred Kelenic called out on strikes.,R,L,L,SEA,DET,S,,,2,1,2022,1.28,1.12,0.79,2.53,571745.0,553993.0,467793.0,2,7,Bot,,,,,606992,,,-5.466503616643814,-134.753984513288,-6.637791881991417,16.736997121266434,28.86820234430073,-17.229948970974768,3.39,1.62,4.0,81.2,-29.0,93.0,2116.0,6.5,662200,605177,606992,679529,605612,600869,595879,668731,682985,622682,54.01,,,,,,,,63,4,Sinker,5,5,5,5,5,5,5,5,Standard,Standard,142.0,0.0,-0.239,,
FF,2022-10-04,92.7,1.8,6.19,"Chafin, Andrew",672284,605177,,ball,,,,,13,Jarred Kelenic called out on strikes.,R,L,L,SEA,DET,B,,,1,1,2022,0.65,1.04,-1.57,1.33,571745.0,553993.0,467793.0,2,7,Bot,,,,,606992,,,-10.096184322102708,-134.4466665601928,-8.941147317012927,10.072757867109644,29.80916375651226,-17.66200460303939,3.39,1.61,,,,93.2,2049.0,6.8,662200,605177,606992,679529,605612,600869,595879,668731,682985,622682,53.65,,,,,,,,63,3,4-Seam Fastball,5,5,5,5,5,5,5,5,Standard,Standard,131.0,0.0,0.166,,
FF,2022-10-04,92.4,1.61,6.41,"Chafin, Andrew",672284,605177,,blocked_ball,,,,,13,Jarred Kelenic called out on strikes.,R,L,L,SEA,DET,B,,,0,1,2022,0.7,1.42,-0.55,0.73,571745.0,553993.0,467793.0,2,7,Bot,,,,,606992,,,-7.066659068514616,-133.92295015426996,-11.746588341473794,9.986405240465023,30.70916003603395,-12.633291551652617,3.39,1.63,,,,92.6,2146.0,6.7,662200,605177,606992,679529,605612,600869,595879,668731,682985,622682,53.75,,,,,,,,63,2,4-Seam Fastball,5,5,5,5,5,5,5,5,Standard,Standard,138.0,0.0,0.093,,
FF,2022-10-04,92.3,1.96,6.25,"Chafin, Andrew",672284,605177,,called_strike,,,,,4,Jarred Kelenic called out on strikes.,R,L,L,SEA,DET,S,,,0,0,2022,0.7,1.07,-0.53,2.77,571745.0,553993.0,467793.0,2,7,Bot,,,,,606992,,,-7.917227754467104,-134.08115023968918,-5.344905692539512,10.253389618192497,30.66725687795782,-18.257114393787347,3.39,1.65,,,,92.7,2030.0,6.8,662200,605177,606992,679529,605612,600869,595879,668731,682985,622682,53.72,,,,,,,,63,1,4-Seam Fastball,5,5,5,5,5,5,5,5,Standard,Standard,137.0,0.0,-0.128,,
SI,2022-10-04,93.1,1.82,6.24,"Chafin, Andrew",467793,605177,walk,ball,,,,,14,Carlos Santana walks.   Mitch Haniger to 3rd.    Eugenio Suarez to 2nd.,R,R,L,SEA,DET,B,,,3,0,2022,1.12,0.87,1.18,2.18,,571745.0,553993.0,2,7,Bot,,,,,606992,,,-4.114381647214992,-135.4284155961421,-6.627308166934138,14.64148272059292,28.161072550791083,-20.179683867796825,3.4,1.61,,,,93.9,2071.0,6.7,662200,605177,606992,679529,605612,600869,595879,668731,682985,622682,53.8,,0.688744,0.7,1.0,0.0,0.0,,62,4,Sinker,5,5,5,5,5,5,5,5,Standard,Standard,140.0,0.041,0.101,,
SI,2022-10-04,92.7,1.81,6.39,"Chafin, Andrew",467793,605177,,blocked_ball,,,,,14,Carlos Santana walks.   Mitch Haniger to 3rd.    Eugenio Suarez to 2nd.,R,R,L,SEA,DET,B,,,2,0,2022,1.1,0.95,0.41,0.74,,571745.0,553993.0,2,7,Bot,,,,,606992,,,-6.028323560984,-134.49446187537058,-10.745952433164367,14.667730598021366,28.386032078231757,-18.521606029554665,3.38,1.61,,,,93.2,2033.0,6.7,662200,605177,606992,679529,605612,600869,595879,668731,682985,622682,53.8,,,,,,,,62,3,Sinker,5,5,5,5,5,5,5,5,Standard,Standard,139.0,0.0,0.115,,
SI,2022-10-04,93.2,1.8,6.33,"Chafin, Andrew",467793,605177,,ball,,,,,14,Carlos Santana walks.   Mitch Haniger to 3rd.    Eugenio Suarez to 2nd.,R,R,L,SEA,DET,B,,,1,0,2022,1.25,0.86,0.9,1.27,,571745.0,553993.0,2,7,Bot,,,,,606992,,,-5.088325120457505,-135.43556232350002,-9.184053226819469,16.448824733074233,29.593635125641452,-19.763891684147097,3.38,1.61,,,,93.9,2048.0,6.8,662200,605177,606992,679529,605612,600869,595879,668731,682985,622682,53.75,,,,,,,,62,2,Sinker,5,5,5,5,5,5,5,5,Standard,Standard,139.0,0.0,0.068,,
SI,2022-10-04,92.3,2.03,6.19,"Chafin, Andrew",467793,605177,,ball,,,,,14,Carlos Santana walks.   Mitch Haniger to 3rd.    Eugenio Suarez to 2nd.,R,R,L,SEA,DET,B,,,0,0,2022,1.24,0.82,0.54,1.07,,571745.0,553993.0,2,7,Bot,,,,,606992,,,-6.531086367459629,-134.12340061891766,-9.03517462721342,16.35360982607482,28.53098936627681,-20.550381224264697,3.4,1.61,,,,93.0,2091.0,6.8,662200,605177,606992,679529,605612,600869,595879,668731,682985,622682,53.75,,,,,,,,62,1,Sinker,5,5,5,5,5,5,5,5,Standard,Standard,135.0,0.0,0.054,,
SL,2022-10-03,84.8,2.11,6.21,"Chafin, Andrew",467793,605177,strikeout,swinging_strike,,,,,8,Carlos Santana strikes out swinging.,R,R,L,SEA,DET,S,2.0,,3,2,2022,0.11,-0.33,-0.08,1.6,,641487.0,,2,9,Bot,,,,,571466,,,-5.381981332990915,-123.45069385402584,-3.840845909536833,2.2033495068717257,23.770709835039423,-34.97106075669956,3.48,1.68,,,,85.4,2584.0,6.6,662201,605177,571466,605612,570731,668952,595879,668731,682985,622682,53.92,,0.0,0.0,1.0,0.0,0.0,,75,6,Slider,3,4,3,4,4,3,3,4,Standard,Standard,10.0,-0.142,-0.309,,
