pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
SL,2022-10-01,85.5,-3.04,5.82,"Hutchison, Drew",624503,571800,single,hit_into_play,,,,,4,Nick Gordon singles on a sharp line drive to right fielder Victor Reyes.   Luis Arraez to 2nd.,R,L,R,DET,MIN,X,9.0,line_drive,2,1,2022,0.41,0.18,-0.57,2.42,,,650333.0,1,5,Top,166.43,104.97,,,606992,,,4.995533383644697,-124.6417968270723,-2.207972190238455,3.4257538295046066,21.13769671924205,-30.0870833451868,3.64,1.76,164.0,104.8,9.0,86.1,2522,6.2,662770,571800,606992,679529,605612,663478,668952,668731,682985,622682,54.27,0.771,0.759,0.9,1.0,1.0,0.0,4.0,37,4,Slider,2,1,1,2,1,2,1,2,Infield shift,Standard,132,-0.051,0.426,,
SL,2022-10-01,86.8,-2.99,5.82,"Hutchison, Drew",624503,571800,,swinging_strike,,,,,1,Nick Gordon singles on a sharp line drive to right fielder Victor Reyes.   Luis Arraez to 2nd.,R,L,R,DET,MIN,S,,,2,0,2022,0.38,0.39,-0.76,3.07,,,650333.0,1,5,Top,,,,,606992,,,4.565096668610035,-126.45255836619724,-1.299601728925788,3.367827714135644,21.594193860562896,-27.89271018254357,3.64,1.76,,,,87.4,2579,6.2,662770,571800,606992,679529,605612,663478,668952,668731,682985,622682,54.29,,,,,,,,37,3,Slider,2,1,1,2,1,2,1,2,Infield shift,Standard,132,0.0,-0.065,,
FF,2022-10-01,92.9,-2.61,6.07,"Hutchison, Drew",624503,571800,,blocked_ball,,,,,14,Nick Gordon singles on a sharp line drive to right fielder Victor Reyes.   Luis Arraez to 2nd.,R,L,R,DET,MIN,B,,,1,0,2022,-0.38,1.56,0.81,0.69,,,650333.0,1,5,Top,,,,,606992,,,9.53256074874404,-134.6482602370505,-11.392827062723624,-6.431229816607548,24.746427641438157,-10.973655557146966,3.48,1.53,,,,93.1,2283,6.3,662770,571800,606992,679529,605612,663478,668952,668731,682985,622682,54.22,,,,,,,,37,2,4-Seam Fastball,2,1,1,2,1,2,1,2,Infield shift,Standard,199,0.0,0.08,,
CH,2022-10-01,86.2,-2.72,5.98,"Hutchison, Drew",624503,571800,,ball,,,,,8,Nick Gordon singles on a sharp line drive to right fielder Victor Reyes.   Luis Arraez to 2nd.,R,L,R,DET,MIN,B,,,0,0,2022,-1.17,0.87,0.26,1.59,,,650333.0,1,5,Top,,,,,606992,,,9.448278257115472,-125.10795751029364,-5.948593597558874,-14.26272053616066,25.974369367348597,-21.91858056112,3.5,1.66,,,,86.0,1774,6.4,662770,571800,606992,679529,605612,663478,668952,668731,682985,622682,54.14,,,,,,,,37,1,Changeup,2,1,1,2,1,2,1,2,Infield shift,Standard,212,0.0,0.042,,
SI,2022-10-01,93.0,-2.47,6.09,"Hutchison, Drew",621043,571800,strikeout,swinging_strike,,,,,13,Carlos Correa strikes out swinging.,R,R,R,DET,MIN,S,2.0,,2,2,2022,-1.24,1.23,-1.33,2.22,,,650333.0,0,5,Top,,,,,606992,,,5.628805562576805,-135.2034282316629,-6.846141098012872,-16.454654843877655,28.830683820518345,-15.774622556753442,3.6,1.74,,,,92.9,2381,6.2,662770,571800,606992,679529,605612,663478,668952,668731,682985,622682,54.28,,0.0,0.0,1.0,0.0,0.0,,36,5,Sinker,2,1,1,2,1,2,1,2,Standard,Standard,196,0.048,-0.336,,
SL,2022-10-01,88.6,-2.86,5.88,"Hutchison, Drew",621043,571800,,blocked_ball,,,,,14,Carlos Correa strikes out swinging.,R,R,R,DET,MIN,B,,,1,2,2022,0.28,0.39,0.08,-0.2,,,650333.0,0,5,Top,,,,,606992,,,6.578824329982921,-128.68479605762286,-9.549976296424628,1.7067886314905638,27.14224273776817,-25.96270878049377,3.5,1.65,,,,88.4,2536,6.3,662770,571800,606992,679529,605612,663478,668952,668731,682985,622682,54.22,,,,,,,,36,4,Slider,2,1,1,2,1,2,1,2,Standard,Standard,177,0.0,0.084,,
CH,2022-10-01,87.1,-2.54,6.09,"Hutchison, Drew",621043,571800,,foul,,,,,6,Carlos Correa strikes out swinging.,R,R,R,DET,MIN,S,,,1,1,2022,-1.09,1.06,0.33,2.48,,,650333.0,0,5,Top,,,,,606992,,,9.092144678583356,-126.46827679489158,-4.587981869253333,-13.687726074955572,28.099253597606957,-20.040980828551188,3.6,1.74,,,,86.5,1642,6.2,662770,571800,606992,679529,605612,663478,668952,668731,682985,622682,54.28,,,,,,,,36,3,Changeup,2,1,1,2,1,2,1,2,Standard,Standard,204,0.0,-0.088,,
SI,2022-10-01,92.9,-2.45,6.07,"Hutchison, Drew",621043,571800,,blocked_ball,,,,,14,Carlos Correa strikes out swinging.,R,R,R,DET,MIN,B,,,0,1,2022,-0.95,1.38,1.05,0.08,,,650333.0,0,5,Top,,,,,606992,,,11.017178237583687,-134.44913290113178,-12.523442611153149,-13.775832931850967,27.295210545136584,-12.86131591856193,3.52,1.66,,,,92.9,2317,6.4,662770,571800,606992,679529,605612,663478,668952,668731,682985,622682,54.06,,,,,,,,36,2,Sinker,2,1,1,2,1,2,1,2,Standard,Standard,197,0.0,0.051,,
SI,2022-10-01,91.3,-2.46,6.11,"Hutchison, Drew",621043,571800,,called_strike,,,,,9,Carlos Correa strikes out swinging.,R,R,R,DET,MIN,S,,,0,0,2022,-0.98,1.32,0.39,1.7,,,650333.0,0,5,Top,,,,,606992,,,9.284433636626096,-132.51117127705876,-8.061462516823001,-13.509337619650813,26.468686194665096,-14.994490893929354,3.53,1.65,,,,91.4,2244,6.4,662770,571800,606992,679529,605612,663478,668952,668731,682985,622682,54.15,,,,,,,,36,1,Sinker,2,1,1,2,1,2,1,2,Standard,Standard,194,0.0,-0.066,,
SI,2022-10-01,92.3,-2.27,6.18,"Hutchison, Drew",650333,571800,single,hit_into_play,,,,,2,Luis Arraez singles on a sharp line drive to right fielder Victor Reyes.,R,L,R,DET,MIN,X,9.0,line_drive,2,1,2022,-0.87,1.2,0.23,3.15,,,,0,5,Top,183.63,97.62,,,606992,,,8.182903623394528,-134.24345739471536,-4.5343496170745015,-12.164569912527618,26.09626369198357,-16.771165370908918,3.2,1.52,289.0,101.8,18.0,92.1,2343,5.9,662770,571800,606992,679529,605612,663478,668952,668731,682985,622682,54.56,0.42,0.492,0.9,1.0,1.0,0.0,5.0,35,4,Sinker,2,1,1,2,1,2,1,2,Standard,Strategic,194,-0.052,0.355,,
