pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
FF,2022-10-05,98.6,2.32,5.57,"Soto, Gregory",664034,642397,single,hit_into_play,,,,,12,Ty France singles on a ground ball to right fielder Brendon Davis.   Curt Casali scores.    J.P. Crawford to 3rd.    Jarred Kelenic to 2nd.,R,R,L,SEA,DET,X,9.0,ground_ball,1,2,2022,0.87,0.94,0.46,3.44,592200.0,641487.0,672284.0,1,9,Bot,191.56,129.27,,,606992,,,-7.125986972224017,-143.45335022872288,-2.530013838623286,13.704985923722782,34.31227938593137,-18.775001167728217,3.17,1.48,19.0,92.4,-9.0,98.9,2414.0,6.5,662195,642397,606992,679529,570731,600869,668952,668731,682985,663478,53.97,0.206,0.158,0.9,1.0,1.0,0.0,2.0,75,4,4-Seam Fastball,4,4,4,4,4,5,5,4,Standard,Strategic,144.0,0.171,1.426,,
SI,2022-10-05,98.5,2.27,5.61,"Soto, Gregory",664034,642397,,called_strike,,,,,1,Ty France singles on a ground ball to right fielder Brendon Davis.   Curt Casali scores.    J.P. Crawford to 3rd.    Jarred Kelenic to 2nd.,R,R,L,SEA,DET,S,,,1,1,2022,1.21,0.73,-0.81,2.66,592200.0,641487.0,672284.0,1,9,Bot,,,,,606992,,,-11.240320405105308,-143.003719065443,-4.265252770271956,19.214767428545223,31.752384684476542,-21.38472008006697,3.06,1.37,,,,99.1,2398.0,6.7,662195,642397,606992,679529,570731,600869,668952,668731,682985,663478,53.81,,,,,,,,75,3,Sinker,4,4,4,4,4,4,4,4,Standard,Strategic,135.0,0.0,-0.119,,
SL,2022-10-05,88.8,2.27,5.65,"Soto, Gregory",664034,642397,,foul,,,,,5,Ty France singles on a ground ball to right fielder Brendon Davis.   Curt Casali scores.    J.P. Crawford to 3rd.    Jarred Kelenic to 2nd.,R,R,L,SEA,DET,S,,,1,0,2022,-0.18,0.55,0.1,2.23,592200.0,641487.0,672284.0,1,9,Bot,,,,,606992,,,-5.007316791846746,-129.43795671887614,-3.59770958665606,-1.143616522192592,23.38470316444564,-25.49021967158082,3.17,1.48,4.0,91.2,-30.0,90.3,2436.0,6.8,662195,642397,606992,679529,570731,600869,668952,668731,682985,663478,53.68,,,,,,,,75,2,Slider,4,4,4,4,4,4,4,4,Standard,Strategic,179.0,0.0,-0.122,,
SL,2022-10-05,88.1,2.2,5.56,"Soto, Gregory",664034,642397,,ball,,,,,14,Ty France singles on a ground ball to right fielder Brendon Davis.   Curt Casali scores.    J.P. Crawford to 3rd.    Jarred Kelenic to 2nd.,R,R,L,SEA,DET,B,,,0,0,2022,-0.08,0.56,0.25,1.05,592200.0,641487.0,672284.0,1,9,Bot,,,,,606992,,,-4.614158429025525,-128.27661094325978,-6.154324231009829,-0.070009008423651,23.47690193202189,-24.972276216396104,3.04,1.39,,,,89.3,2451.0,6.7,662195,642397,606992,679529,570731,600869,668952,668731,682985,663478,53.78,,,,,,,,75,1,Slider,4,4,4,4,4,4,4,4,Standard,Strategic,170.0,0.0,0.063,,
FF,2022-10-05,98.4,2.56,5.53,"Soto, Gregory",672284,642397,walk,ball,,,,,13,Jarred Kelenic walks.   J.P. Crawford to 2nd.,R,L,L,SEA,DET,B,,,3,1,2022,0.86,0.94,-1.47,0.98,592200.0,,641487.0,1,9,Bot,,,,,606992,,,-12.990365713540166,-142.4931945334765,-9.113409018365266,14.572823508760663,30.985801831419725,-17.324538020544964,3.24,1.54,,,,99.1,2421.0,6.8,662195,642397,606992,679529,570731,600869,668952,668731,682985,663478,53.66,,0.688744,0.7,1.0,0.0,0.0,,74,5,4-Seam Fastball,4,4,4,4,4,4,4,4,Strategic,Strategic,135.0,0.012,0.142,,
SI,2022-10-05,97.9,2.47,5.59,"Soto, Gregory",672284,642397,,foul,,,,,2,Jarred Kelenic walks.   J.P. Crawford to 2nd.,R,L,L,SEA,DET,S,,,3,0,2022,1.38,1.03,0.23,3.41,592200.0,,641487.0,1,9,Bot,,,,,606992,,,-9.30367743515836,-142.30545796690654,-2.806168913457639,20.948010733038405,32.57644023239946,-17.67647609655834,3.37,1.61,239.0,75.5,31.0,98.4,2508.0,6.6,662195,642397,606992,679529,570731,600869,668952,668731,682985,663478,53.85,,,,,,,,74,4,Sinker,4,4,4,4,4,4,4,4,Strategic,Strategic,136.0,0.0,-0.075,,
SI,2022-10-05,99.3,2.67,5.47,"Soto, Gregory",672284,642397,,ball,,,,,13,Jarred Kelenic walks.   J.P. Crawford to 2nd.,R,L,L,SEA,DET,B,,,2,0,2022,1.38,0.86,-1.53,1.52,592200.0,,641487.0,1,9,Bot,,,,,606992,,,-14.835883035706187,-143.7197523494994,-7.423760925826228,22.59332255693368,32.99040265534108,-18.62161338971852,3.22,1.52,,,,99.9,2493.0,6.9,662195,642397,606992,679529,570731,600869,668952,668731,682985,663478,53.59,,,,,,,,74,3,Sinker,4,4,4,4,4,4,4,4,Strategic,Strategic,134.0,0.0,0.174,,
SL,2022-10-05,89.2,2.51,5.73,"Soto, Gregory",672284,642397,,ball,,,,,12,Jarred Kelenic walks.   J.P. Crawford to 2nd.,R,L,L,SEA,DET,B,,,1,0,2022,0.13,0.74,1.72,3.15,,592200.0,641487.0,1,9,Bot,,,,,606992,,,-2.237022335705664,-129.96915654429816,-1.9564039109346507,1.85173805769774,24.24805060878604,-23.55695233282812,3.24,1.48,,,,90.4,2465.0,6.7,662195,642397,606992,679529,570731,600869,668952,668731,682985,663478,53.78,,,,,,,,74,2,Slider,4,4,4,4,4,4,4,4,Standard,Standard,168.0,0.114,0.086,,
SI,2022-10-05,98.5,2.52,5.58,"Soto, Gregory",672284,642397,,ball,,,,,12,Jarred Kelenic walks.   J.P. Crawford to 2nd.,R,L,L,SEA,DET,B,,,0,0,2022,1.62,0.73,0.11,3.48,,592200.0,641487.0,1,9,Bot,,,,,606992,,,-10.416411936805902,-143.1379987054527,-1.9608864897698133,24.608189974335914,32.06933406838659,-21.89138043359128,3.28,1.5,,,,99.5,2457.0,6.9,662195,642397,606992,679529,570731,600869,668952,668731,682985,663478,53.64,,,,,,,,74,1,Sinker,4,4,4,4,4,4,4,4,Standard,Standard,137.0,0.0,0.063,,
SI,2022-10-05,100.0,2.59,5.51,"Soto, Gregory",641487,642397,fielders_choice,hit_into_play,,,,,7,"J.P. Crawford reaches on a fielder's choice, fielded by pitcher Gregory Soto.   Curt Casali to 2nd.  Curt Casali advances to 2nd, on a throwing error by pitcher Gregory Soto.",R,L,L,SEA,DET,X,1.0,ground_ball,2,2,2022,1.49,0.74,-0.59,2.02,,,592200.0,1,9,Bot,127.18,182.5,,,606992,,,-12.379964091168862,-145.0069134820686,-6.042860943575335,23.87348110779825,32.05401457104368,-20.389681618273528,3.32,1.56,2.0,71.6,-47.0,101.0,2411.0,6.9,662195,642397,606992,679529,570731,600869,668952,668731,682985,663478,53.6,0.157,0.144,0.9,1.0,0.0,0.0,2.0,73,5,Sinker,4,4,4,4,4,4,4,4,Standard,Strategic,131.0,0.071,0.516,,
