pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
FC,2022-10-01,86.8,-1.58,5.63,"Barnes, Jacob",663630,606930,strikeout,swinging_strike,,,,,2,Ryan McKenna strikes out swinging.,R,R,R,NYY,BAL,S,2.0,,3,2,2022,0.85,0.37,-0.05,3.15,663624.0,668939.0,,2,9,Top,,,,,543309,,,1.9427092341374357,-126.4240217931466,-0.5022268670269598,8.706833928509141,25.56804890745785,-28.317570091357076,3.17,1.49,,,,87.7,2325,6.8,661217,606930,543309,519203,650402,518626,672724,665828,664056,503556,53.73,,0.0,0.0,1.0,0.0,0.0,,71,6,Cutter,8,0,0,8,0,8,0,8,Standard,Standard,140,0.0,-0.489,,
FC,2022-10-01,88.8,-1.37,5.62,"Barnes, Jacob",663630,606930,,ball,,,,,12,Ryan McKenna strikes out swinging.,R,R,R,NYY,BAL,B,,,2,2,2022,0.42,0.49,1.24,2.47,663624.0,668939.0,,2,9,Top,,,,,543309,,,5.57672002189096,-129.25947217915194,-2.745270006935743,3.554007277527,26.232301024994864,-26.33318124585563,3.17,1.47,,,,90.1,2196,7.0,661217,606930,543309,519203,650402,518626,672724,665828,664056,503556,53.48,,,,,,,,71,5,Cutter,8,0,0,8,0,8,0,8,Standard,Standard,186,0.0,0.044,,
FF,2022-10-01,93.9,-1.29,5.73,"Barnes, Jacob",663630,606930,,foul,,,,,11,Ryan McKenna strikes out swinging.,R,R,R,NYY,BAL,S,,,2,1,2022,0.07,1.58,-0.09,3.37,663624.0,668939.0,,2,9,Top,,,,,543309,,,2.990978037859171,-136.5860713136863,-3.8751844269307103,0.1163985147801145,33.3495479957555,-11.781447823898564,3.17,1.49,127.0,74.8,26.0,94.5,2378,6.9,661217,606930,543309,519203,650402,518626,672724,665828,664056,503556,53.59,,,,,,,,71,4,4-Seam Fastball,8,0,0,8,0,8,0,8,Standard,Standard,201,0.0,-0.126,,
FF,2022-10-01,93.8,-1.39,5.71,"Barnes, Jacob",663630,606930,,ball,,,,,12,Ryan McKenna strikes out swinging.,R,R,R,NYY,BAL,B,,,1,1,2022,-0.05,1.57,0.01,3.9,663624.0,668939.0,,2,9,Top,,,,,543309,,,3.790682361523642,-136.5858715598648,-2.4187048581901,-1.5667564703355,32.13657457704711,-12.243485698009444,3.17,1.49,,,,94.3,2395,6.7,661217,606930,543309,519203,650402,518626,672724,665828,664056,503556,53.78,,,,,,,,71,3,4-Seam Fastball,8,0,0,8,0,8,0,8,Standard,Standard,191,0.0,0.026,,
FC,2022-10-01,88.4,-1.6,5.58,"Barnes, Jacob",663630,606930,,swinging_strike,,,,,14,Ryan McKenna strikes out swinging.,R,R,R,NYY,BAL,S,,,1,0,2022,0.54,0.6,0.76,1.34,663624.0,668939.0,,2,9,Top,,,,,543309,,,4.679012410770934,-128.7436799183548,-5.6003241555083285,5.158788112060996,25.353412338467027,-24.593407827995023,3.17,1.49,,,,89.6,2396,6.9,661217,606930,543309,519203,650402,518626,672724,665828,664056,503556,53.62,,,,,,,,71,2,Cutter,8,0,0,8,0,8,0,8,Standard,Standard,160,0.0,-0.045,,
FF,2022-10-01,93.3,-1.35,5.66,"Barnes, Jacob",663630,606930,,ball,,,,,12,Ryan McKenna strikes out swinging.,R,R,R,NYY,BAL,B,,,0,0,2022,-0.05,1.31,1.0,3.37,663624.0,668939.0,,2,9,Top,,,,,543309,,,6.224711161218998,-135.8151231248186,-3.0602984710447605,-1.9909256707321088,30.07457726118219,-15.446878907754408,3.23,1.51,,,,94.3,2198,6.9,661217,606930,543309,519203,650402,518626,672724,665828,664056,503556,53.62,,,,,,,,71,1,4-Seam Fastball,8,0,0,8,0,8,0,8,Standard,Standard,197,0.0,0.048,,
FF,2022-10-01,94.8,-1.44,5.69,"Barnes, Jacob",669720,606930,field_out,hit_into_play,,,,,3,"Austin Hays grounds out, pitcher Jacob Barnes to first baseman Anthony Rizzo.",R,R,R,NYY,BAL,X,1.0,ground_ball,0,1,2022,-0.06,1.59,0.73,3.02,663624.0,668939.0,,1,9,Top,130.96,185.15,,,543309,,,5.881707861763674,-137.87919099726795,-4.937657658021644,-2.0334955342710037,31.06477946092709,-10.956679374165148,3.26,1.53,19.0,80.8,-8.0,95.9,2492,7.0,661217,606930,543309,519203,650402,518626,672724,665828,664056,503556,53.54,0.1,0.099,0.0,1.0,0.0,0.0,2.0,70,2,4-Seam Fastball,8,0,0,8,0,8,0,8,Infield shift,Standard,195,0.001,-0.248,,
FC,2022-10-01,87.8,-1.49,5.64,"Barnes, Jacob",669720,606930,,called_strike,,,,,3,"Austin Hays grounds out, pitcher Jacob Barnes to first baseman Anthony Rizzo.",R,R,R,NYY,BAL,S,,,0,0,2022,0.48,0.68,0.46,3.18,663624.0,668939.0,,1,9,Top,,,,,543309,,,3.752843294573741,-127.80325179008786,-1.2522538629759594,4.477169974775759,26.283340830537973,-24.72282091030893,3.26,1.49,,,,88.8,2277,6.9,661217,606930,543309,519203,650402,518626,672724,665828,664056,503556,53.63,,,,,,,,70,1,Cutter,8,0,0,8,0,8,0,8,Infield shift,Standard,168,0.0,-0.107,,
FF,2022-10-01,93.6,-1.88,5.57,"Barnes, Jacob",668939,606930,double,hit_into_play,,,,,8,Adley Rutschman doubles (34) on a line drive to left fielder Oswaldo Cabrera.   Ryan Mountcastle to 3rd.,R,L,R,NYY,BAL,X,7.0,line_drive,0,0,2022,-0.31,1.58,0.13,1.98,,,663624.0,1,9,Top,48.66,116.31,,,543309,,,5.920242541492558,-136.0781850661526,-7.055339214903515,-5.10573080775402,29.752338712973927,-11.184691947569124,3.41,1.66,252.0,86.0,20.0,94.4,2439,6.8,661217,606930,543309,519203,650402,518626,672724,665828,664056,503556,53.67,0.551,0.534,1.25,1.0,1.0,1.0,4.0,69,1,4-Seam Fastball,8,0,0,8,0,8,0,8,Infield shift,Standard,197,-0.001,0.906,,
FC,2022-10-01,90.5,-1.7,5.55,"Barnes, Jacob",663624,606930,single,hit_into_play,,,,,8,Ryan Mountcastle singles on a fly ball to right fielder Marwin Gonzalez.,R,R,R,NYY,BAL,X,9.0,fly_ball,0,0,2022,0.17,0.67,0.2,1.76,,,,1,9,Top,182.83,128.54,,,543309,,,4.405246460708868,-131.79848912594153,-5.04469248638512,1.1903591933150612,25.38376741626635,-23.50972657490037,3.6,1.76,214.0,72.3,25.0,91.8,2263,6.8,661217,606930,543309,519203,650402,518626,672724,665828,664056,503556,53.66,0.909,0.869,0.9,1.0,1.0,0.0,4.0,68,1,Cutter,8,0,0,8,0,8,0,8,Standard,Standard,190,0.0,0.262,,
FF,2022-10-01,93.1,-2.14,5.61,"Barnes, Jacob",683002,606930,strikeout,swinging_strike,,,,,1,Gunnar Henderson strikes out swinging.,R,L,R,NYY,BAL,S,2.0,,1,2,2022,-0.4,1.45,-0.55,3.73,,,,0,9,Top,,,,,543309,,,5.0065723755445575,-135.4945560413397,-2.2846895876362145,-6.058200220087834,29.13115505117303,-13.991823477834236,3.7,1.79,,,,93.8,2374,6.7,661217,606930,543309,519203,650402,518626,672724,665828,664056,503556,53.83,,0.0,0.0,1.0,0.0,0.0,,67,4,4-Seam Fastball,8,0,0,8,0,8,0,8,Infield shift,Standard,200,0.0,-0.158,,
FF,2022-10-01,93.4,-1.93,5.53,"Barnes, Jacob",683002,606930,,foul,,,,,5,Gunnar Henderson strikes out swinging.,R,L,R,NYY,BAL,S,,,1,1,2022,-0.36,2.08,0.07,2.88,,,,0,9,Top,,,,,543309,,,5.998137497284071,-135.57563393720275,-5.499319643568153,-6.054458971531655,39.8698725341135,-5.797787281514438,3.7,1.79,217.0,72.2,29.0,92.9,2460,6.9,661217,606930,543309,519203,650402,518626,672724,665828,664056,503556,53.59,,,,,,,,67,3,4-Seam Fastball,8,0,0,8,0,8,0,8,Infield shift,Standard,196,0.0,-0.054,,
FC,2022-10-01,86.4,-2.12,5.47,"Barnes, Jacob",683002,606930,,called_strike,,,,,7,Gunnar Henderson strikes out swinging.,R,L,R,NYY,BAL,S,,,1,0,2022,0.64,0.91,-0.5,2.07,,,,0,9,Top,,,,,543309,,,2.579390386826605,-125.68354955678788,-3.664662159161914,6.1027035975566255,29.02983321817454,-22.05114944852331,3.64,1.72,,,,86.7,2345,6.8,661217,606930,543309,519203,650402,518626,672724,665828,664056,503556,53.66,,,,,,,,67,2,Cutter,8,0,0,8,0,8,0,8,Infield shift,Standard,171,0.0,-0.043,,
FF,2022-10-01,92.3,-1.89,5.63,"Barnes, Jacob",683002,606930,,ball,,,,,11,Gunnar Henderson strikes out swinging.,R,L,R,NYY,BAL,B,,,0,0,2022,-0.08,1.52,-1.13,3.01,,,,0,9,Top,,,,,543309,,,2.1155416183446496,-134.43423494170418,-4.20837753909084,-1.368596088242365,28.58739521310788,-12.983996032720892,3.7,1.75,,,,93.1,2398,6.7,661217,606930,543309,519203,650402,518626,672724,665828,664056,503556,53.81,,,,,,,,67,1,4-Seam Fastball,8,0,0,8,0,8,0,8,Infield shift,Standard,200,0.0,0.033,,
FF,2022-10-01,95.0,-1.57,5.7,"Barnes, Jacob",455139,606930,force_out,hit_into_play,,,,,9,"Robinson Chirinos grounds into a force out, shortstop Oswald Peraza to second baseman Gleyber Torres.   Rougned Odor out at 2nd.",R,R,R,NYY,BAL,X,6.0,ground_ball,2,2,2022,-0.08,1.5,0.48,1.69,,,596059.0,2,8,Top,117.03,163.34,,,543309,,,5.604663541017879,-138.05791624394453,-8.255642251844396,-2.2811586664363097,31.452696687485936,-11.32082427965324,3.02,1.45,5.0,79.0,-18.0,95.9,2426,6.9,661217,606930,543309,519203,650402,518626,672724,665828,664056,592450,53.59,0.06,0.042,0.0,1.0,0.0,0.0,2.0,62,5,4-Seam Fastball,8,0,0,8,0,8,0,8,Standard,Standard,198,0.001,-0.188,,
FC,2022-10-01,89.1,-1.5,5.67,"Barnes, Jacob",455139,606930,,ball,,,,,14,"Robinson Chirinos grounds into a force out, shortstop Oswald Peraza to second baseman Gleyber Torres.   Rougned Odor out at 2nd.",R,R,R,NYY,BAL,B,,,1,2,2022,0.55,0.61,1.62,2.16,,,596059.0,2,8,Top,,,,,543309,,,6.5690249092741135,-129.567650448231,-3.923422263599762,4.890479884411358,26.545490043699647,-24.6347194499017,3.12,1.49,,,,90.1,2321,6.9,661217,606930,543309,519203,650402,518626,672724,665828,664056,592450,53.62,,,,,,,,62,4,Cutter,8,0,0,8,0,8,0,8,Standard,Standard,147,0.0,0.029,,
FC,2022-10-01,91.8,-1.61,5.57,"Barnes, Jacob",455139,606930,,ball,,,,,14,"Robinson Chirinos grounds into a force out, shortstop Oswald Peraza to second baseman Gleyber Torres.   Rougned Odor out at 2nd.",R,R,R,NYY,BAL,B,,,0,2,2022,0.3,1.11,1.02,1.3,,,596059.0,2,8,Top,,,,,543309,,,6.073471260837612,-133.46129617545503,-7.463409452895444,2.365229690146596,26.65124836090754,-17.505200158247963,3.02,1.44,,,,92.9,2423,6.9,661217,606930,543309,519203,650402,518626,672724,665828,664056,592450,53.64,,,,,,,,62,3,Cutter,8,0,0,8,0,8,0,8,Standard,Standard,180,0.0,0.023,,
FC,2022-10-01,89.3,-1.62,5.64,"Barnes, Jacob",455139,606930,,swinging_strike,,,,,14,"Robinson Chirinos grounds into a force out, shortstop Oswald Peraza to second baseman Gleyber Torres.   Rougned Odor out at 2nd.",R,R,R,NYY,BAL,S,,,0,1,2022,0.51,0.89,1.2,1.12,,,596059.0,2,8,Top,,,,,543309,,,5.914416602220136,-129.82468928264325,-6.986323688321031,4.412445211554252,28.810394188970378,-20.812210710958947,3.02,1.45,,,,89.9,2361,6.8,661217,606930,543309,519203,650402,518626,672724,665828,664056,592450,53.68,,,,,,,,62,2,Cutter,8,0,0,8,0,8,0,8,Standard,Standard,164,0.0,-0.048,,
FF,2022-10-01,93.2,-1.49,5.73,"Barnes, Jacob",455139,606930,,foul,,,,,6,"Robinson Chirinos grounds into a force out, shortstop Oswald Peraza to second baseman Gleyber Torres.   Rougned Odor out at 2nd.",R,R,R,NYY,BAL,S,,,0,0,2022,-0.08,1.46,0.58,2.51,,,596059.0,2,8,Top,,,,,543309,,,5.546973000299212,-135.43474845834518,-5.680605980629513,-2.412583920660328,33.98596829644025,-13.230292497285642,3.02,1.45,100.0,77.0,81.0,93.4,2428,6.8,661217,606930,543309,519203,650402,518626,672724,665828,664056,592450,53.66,,,,,,,,62,1,4-Seam Fastball,8,0,0,8,0,8,0,8,Standard,Standard,194,0.0,-0.035,,
FC,2022-10-01,89.5,-1.88,5.63,"Barnes, Jacob",596059,606930,hit_by_pitch,hit_by_pitch,,,,,14,Rougned Odor hit by pitch.,R,L,R,NYY,BAL,B,,,0,1,2022,0.56,0.68,2.11,1.85,,,,2,8,Top,,,,,543309,,,8.721130458001053,-130.11835456983877,-4.767420476920476,4.533178332832417,27.306828177669296,-23.59125346413666,3.09,1.45,,,,90.1,2448,6.7,661217,606930,543309,519203,650402,518626,672724,665828,664056,592450,53.79,,0.720213,0.7,1.0,0.0,0.0,,61,2,Cutter,8,0,0,8,0,8,0,8,Infield shift,Standard,178,-0.001,0.135,,
FF,2022-10-01,95.1,-1.98,5.66,"Barnes, Jacob",596059,606930,,foul_tip,,,,,1,Rougned Odor hit by pitch.,R,L,R,NYY,BAL,S,,,0,0,2022,-0.27,1.45,-0.53,2.65,,,,2,8,Top,,,,,543309,,,4.416042425997541,-138.2750000525393,-5.442410431957941,-4.462285900003574,33.67231668302376,-12.648186819352736,3.09,1.45,,,,95.3,2457,6.6,661217,606930,543309,519203,650402,518626,672724,665828,664056,592450,53.86,,,,,,,,61,1,4-Seam Fastball,8,0,0,8,0,8,0,8,Infield shift,Standard,212,0.0,-0.017,,
FF,2022-10-01,94.7,-1.81,5.71,"Barnes, Jacob",622761,606930,field_out,hit_into_play,,,,,12,Jorge Mateo pops out to first baseman Anthony Rizzo in foul territory.,R,R,R,NYY,BAL,X,3.0,popup,1,2,2022,-0.12,1.58,0.85,3.64,,,,1,8,Top,152.59,192.2,,,543309,,,7.238530252190913,-137.65485469052453,-3.2314488375984327,-3.25003029167492,34.168957706168214,-11.644474803888134,3.44,1.69,69.0,73.3,72.0,94.8,2496,6.7,661217,606930,543309,519203,650402,518626,672724,665828,664056,592450,53.82,0.0,0.0,0.0,1.0,0.0,0.0,3.0,60,4,4-Seam Fastball,8,0,0,8,0,8,0,8,Standard,Standard,210,0.001,-0.112,,
FF,2022-10-01,96.0,-1.4,5.75,"Barnes, Jacob",622761,606930,,ball,,,,,14,Jorge Mateo pops out to first baseman Anthony Rizzo in foul territory.,R,R,R,NYY,BAL,B,,,0,2,2022,-0.06,1.42,1.34,1.93,,,,1,8,Top,,,,,543309,,,7.435302397651755,-139.46639814976575,-7.799449060994642,-2.348433127583099,30.53683955414223,-12.084639317520182,3.44,1.7,,,,96.9,2431,6.8,661217,606930,543309,519203,650402,518626,672724,665828,664056,592450,53.69,,,,,,,,60,3,4-Seam Fastball,8,0,0,8,0,8,0,8,Standard,Standard,202,0.0,0.011,,
FC,2022-10-01,88.6,-1.67,5.64,"Barnes, Jacob",622761,606930,,swinging_strike,,,,,14,Jorge Mateo pops out to first baseman Anthony Rizzo in foul territory.,R,R,R,NYY,BAL,S,,,0,1,2022,0.62,0.74,1.02,2.01,,,,1,8,Top,,,,,543309,,,5.313696605750202,-128.91478245472774,-4.392877058811502,5.818093940907699,26.13780971389628,-23.18805298546889,3.44,1.69,,,,89.5,2328,6.8,661217,606930,543309,519203,650402,518626,672724,665828,664056,592450,53.7,,,,,,,,60,2,Cutter,8,0,0,8,0,8,0,8,Standard,Standard,171,0.0,-0.031,,
FF,2022-10-01,93.2,-1.82,5.73,"Barnes, Jacob",622761,606930,,swinging_strike,,,,,3,Jorge Mateo pops out to first baseman Anthony Rizzo in foul territory.,R,R,R,NYY,BAL,S,,,0,0,2022,0.09,1.4,0.3,3.19,,,,1,8,Top,,,,,543309,,,5.269954337133011,-135.5815169218652,-3.850099579760797,-0.0436591121008128,30.46006192453977,-14.253611150167275,3.44,1.69,,,,93.8,2291,6.7,661217,606930,543309,519203,650402,518626,672724,665828,664056,592450,53.77,,,,,,,,60,1,4-Seam Fastball,8,0,0,8,0,8,0,8,Standard,Standard,202,0.0,-0.024,,
SL,2022-06-12,86.0,-1.6,5.58,"Barnes, Jacob",672515,606930,grounded_into_double_play,hit_into_play,,,,,3,"Gabriel Moreno grounds into a double play, shortstop Javier Baez to second baseman Jonathan Schoop to first baseman Spencer Torkelson.   Lourdes Gurriel Jr.  out at 2nd.    Gabriel Moreno out at 1st.",R,R,R,DET,TOR,X,6.0,ground_ball,1,2,2022,0.78,-0.03,0.77,2.81,,,666971.0,1,8,Top,111.62,159.79,,,571466,,,4.088317846213132,-125.3609452633304,-0.358925317971786,7.665622013828272,21.58474661393485,-32.58122770443534,3.32,1.51,10.0,85.0,-15.0,87.4,2329,6.8,662829,606930,571466,679529,570731,605612,595879,543257,622682,640457,53.75,0.12,0.106,0.0,1.0,0.0,0.0,2.0,56,4,Slider,0,6,6,0,6,0,6,0,Standard,Standard,131,0.002,-0.284,,
SL,2022-06-12,80.4,-1.5,5.65,"Barnes, Jacob",672515,606930,,ball,,,,,12,"Gabriel Moreno grounds into a double play, shortstop Javier Baez to second baseman Jonathan Schoop to first baseman Spencer Torkelson.   Lourdes Gurriel Jr.  out at 2nd.    Gabriel Moreno out at 1st.",R,R,R,DET,TOR,B,,,0,2,2022,0.55,-0.39,0.2,4.63,,,666971.0,1,8,Top,,,,,571466,,,2.7332020768261214,-117.0434480971406,5.092917596637909,4.706338534596883,18.528016540983284,-36.77431301315704,3.25,1.45,,,,81.5,2223,6.7,662829,606930,571466,679529,570731,605612,595879,543257,622682,640457,53.83,,,,,,,,56,3,Slider,0,6,6,0,6,0,6,0,Standard,Standard,84,0.0,0.03,,
FC,2022-06-12,87.2,-1.67,5.61,"Barnes, Jacob",672515,606930,,foul,,,,,14,"Gabriel Moreno grounds into a double play, shortstop Javier Baez to second baseman Jonathan Schoop to first baseman Spencer Torkelson.   Lourdes Gurriel Jr.  out at 2nd.    Gabriel Moreno out at 1st.",R,R,R,DET,TOR,S,,,0,1,2022,0.49,0.29,0.99,2.07,,,666971.0,1,8,Top,,,,,571466,,,5.409240887942445,-127.00699937281978,-3.0457025510335303,4.410659337022644,22.48171812963488,-28.662392886731293,3.32,1.51,7.0,67.2,-18.0,88.3,2319,6.6,662829,606930,571466,679529,570731,605612,595879,543257,622682,640457,53.89,,,,,,,,56,2,Cutter,0,6,6,0,6,0,6,0,Standard,Strategic,132,0.0,-0.068,,
FC,2022-06-12,90.0,-1.7,5.58,"Barnes, Jacob",672515,606930,,swinging_strike,,,,,14,"Gabriel Moreno grounds into a double play, shortstop Javier Baez to second baseman Jonathan Schoop to first baseman Spencer Torkelson.   Lourdes Gurriel Jr.  out at 2nd.    Gabriel Moreno out at 1st.",R,R,R,DET,TOR,S,,,0,0,2022,0.72,0.36,0.81,0.58,,,666971.0,1,8,Top,,,,,571466,,,4.700959886972715,-131.04301585740097,-7.382211260427437,7.725222413784236,20.70569231574224,-26.873813853342707,3.32,1.51,,,,91.3,2408,6.5,662829,606930,571466,679529,570731,605612,595879,543257,622682,640457,54.04,,,,,,,,56,1,Cutter,0,6,6,0,6,0,6,0,Standard,Strategic,170,0.0,-0.048,,
