pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
FC,2022-10-02,78.8,1.14,5.77,"Wentz, Joey",624503,666214,sac_fly,hit_into_play,,,,,2,Nick Gordon out on a sacrifice fly to left fielder Akil Baddoo.   Gilberto Celestino scores.,R,L,L,DET,MIN,X,7.0,fly_ball,0,2,2022,-0.58,-0.28,-0.07,3.08,665482.0,669304.0,621043.0,1,5,Top,72.61,103.67,,,606992,,,-1.527686883664756,-114.7659681423232,1.4983958173093326,-4.852770752185801,21.818785728225656,-35.16982816196489,3.64,1.75,272.0,91.5,47.0,78.5,2345,6.1,662769,666214,606992,679529,570731,600869,668952,668731,682985,622682,54.42,0.003,0.003,0.0,1.0,0.0,0.0,3.0,38,4,Cutter,3,1,1,3,2,3,2,3,Standard,Standard,280,0.026,-0.165,,
CU,2022-10-02,74.7,1.12,5.99,"Wentz, Joey",624503,666214,,foul,,,,,14,Nick Gordon out on a sacrifice fly to left fielder Akil Baddoo.   Gilberto Celestino scores.,R,L,L,DET,MIN,S,,,0,2,2022,-1.05,-0.86,0.89,2.06,665482.0,669304.0,621043.0,1,5,Top,,,,,606992,,,1.3579026497001112,-108.85344672540884,0.5556142754535505,-8.578130759228191,18.286212745199272,-39.31028500762996,3.64,1.75,76.0,85.1,5.0,74.5,2450,6.0,662769,666214,606992,679529,570731,600869,668952,668731,682985,622682,54.54,,,,,,,,38,3,Curveball,3,1,1,3,1,3,1,3,Standard,Strategic,306,0.0,0.0,,
FF,2022-10-02,92.2,0.83,6.09,"Wentz, Joey",624503,666214,,swinging_strike,,,,,7,Nick Gordon out on a sacrifice fly to left fielder Akil Baddoo.   Gilberto Celestino scores.,R,L,L,DET,MIN,S,,,0,1,2022,1.02,1.31,-0.41,2.24,665482.0,669304.0,621043.0,1,5,Top,,,,,606992,,,-5.3494978035174015,-134.04347083758373,-6.791456312121086,13.393207822106328,28.782270827435788,-15.069192836785618,3.64,1.75,,,,91.9,2155,6.2,662769,666214,606992,679529,570731,600869,668952,668731,682985,622682,54.33,,,,,,,,38,2,4-Seam Fastball,3,1,1,3,1,3,1,3,Standard,Strategic,141,0.0,-0.15,,
FF,2022-10-02,91.9,0.88,6.08,"Wentz, Joey",624503,666214,,called_strike,,,,,5,Nick Gordon out on a sacrifice fly to left fielder Akil Baddoo.   Gilberto Celestino scores.,R,L,L,DET,MIN,S,,,0,0,2022,1.03,1.4,-0.05,2.38,665482.0,669304.0,621043.0,1,5,Top,,,,,606992,,,-4.577189690939019,-133.75961060485994,-6.576162731015774,13.340088509777422,27.75135329131994,-14.119062672528337,3.5,1.75,,,,92.0,2198,6.2,662769,666214,606992,679529,570731,600869,668952,668731,682985,622682,54.25,,,,,,,,38,1,4-Seam Fastball,3,1,1,3,1,3,1,3,Standard,Strategic,140,0.0,-0.073,,
FF,2022-10-02,91.3,0.87,6.03,"Wentz, Joey",621043,666214,walk,ball,,,,,13,Carlos Correa walks.   Ryan Jeffers scores.    Gilberto Celestino to 3rd.    Jose Miranda to 2nd.,R,R,L,DET,MIN,B,,,3,1,2022,1.08,1.32,-0.32,0.58,680777.0,665482.0,669304.0,1,5,Top,,,,,606992,,,-5.3143655131961065,-132.52776411530417,-10.613373801530994,13.904140890152872,27.99769720816762,-14.520972483809752,3.54,1.73,,,,91.0,2161,6.2,662769,666214,606992,679529,570731,600869,668952,668731,682985,622682,54.25,,0.688744,0.7,1.0,0.0,0.0,,37,5,4-Seam Fastball,3,0,0,3,1,3,1,3,Standard,Standard,136,-0.107,0.721,,
FC,2022-10-02,78.5,1.22,5.83,"Wentz, Joey",621043,666214,,ball,,,,,12,Carlos Correa walks.   Ryan Jeffers scores.    Gilberto Celestino to 3rd.    Jose Miranda to 2nd.,R,R,L,DET,MIN,B,,,2,1,2022,-0.55,-0.3,1.36,2.66,680777.0,665482.0,669304.0,1,5,Top,,,,,606992,,,1.3002505894452063,-114.38412709501516,0.4219766750875573,-5.114253478962596,18.2770748987837,-35.07604303748345,3.56,1.73,,,,78.6,2335,6.0,662769,666214,606992,679529,570731,600869,668952,668731,682985,622682,54.49,,,,,,,,37,4,Cutter,3,0,0,3,0,3,0,3,Standard,Standard,287,0.0,0.285,,
CH,2022-10-02,83.0,0.84,5.94,"Wentz, Joey",621043,666214,,ball,,,,,13,Carlos Correa walks.   Ryan Jeffers scores.    Gilberto Celestino to 3rd.    Jose Miranda to 2nd.,R,R,L,DET,MIN,B,,,1,1,2022,1.09,1.14,-0.17,1.05,680777.0,665482.0,669304.0,1,5,Top,,,,,606992,,,-4.458158098682626,-120.66624965349604,-6.949036620810212,11.560769418269572,23.449967881469053,-19.84973187299623,3.56,1.73,,,,83.0,2120,6.4,662769,666214,606992,679529,570731,600869,668952,668731,682985,622682,54.14,,,,,,,,37,3,Changeup,3,0,0,3,0,3,0,3,Standard,Standard,117,0.0,0.056,,
CH,2022-10-02,83.9,0.94,5.95,"Wentz, Joey",621043,666214,,ball,,,,,13,Carlos Correa walks.   Ryan Jeffers scores.    Gilberto Celestino to 3rd.    Jose Miranda to 2nd.,R,R,L,DET,MIN,B,,,0,1,2022,0.97,1.16,-0.65,1.54,680777.0,665482.0,669304.0,1,5,Top,,,,,606992,,,-5.594112023535692,-122.00591869152446,-6.083386949826631,10.791050402647926,24.285566691961957,-19.585767781594864,3.57,1.73,,,,83.9,2096,6.3,662769,666214,606992,679529,570731,600869,668952,668731,682985,622682,54.15,,,,,,,,37,2,Changeup,3,0,0,3,0,3,0,3,Standard,Standard,121,0.0,0.013,,
CU,2022-10-02,73.0,1.03,6.01,"Wentz, Joey",621043,666214,,swinging_strike,,,,,8,Carlos Correa walks.   Ryan Jeffers scores.    Gilberto Celestino to 3rd.    Jose Miranda to 2nd.,R,R,L,DET,MIN,S,,,0,0,2022,-0.89,-0.99,0.26,1.9,680777.0,665482.0,669304.0,1,5,Top,,,,,606992,,,-0.0132314805115683,-106.2946447981037,0.7796614668990272,-6.749288666059226,17.92751937937603,-40.04122138893885,3.6,1.73,,,,73.0,2286,6.2,662769,666214,606992,679529,570731,600869,668952,668731,682985,622682,54.27,,,,,,,,37,1,Curveball,3,0,0,3,0,3,0,3,Standard,Standard,319,0.0,-0.073,,
FF,2022-10-02,90.6,0.98,6.04,"Wentz, Joey",669304,666214,walk,ball,,,,,14,Jose Miranda walks.   Ryan Jeffers to 3rd.    Gilberto Celestino to 2nd.,R,R,L,DET,MIN,B,,,3,1,2022,0.72,1.53,0.34,1.16,,680777.0,665482.0,1,5,Top,,,,,606992,,,-3.1243917060064788,-131.64378239585403,-9.452770020278347,9.060598694454782,29.68070120659959,-12.53963317203564,2.98,1.46,,,,90.1,2196,6.2,662769,666214,606992,679529,570731,600869,668952,668731,682985,622682,54.33,,0.688744,0.7,1.0,0.0,0.0,,36,5,4-Seam Fastball,3,0,0,3,0,3,0,3,Standard,Standard,137,-0.071,0.417,,
FF,2022-10-02,90.7,0.95,6.1,"Wentz, Joey",669304,666214,,ball,,,,,8,Jose Miranda walks.   Ryan Jeffers to 3rd.    Gilberto Celestino to 2nd.,R,R,L,DET,MIN,B,,,2,1,2022,0.46,1.55,0.19,1.45,,680777.0,665482.0,1,5,Top,,,,,606992,,,-2.886353613094446,-131.74800163622112,-8.968427374462125,5.942211179102141,28.8207128173086,-12.42434704519635,3.12,1.5,,,,90.5,2163,6.3,662769,666214,606992,679529,570731,600869,668952,668731,682985,622682,54.19,,,,,,,,36,4,4-Seam Fastball,3,0,0,3,0,3,0,3,Standard,Standard,138,0.0,0.172,,
FC,2022-10-02,79.2,1.23,5.84,"Wentz, Joey",669304,666214,,ball,,,,,12,Jose Miranda walks.   Ryan Jeffers to 3rd.    Gilberto Celestino to 2nd.,R,R,L,DET,MIN,B,,,1,1,2022,-0.48,-0.12,1.33,3.54,,680777.0,665482.0,1,5,Top,,,,,606992,,,1.129686553037876,-115.59401186425264,1.774390569194816,-4.560991503894151,16.59781944205509,-33.64396087991877,2.98,1.46,,,,79.9,2383,6.1,662769,666214,606992,679529,570731,600869,668952,668731,682985,622682,54.39,,,,,,,,36,3,Cutter,3,0,0,3,0,3,0,3,Standard,Standard,255,0.0,0.072,,
