pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
SI,2022-10-02,94.7,-2.2,5.84,"Fulmer, Michael",600869,605242,strikeout,called_strike,,,,,6,Jeimer Candelario called out on strikes.,R,L,R,DET,MIN,S,2.0,,2,2,2022,-1.46,1.04,0.71,2.47,,682985.0,665019.0,2,8,Bot,,,,,680777,,,10.86294359612754,-137.4573924966676,-5.467652229318057,-20.870121054037536,28.66421930997144,-17.887388393593817,3.3,1.65,,,,94.8,2233,6.4,662769,605242,680777,669304,624503,570482,621043,595909,676628,670242,54.15,,0.0,0.0,1.0,0.0,0.0,,67,5,Sinker,5,2,5,2,2,5,5,2,Infield shift,Standard,212,-0.005,-0.357,,
FC,2022-10-02,91.2,-2.51,5.9,"Fulmer, Michael",600869,605242,,foul_tip,,,,,1,Jeimer Candelario called out on strikes.,R,L,R,DET,MIN,S,,,2,1,2022,0.18,0.96,-0.78,3.09,,682985.0,665019.0,2,8,Bot,,,,,680777,,,3.949262869009086,-132.7923505597784,-3.2250821067619198,1.2280804340069449,30.471444356393715,-20.34890899170556,3.35,1.65,,,,91.1,2408,6.3,662769,605242,680777,669304,624503,570482,621043,595909,676628,670242,54.15,,,,,,,,67,4,Cutter,5,2,5,2,2,5,5,2,Infield shift,Standard,184,0.0,-0.12,,
FC,2022-10-02,89.9,-2.55,5.82,"Fulmer, Michael",600869,605242,,swinging_strike,,,,,9,Jeimer Candelario called out on strikes.,R,L,R,DET,MIN,S,,,2,0,2022,0.4,0.68,0.47,1.72,,682985.0,665019.0,2,8,Bot,,,,,680777,,,6.632055364470112,-130.61775356797529,-5.555500154586199,2.9316145769822834,30.612224042305723,-23.346277217220727,3.35,1.65,,,,89.3,2408,6.3,662769,605242,680777,669304,624503,570482,621043,595909,676628,670242,54.22,,,,,,,,67,3,Cutter,5,2,5,2,2,5,5,2,Infield shift,Standard,179,0.0,-0.09,,
FF,2022-10-02,94.5,-2.36,5.97,"Fulmer, Michael",600869,605242,,ball,,,,,11,Jeimer Candelario called out on strikes.,R,L,R,DET,MIN,B,,,1,0,2022,-0.62,1.28,-0.76,4.1,,682985.0,665019.0,2,8,Bot,,,,,680777,,,5.575309563036466,-137.52050593100648,-2.019256728247084,-9.185437314849816,32.967728543752976,-15.72226120719201,3.3,1.65,,,,94.4,2344,6.4,662769,605242,680777,669304,624503,570482,621043,595909,676628,670242,54.1,,,,,,,,67,2,4-Seam Fastball,5,2,5,2,2,5,5,2,Infield shift,Standard,206,0.0,0.068,,
CU,2022-10-02,81.8,-2.34,5.94,"Fulmer, Michael",600869,605242,,ball,,,,,14,Jeimer Candelario called out on strikes.,R,L,R,DET,MIN,B,,,0,0,2022,0.64,-1.14,0.55,1.48,,682985.0,665019.0,2,8,Bot,,,,,680777,,,5.303865785352309,-118.9431825457939,-1.1544403938507548,4.772390762626412,27.18470454568888,-42.79923678180499,3.33,1.65,,,,81.5,2388,6.6,662769,605242,680777,669304,624503,570482,621043,595909,676628,670242,53.91,,,,,,,,67,1,Curveball,5,2,5,2,2,5,5,2,Infield shift,Standard,34,0.0,0.054,,
FF,2022-10-02,95.2,-2.25,5.97,"Fulmer, Michael",570731,605242,field_out,hit_into_play,,,,,2,Jonathan Schoop flies out to center fielder Mark Contreras.,R,R,R,DET,MIN,X,8.0,fly_ball,0,1,2022,-0.54,1.35,0.16,3.51,,682985.0,665019.0,1,8,Bot,141.48,88.28,,,680777,,,7.5390712951788,-138.55027123430284,-3.886728693348689,-8.501496319080127,28.463008164034928,-14.046304919882267,3.54,1.7,279.0,95.0,50.0,95.7,2312,6.4,662769,605242,680777,669304,624503,570482,621043,595909,676628,670242,54.1,0.0,0.0,0.0,1.0,0.0,0.0,3.0,66,2,4-Seam Fastball,5,2,5,2,2,5,5,2,Standard,Standard,208,-0.005,-0.386,,
FF,2022-10-02,97.1,-2.24,6.02,"Fulmer, Michael",570731,605242,,swinging_strike,,,,,5,Jonathan Schoop flies out to center fielder Mark Contreras.,R,R,R,DET,MIN,S,,,0,0,2022,-0.32,1.28,0.2,2.81,,682985.0,665019.0,1,8,Bot,,,,,680777,,,7.298382927626363,-141.30928951248436,-6.073838012735927,-5.758047979604396,28.29837533093027,-13.863465891165612,3.54,1.7,,,,98.0,2294,6.5,662769,605242,680777,669304,624503,570482,621043,595909,676628,670242,53.97,,,,,,,,66,1,4-Seam Fastball,5,2,5,2,2,5,5,2,Standard,Standard,205,0.0,-0.081,,
FC,2022-10-02,93.1,-2.36,5.95,"Fulmer, Michael",408234,605242,single,hit_into_play,,,,,1,Miguel Cabrera singles on a line drive to center fielder Mark Contreras.   Akil Baddoo scores.    Riley Greene to 2nd.,R,R,R,DET,MIN,X,8.0,line_drive,2,2,2022,-0.04,0.81,-0.4,3.33,,668731.0,682985.0,1,8,Bot,133.69,106.82,,,680777,,,5.11774156000555,-135.42732480854718,-2.721910819050521,-1.664619297617644,30.790284973482645,-21.771923854817125,3.56,1.78,188.0,92.3,11.0,93.1,2505,6.4,662769,605242,680777,669304,624503,570482,621043,595909,676628,670242,54.08,0.777,0.744,0.9,1.0,1.0,0.0,4.0,65,6,Cutter,4,2,4,2,2,5,5,2,Standard,Standard,160,0.028,0.994,,
FC,2022-10-02,92.8,-2.31,5.9,"Fulmer, Michael",408234,605242,,ball,,,,,14,Miguel Cabrera singles on a line drive to center fielder Mark Contreras.   Akil Baddoo scores.    Riley Greene to 2nd.,R,R,R,DET,MIN,B,,,1,2,2022,-0.04,0.66,1.13,2.02,,668731.0,682985.0,1,8,Bot,,,,,680777,,,8.906553434898333,-134.94464729730691,-5.665546398324706,-2.1525328743353787,25.39538570122077,-23.07827553712652,3.59,1.78,,,,93.7,2417,6.5,662769,605242,680777,669304,624503,570482,621043,595909,676628,670242,53.97,,,,,,,,65,5,Cutter,4,2,4,2,2,4,4,2,Standard,Standard,161,0.0,0.06,,
SI,2022-10-02,96.0,-2.37,5.85,"Fulmer, Michael",408234,605242,,foul,,,,,2,Miguel Cabrera singles on a line drive to center fielder Mark Contreras.   Akil Baddoo scores.    Riley Greene to 2nd.,R,R,R,DET,MIN,S,,,1,2,2022,-1.13,0.89,0.03,3.14,,668731.0,682985.0,1,8,Bot,,,,,680777,,,8.928624005544632,-139.61463376557327,-3.697782438715816,-16.592149252992563,26.349954243622097,-19.82374719234634,3.56,1.78,167.0,80.9,13.0,96.8,2146,6.4,662769,605242,680777,669304,624503,570482,621043,595909,676628,670242,54.06,,,,,,,,65,4,Sinker,4,2,4,2,2,4,4,2,Standard,Standard,208,0.0,0.0,,
