pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
SL,2022-09-03,81.8,-2.24,6.33,"Pineda, Michael",677951,501381,strikeout,swinging_strike,,,,,14,Bobby Witt Jr.  strikes out swinging.,R,R,R,DET,KC,S,2.0,,1,2,2022,-0.21,0.38,0.46,0.69,670032.0,,669004.0,2,4,Top,,,,,571466,,,6.469393499647942,-118.91289441068292,-6.865339863177622,-3.253846819903427,22.39038540864852,-27.41559625925756,3.47,1.65,,,,81.5,2073.0,6.1,662803,501381,571466,679529,605612,668952,595879,681481,682985,650489,54.38,,0.0,0.0,1.0,0.0,0.0,,33,4,Slider,1,5,5,1,5,1,5,1,Infield shift,Standard,269.0,0.019,-0.339,,
SL,2022-09-03,83.4,-2.24,6.41,"Pineda, Michael",677951,501381,,swinging_strike,,,,,14,Bobby Witt Jr.  strikes out swinging.,R,R,R,DET,KC,S,,,1,1,2022,-0.09,0.32,0.87,1.33,670032.0,,669004.0,2,4,Top,,,,,571466,,,7.275303793532116,-120.96966310396304,-5.570052285736386,-2.7995223936130573,31.95463918216444,-27.893090616214472,3.47,1.65,,,,81.6,1939.0,6.1,662803,501381,571466,679529,605612,668952,595879,681481,682985,650489,54.42,,,,,,,,33,3,Slider,1,5,5,1,5,1,5,1,Infield shift,Standard,267.0,0.0,-0.108,,
FF,2022-09-03,89.4,-2.23,6.41,"Pineda, Michael",677951,501381,,blocked_ball,,,,,14,Bobby Witt Jr.  strikes out swinging.,R,R,R,DET,KC,B,,,0,1,2022,-0.57,1.39,0.43,0.66,670032.0,,669004.0,2,4,Top,,,,,571466,,,7.716790090202551,-129.55478069545308,-11.009188494460656,-7.977614002999463,26.31768184495943,-14.3884041385583,3.47,1.57,,,,89.1,2219.0,6.3,662803,501381,571466,679529,605612,668952,595879,681481,682985,650489,54.21,,,,,,,,33,2,4-Seam Fastball,1,5,5,1,5,1,5,1,Infield shift,Standard,212.0,0.0,0.052,,
FF,2022-09-03,91.9,-2.25,6.38,"Pineda, Michael",677951,501381,,called_strike,,,,,9,Bobby Witt Jr.  strikes out swinging.,R,R,R,DET,KC,S,,,0,0,2022,-0.47,1.34,0.52,2.1,670032.0,,669004.0,2,4,Top,,,,,571466,,,8.045107982351379,-133.4360305792779,-7.916741827679552,-7.402054965574538,28.798446533414623,-14.571782735188023,3.47,1.6,,,,92.1,2131.0,6.5,662803,501381,571466,679529,605612,668952,595879,681481,682985,650489,53.98,,,,,,,,33,1,4-Seam Fastball,1,5,5,1,5,1,5,1,Infield shift,Standard,216.0,0.0,-0.078,,
CH,2022-09-03,86.2,-2.27,6.5,"Pineda, Michael",669004,501381,single,hit_into_play,,,,,4,MJ Melendez singles on a ground ball to right fielder Willi Castro.   Nate Eaton scores.    Nicky Lopez to 3rd.,R,L,R,DET,KC,X,9.0,ground_ball,0,0,2022,-1.25,0.83,-0.28,2.24,,681987.0,670032.0,2,4,Top,194.33,121.65,,,571466,,,7.206612818244856,-125.27808428836995,-5.604477581104271,-14.585246394435984,23.08961907936516,-22.47351784933896,3.33,1.57,59.0,101.9,1.0,86.1,1692.0,6.1,662803,501381,571466,679529,605612,668952,595879,681481,682985,650489,54.43,0.5,0.475,0.9,1.0,1.0,0.0,4.0,32,1,Changeup,1,4,4,1,5,1,5,1,Strategic,Standard,226.0,-0.065,0.856,,
CH,2022-09-03,86.5,-2.26,6.44,"Pineda, Michael",670032,501381,walk,ball,,,,,9,Nicky Lopez walks.,R,L,R,DET,KC,B,,,3,2,2022,-1.31,0.85,0.69,1.25,,681987.0,,2,4,Top,,,,,571466,,,9.635612011595052,-125.53637982388716,-7.867647174663795,-15.742845546456197,23.846276759768145,-21.71589366393769,2.95,1.34,,,,86.2,1723.0,6.1,662803,501381,571466,679529,605612,668952,595879,681481,682985,650489,54.39,,0.688744,0.7,1.0,0.0,0.0,,31,8,Changeup,1,4,4,1,4,1,4,1,Standard,Strategic,230.0,-0.005,0.141,,
SL,2022-09-03,83.0,-2.32,6.22,"Pineda, Michael",670032,501381,,blocked_ball,,,,,14,Nicky Lopez walks.,R,L,R,DET,KC,B,,,2,2,2022,-0.2,0.33,0.61,0.95,,681987.0,,2,4,Top,,,,,571466,,,7.079884736134851,-120.45942098326717,-6.111144538772221,-3.4216969241873407,25.894501071383782,-27.83946758212297,2.9,1.29,,,,82.4,1975.0,6.3,662803,501381,571466,679529,605612,668952,595879,681481,682985,650489,54.19,,,,,,,,31,7,Slider,1,4,4,1,4,1,4,1,Standard,Strategic,275.0,0.0,0.051,,
CH,2022-09-03,86.2,-2.19,6.52,"Pineda, Michael",670032,501381,,foul,,,,,2,Nicky Lopez walks.,R,L,R,DET,KC,S,,,2,2,2022,-1.28,0.7,-0.12,2.53,,681987.0,,2,4,Top,,,,,571466,,,7.484323375056815,-125.34460160696966,-4.672815602411438,-14.966978278166948,24.02199011595255,-24.069228494736343,3.0,1.34,187.0,70.4,56.0,86.1,1631.0,6.2,662803,501381,571466,679529,605612,668952,595879,681481,682985,650489,54.34,,,,,,,,31,6,Changeup,1,4,4,1,4,1,4,1,Standard,Strategic,229.0,0.0,0.0,,
FF,2022-09-03,90.7,-2.28,6.4,"Pineda, Michael",670032,501381,,foul,,,,,12,Nicky Lopez walks.,R,L,R,DET,KC,S,,,2,2,2022,-0.54,1.08,0.08,3.46,,681987.0,,2,4,Top,,,,,571466,,,7.047620554736381,-131.9471486722841,-3.7378027537346807,-7.772041749490013,28.020227784252853,-18.94279740427182,3.0,1.34,,,,90.7,1948.0,6.3,662803,501381,571466,679529,605612,668952,595879,681481,682985,650489,54.2,,,,,,,,31,5,4-Seam Fastball,1,4,4,1,4,1,4,1,Standard,Strategic,223.0,0.0,0.0,,
CH,2022-09-03,86.1,-2.21,6.47,"Pineda, Michael",670032,501381,,foul,,,,,6,Nicky Lopez walks.,R,L,R,DET,KC,S,,,2,1,2022,-1.16,0.75,0.33,2.09,,681987.0,,2,4,Top,,,,,571466,,,8.36664283876398,-125.0788403426386,-5.7107816689255335,-13.86127214181157,23.3496047323462,-23.314266440522488,3.0,1.34,,,,86.0,1845.0,6.2,662803,501381,571466,679529,605612,668952,595879,681481,682985,650489,54.32,,,,,,,,31,4,Changeup,1,4,4,1,4,1,4,1,Standard,Strategic,228.0,0.0,-0.074,,
