pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
CH,2022-10-05,91.4,-0.91,5.9,"Díaz, Miguel",571745,622766,field_out,hit_into_play,,,,,1,Mitch Haniger pops out to second baseman Jonathan Schoop.,R,R,R,SEA,DET,X,4.0,popup,2,2,2022,-1.52,0.31,-0.56,3.08,,,664034.0,2,7,Bot,128.0,130.75,,,606992,,,4.124286506872915,-133.02215709541738,-1.871383932209273,-18.877619573912888,31.035280976101127,-28.26347669692288,3.28,1.54,175.0,71.0,55.0,90.4,2003,5.8,662195,622766,606992,679529,570731,600869,668952,668731,682985,663478,54.66,0.091,0.098,0.0,1.0,0.0,0.0,3.0,61,7,Changeup,4,4,4,4,4,4,4,4,Infield shift,Standard,241,-0.041,-0.188,,
CH,2022-10-05,92.6,-0.74,5.96,"Díaz, Miguel",571745,622766,,ball,,,,,14,Mitch Haniger pops out to second baseman Jonathan Schoop.,R,R,R,SEA,DET,B,,,1,2,2022,-1.62,0.03,0.86,1.5,,,664034.0,2,7,Bot,,,,,606992,,,7.571749821324105,-134.45141254406448,-5.571376881355812,-21.25058775780167,31.55713980326843,-30.657562791419124,3.19,1.45,,,,91.7,2024,6.0,662195,622766,606992,679529,570731,600869,668952,668731,682985,663478,54.47,,,,,,,,61,6,Changeup,4,4,4,4,4,4,4,4,Infield shift,Standard,238,0.0,0.029,,
FF,2022-10-05,96.2,-0.91,5.91,"Díaz, Miguel",571745,622766,,foul,,,,,1,Mitch Haniger pops out to second baseman Jonathan Schoop.,R,R,R,SEA,DET,S,,,1,2,2022,-0.91,1.28,-0.76,3.24,,,664034.0,2,7,Bot,,,,,606992,,,2.457741770079695,-140.0723620884203,-4.34818504692777,-12.512163075249305,32.337468441478045,-14.60436387841596,3.28,1.54,152.0,77.7,73.0,95.4,2314,5.9,662195,622766,606992,679529,570731,600869,668952,668731,682985,663478,54.63,,,,,,,,61,5,4-Seam Fastball,4,4,4,4,4,4,4,4,Infield shift,Standard,219,0.0,0.0,,
FF,2022-10-05,97.9,-0.9,6.02,"Díaz, Miguel",571745,622766,,ball,,,,,11,Mitch Haniger pops out to second baseman Jonathan Schoop.,R,R,R,SEA,DET,B,,,0,2,2022,-0.94,1.44,-0.38,4.53,,,664034.0,2,7,Bot,,,,,606992,,,3.535996956568815,-142.60972066966758,-1.848617794146418,-13.66322194117344,33.76560474020574,-12.28478581263067,3.11,1.37,,,,97.0,2464,5.8,662195,622766,606992,679529,570731,600869,668952,668731,682985,663478,54.71,,,,,,,,61,4,4-Seam Fastball,4,4,4,4,4,4,4,4,Infield shift,Standard,218,0.0,0.023,,
CH,2022-10-05,92.2,-0.92,5.97,"Díaz, Miguel",571745,622766,,foul,,,,,8,Mitch Haniger pops out to second baseman Jonathan Schoop.,R,R,R,SEA,DET,S,,,0,2,2022,-1.56,0.13,0.03,2.02,,,664034.0,2,7,Bot,,,,,606992,,,5.762311562740535,-133.99853632375505,-4.411003416377007,-20.02738476987822,31.516487291978823,-29.79975517336001,3.28,1.54,2.0,72.9,-40.0,91.1,2028,5.9,662195,622766,606992,679529,570731,600869,668952,668731,682985,663478,54.59,,,,,,,,61,3,Changeup,4,4,4,4,4,4,4,4,Infield shift,Standard,239,0.0,0.0,,
FF,2022-10-05,97.1,-0.88,5.94,"Díaz, Miguel",571745,622766,,called_strike,,,,,6,Mitch Haniger pops out to second baseman Jonathan Schoop.,R,R,R,SEA,DET,S,,,0,1,2022,-0.96,1.22,0.61,2.11,,,664034.0,2,7,Bot,,,,,606992,,,6.101582944243262,-141.10183943481763,-7.39647733922346,-14.214716780659062,34.5792984305289,-14.415283441034564,3.26,1.45,,,,95.8,2212,5.8,662195,622766,606992,679529,570731,600869,668952,668731,682985,663478,54.7,,,,,,,,61,2,4-Seam Fastball,4,4,4,4,4,4,4,4,Infield shift,Standard,223,0.0,-0.048,,
FF,2022-10-05,95.5,-0.87,5.95,"Díaz, Miguel",571745,622766,,called_strike,,,,,6,Mitch Haniger pops out to second baseman Jonathan Schoop.,R,R,R,SEA,DET,S,,,0,0,2022,-1.03,1.22,0.37,2.12,,,664034.0,2,7,Bot,,,,,606992,,,5.525847222685003,-138.72554361064147,-7.066356373763987,-14.60376162720468,33.49261299362728,-15.057964742205764,3.3,1.5,,,,94.3,2235,5.9,662195,622766,606992,679529,570731,600869,668952,668731,682985,663478,54.64,,,,,,,,61,1,4-Seam Fastball,4,4,4,4,4,4,4,4,Infield shift,Standard,221,0.0,-0.035,,
FF,2022-10-05,95.6,-0.94,5.89,"Díaz, Miguel",664034,622766,walk,ball,,,,,14,Ty France walks.,R,R,R,SEA,DET,B,,,3,0,2022,-0.84,1.37,1.04,2.12,,,,2,7,Bot,,,,,606992,,,7.071793363919125,-138.8498525968917,-7.281775190217233,-12.519351513274271,34.70345461146659,-12.950650284400435,3.13,1.44,,,,94.7,2328,6.1,662195,622766,606992,679529,570731,600869,668952,668731,682985,663478,54.38,,0.688744,0.7,1.0,0.0,0.0,,60,4,4-Seam Fastball,4,4,4,4,4,4,4,4,Standard,Standard,221,0.021,0.039,,
CH,2022-10-05,89.0,-0.93,5.96,"Díaz, Miguel",664034,622766,,ball,,,,,9,Ty France walks.,R,R,R,SEA,DET,B,,,2,0,2022,-1.63,0.15,0.78,1.95,,,,2,7,Bot,,,,,606992,,,7.553202645896023,-129.3305088256204,-4.021268233482608,-19.87260678167869,29.16550361162989,-29.74333380312125,3.09,1.46,,,,88.0,1819,5.9,662195,622766,606992,679529,570731,600869,668952,668731,682985,663478,54.58,,,,,,,,60,3,Changeup,4,4,4,4,4,4,4,4,Standard,Standard,243,0.0,0.042,,
FF,2022-10-05,94.8,-1.12,5.91,"Díaz, Miguel",664034,622766,,ball,,,,,13,Ty France walks.,R,R,R,SEA,DET,B,,,1,0,2022,-1.0,1.36,-0.84,1.24,,,,2,7,Bot,,,,,606992,,,2.920031816033475,-137.60469423615044,-9.382591070375064,-13.337755273945849,35.27061403573259,-12.958469201764457,3.21,1.44,,,,93.2,2397,5.8,662195,622766,606992,679529,570731,600869,668952,668731,682985,663478,54.66,,,,,,,,60,2,4-Seam Fastball,4,4,4,4,4,4,4,4,Standard,Standard,223,0.0,0.023,,
CH,2022-10-05,87.9,-0.9,5.84,"Díaz, Miguel",664034,622766,,ball,,,,,14,Ty France walks.,R,R,R,SEA,DET,B,,,0,0,2022,-1.47,-0.15,1.02,1.15,,,,2,7,Bot,,,,,606992,,,7.663715344563543,-127.71620551150588,-4.835377121899825,-17.75592866267974,29.03295578294136,-32.93485015967794,3.17,1.44,,,,87.0,1836,6.0,662195,622766,606992,679529,570731,600869,668952,668731,682985,663478,54.48,,,,,,,,60,1,Changeup,4,4,4,4,4,4,4,4,Standard,Standard,247,0.0,0.015,,
