pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
CH,2022-07-24,86.1,-3.31,4.81,"García, Rony",624503,665621,,foul,,,,,13.0,Nick Gordon flies out to right fielder Willi Castro.,R,L,R,DET,MIN,S,,,2,0,2022,-1.17,0.21,-0.34,1.39,,,666135.0,2,3,Top,,,,,606992,,,9.374982276350131,-125.07826764270064,-2.2389406869821284,-14.22646187868108,25.94455621917617,-29.73859880599193,3.65,1.74,2.0,77.0,-31.0,85.7,2113.0,6.2,662901,665621,606992,605612,570731,665019,595879,543257,682985,650489,54.32,,,,,,,,21,3,Changeup,0,3,3,0,3,0,3,0,Infield shift,Standard,222.0,0.0,-0.057,,
SI,2022-07-24,87.9,-3.33,4.85,"García, Rony",624503,665621,,ball,,,,,13.0,Nick Gordon flies out to right fielder Willi Castro.,R,L,R,DET,MIN,B,,,1,0,2022,-1.36,0.32,-2.17,2.54,,,666135.0,2,3,Top,,,,,606992,,,5.619422305405501,-127.83203960339566,-0.124303386564699,-16.058113633770176,27.535530772098245,-28.899630091748648,3.57,1.74,,,,87.6,2118.0,6.3,662901,665621,606992,605612,570731,665019,595879,543257,682985,650489,54.24,,,,,,,,21,2,Sinker,0,3,3,0,3,0,3,0,Infield shift,Standard,230.0,0.0,0.044,,
CU,2022-07-24,75.6,-3.41,5.19,"García, Rony",624503,665621,,ball,,,,,13.0,Nick Gordon flies out to right fielder Willi Castro.,R,L,R,DET,MIN,B,,,0,0,2022,0.8,-0.13,-2.21,2.13,,,666135.0,2,3,Top,,,,,606992,,,1.0687538536199062,-110.050736955646,0.9813164629467268,6.316999056580463,19.95340282514352,-33.65796288306533,3.55,1.74,,,,75.5,2247.0,6.2,662901,665621,606992,605612,570731,665019,595879,543257,682985,650489,54.27,,,,,,,,21,1,Curveball,0,3,3,0,3,0,3,0,Infield shift,Standard,104.0,0.0,0.032,,
FF,2022-07-24,87.5,-3.38,4.81,"García, Rony",666135,665621,force_out,hit_into_play,,,,,7.0,"Alex Kirilloff grounds into a force out, second baseman Jonathan Schoop to third baseman Kody Clemens.   Gilberto Celestino out at 2nd.    Alex Kirilloff to 1st.",R,L,R,DET,MIN,X,4.0,ground_ball,2,0,2022,-1.02,0.88,-0.6,2.1,,,665482.0,1,3,Top,147.14,159.79,,,606992,,,8.786554600543694,-127.12409770404471,-2.1924867248702187,-12.858790303531809,26.47324000081924,-22.408544364693093,3.42,1.72,13.0,97.1,-9.0,87.3,2231.0,6.3,662901,665621,606992,605612,570731,665019,595879,543257,682985,650489,54.22,0.231,0.207,0.0,1.0,0.0,0.0,2.0,20,3,4-Seam Fastball,0,3,3,0,3,0,3,0,Infield shift,Standard,225.0,0.016,-0.492,,
CH,2022-07-24,84.0,-3.12,5.25,"García, Rony",666135,665621,,ball,,,,,14.0,"Alex Kirilloff grounds into a force out, second baseman Jonathan Schoop to third baseman Kody Clemens.   Gilberto Celestino out at 2nd.    Alex Kirilloff to 1st.",R,L,R,DET,MIN,B,,,1,0,2022,-1.06,0.91,0.2,1.16,,,596146.0,1,3,Top,,,,,606992,,,9.76393671705714,-121.99142298113806,-4.947513718119551,-12.303441336273636,20.154665273554944,-22.293039233296817,3.39,1.72,,,,84.3,1657.0,6.3,662901,665621,606992,605612,570731,665019,595879,543257,682985,650489,54.23,,,,,,,,20,2,Changeup,0,3,3,0,3,0,3,0,Infield shift,Standard,226.0,0.0,0.08,,
FF,2022-07-24,89.1,-3.4,4.72,"García, Rony",666135,665621,,ball,,,,,11.0,"Alex Kirilloff grounds into a force out, second baseman Jonathan Schoop to third baseman Kody Clemens.   Gilberto Celestino out at 2nd.    Alex Kirilloff to 1st.",R,L,R,DET,MIN,B,,,0,0,2022,-0.62,1.19,-1.05,3.49,,,596146.0,1,3,Top,,,,,606992,,,7.089922082081618,-129.51908465659093,0.5742974781296106,-8.552752812755196,28.389952294419988,-19.23035554941805,3.45,1.72,,,,89.0,2359.0,6.4,662901,665621,606992,605612,570731,665019,595879,543257,682985,650489,54.07,,,,,,,,20,1,4-Seam Fastball,0,3,3,0,3,0,3,0,Infield shift,Standard,232.0,0.0,0.042,,
CU,2022-07-24,80.2,-3.33,5.1,"García, Rony",596146,665621,hit_by_pitch,hit_by_pitch,,,,,14.0,Max Kepler hit by pitch.,R,L,R,DET,MIN,B,,,0,1,2022,0.55,0.25,2.24,0.04,,,,1,3,Top,,,,,606992,,,11.24517227137028,-116.2793510427088,-4.963869072716161,3.1111275606361146,20.00625671370241,-29.14382348316621,3.49,1.64,,,,80.2,2444.0,6.3,662901,665621,606992,605612,570731,665019,595879,543257,682985,650489,54.2,,0.720213,0.7,1.0,0.0,0.0,,19,2,Curveball,0,3,3,0,3,0,3,0,Infield shift,Standard,98.0,-0.014,0.287,,
FF,2022-07-24,90.0,-3.23,4.82,"García, Rony",596146,665621,,swinging_strike,,,,,12.0,Max Kepler hit by pitch.,R,L,R,DET,MIN,S,,,0,0,2022,-0.72,1.22,0.02,3.72,,,,1,3,Top,,,,,606992,,,9.566224086115074,-130.781503542475,0.6392337362754124,-10.204830940878855,25.6655500583043,-18.471193759444592,3.49,1.64,,,,90.2,2377.0,6.3,662901,665621,606992,605612,570731,665019,595879,543257,682985,650489,54.18,,,,,,,,19,1,4-Seam Fastball,0,3,3,0,3,0,3,0,Infield shift,Standard,228.0,0.0,-0.024,,
SI,2022-07-24,89.9,-3.11,4.82,"García, Rony",593871,665621,field_out,hit_into_play,,,,,8.0,Jorge Polanco flies out to center fielder Riley Greene.,R,L,R,DET,MIN,X,8.0,fly_ball,2,1,2022,-1.31,0.66,0.03,2.1,,,,0,3,Top,103.9,71.5,,,606992,,,10.49909648556699,-130.7693544247082,-2.319984964842124,-16.969640264153266,19.586868913485645,-24.25424410708329,3.31,1.59,322.0,92.0,39.0,90.7,2197.0,6.1,662901,665621,606992,605612,570731,665019,595879,543257,682985,650489,54.37,0.029,0.036,0.0,1.0,0.0,0.0,3.0,18,4,Sinker,0,3,3,0,3,0,3,0,Infield shift,Standard,228.0,0.013,-0.261,,
CH,2022-07-24,84.2,-3.01,5.31,"García, Rony",593871,665621,,ball,,,,,14.0,Jorge Polanco flies out to center fielder Riley Greene.,R,L,R,DET,MIN,B,,,1,1,2022,-1.0,0.75,1.31,2.18,,,,0,3,Top,,,,,606992,,,11.972784302293704,-122.30886589638128,-2.516688045015591,-12.008283857020306,18.22584671468805,-24.213702288211632,3.18,1.59,,,,84.8,1932.0,6.2,662901,665621,606992,605612,570731,665019,595879,543257,682985,650489,54.27,,,,,,,,18,3,Changeup,0,3,3,0,3,0,3,0,Infield shift,Standard,232.0,0.0,0.049,,
