pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
FC,2023-09-28,92.6,1.4,5.97,"Lipcius, Andre",686531,666142,single,hit_into_play,,,,,7,Andre Lipcius singles on a line drive to left fielder Dairon Blanco.,R,R,L,DET,KC,X,7.0,line_drive,2,1,2023,0.2,0.67,-0.72,1.86,,,,1,7,Bot,56.68,110.41,,,521692,,,-5.828493404518871,-134.62116340095247,-6.109502937906708,3.723208866428799,30.096049865956964,-22.82717225987501,3.44,1.62,198.0,97.5,13.0,92.2,2612,6.1,716401,666142,521692,668472,686681,679845,677951,680118,664728,671221,54.35,0.954,0.929,0.9,1.0,1.0,0.0,4.0,52,4,Cutter,0,3,0,3,3,0,0,3,Standard,Standard,147,0.031,0.236,,
FF,2023-09-28,96.0,1.14,6.11,"Lipcius, Andre",686531,666142,,ball,,,,,12,Andre Lipcius singles on a line drive to left fielder Dairon Blanco.,R,R,L,DET,KC,B,,,1,1,2023,1.1,1.4,0.27,4.11,,,,1,7,Bot,,,,,521692,,,-4.742978271354708,-139.62097215240695,-2.759290769508196,15.398184413034542,36.80811584574907,-13.633789005054934,3.54,1.62,,,,94.9,2610,6.1,716401,666142,521692,668472,686681,679845,677951,680118,664728,671221,54.44,,,,,,,,52,3,4-Seam Fastball,0,3,0,3,3,0,0,3,Standard,Standard,128,0.0,0.034,,
CH,2023-09-28,85.1,1.3,5.93,"Lipcius, Andre",686531,666142,,ball,,,,,14,Andre Lipcius singles on a line drive to left fielder Dairon Blanco.,R,R,L,DET,KC,B,,,0,1,2023,1.41,0.89,1.55,2.14,,,,1,7,Bot,,,,,521692,,,-2.2169930287840307,-123.8952247619583,-4.333819924577753,14.963257648160878,24.55129327476911,-22.371453849380163,3.49,1.65,,,,84.8,2099,6.0,716401,666142,521692,668472,686681,679845,677951,680118,664728,671221,54.48,,,,,,,,52,2,Changeup,0,3,0,3,3,0,0,3,Standard,Standard,119,0.0,0.019,,
FC,2023-09-28,90.3,1.28,6.04,"Lipcius, Andre",686531,666142,,called_strike,,,,,4,Andre Lipcius singles on a line drive to left fielder Dairon Blanco.,R,R,L,DET,KC,S,,,0,0,2023,0.14,0.68,-0.55,2.28,,,,1,7,Bot,,,,,521692,,,-4.824414239808848,-131.4960074947729,-4.890082374681986,2.546083158377162,26.08633363842729,-23.418688863810267,3.47,1.62,,,,90.2,2452,6.0,716401,666142,521692,668472,686681,679845,677951,680118,664728,671221,54.48,,,,,,,,52,1,Cutter,0,3,0,3,3,0,0,3,Standard,Standard,143,0.0,-0.026,,
FF,2023-09-28,95.8,1.08,6.13,"Lipcius, Andre",686531,666142,single,hit_into_play,,,,,5,Andre Lipcius singles on a fly ball to center fielder Kyle Isbel.,R,R,L,DET,KC,X,8.0,fly_ball,3,2,2023,0.69,1.5,-0.17,2.53,,,,0,5,Bot,125.66,104.41,,,521692,,,-4.824527972288052,-139.2100686640814,-7.209411644039681,10.05563044776622,34.02637662509752,-11.22627892849822,3.44,1.62,239.0,71.1,38.0,95.0,2393,6.1,716401,666142,521692,668472,686681,679845,677951,669004,664728,671221,54.42,0.497,0.503,0.9,1.0,1.0,0.0,3.0,37,6,4-Seam Fastball,0,3,0,3,3,0,0,3,Standard,Standard,134,0.044,0.309,,
KC,2023-09-28,78.3,1.22,6.24,"Lipcius, Andre",686531,666142,,ball,,,,,13,Andre Lipcius singles on a fly ball to center fielder Kyle Isbel.,R,R,L,DET,KC,B,,,2,2,2023,-1.64,-1.16,-1.34,0.31,,,,0,5,Bot,,,,,521692,,,-2.464460351893672,-113.87409915330996,-3.596016618131353,-13.44616694256822,25.974198140105106,-41.56792058994751,3.44,1.62,,,,76.8,2601,5.8,716401,666142,521692,668472,686681,679845,677951,669004,664728,671221,54.67,,,,,,,,37,5,Knuckle Curve,0,3,0,3,3,0,0,3,Standard,Standard,331,0.0,0.103,,
FF,2023-09-28,97.1,1.27,6.09,"Lipcius, Andre",686531,666142,,ball,,,,,14,Andre Lipcius singles on a fly ball to center fielder Kyle Isbel.,R,R,L,DET,KC,B,,,1,2,2023,1.19,1.4,1.45,2.34,,,,0,5,Bot,,,,,521692,,,-2.232553278788476,-141.18792074931383,-7.655583171763763,16.37086971689235,33.480735336998926,-11.96605943066799,3.47,1.62,,,,96.7,2604,6.2,716401,666142,521692,668472,686681,679845,677951,669004,664728,671221,54.29,,,,,,,,37,4,4-Seam Fastball,0,3,0,3,3,0,0,3,Standard,Standard,130,0.0,0.041,,
CH,2023-09-28,85.4,1.42,5.94,"Lipcius, Andre",686531,666142,,ball,,,,,14,Andre Lipcius singles on a fly ball to center fielder Kyle Isbel.,R,R,L,DET,KC,B,,,0,2,2023,1.25,0.94,1.24,1.98,,,,0,5,Bot,,,,,521692,,,-2.9222311308754803,-124.25940210174144,-4.879575822284782,13.481291472838931,25.81356391167025,-21.682227307028477,3.49,1.65,,,,84.9,2138,6.0,716401,666142,521692,668472,686681,679845,677951,669004,664728,671221,54.46,,,,,,,,37,3,Changeup,0,3,0,3,3,0,0,3,Standard,Standard,114,0.0,0.022,,
CH,2023-09-28,85.3,1.34,6.03,"Lipcius, Andre",686531,666142,,swinging_strike,,,,,9,Andre Lipcius singles on a fly ball to center fielder Kyle Isbel.,R,R,L,DET,KC,S,,,0,1,2023,1.39,1.02,0.31,2.14,,,,0,5,Bot,,,,,521692,,,-5.169082936794132,-124.05732423200918,-4.865504419988094,15.36615985845502,25.2434917366752,-20.84753148317651,3.44,1.62,,,,84.8,2094,6.0,716401,666142,521692,668472,686681,679845,677951,669004,664728,671221,54.48,,,,,,,,37,2,Changeup,0,3,0,3,3,0,0,3,Standard,Standard,123,0.0,-0.049,,
FF,2023-09-28,94.1,1.19,6.19,"Lipcius, Andre",686531,666142,,foul,,,,,8,Andre Lipcius singles on a fly ball to center fielder Kyle Isbel.,R,R,L,DET,KC,S,,,0,0,2023,1.08,1.51,-0.1,2.13,,,,0,5,Bot,,,,,521692,,,-5.692794887997119,-136.4775027923153,-7.960318514399272,14.814567467014395,37.024855279371806,-11.669743943965315,3.44,1.62,114.0,75.0,9.0,92.5,2518,6.0,716401,666142,521692,668472,686681,679845,677951,669004,664728,671221,54.46,,,,,,,,37,1,4-Seam Fastball,0,3,0,3,3,0,0,3,Standard,Standard,136,0.0,-0.038,,
