pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
FF,2023-09-30,91.8,-1.74,6.3,"Kelly, Carson",608348,663474,field_out,hit_into_play,,,,,5,Carson Kelly flies out to right fielder Will Brennan.,R,R,R,DET,CLE,X,9.0,fly_ball,0,1,2023,-0.15,1.47,-0.11,2.51,,,668731.0,0,5,Bot,196.95,120.38,,,595956,,,4.482229220788341,-133.41424039881818,-6.909707483600597,-2.8309510895615637,30.623007278550656,-13.372458726443714,3.29,1.62,300.0,88.2,35.0,92.5,2120,6.9,716380,663474,595956,647304,665926,608070,677587,680757,664702,686823,53.58,0.029,0.042,0.0,1.0,0.0,0.0,3.0,37,2,4-Seam Fastball,1,0,1,0,0,1,1,0,Standard,Standard,190,-0.031,-0.307,,
FF,2023-09-30,91.9,-1.8,6.26,"Kelly, Carson",608348,663474,,called_strike,,,,,3,Carson Kelly flies out to right fielder Will Brennan.,R,R,R,DET,CLE,S,,,0,0,2023,-0.26,1.47,0.57,2.9,,,668731.0,0,5,Bot,,,,,595956,,,6.643115119700125,-133.57685810665177,-5.885494511694741,-4.534629311248536,29.09283275845083,-13.517325229652933,3.24,1.54,,,,92.8,2266,6.9,716380,663474,595956,647304,665926,608070,677587,680757,664702,686823,53.61,,,,,,,,37,1,4-Seam Fastball,1,0,1,0,0,1,1,0,Standard,Standard,196,0.0,-0.054,,
FF,2023-09-30,90.9,-1.77,6.35,"Kelly, Carson",608348,663474,field_out,hit_into_play,,,,,8,Carson Kelly flies out to right fielder Will Brennan.,R,R,R,DET,CLE,X,9.0,fly_ball,3,1,2023,-0.3,1.6,-0.2,1.92,,628451.0,668731.0,0,3,Bot,171.44,102.01,,,595956,,,4.599974651379592,-132.0650679231199,-8.65362616358937,-4.516232102182748,28.32203576503623,-11.795361041510402,3.29,1.62,267.0,95.7,49.0,91.6,2254,6.8,716380,663474,595956,647304,665926,608070,677587,680757,664702,686823,53.7,0.003,0.003,0.0,1.0,0.0,0.0,3.0,21,5,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,189,-0.055,-0.817,,
SL,2023-09-30,83.7,-2.12,6.29,"Kelly, Carson",608348,663474,,ball,,,,,11,Carson Kelly flies out to right fielder Will Brennan.,R,R,R,DET,CLE,B,,,2,1,2023,0.42,0.5,-0.58,4.38,,628451.0,668731.0,0,3,Bot,,,,,595956,,,2.7232390320101825,-121.89810386125905,0.9787651299819454,3.7385208778239214,22.34241161499225,-27.579278426397103,3.16,1.59,,,,84.5,2139,6.6,716380,663474,595956,647304,665926,608070,677587,680757,664702,686823,53.89,,,,,,,,21,4,Slider,0,0,0,0,0,0,0,0,Standard,Standard,154,0.0,0.266,,
FF,2023-09-30,92.2,-1.84,6.33,"Kelly, Carson",608348,663474,,foul,,,,,4,Carson Kelly flies out to right fielder Will Brennan.,R,R,R,DET,CLE,S,,,2,0,2023,-0.51,1.52,-0.5,2.16,,628451.0,668731.0,0,3,Bot,,,,,595956,,,4.536570215454778,-133.99665872060814,-8.113757619316342,-7.139019187860459,28.6302439628647,-12.349501510199538,3.29,1.62,153.0,68.3,64.0,92.9,2237,6.7,716380,663474,595956,647304,665926,608070,677587,680757,664702,686823,53.78,,,,,,,,21,3,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,196,0.0,-0.163,,
SL,2023-09-30,85.2,-2.03,6.26,"Kelly, Carson",608348,663474,,ball,,,,,14,Carson Kelly flies out to right fielder Will Brennan.,R,R,R,DET,CLE,B,,,1,0,2023,0.02,0.67,0.12,1.05,,628451.0,668731.0,0,3,Bot,,,,,595956,,,5.045830924118408,-123.8606169980997,-7.35563713837233,-0.7828792791633326,23.4910020064076,-24.04505840549256,3.19,1.49,,,,85.9,2159,6.7,716380,663474,595956,647304,665926,608070,677587,680757,664702,686823,53.8,,,,,,,,21,2,Slider,0,0,0,0,0,0,0,0,Strategic,Standard,171,0.0,0.158,,
FF,2023-09-30,91.2,-1.89,6.29,"Kelly, Carson",608348,663474,,ball,,,,,13,Carson Kelly flies out to right fielder Will Brennan.,R,R,R,DET,CLE,B,,,0,0,2023,-0.27,1.49,-0.12,1.19,,628451.0,668731.0,0,3,Bot,,,,,595956,,,5.103354287769895,-132.5725888130492,-10.306995100364963,-4.206548070135163,24.7311090822966,-12.608527671980069,3.19,1.57,,,,92.7,2042,7.0,716380,663474,595956,647304,665926,608070,677587,680757,664702,686823,53.53,,,,,,,,21,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Strategic,Standard,189,0.0,0.085,,
FF,2023-09-30,94.2,-0.35,5.45,"Kelly, Carson",608348,669212,field_out,hit_into_play,,,,,12,Carson Kelly flies out to right fielder Will Brennan.,R,R,R,DET,CLE,X,9.0,fly_ball,2,2,2023,-0.43,1.45,0.34,3.46,668731.0,,,2,6,Bot,213.35,116.71,,,595956,,,2.767205602266726,-137.09258104013188,-2.681866605173618,-6.072796902683375,32.48495436560782,-13.555969202945247,3.29,1.62,296.0,86.6,35.0,94.9,2224,6.8,716380,669212,595956,647304,665926,608070,677587,680757,664702,686823,53.65,0.026,0.037,0.0,1.0,0.0,0.0,3.0,51,5,4-Seam Fastball,3,0,3,0,0,3,3,0,Standard,Standard,213,-0.013,-0.316,,
FF,2023-09-30,94.4,-0.44,5.37,"Kelly, Carson",608348,669212,,called_strike,,,,,8,Carson Kelly flies out to right fielder Will Brennan.,R,R,R,DET,CLE,S,,,2,1,2023,-0.79,1.44,0.25,1.82,668731.0,,,2,6,Bot,,,,,595956,,,3.564583154691836,-137.2326235197762,-6.757956561102104,-10.740094027254688,31.5139705251265,-12.7260828398603,3.13,1.57,,,,94.9,2283,6.7,716380,669212,595956,647304,665926,608070,677587,680757,664702,686823,53.79,,,,,,,,51,4,4-Seam Fastball,3,0,3,0,0,3,3,0,Standard,Standard,215,0.0,-0.077,,
SL,2023-09-30,87.3,-0.39,5.5,"Kelly, Carson",608348,669212,,ball,,,,,14,Carson Kelly flies out to right fielder Will Brennan.,R,R,R,DET,CLE,B,,,1,1,2023,0.1,0.46,1.64,2.28,668731.0,,,2,6,Bot,,,,,595956,,,4.722393620597755,-127.05067573816328,-2.535943627363074,0.0247421567373603,27.431569543414945,-26.86845179411445,3.13,1.57,,,,87.9,2207,6.8,716380,669212,595956,647304,665926,608070,677587,680757,664702,686823,53.71,,,,,,,,51,3,Slider,3,0,3,0,0,3,3,0,Standard,Standard,84,0.0,0.047,,
