pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
FC,2023-08-30,89.0,-0.89,5.63,"Haase, Eric",606992,543243,field_out,hit_into_play,,,,,9,Eric Haase lines out to second baseman Jorge Polanco.,R,R,R,MIN,CLE,X,4.0,line_drive,1,0,2023,0.49,0.12,0.62,1.83,,,686823.0,2,5,Top,134.46,143.11,,,680777,,,2.663961715255183,-129.65792527771512,-3.596990173117508,5.05691288138999,25.59029280525028,-30.26396219947482,3.24,1.51,146.0,74.6,13.0,89.3,2984.0,6.3,716784,543243,680777,456781,593871,668904,621043,670242,608336,596146,54.23,0.449,0.404,0.0,1.0,0.0,0.0,4.0,31,2,Cutter,0,0,0,0,0,0,0,0,Standard,Standard,71.0,0.031,-0.266,,
FC,2023-08-30,89.3,-0.82,5.59,"Haase, Eric",606992,543243,,ball,,,,,14,Eric Haase lines out to second baseman Jorge Polanco.,R,R,R,MIN,CLE,B,,,0,0,2023,0.34,0.37,1.79,1.52,,,686823.0,2,5,Top,,,,,680777,,,5.736679309740084,-130.07803763342056,-4.886697703499063,2.861650293256221,24.481910273157865,-27.22561091516481,3.31,1.51,,,,90.3,2886.0,6.6,716784,543243,680777,456781,593871,668904,621043,670242,608336,596146,53.88,,,,,,,,31,1,Cutter,0,0,0,0,0,0,0,0,Standard,Standard,97.0,0.0,0.025,,
SI,2023-08-30,93.4,-0.86,5.59,"Haase, Eric",606992,543243,field_out,hit_into_play,,,,,4,"Eric Haase grounds out, second baseman Jorge Polanco to first baseman Donovan Solano.",R,R,R,MIN,CLE,X,4.0,ground_ball,0,1,2023,-1.02,0.69,-0.51,2.3,,,,0,3,Top,121.47,160.47,,,680777,,,3.171509734499858,-135.97889392216308,-4.287723902463667,-13.337913353487222,29.1486457319874,-22.829655227813028,3.24,1.51,4.0,74.1,-30.0,94.0,2416.0,6.6,716784,543243,680777,456781,593871,668904,621043,670242,608336,596146,53.94,0.037,0.045,0.0,1.0,0.0,0.0,2.0,15,2,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,199.0,0.025,-0.2,,
FF,2023-08-30,93.0,-0.96,5.68,"Haase, Eric",606992,543243,,foul,,,,,6,"Eric Haase grounds out, second baseman Jorge Polanco to first baseman Donovan Solano.",R,R,R,MIN,CLE,S,,,0,0,2023,0.32,1.14,0.62,2.29,,,,0,3,Top,,,,,680777,,,3.370512916794698,-135.49024836297738,-5.51024654939278,3.2896028017489023,26.68861115772615,-17.076791654636203,3.24,1.51,143.0,74.7,70.0,93.6,2686.0,6.4,716784,543243,680777,456781,593871,668904,621043,670242,608336,596146,54.13,,,,,,,,15,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,199.0,0.0,-0.038,,
ST,2023-08-30,88.2,-0.98,5.53,"Haase, Eric",606992,643377,strikeout,swinging_strike_blocked,,,,,14,"Eric Haase strikes out swinging, catcher Ryan Jeffers to first baseman Donovan Solano.",R,R,R,MIN,CLE,S,2.0,,0,2,2023,1.13,-0.34,1.49,0.52,,672356.0,,0,8,Top,,,,,680777,,,3.664645215429279,-128.30835470163913,-5.33036663522096,11.656997942568324,28.24261014921291,-35.00367322252216,3.24,1.51,,,,88.1,3106.0,6.4,716784,643377,680777,456781,593871,668904,621043,670242,572191,596146,54.11,,0.0,0.0,1.0,0.0,0.0,,54,3,Sweeper,2,0,0,2,0,2,0,2,Standard,Standard,26.0,0.067,-0.29,,
SI,2023-08-30,97.9,-1.04,5.49,"Haase, Eric",606992,643377,,called_strike,,,,,8,"Eric Haase strikes out swinging, catcher Ryan Jeffers to first baseman Donovan Solano.",R,R,R,MIN,CLE,S,,,0,1,2023,-1.05,0.96,0.19,1.74,,672356.0,,0,8,Top,,,,,680777,,,5.758415418975637,-142.31982375243533,-6.808699703709499,-15.642044857933543,34.184789585247664,-17.77997510159823,3.31,1.51,,,,97.8,2447.0,6.4,716784,643377,680777,456781,593871,668904,621043,670242,572191,596146,54.13,,,,,,,,54,2,Sinker,2,0,0,2,0,2,0,2,Standard,Standard,216.0,0.0,-0.084,,
SI,2023-08-30,97.5,-1.01,5.58,"Haase, Eric",606992,643377,,called_strike,,,,,7,"Eric Haase strikes out swinging, catcher Ryan Jeffers to first baseman Donovan Solano.",R,R,R,MIN,CLE,S,,,0,0,2023,-1.24,0.92,-0.42,1.88,,672356.0,,0,8,Top,,,,,680777,,,4.434265191673873,-141.88552432163866,-6.549104715528211,-17.746609350098797,33.1424654981036,-18.37038787472706,3.34,1.51,,,,97.5,2442.0,6.4,716784,643377,680777,456781,593871,668904,621043,670242,572191,596146,54.14,,,,,,,,54,1,Sinker,2,0,0,2,0,2,0,2,Standard,Standard,211.0,0.0,-0.062,,
FF,2023-08-27,93.8,2.73,5.07,"Haase, Eric",606992,579328,strikeout,swinging_strike,,,,,12,Eric Haase strikes out swinging.,R,R,L,TOR,CLE,S,2.0,,2,2,2023,0.88,1.19,0.88,3.34,657656.0,,671289.0,1,4,Top,,,,,643376,,,-6.775051869530816,-136.45105381635958,-1.3532795275549083,12.523756193763214,32.39765743178171,-17.305032157807297,3.24,1.51,,,,94.2,2227.0,6.7,716825,579328,643376,474832,624415,656305,666182,676914,662139,543807,53.79,,0.0,0.0,1.0,0.0,0.0,,29,6,4-Seam Fastball,2,3,3,2,3,2,3,2,Standard,Standard,132.0,0.066,-0.512,,
SL,2023-08-27,89.2,2.59,5.14,"Haase, Eric",606992,579328,,ball,,,,,13,Eric Haase strikes out swinging.,R,R,L,TOR,CLE,B,,,1,2,2023,-0.41,0.16,-1.37,0.88,657656.0,,671289.0,1,4,Top,,,,,643376,,,-8.947193562745943,-129.6572938736306,-4.850932899529392,-2.921140435784465,25.35133999236821,-29.58004283600245,3.03,1.45,,,,90.3,2471.0,6.9,716825,579328,643376,474832,624415,656305,666182,676914,662139,543807,53.64,,,,,,,,29,5,Slider,2,3,3,2,3,2,3,2,Standard,Standard,233.0,0.0,0.071,,
FF,2023-08-27,94.6,2.77,4.94,"Haase, Eric",606992,579328,,foul,,,,,12,Eric Haase strikes out swinging.,R,R,L,TOR,CLE,S,,,1,2,2023,0.82,1.16,0.26,3.38,657656.0,,671289.0,1,4,Top,,,,,643376,,,-8.477829392994808,-137.62695890597792,-1.028288667687956,12.204610241735514,27.907684116999885,-17.335736548566537,3.24,1.51,205.0,75.6,57.0,96.0,2321.0,6.9,716825,579328,643376,474832,624415,656305,666182,676914,662139,543807,53.59,,,,,,,,29,4,4-Seam Fastball,2,3,3,2,3,2,3,2,Standard,Standard,129.0,0.0,0.0,,
