pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
CH,2023-08-15,85.1,-1.42,5.88,"Díaz, Isan",656371,641927,strikeout,swinging_strike,,,,,8,Isan Diaz strikes out swinging.,R,L,R,MIN,DET,S,2.0,,2,2,2023,-1.41,0.54,-0.11,1.78,663837.0,408234.0,656716.0,2,4,Top,,,,,680777,,,5.999379829406482,-123.8457375647015,-4.472161285043228,-15.726259928155333,23.965876958362188,-25.89018089467802,3.16,1.55,,,,86.2,2184,6.9,716983,641927,680777,608336,593871,668904,621043,670242,572191,596146,53.58,,0.0,0.0,1.0,0.0,0.0,,29,6,Changeup,0,2,2,0,2,0,2,0,Infield shade,Standard,249,0.055,-0.642,,
FF,2023-08-15,91.6,-1.33,5.78,"Díaz, Isan",656371,641927,,foul,,,,,1,Isan Diaz strikes out swinging.,R,L,R,MIN,DET,S,,,2,2,2023,-0.58,1.21,-0.37,3.19,663837.0,408234.0,656716.0,2,4,Top,,,,,680777,,,3.7649251363812968,-133.53813072039912,-3.419132849315872,-7.740813256381976,25.242373395975047,-17.116360869317546,3.16,1.55,235.0,76.7,27.0,93.6,2366,7.1,716983,641927,680777,608336,593871,668904,621043,670242,572191,596146,53.38,,,,,,,,29,5,4-Seam Fastball,0,2,2,0,2,0,2,0,Infield shade,Standard,208,0.0,0.0,,
FF,2023-08-15,91.4,-1.22,5.87,"Díaz, Isan",656371,641927,,ball,,,,,12,Isan Diaz strikes out swinging.,R,L,R,MIN,DET,B,,,1,2,2023,-0.53,1.29,0.14,3.98,663837.0,408234.0,656716.0,2,4,Top,,,,,680777,,,4.662149039485101,-133.2322020730597,-1.7669071348705092,-7.3193086785992705,25.70756211956573,-16.571675336236424,3.28,1.59,,,,93.4,2347,7.2,716983,641927,680777,608336,593871,668904,621043,670242,572191,596146,53.35,,,,,,,,29,4,4-Seam Fastball,0,2,2,0,2,0,2,0,Infield shade,Standard,211,0.0,0.149,,
CH,2023-08-15,84.7,-1.55,5.89,"Díaz, Isan",656371,641927,,swinging_strike,,,,,8,Isan Diaz strikes out swinging.,R,L,R,MIN,DET,S,,,1,1,2023,-1.48,0.5,-0.01,1.57,663837.0,408234.0,656716.0,2,4,Top,,,,,680777,,,6.628763014202655,-123.22106066205548,-4.783451883120749,-16.36449359544383,24.093821849748277,-26.321803655644946,3.16,1.55,,,,85.8,2230,7.0,716983,641927,680777,608336,593871,668904,621043,670242,572191,596146,53.52,,,,,,,,29,3,Changeup,0,2,2,0,2,0,2,0,Infield shade,Standard,248,0.0,-0.231,,
CH,2023-08-15,85.2,-1.52,5.83,"Díaz, Isan",656371,641927,,ball,,,,,13,Isan Diaz strikes out swinging.,R,L,R,MIN,DET,B,,,0,1,2023,-1.49,0.41,-0.54,1.16,663837.0,408234.0,656716.0,2,4,Top,,,,,680777,,,5.380877416785792,-123.893582543812,-5.520917387526285,-16.44059291675942,24.88663881731904,-27.05791954170313,3.31,1.42,,,,86.1,2194,6.9,716983,641927,680777,608336,593871,668904,621043,670242,572191,596146,53.6,,,,,,,,29,2,Changeup,0,2,2,0,2,0,2,0,Infield shade,Standard,248,0.0,0.098,,
FF,2023-08-15,91.4,-1.31,5.91,"Díaz, Isan",656371,641927,,called_strike,,,,,2,Isan Diaz strikes out swinging.,R,L,R,MIN,DET,S,,,0,0,2023,-0.47,1.33,-0.17,3.25,663837.0,408234.0,656716.0,2,4,Top,,,,,680777,,,3.962580123464248,-133.09983191344222,-3.783660875670888,-6.459579475581915,26.488638949580988,-15.702647986595004,3.28,1.56,,,,93.2,2364,7.1,716983,641927,680777,608336,593871,668904,621043,670242,572191,596146,53.35,,,,,,,,29,1,4-Seam Fastball,0,2,2,0,2,0,2,0,Infield shade,Standard,206,0.0,-0.136,,
CH,2023-08-15,85.9,-1.48,5.85,"Díaz, Isan",656371,641927,field_out,hit_into_play,,,,,4,"Isan Diaz grounds out, second baseman Jorge Polanco to first baseman Joey Gallo.",R,L,R,MIN,DET,X,4.0,ground_ball,1,1,2023,-1.39,0.49,-0.57,2.3,,,,2,2,Top,152.72,153.36,,,680777,,,5.011345536520355,-125.01305295633094,-3.227605376082175,-15.572070504410153,22.970536586520552,-26.542940423549755,3.16,1.55,14.0,78.7,-9.0,87.0,2263,6.8,716983,641927,680777,608336,593871,668904,621043,670242,572191,596146,53.72,0.103,0.078,0.0,1.0,0.0,0.0,2.0,12,3,Changeup,0,2,2,0,2,0,2,0,Standard,Standard,250,0.008,-0.1,,
CH,2023-08-15,85.1,-1.48,5.89,"Díaz, Isan",656371,641927,,swinging_strike,,,,,13,"Isan Diaz grounds out, second baseman Jorge Polanco to first baseman Joey Gallo.",R,L,R,MIN,DET,S,,,1,0,2023,-1.47,0.35,-0.5,1.22,,,,2,2,Top,,,,,680777,,,5.280075641166352,-123.81580722286208,-5.434544586449579,-16.14757036778357,23.480223991028986,-27.662423358322,3.16,1.55,,,,86.0,2246,6.8,716983,641927,680777,608336,593871,668904,621043,670242,572191,596146,53.73,,,,,,,,12,2,Changeup,0,2,2,0,2,0,2,0,Infield shade,Standard,250,0.0,-0.022,,
CH,2023-08-15,86.7,-1.53,5.78,"Díaz, Isan",656371,641927,,ball,,,,,14,"Isan Diaz grounds out, second baseman Jorge Polanco to first baseman Joey Gallo.",R,L,R,MIN,DET,B,,,0,0,2023,-1.56,0.54,0.49,1.45,,,,2,2,Top,,,,,680777,,,8.1099055538704,-126.03211601211166,-5.340315875595958,-18.21156632820529,24.58651225660285,-25.539899863475203,3.36,1.65,,,,88.0,2310,7.1,716983,641927,680777,608336,593871,668904,621043,670242,572191,596146,53.44,,,,,,,,12,1,Changeup,0,2,2,0,2,0,2,0,Standard,Standard,246,0.0,0.016,,
FC,2023-08-15,88.5,-1.85,5.67,"Díaz, Isan",656371,641941,field_out,hit_into_play,,,,,2,Isan Diaz flies out to left fielder Matt Wallner.,R,L,R,MIN,DET,X,7.0,fly_ball,1,0,2023,0.4,0.51,0.01,3.03,,,,2,7,Top,63.03,101.65,,,680777,,,3.7374923973131104,-129.08886426996708,-1.5707976205301968,3.9124372216841694,22.455123985775398,-26.265802788638357,3.16,1.55,287.0,92.7,48.0,89.7,2433,6.5,716983,641941,680777,608336,593871,668904,621043,670242,572191,596146,54.0,0.003,0.003,0.0,1.0,0.0,0.0,3.0,53,2,Cutter,5,2,2,5,2,5,2,5,Standard,Standard,185,0.008,-0.122,,
FC,2023-08-15,89.0,-1.81,5.67,"Díaz, Isan",656371,641941,,ball,,,,,14,Isan Diaz flies out to left fielder Matt Wallner.,R,L,R,MIN,DET,B,,,0,0,2023,0.15,0.56,0.81,0.13,,,,2,7,Top,,,,,680777,,,6.171302629458172,-129.3896293980718,-8.855222981915809,0.5740609089068907,23.99926443683441,-24.30661559428288,3.45,1.53,,,,90.1,2411,6.8,716983,641941,680777,608336,593871,668904,621043,670242,572191,596146,53.72,,,,,,,,53,1,Cutter,5,2,2,5,2,5,2,5,Infield shade,Standard,190,0.0,0.016,,
SI,2023-08-13,96.4,-1.17,5.77,"Díaz, Isan",656371,676477,strikeout,called_strike,,,,,5,Isan Diaz called out on strikes.,R,L,R,BOS,DET,S,2.0,,1,2,2023,-1.31,1.03,-0.15,2.11,,,,1,7,Top,,,,,657136,,,5.811961650229948,-140.20300495044987,-6.6545454137079485,-18.60542536512159,31.153096672345207,-17.220705061940272,3.18,1.55,,,,98.3,2202,7.4,717014,676477,657136,671213,622569,649966,596115,807799,608701,594807,53.14,,0.0,0.0,1.0,0.0,0.0,,57,5,Sinker,6,3,3,6,3,6,3,6,Strategic,Standard,228,0.014,-0.119,,
CH,2023-08-13,85.2,-1.14,5.69,"Díaz, Isan",656371,676477,,foul,,,,,7,Isan Diaz called out on strikes.,R,L,R,BOS,DET,S,,,1,2,2023,-1.4,0.34,-0.46,1.94,,,,1,7,Top,,,,,657136,,,4.4909196268784495,-124.0467879774264,-3.274195841071,-15.342557755932011,23.91900812799244,-28.200391642240408,3.18,1.55,137.0,67.4,73.0,87.0,2264,7.3,717014,676477,657136,671213,622569,649966,596115,807799,608701,594807,53.21,,,,,,,,57,4,Changeup,6,3,3,6,3,6,3,6,Strategic,Standard,259,0.0,0.0,,
CH,2023-08-13,84.1,-1.09,5.63,"Díaz, Isan",656371,676477,,swinging_strike,,,,,7,Isan Diaz called out on strikes.,R,L,R,BOS,DET,S,,,1,1,2023,-1.48,0.27,-0.55,1.97,,,,1,7,Top,,,,,657136,,,4.26890201300114,-122.43247211443396,-2.711654623007554,-15.741552162919213,23.0512822485758,-29.16474696756444,3.18,1.55,,,,86.0,2319,7.4,717014,676477,657136,671213,622569,649966,596115,807799,608701,594807,53.1,,,,,,,,57,3,Changeup,6,3,3,6,3,6,3,6,Standard,Standard,269,0.0,-0.043,,
CH,2023-08-13,83.3,-1.15,5.58,"Díaz, Isan",656371,676477,,called_strike,,,,,1,Isan Diaz called out on strikes.,R,L,R,BOS,DET,S,,,1,0,2023,-1.54,0.27,-0.64,2.77,,,,1,7,Top,,,,,657136,,,4.277378150323373,-121.3609703540028,-0.5623575694709262,-16.0437690744158,22.78441451889698,-29.58742088900477,3.21,1.55,,,,85.3,2330,7.4,717014,676477,657136,671213,622569,649966,596115,807799,608701,594807,53.09,,,,,,,,57,2,Changeup,6,3,3,6,3,6,3,6,Standard,Standard,265,0.0,-0.031,,
SI,2023-08-13,94.4,-1.09,5.73,"Díaz, Isan",656371,676477,,ball,,,,,11,Isan Diaz called out on strikes.,R,L,R,BOS,DET,B,,,0,0,2023,-1.28,1.11,-0.2,3.65,,,,1,7,Top,,,,,657136,,,5.295970418293216,-137.41470937144433,-2.2829562057162645,-17.388662185234445,28.787593839630933,-17.76297669214336,3.32,1.61,,,,96.7,2009,7.5,717014,676477,657136,671213,622569,649966,596115,807799,608701,594807,53.04,,,,,,,,57,1,Sinker,6,3,3,6,3,6,3,6,Standard,Standard,230,0.0,0.025,,
FC,2023-08-13,94.3,-2.7,6.04,"Díaz, Isan",656371,445276,field_out,hit_into_play,,,,,8,Isan Diaz pops out to first baseman Triston Casas.,R,L,R,BOS,DET,X,3.0,popup,0,0,2023,-0.3,1.51,-0.17,2.01,,,656716.0,1,9,Top,142.13,178.87,,,657136,,,7.330197054151716,-136.97734853119792,-8.235836618499723,-5.308268838395474,27.908080412967177,-11.496623888298211,3.18,1.55,73.0,85.4,76.0,95.6,2566,6.9,717014,445276,657136,671213,622569,649966,596115,608701,680776,594807,53.56,0.003,0.003,0.0,1.0,0.0,0.0,3.0,73,1,Cutter,6,3,3,6,3,6,3,6,Standard,Standard,189,0.022,-0.303,,
FF,2023-08-03,93.4,-1.79,5.63,"Díaz, Isan",656371,694297,walk,ball,,,,,11,Isan Diaz walks.,R,L,R,SF,AZ,B,,,3,0,2023,-0.89,1.18,-1.12,2.55,,,,0,6,Bot,,,,,608348,,,3.721362319732751,-136.02182523154067,-4.91145475677622,-11.820091384262147,25.401030583815245,-16.62299199939176,3.05,1.54,,,,95.1,2430,6.9,717151,694297,608348,572233,672695,656896,605113,666971,677950,682998,53.59,,0.695903,0.7,1.0,0.0,0.0,,37,4,4-Seam Fastball,1,0,1,0,0,1,1,0,Infield shade,Standard,215,0.031,0.155,,
CH,2023-08-03,85.6,-1.96,5.26,"Díaz, Isan",656371,694297,,ball,,,,,14,Isan Diaz walks.,R,L,R,SF,AZ,B,,,2,0,2023,-1.33,0.06,0.37,0.49,,,,0,6,Bot,,,,,608348,,,8.274678074004386,-124.43935833719696,-5.205820818836948,-15.44809547930378,22.595473558908918,-30.775326312703708,3.05,1.54,,,,86.8,1975,6.9,717151,694297,608348,572233,672695,656896,605113,666971,677950,682998,53.59,,,,,,,,37,3,Changeup,1,0,1,0,0,1,1,0,Infield shade,Standard,244,0.0,0.135,,
ST,2023-08-03,82.2,-2.05,5.56,"Díaz, Isan",656371,694297,,ball,,,,,14,Isan Diaz walks.,R,L,R,SF,AZ,B,,,1,0,2023,0.57,0.32,0.73,1.13,,,,0,6,Bot,,,,,608348,,,5.219748902562433,-119.6457308434787,-4.164791350017888,4.5814456342109215,21.39290794899639,-28.560781490401148,3.05,1.54,,,,82.8,2659,6.5,717151,694297,608348,572233,672695,656896,605113,666971,677950,682998,53.97,,,,,,,,37,2,Sweeper,1,0,1,0,0,1,1,0,Infield shade,Standard,64,0.0,0.064,,
ST,2023-08-03,82.6,-2.07,5.38,"Díaz, Isan",656371,694297,,ball,,,,,14,Isan Diaz walks.,R,L,R,SF,AZ,B,,,0,0,2023,0.93,0.29,1.49,0.91,,,,0,6,Bot,,,,,608348,,,6.29911888843844,-120.2108605981622,-4.2793531361471215,7.937558609596332,22.143239415300734,-28.77715276749514,3.05,1.54,,,,83.2,2679,6.6,717151,694297,608348,572233,672695,656896,605113,666971,677950,682998,53.92,,,,,,,,37,1,Sweeper,1,0,1,0,0,1,1,0,Infield shade,Standard,86,0.0,0.036,,
ST,2023-08-03,84.6,-2.22,5.41,"Díaz, Isan",656371,694297,strikeout,swinging_strike,,,,,14,Isan Diaz strikes out swinging.,R,L,R,SF,AZ,S,2.0,,0,2,2023,1.22,0.77,0.86,1.1,,,,1,3,Bot,,,,,608348,,,4.777448807117692,-123.16683269407464,-5.313739595672129,11.587409262988391,22.72311553810064,-23.511611207984703,3.18,1.54,,,,85.5,2812,6.7,717151,694297,608348,572233,672695,656896,605113,666971,677950,682998,53.84,,0.0,0.0,1.0,0.0,0.0,,18,3,Sweeper,0,0,0,0,0,0,0,0,Infield shade,Standard,70,-0.017,-0.107,,
CH,2023-08-03,86.3,-2.09,5.45,"Díaz, Isan",656371,694297,,called_strike,,,,,5,Isan Diaz strikes out swinging.,R,L,R,SF,AZ,S,,,0,1,2023,-1.4,0.22,0.16,2.16,,,,1,3,Bot,,,,,608348,,,8.279588443878165,-125.54882031551202,-2.0939421105205582,-16.409759454863373,23.88116544515984,-29.674310189280597,3.18,1.54,,,,87.4,2172,6.9,717151,694297,608348,572233,672695,656896,605113,666971,677950,682998,53.62,,,,,,,,18,2,Changeup,0,0,0,0,0,0,0,0,Standard,Standard,234,0.0,-0.036,,
ST,2023-08-03,82.7,-2.15,5.48,"Díaz, Isan",656371,694297,,called_strike,,,,,8,Isan Diaz strikes out swinging.,R,L,R,SF,AZ,S,,,0,0,2023,1.28,0.71,-0.25,1.68,,,,1,3,Bot,,,,,608348,,,1.8522449802824648,-120.52557636128292,-3.654196028805945,12.23672700958563,21.129405584363514,-24.77296593036669,3.15,1.54,,,,83.8,2664,6.7,717151,694297,608348,572233,672695,656896,605113,666971,677950,682998,53.79,,,,,,,,18,1,Sweeper,0,0,0,0,0,0,0,0,Standard,Standard,88,0.0,-0.026,,
SL,2023-08-03,84.9,-2.16,6.56,"Díaz, Isan",656371,656464,field_out,hit_into_play,,,,,7,Isan Diaz lines out to right fielder Jake McCarthy.,R,L,R,SF,AZ,X,9.0,line_drive,1,1,2023,0.26,-0.29,-0.41,1.81,,,,1,8,Bot,199.53,103.26,,,608348,,,3.609299014846264,-123.68295643658944,-4.314855056957077,2.019770791107465,21.467753047192392,-34.62892017534471,3.18,1.54,297.0,87.2,25.0,86.3,2364,6.8,717151,656464,608348,572233,606466,672695,605113,666971,682998,664983,53.69,0.1,0.103,0.0,1.0,0.0,0.0,3.0,55,3,Slider,1,0,1,0,0,1,1,0,Infield shade,Standard,52,-0.009,-0.162,,
SL,2023-08-03,85.3,-2.05,6.61,"Díaz, Isan",656371,656464,,called_strike,,,,,4,Isan Diaz lines out to right fielder Jake McCarthy.,R,L,R,SF,AZ,S,,,1,0,2023,0.65,-0.1,-0.43,2.14,,,,1,8,Bot,,,,,608348,,,2.5350104530834967,-124.31725311679004,-4.113680934937568,6.276686399899536,22.664610231984827,-32.6229663653662,3.02,1.54,,,,86.6,2393,6.9,717151,656464,608348,572233,606466,672695,605113,666971,682998,664983,53.65,,,,,,,,55,2,Slider,1,0,1,0,0,1,1,0,Infield shade,Standard,59,0.0,-0.031,,
SL,2023-08-03,85.4,-2.24,6.52,"Díaz, Isan",656371,656464,,ball,,,,,14,Isan Diaz lines out to right fielder Jake McCarthy.,R,L,R,SF,AZ,B,,,0,0,2023,0.47,-0.32,0.12,0.2,,,,1,8,Bot,,,,,608348,,,4.658081815938314,-124.21545618069108,-8.089503022754744,4.106637356111208,21.40611773628875,-34.28638670043167,3.05,1.54,,,,86.6,2398,6.8,717151,656464,608348,572233,606466,672695,605113,666971,682998,664983,53.71,,,,,,,,55,1,Slider,1,0,1,0,0,1,1,0,Infield shade,Standard,60,0.0,0.025,,
FF,2023-08-02,92.0,-1.54,5.6,"Díaz, Isan",656371,677944,single,hit_into_play,,,,,4,Isan Diaz singles on a ground ball to right fielder Jake McCarthy.   Brandon Crawford scores.,R,L,R,SF,AZ,X,9.0,ground_ball,0,0,2023,-1.14,1.12,-0.39,2.55,543063.0,,,0,5,Bot,179.18,110.21,,,645444,,,5.393086067490406,-133.8602460670333,-4.340794921422247,-14.833436698727809,27.56668025720304,-17.977852914981582,3.18,1.54,57.0,105.6,1.0,92.4,2124,6.4,717164,677944,645444,656896,606466,607054,672695,682998,677950,664983,54.08,0.531,0.482,0.9,1.0,1.0,0.0,4.0,34,1,4-Seam Fastball,1,2,1,2,2,2,2,2,Strategic,Standard,233,0.069,0.475,,
FF,2023-08-02,91.1,-1.31,5.55,"Díaz, Isan",656371,677944,field_out,hit_into_play,,,,,5,"Isan Diaz grounds out, second baseman Ketel Marte to first baseman Emmanuel Rivera.",R,L,R,SF,AZ,X,4.0,ground_ball,2,1,2023,-1.17,1.07,-0.16,2.38,,,,0,3,Bot,146.02,141.98,,,645444,,,5.403897055072291,-132.62099799379004,-4.412108519979187,-14.95493706729644,27.33422670091775,-18.76644472066541,3.19,1.54,4.0,102.6,-34.0,91.3,2125,6.3,717164,677944,645444,656896,606466,607054,672695,682998,677950,664983,54.18,0.086,0.068,0.0,1.0,0.0,0.0,2.0,19,4,4-Seam Fastball,0,2,0,2,2,0,0,2,Infield shade,Standard,235,-0.026,-0.281,,
