pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
SL,2023-10-01,82.7,-1.58,6.11,"Carpenter, Kerry",681481,608337,walk,blocked_ball,,,,,13.0,Kerry Carpenter walks.,R,L,R,DET,CLE,B,,,3,2,2023,-0.04,0.1,-0.3,0.32,,,,0,5,Bot,,,,,666310,,,3.011221702743087,-120.28652881959508,-6.882836008067119,-1.0101849188125842,25.80449051825848,-29.996252430696728,3.08,1.35,,,,83.0,2013.0,6.8,716361,608337,666310,647304,677588,671289,677587,680757,657656,660757,53.74,,0.695903,0.7,1.0,0.0,0.0,,42,7,Slider,3,2,3,2,2,3,3,2,Standard,Standard,28.0,0.033,0.312,,
SL,2023-10-01,83.7,-1.65,6.12,"Carpenter, Kerry",681481,608337,,ball,,,,,14.0,Kerry Carpenter walks.,R,L,R,DET,CLE,B,,,2,2,2023,0.09,-0.13,0.62,0.29,,,,0,5,Bot,,,,,666310,,,5.063372899957619,-121.7093130539929,-6.837383299261647,-0.0303591292904881,23.39506939137141,-32.318365725602284,3.15,1.49,,,,84.3,2115.0,6.7,716361,608337,666310,647304,677588,671289,677587,680757,657656,660757,53.82,,,,,,,,42,6,Slider,3,2,3,2,2,3,3,2,Standard,Standard,29.0,0.0,0.103,,
CH,2023-10-01,79.8,-1.48,6.15,"Carpenter, Kerry",681481,608337,,foul,,,,,7.0,Kerry Carpenter walks.,R,L,R,DET,CLE,S,,,2,2,2023,-0.78,0.96,-0.62,2.07,,,,0,5,Bot,,,,,666310,,,3.380004819949422,-116.21734448310696,-4.133128500578382,-7.656898348354036,19.470648632660463,-22.90699513078435,3.37,1.61,242.0,86.7,22.0,80.8,1544.0,6.7,716361,608337,666310,647304,677588,671289,677587,680757,657656,660757,53.84,,,,,,,,42,5,Changeup,3,2,3,2,2,3,3,2,Standard,Standard,227.0,0.0,0.0,,
SL,2023-10-01,80.3,-1.63,6.19,"Carpenter, Kerry",681481,608337,,foul,,,,,2.0,Kerry Carpenter walks.,R,L,R,DET,CLE,S,,,2,1,2023,0.18,-0.32,-0.2,3.48,,,,0,5,Bot,,,,,666310,,,2.8183176586331227,-117.0384851644407,1.2006783641168932,1.2317909688735067,19.813428923535582,-35.50421625824528,3.37,1.61,,,,81.1,2078.0,6.5,716361,608337,666310,647304,677588,671289,677587,680757,657656,660757,54.01,,,,,,,,42,4,Slider,3,2,3,2,2,3,3,2,Standard,Standard,38.0,0.0,-0.067,,
FF,2023-10-01,93.9,-1.39,6.21,"Carpenter, Kerry",681481,608337,,ball,,,,,11.0,Kerry Carpenter walks.,R,L,R,DET,CLE,B,,,1,1,2023,-0.47,1.51,-0.09,4.29,,,,0,5,Bot,,,,,666310,,,4.428713808987753,-136.60277306205032,-2.5780884333037792,-6.897547439080235,31.603191067400267,-12.983551590533644,3.25,1.55,,,,94.1,2198.0,6.6,716361,608337,666310,647304,677588,671289,677587,680757,657656,660757,53.94,,,,,,,,42,3,4-Seam Fastball,3,2,3,2,2,3,3,2,Standard,Standard,207.0,0.0,0.053,,
CH,2023-10-01,79.7,-1.48,6.21,"Carpenter, Kerry",681481,608337,,foul,,,,,5.0,Kerry Carpenter walks.,R,L,R,DET,CLE,S,,,1,0,2023,-0.83,0.91,0.18,2.4,,,,0,5,Bot,,,,,666310,,,5.214019248347459,-116.14519184034768,-3.519369607137512,-8.355726270944658,16.77293311241999,-23.406309759946662,3.37,1.61,202.0,72.0,52.0,81.0,1540.0,6.6,716361,608337,666310,647304,677588,671289,677587,680757,657656,660757,53.93,,,,,,,,42,2,Changeup,3,2,3,2,2,3,3,2,Standard,Standard,234.0,0.0,-0.046,,
CH,2023-10-01,78.3,-1.46,6.29,"Carpenter, Kerry",681481,608337,,ball,,,,,11.0,Kerry Carpenter walks.,R,L,R,DET,CLE,B,,,0,0,2023,-0.51,0.67,-1.49,4.32,,,,0,5,Bot,,,,,666310,,,0.8885575275077701,-114.13212295693164,1.2922369044831985,-4.675461665678101,18.49731353958304,-26.67084146607923,3.21,1.37,,,,79.1,1465.0,6.5,716361,608337,666310,647304,677588,671289,677587,680757,657656,660757,53.99,,,,,,,,42,1,Changeup,3,2,3,2,2,3,3,2,Standard,Standard,225.0,0.0,0.036,,
CU,2023-10-01,78.2,-1.48,6.36,"Carpenter, Kerry",681481,608337,strikeout,swinging_strike_blocked,,,,,13.0,Kerry Carpenter strikes out swinging.,R,L,R,DET,CLE,S,2.0,,1,2,2023,0.43,-1.1,-0.63,0.92,,,,1,3,Bot,,,,,666310,,,1.027983224506681,-113.82803564489708,-2.78274288813994,3.535999787764041,21.95963418895237,-41.42115096669353,3.37,1.61,,,,78.1,2473.0,6.3,716361,608337,666310,647304,677588,671289,677587,680757,657656,660757,54.19,,0.0,0.0,1.0,0.0,0.0,,25,5,Curveball,2,0,2,0,0,2,2,0,Infield shade,Standard,18.0,-0.011,-0.119,,
FF,2023-10-01,94.2,-1.35,6.23,"Carpenter, Kerry",681481,608337,,foul,,,,,1.0,Kerry Carpenter strikes out swinging.,R,L,R,DET,CLE,S,,,1,2,2023,-0.29,1.54,-0.53,3.23,,,,1,3,Bot,,,,,666310,,,2.782499234955012,-137.1033641400242,-5.57557632775618,-4.2457951653904,28.437237178947868,-11.703158733440246,3.37,1.61,269.0,79.6,36.0,95.1,2272.0,6.7,716361,608337,666310,647304,677588,671289,677587,680757,657656,660757,53.84,,,,,,,,25,4,4-Seam Fastball,2,0,2,0,0,2,2,0,Infield shade,Standard,206.0,0.0,0.0,,
FF,2023-10-01,93.9,-1.32,6.33,"Carpenter, Kerry",681481,608337,,ball,,,,,11.0,Kerry Carpenter strikes out swinging.,R,L,R,DET,CLE,B,,,0,2,2023,-0.49,1.63,-1.89,3.18,,,,1,3,Bot,,,,,666310,,,-0.3766998252378256,-136.64521413576935,-6.057291884157889,-6.123431826853444,29.615137916960222,-10.601912010126734,3.22,1.54,,,,94.4,2202.0,6.5,716361,608337,666310,647304,677588,671289,677587,680757,657656,660757,53.95,,,,,,,,25,3,4-Seam Fastball,2,0,2,0,0,2,2,0,Infield shade,Standard,205.0,0.0,0.012,,
SL,2023-10-01,84.8,-1.52,6.31,"Carpenter, Kerry",681481,608337,,foul,,,,,9.0,Kerry Carpenter strikes out swinging.,R,L,R,DET,CLE,S,,,0,1,2023,-0.09,0.09,0.53,1.82,,,,1,3,Bot,,,,,666310,,,4.955328348091078,-123.49014311010124,-4.452093958773374,-1.7461072223009388,21.33844168330534,-30.620878023701284,3.37,1.61,2.0,81.6,-43.0,85.5,2061.0,6.4,716361,608337,666310,647304,677588,671289,677587,680757,657656,660757,54.12,,,,,,,,25,2,Slider,2,0,2,0,0,2,2,0,Infield shade,Standard,52.0,0.0,-0.036,,
