pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
CU,2023-08-18,79.0,-2.48,5.97,"Maton, Nick",665155,668909,field_out,hit_into_play,,,,,7.0,Nick Maton flies out to center fielder Myles Straw.,R,L,R,CLE,DET,X,8.0,fly_ball,2,2,2023,0.44,-1.06,-0.68,2.03,,,,1,4,Top,125.55,58.09,,,666310,,,3.1858740489677912,-114.99060163632318,0.2180524570139597,3.284317009870213,21.506098888284505,-41.80580754238138,3.11,1.58,348.0,93.9,37.0,80.8,2261.0,7.5,716956,668909,666310,672356,671289,608070,677587,660757,664702,657656,52.97,0.057,0.094,0.0,1.0,0.0,0.0,3.0,29,5,Curveball,1,3,3,1,3,1,3,1,Infield shade,Standard,26.0,0.012,-0.148,,
FF,2023-08-18,97.1,-2.89,5.9,"Maton, Nick",665155,668909,,ball,,,,,11.0,Nick Maton flies out to center fielder Myles Straw.,R,L,R,CLE,DET,B,,,1,2,2023,-0.63,1.41,-1.21,3.85,,,,1,4,Top,,,,,666310,,,6.082065251981287,-141.28989089881628,-3.240491261872124,-9.880976845543897,33.01539378949285,-12.70498310872997,3.11,1.54,,,,99.3,2174.0,7.6,716956,668909,666310,672356,671289,608070,677587,660757,664702,657656,52.95,,,,,,,,29,4,4-Seam Fastball,1,3,3,1,3,1,3,1,Infield shade,Standard,217.0,0.0,0.029,,
CU,2023-08-18,74.8,-2.53,5.99,"Maton, Nick",665155,668909,,ball,,,,,13.0,Nick Maton flies out to center fielder Myles Straw.,R,L,R,CLE,DET,B,,,0,2,2023,0.79,-1.36,-1.41,1.86,,,,1,4,Top,,,,,666310,,,0.930382165301115,-108.8427633038782,1.241910271526412,5.97466082749033,22.655221372394237,-43.37830832659225,3.11,1.46,,,,75.1,2216.0,7.0,716956,668909,666310,672356,671289,608070,677587,660757,664702,657656,53.53,,,,,,,,29,3,Curveball,1,3,3,1,3,1,3,1,Infield shade,Standard,23.0,0.0,0.012,,
SL,2023-08-18,84.7,-3.0,5.79,"Maton, Nick",665155,668909,,foul,,,,,13.0,Nick Maton flies out to center fielder Myles Straw.,R,L,R,CLE,DET,S,,,0,1,2023,0.29,0.01,-0.84,1.99,,,,1,4,Top,,,,,666310,,,4.542343268633629,-123.37673914242156,-2.604972725076236,2.0416270460443746,24.66610491964117,-31.75087924722717,3.11,1.58,3.0,60.7,-34.0,86.3,2350.0,7.3,716956,668909,666310,672356,671289,608070,677587,660757,664702,657656,53.21,,,,,,,,29,2,Slider,1,3,3,1,3,1,3,1,Standard,Standard,144.0,0.0,-0.036,,
SL,2023-08-18,85.0,-2.87,5.81,"Maton, Nick",665155,668909,,called_strike,,,,,9.0,Nick Maton flies out to center fielder Myles Straw.,R,L,R,CLE,DET,S,,,0,0,2023,0.43,0.11,0.51,1.51,,,,1,4,Top,,,,,666310,,,7.218314511717532,-123.6861376781288,-4.099285929134847,3.166937410277309,22.4392205442968,-30.45643997676299,3.17,1.59,,,,87.3,2323.0,7.5,716956,668909,666310,672356,671289,608070,677587,660757,664702,657656,52.96,,,,,,,,29,1,Slider,1,3,3,1,3,1,3,1,Standard,Standard,132.0,0.0,-0.026,,
FF,2023-08-18,95.0,-2.89,5.78,"Maton, Nick",665155,668909,field_out,hit_into_play,,,,,6.0,Nick Maton flies out sharply to center fielder Myles Straw.,R,L,R,CLE,DET,X,8.0,fly_ball,1,1,2023,-0.96,1.3,0.31,2.43,,,,0,2,Top,145.0,55.4,,,666310,,,10.741000214296594,-137.88238353194845,-6.172145878376191,-14.501612222225724,28.8721222297822,-14.294564683108163,3.11,1.58,358.0,101.3,37.0,97.2,2260.0,7.5,716956,668909,666310,672356,671289,608070,677587,660757,664702,657656,52.98,0.317,0.608,0.0,1.0,0.0,0.0,5.0,13,3,4-Seam Fastball,1,3,3,1,3,1,3,1,Standard,Standard,219.0,0.017,-0.228,,
SL,2023-08-18,83.7,-2.99,5.74,"Maton, Nick",665155,668909,,ball,,,,,11.0,Nick Maton flies out sharply to center fielder Myles Straw.,R,L,R,CLE,DET,B,,,0,1,2023,0.34,0.34,-1.33,3.6,,,,0,2,Top,,,,,666310,,,3.2091313800752284,-122.0532615948071,0.7546584148654321,2.8932241929088023,21.541548971401312,-29.035535990263728,3.22,1.56,,,,85.6,2211.0,7.2,716956,668909,666310,672356,671289,608070,677587,660757,664702,657656,53.31,,,,,,,,13,2,Slider,1,3,3,1,3,1,3,1,Standard,Standard,149.0,0.0,0.028,,
SL,2023-08-18,83.9,-2.91,5.72,"Maton, Nick",665155,668909,,swinging_strike,,,,,1.0,Nick Maton flies out sharply to center fielder Myles Straw.,R,L,R,CLE,DET,S,,,0,0,2023,0.19,0.43,-0.83,3.09,,,,0,2,Top,,,,,666310,,,4.549814365536613,-122.29846172508886,-0.6435687578464355,1.118085334769993,20.505744739467517,-27.859840145149462,3.11,1.58,,,,86.0,2227.0,7.2,716956,668909,666310,672356,671289,608070,677587,660757,664702,657656,53.29,,,,,,,,13,1,Slider,1,3,3,1,3,1,3,1,Standard,Standard,139.0,0.0,-0.038,,
SL,2023-08-18,83.5,-1.98,5.5,"Maton, Nick",665155,660853,strikeout,swinging_strike_blocked,,,,,14.0,Nick Maton strikes out swinging.,R,L,R,CLE,DET,S,2.0,,1,2,2023,0.2,-0.02,0.63,0.78,,,679529.0,2,8,Top,,,,,666310,,,5.579796108971422,-121.49769584937933,-4.376834947562026,0.9317009249178289,23.69352086288084,-31.687450768410137,3.11,1.57,,,,83.1,2164.0,6.0,716959,660853,666310,594777,665926,672356,677587,680757,686823,660757,54.51,,0.0,0.0,1.0,0.0,0.0,,61,4,Slider,0,1,1,0,1,0,1,0,Infield shade,Standard,134.0,0.024,-0.173,,
FF,2023-08-18,93.9,-2.03,5.6,"Maton, Nick",665155,660853,,ball,,,,,11.0,Nick Maton strikes out swinging.,R,L,R,CLE,DET,B,,,0,2,2023,-0.74,1.0,-1.27,4.28,,,679529.0,2,8,Top,,,,,666310,,,3.635761059487681,-136.72927534625876,0.1090929136989196,-10.03672568024928,32.56087132074889,-19.91548019348129,3.11,1.59,,,,94.2,2215.0,6.6,716959,660853,666310,594777,665926,672356,677587,680757,686823,660757,53.91,,,,,,,,61,3,4-Seam Fastball,0,1,1,0,1,0,1,0,Infield shade,Standard,228.0,0.0,0.017,,
