pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
FF,2023-10-01,95.8,-1.82,5.59,"Nevin, Tyler",663527,663986,strikeout,swinging_strike,,,,,8,Tyler Nevin strikes out swinging.,R,R,R,DET,CLE,S,2.0,,2,2,2023,-0.3,1.33,-0.12,2.23,,668731.0,595879.0,2,8,Bot,,,,,666310,,,5.210739156612775,-139.41776527147115,-6.336778164716876,-5.052174315004504,28.925657825104217,-13.57167082104435,3.6,1.69,,,,96.8,2464,6.7,716361,663986,666310,647304,677588,671289,677587,680757,657656,660757,53.81,,0.0,0.0,1.0,0.0,0.0,,68,7,4-Seam Fastball,5,2,5,2,2,5,5,2,Standard,Standard,223,-0.005,-0.392,,
FS,2023-10-01,86.1,-1.75,5.82,"Nevin, Tyler",663527,663986,,foul,,,,,7,Tyler Nevin strikes out swinging.,R,R,R,DET,CLE,S,,,2,2,2023,-0.74,0.52,-0.59,2.16,,668731.0,595879.0,2,8,Bot,,,,,666310,,,4.265122325860595,-125.33914026164769,-3.567875655649721,-8.62625766273261,23.608167003770397,-26.175643229383653,3.6,1.69,4.0,75.5,-29.0,86.8,1192,6.5,716361,663986,666310,647304,677588,671289,677587,680757,657656,660757,53.96,,,,,,,,68,6,Split-Finger,5,2,5,2,2,5,5,2,Standard,Standard,243,0.0,0.0,,
FS,2023-10-01,86.8,-1.88,5.69,"Nevin, Tyler",663527,663986,,foul,,,,,13,Tyler Nevin strikes out swinging.,R,R,R,DET,CLE,S,,,2,2,2023,-1.08,0.34,-1.03,1.35,,668731.0,595879.0,2,8,Bot,,,,,666310,,,4.245957682152985,-126.28377374467668,-4.914589355224617,-12.399719388511308,24.808405547539028,-27.76185052464804,3.6,1.69,3.0,79.7,-25.0,87.3,1431,6.5,716361,663986,666310,647304,677588,671289,677587,680757,657656,660757,53.98,,,,,,,,68,5,Split-Finger,5,2,5,2,2,5,5,2,Standard,Standard,237,0.0,0.0,,
SL,2023-10-01,86.6,-1.84,5.54,"Nevin, Tyler",663527,663986,,called_strike,,,,,9,Tyler Nevin strikes out swinging.,R,R,R,DET,CLE,S,,,2,1,2023,0.34,0.1,0.55,1.9,,668731.0,595879.0,2,8,Bot,,,,,666310,,,5.048513582119465,-126.20798445853278,-2.7830498320197488,2.6926644120133583,23.464885486400014,-30.757833209516026,3.45,1.58,,,,87.2,2643,6.4,716361,663986,666310,647304,677588,671289,677587,680757,657656,660757,54.12,,,,,,,,68,4,Slider,5,2,5,2,2,5,5,2,Standard,Standard,89,0.0,-0.096,,
SL,2023-10-01,84.6,-1.83,5.58,"Nevin, Tyler",663527,663986,,ball,,,,,13,Tyler Nevin strikes out swinging.,R,R,R,DET,CLE,B,,,1,1,2023,0.44,0.0,-0.26,0.96,,668731.0,595879.0,2,8,Bot,,,,,666310,,,2.813239782639897,-123.2484251310718,-4.538559284866088,4.011981172202447,21.674814445804103,-31.52681922115893,3.54,1.69,,,,85.5,2624,6.5,716361,663986,666310,647304,677588,671289,677587,680757,657656,660757,53.97,,,,,,,,68,3,Slider,5,2,5,2,2,5,5,2,Standard,Standard,70,0.0,0.04,,
FF,2023-10-01,95.1,-1.94,5.49,"Nevin, Tyler",663527,663986,,foul,,,,,3,Tyler Nevin strikes out swinging.,R,R,R,DET,CLE,S,,,1,0,2023,-0.62,1.26,0.33,3.14,,668731.0,595879.0,2,8,Bot,,,,,666310,,,7.409877600027103,-138.36716917532078,-3.40035409578604,-9.622523084471116,29.083059262442777,-15.436868117023916,3.6,1.69,231.0,78.2,49.0,96.1,2521,6.7,716361,663986,666310,647304,677588,671289,677587,680757,657656,660757,53.76,,,,,,,,68,2,4-Seam Fastball,5,2,5,2,2,5,5,2,Standard,Standard,222,0.0,-0.071,,
SL,2023-10-01,85.3,-1.92,5.56,"Nevin, Tyler",663527,663986,,blocked_ball,,,,,14,Tyler Nevin strikes out swinging.,R,R,R,DET,CLE,B,,,0,0,2023,0.71,0.07,0.41,0.38,,668731.0,595879.0,2,8,Bot,,,,,666310,,,4.063993453532079,-124.13711050761432,-6.112997616250084,6.714659205430435,22.33669569342261,-30.49734003934265,3.45,1.61,,,,86.0,2828,6.5,716361,663986,666310,647304,677588,671289,677587,680757,657656,660757,54.02,,,,,,,,68,1,Slider,5,2,5,2,2,5,5,2,Standard,Standard,87,0.0,0.048,,
FC,2023-09-28,93.0,1.27,6.01,"Nevin, Tyler",663527,666142,field_out,hit_into_play,,,,,5,Tyler Nevin flies out to right fielder Drew Waters.,R,R,L,DET,KC,X,9.0,fly_ball,0,0,2023,0.47,0.87,-0.09,2.37,,,,0,7,Bot,171.65,82.62,,,521692,,,-4.516889549214245,-135.3796182697758,-5.483157834941035,6.760143352039315,27.335546386544816,-20.54055822571821,3.62,1.7,310.0,88.2,30.0,93.1,2489,6.1,716401,666142,521692,668472,686681,679845,677951,680118,664728,671221,54.35,0.043,0.042,0.0,1.0,0.0,0.0,3.0,51,1,Cutter,0,3,0,3,3,0,0,3,Standard,Standard,137,-0.027,-0.238,,
FF,2023-09-28,98.2,1.11,6.13,"Nevin, Tyler",663527,666142,strikeout,swinging_strike,,,,,6,Tyler Nevin strikes out swinging.,R,R,L,DET,KC,S,2.0,,0,2,2023,1.28,1.33,0.7,2.63,,,,2,4,Bot,,,,,521692,,,-4.052615688943829,-142.84293788979622,-7.052597507512575,18.489972317201648,32.60916364279466,-12.526225260556878,3.62,1.7,,,,97.9,2572,6.1,716401,666142,521692,668472,686681,679845,677951,669004,664728,671221,54.38,,0.0,0.0,1.0,0.0,0.0,,31,3,4-Seam Fastball,0,3,0,3,3,0,0,3,Standard,Standard,130,-0.009,-0.065,,
CH,2023-09-28,86.7,1.22,5.97,"Nevin, Tyler",663527,666142,,foul,,,,,5,Tyler Nevin strikes out swinging.,R,R,L,DET,KC,S,,,0,1,2023,1.24,0.99,0.26,2.48,,,,2,4,Bot,,,,,521692,,,-4.812620013787173,-126.1579415178629,-4.127941249162607,14.189105441861,27.87349878012868,-20.92320643212172,3.62,1.7,232.0,79.2,50.0,86.2,2067,6.2,716401,666142,521692,668472,686681,679845,677951,669004,664728,671221,54.34,,,,,,,,31,2,Changeup,0,3,0,3,3,0,0,3,Standard,Standard,119,0.0,-0.023,,
