pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
FF,2023-09-30,93.2,-1.79,6.27,"McKinstry, Zach",656716,663474,field_out,hit_into_play,,,,,1.0,"Zach McKinstry grounds out, second baseman Andres Gimenez to first baseman Josh Naylor.",R,L,R,DET,CLE,X,4.0,ground_ball,2,2,2023,-0.41,1.52,-0.78,3.18,663837.0,,,1,4,Bot,141.11,155.98,,,595956,,,3.545469944014285,-135.77046468835323,-5.64149772495561,-5.770338649394439,27.204307413516823,-12.300614021206446,3.32,1.58,32.0,97.4,-4.0,94.7,2245.0,6.9,716380,663474,595956,647304,665926,608070,677587,680757,664702,686823,53.6,0.303,0.292,0.0,1.0,0.0,0.0,2.0,31,7,4-Seam Fastball,1,0,1,0,0,1,1,0,Strategic,Standard,197.0,-0.061,-0.192,,
SL,2023-09-30,85.9,-2.11,6.25,"McKinstry, Zach",656716,663474,,foul,,,,,7.0,"Zach McKinstry grounds out, second baseman Andres Gimenez to first baseman Josh Naylor.",R,L,R,DET,CLE,S,,,2,2,2023,0.39,0.48,-0.35,2.1,663837.0,,,1,4,Bot,,,,,595956,,,3.419904992768928,-125.1069662064998,-4.68747363469859,3.500164518699407,22.17321600538624,-26.445153147657404,3.32,1.58,156.0,66.0,28.0,87.2,2190.0,6.8,716380,663474,595956,647304,665926,608070,677587,680757,664702,686823,53.72,,,,,,,,31,6,Slider,1,0,1,0,0,1,1,0,Strategic,Standard,161.0,0.0,0.0,,
FF,2023-09-30,94.2,-1.77,6.31,"McKinstry, Zach",656716,663474,,ball,,,,,13.0,"Zach McKinstry grounds out, second baseman Andres Gimenez to first baseman Josh Naylor.",R,L,R,DET,CLE,B,,,1,2,2023,-0.36,1.6,-1.31,2.25,663837.0,,,1,4,Bot,,,,,595956,,,2.021569622143613,-137.00854151268635,-8.522213495866387,-4.939309255784226,28.04908431988934,-10.300339533913917,3.22,1.5,,,,95.3,2317.0,6.8,716380,663474,595956,647304,665926,608070,677587,680757,664702,686823,53.71,,,,,,,,31,5,4-Seam Fastball,1,0,1,0,0,1,1,0,Strategic,Standard,191.0,0.0,0.033,,
FF,2023-09-30,93.8,-1.8,6.32,"McKinstry, Zach",656716,663474,,foul,,,,,11.0,"Zach McKinstry grounds out, second baseman Andres Gimenez to first baseman Josh Naylor.",R,L,R,DET,CLE,S,,,1,2,2023,-0.26,1.63,-0.25,3.6,663837.0,,,1,4,Bot,,,,,595956,,,4.637870405205285,-136.41403315763733,-4.933405834186583,-4.236535896338636,31.12437084997448,-10.991221256087767,3.32,1.58,218.0,73.2,49.0,94.6,2390.0,6.9,716380,663474,595956,647304,665926,608070,677587,680757,664702,686823,53.62,,,,,,,,31,4,4-Seam Fastball,1,0,1,0,0,1,1,0,Strategic,Standard,188.0,0.0,0.0,,
CU,2023-09-30,79.9,-2.09,6.15,"McKinstry, Zach",656716,663474,,swinging_strike,,,,,14.0,"Zach McKinstry grounds out, second baseman Andres Gimenez to first baseman Josh Naylor.",R,L,R,DET,CLE,S,,,1,1,2023,0.45,-0.57,0.39,1.07,663837.0,,,1,4,Bot,,,,,595956,,,4.6751823358928055,-116.41618727395289,-3.481085926247003,3.261236305424852,20.30239388079095,-36.96010478454752,3.32,1.58,,,,81.0,2277.0,6.8,716380,663474,595956,647304,665926,608070,677587,680757,664702,686823,53.67,,,,,,,,31,3,Curveball,1,0,1,0,0,1,1,0,Strategic,Standard,30.0,0.0,-0.137,,
FF,2023-09-30,93.3,-1.92,6.22,"McKinstry, Zach",656716,663474,,foul,,,,,1.0,"Zach McKinstry grounds out, second baseman Andres Gimenez to first baseman Josh Naylor.",R,L,R,DET,CLE,S,,,1,0,2023,-0.31,1.7,-0.7,3.1,663837.0,,,1,4,Bot,,,,,595956,,,3.865801956315752,-135.74855942194242,-6.08365011251164,-4.732769707629078,29.240355464074,-10.013965539777097,3.32,1.58,189.0,75.4,19.0,94.5,2316.0,6.9,716380,663474,595956,647304,665926,608070,677587,680757,664702,686823,53.55,,,,,,,,31,2,4-Seam Fastball,1,0,1,0,0,1,1,0,Strategic,Standard,193.0,0.0,-0.089,,
FF,2023-09-30,93.5,-1.82,6.24,"McKinstry, Zach",656716,663474,,ball,,,,,12.0,"Zach McKinstry grounds out, second baseman Andres Gimenez to first baseman Josh Naylor.",R,L,R,DET,CLE,B,,,0,0,2023,-0.2,1.78,1.04,2.31,663837.0,,,1,4,Bot,,,,,595956,,,7.873387415419251,-135.60118939341234,-8.273890611836102,-4.418203223675472,34.10845256017532,-8.543191200457008,3.11,1.48,,,,93.7,2381.0,6.9,716380,663474,595956,647304,665926,608070,677587,680757,664702,686823,53.56,,,,,,,,31,1,4-Seam Fastball,1,0,1,0,0,1,1,0,Strategic,Standard,194.0,0.0,0.033,,
FF,2023-09-30,94.7,-0.25,6.37,"McKinstry, Zach",656716,675916,walk,ball,,,,,11.0,Zach McKinstry walks.   Kerry Carpenter to 3rd.    Matt Vierling to 2nd.,R,L,R,DET,CLE,B,,,3,2,2023,-0.46,1.32,-0.13,3.89,,681481.0,663837.0,2,7,Bot,,,,,666310,,,1.3011510088446112,-137.94916249587666,-3.7648730049683214,-6.124449654687846,29.05569968710599,-14.60971326060641,3.14,1.55,,,,94.6,2214.0,6.0,716380,675916,666310,647304,665926,608070,677587,680757,664702,660757,54.47,,0.695903,0.7,1.0,0.0,0.0,,62,9,4-Seam Fastball,4,0,4,0,0,4,4,0,Standard,Standard,200.0,0.003,0.299,,
CU,2023-09-30,83.3,-0.11,6.34,"McKinstry, Zach",656716,675916,,foul,,,,,5.0,Zach McKinstry walks.   Kerry Carpenter to 3rd.    Matt Vierling to 2nd.,R,L,R,DET,CLE,S,,,3,2,2023,-0.16,-0.46,-0.07,2.57,,681481.0,663837.0,2,7,Bot,,,,,666310,,,0.3937496007309521,-121.35400726794153,-1.3072690228748056,-1.693654147931566,24.220089187275043,-36.69012533335414,3.32,1.58,183.0,76.9,64.0,82.6,2343.0,5.8,716380,675916,666310,647304,665926,608070,677587,680757,664702,660757,54.73,,,,,,,,62,8,Curveball,4,0,4,0,0,4,4,0,Standard,Standard,12.0,0.0,0.0,,
FF,2023-09-30,95.2,-0.13,6.38,"McKinstry, Zach",656716,675916,,ball,,,,,11.0,Zach McKinstry walks.   Kerry Carpenter to 3rd.    Matt Vierling to 2nd.,R,L,R,DET,CLE,B,,,2,2,2023,-0.52,1.56,-0.16,4.17,,681481.0,663837.0,2,7,Bot,,,,,666310,,,1.0668261929669138,-138.6346326191546,-3.593218486714655,-6.948424483720768,33.54134835578305,-11.550145247078916,3.19,1.53,,,,94.5,2340.0,6.0,716380,675916,666310,647304,665926,608070,677587,680757,664702,660757,54.49,,,,,,,,62,7,4-Seam Fastball,4,0,4,0,0,4,4,0,Standard,Standard,197.0,0.0,0.103,,
FF,2023-09-30,94.6,-0.18,6.38,"McKinstry, Zach",656716,675916,,ball,,,,,11.0,Zach McKinstry walks.   Kerry Carpenter to 3rd.    Matt Vierling to 2nd.,R,L,R,DET,CLE,B,,,1,2,2023,-0.49,1.5,-1.48,3.46,,681481.0,663837.0,2,7,Bot,,,,,666310,,,-2.309641149345413,-137.69865746235428,-5.232507227516992,-5.620674438080577,33.09860922848547,-12.2375873002582,3.14,1.48,,,,93.9,2220.0,6.0,716380,675916,666310,647304,665926,608070,677587,680757,664702,660757,54.47,,,,,,,,62,6,4-Seam Fastball,4,0,4,0,0,4,4,0,Standard,Standard,199.0,0.0,0.053,,
CU,2023-09-30,84.1,-0.03,6.37,"McKinstry, Zach",656716,675916,,foul,,,,,8.0,Zach McKinstry walks.   Kerry Carpenter to 3rd.    Matt Vierling to 2nd.,R,L,R,DET,CLE,S,,,1,2,2023,-0.38,-0.13,0.11,1.87,,681481.0,663837.0,2,7,Bot,,,,,666310,,,1.054789342284816,-122.44301748768048,-3.7352291526200254,-4.023771195463105,24.643508548699906,-32.96864558907823,3.32,1.58,,,,83.2,2226.0,5.7,716380,675916,666310,647304,665926,608070,677587,680757,664702,660757,54.78,,,,,,,,62,5,Curveball,4,0,4,0,0,4,4,0,Standard,Standard,355.0,0.0,0.0,,
CU,2023-09-30,83.8,-0.01,6.44,"McKinstry, Zach",656716,675916,,foul,,,,,7.0,Zach McKinstry walks.   Kerry Carpenter to 3rd.    Matt Vierling to 2nd.,R,L,R,DET,CLE,S,,,1,2,2023,-0.3,-0.36,-0.62,1.9,,681481.0,663837.0,2,7,Bot,,,,,666310,,,-0.8048478253270012,-122.10693267424314,-3.373100882126621,-2.833876979113332,23.80361656395563,-35.28717002281764,3.32,1.58,173.0,64.8,53.0,83.0,2365.0,5.7,716380,675916,666310,647304,665926,608070,677587,680757,664702,660757,54.85,,,,,,,,62,4,Curveball,4,0,4,0,0,4,4,0,Standard,Standard,11.0,0.0,0.0,,
CU,2023-09-30,82.2,-0.04,6.48,"McKinstry, Zach",656716,675916,,foul,,,,,2.0,Zach McKinstry walks.   Kerry Carpenter to 3rd.    Matt Vierling to 2nd.,R,L,R,DET,CLE,S,,,1,1,2023,-0.33,-0.22,-0.13,3.15,,681481.0,663837.0,2,7,Bot,,,,,666310,,,0.4211233729044014,-119.72662880535051,-0.6157732701627124,-3.224597629781058,22.601800393087714,-34.34254834097682,3.32,1.58,167.0,67.1,36.0,81.4,2177.0,5.6,716380,675916,666310,647304,665926,608070,677587,680757,664702,660757,54.86,,,,,,,,62,3,Curveball,4,0,4,0,0,4,4,0,Standard,Standard,12.0,0.0,-0.11,,
CU,2023-09-30,83.5,-0.22,6.34,"McKinstry, Zach",656716,675916,,blocked_ball,,,,,13.0,Zach McKinstry walks.   Kerry Carpenter to 3rd.    Matt Vierling to 2nd.,R,L,R,DET,CLE,B,,,0,1,2023,-0.21,-0.64,-0.03,-1.09,,681481.0,663837.0,2,7,Bot,,,,,666310,,,0.8560435522986379,-121.46877670723904,-9.35650889580197,-2.270052520650576,22.873871357882564,-36.99858438130852,3.11,1.45,,,,83.0,2312.0,5.9,716380,675916,666310,647304,665926,608070,677587,680757,664702,660757,54.64,,,,,,,,62,2,Curveball,4,0,4,0,0,4,4,0,Standard,Standard,1.0,0.0,0.04,,
FF,2023-09-30,92.9,-1.84,6.4,"McKinstry, Zach",656716,663474,field_out,hit_into_play,,,,,13.0,Zach McKinstry flies out to third baseman Jose Ramirez in foul territory.,R,L,R,DET,CLE,X,5.0,fly_ball,3,2,2023,-0.56,1.81,-0.84,2.44,,,,2,2,Bot,61.0,151.28,,,595956,,,3.8061321039457727,-135.0232249455823,-8.35729819784826,-7.652314897054988,30.77541785270885,-8.396815942528693,3.32,1.58,200.0,87.9,60.0,93.4,2240.0,6.8,716380,663474,595956,647304,665926,608070,677587,680757,664702,686823,53.72,0.017,0.021,0.0,1.0,0.0,0.0,3.0,15,6,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,204.0,-0.011,-0.13,,
FF,2023-09-30,93.7,-0.23,6.39,"McKinstry, Zach",656716,675916,,called_strike,,,,,2.0,Zach McKinstry walks.   Kerry Carpenter to 3rd.    Matt Vierling to 2nd.,R,L,R,DET,CLE,S,,,0,0,2023,-0.32,1.49,-0.24,2.8,,681481.0,663837.0,2,7,Bot,,,,,666310,,,0.688488205506377,-136.41279579162833,-6.807714819224738,-4.140034533471837,30.394779474395,-12.268538682738518,3.16,1.48,,,,93.0,2241.0,5.9,716380,675916,666310,647304,665926,608070,677587,680757,664702,660757,54.59,,,,,,,,62,1,4-Seam Fastball,4,0,4,0,0,4,4,0,Standard,Standard,202.0,0.0,-0.063,,
FF,2023-09-30,92.2,-1.81,6.34,"McKinstry, Zach",656716,663474,,called_strike,,,,,7.0,Zach McKinstry flies out to third baseman Jose Ramirez in foul territory.,R,L,R,DET,CLE,S,,,3,1,2023,-0.38,1.61,-0.65,1.61,,,,2,2,Bot,,,,,595956,,,3.7881227847635977,-133.83912454630246,-9.717109897410047,-5.383674943912689,30.26943488536836,-10.87109160356404,3.16,1.55,,,,92.7,2134.0,6.8,716380,663474,595956,647304,665926,608070,677587,680757,664702,686823,53.69,,,,,,,,15,5,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,196.0,0.0,-0.036,,
