pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
FF,2023-09-28,96.4,1.14,6.12,"Short, Zack",670097,666142,walk,ball,,,,,11.0,Zack Short walks.   Andre Lipcius to 2nd.,R,R,L,DET,KC,B,,,3,2,2023,0.84,1.64,-1.14,2.36,,,686531.0,1,7,Bot,,,,,521692,,,-7.906251962164001,-139.9014826543593,-8.02781836382928,12.89592752866147,35.53126567805332,-8.953271623421982,3.18,1.52,,,,95.3,2524.0,6.1,716401,666142,521692,668472,686681,679845,677951,680118,664728,671221,54.39,,0.695903,0.7,1.0,0.0,0.0,,53,6,4-Seam Fastball,0,3,0,3,3,0,0,3,Standard,Standard,138.0,0.051,0.314,,
SL,2023-09-28,87.0,1.44,5.87,"Short, Zack",670097,666142,,ball,,,,,13.0,Zack Short walks.   Andre Lipcius to 2nd.,R,R,L,DET,KC,B,,,2,2,2023,-0.06,0.14,-0.02,1.37,,,686531.0,1,7,Bot,,,,,521692,,,-3.377824139235961,-126.5419633666004,-4.856764272978366,0.1244834801686605,27.85711955232424,-29.85490712278399,3.2,1.49,,,,86.4,2480.0,6.1,716401,666142,521692,668472,686681,679845,677951,680118,664728,671221,54.36,,,,,,,,53,5,Slider,0,3,0,3,3,0,0,3,Standard,Standard,326.0,0.0,0.099,,
FF,2023-09-28,96.2,1.14,6.1,"Short, Zack",670097,666142,,ball,,,,,13.0,Zack Short walks.   Andre Lipcius to 2nd.,R,R,L,DET,KC,B,,,1,2,2023,1.04,1.25,-0.29,1.02,,,686531.0,1,7,Bot,,,,,521692,,,-6.108688479746323,-139.58043842015405,-10.6350506130751,14.972988989484035,33.018527486528015,-13.490014141874282,3.2,1.52,,,,95.5,2531.0,6.2,716401,666142,521692,668472,686681,679845,677951,680118,664728,671221,54.34,,,,,,,,53,4,4-Seam Fastball,0,3,0,3,3,0,0,3,Standard,Standard,132.0,0.0,0.055,,
FF,2023-09-28,96.1,1.24,6.1,"Short, Zack",670097,666142,,ball,,,,,11.0,Zack Short walks.   Andre Lipcius to 2nd.,R,R,L,DET,KC,B,,,0,2,2023,0.94,1.26,-0.06,3.58,,,686531.0,1,7,Bot,,,,,521692,,,-5.547110131356556,-139.86286369679536,-3.888813995445509,13.567022711156742,33.146638986878145,-15.04727086524991,3.28,1.54,,,,95.4,2366.0,6.0,716401,666142,521692,668472,686681,679845,677951,680118,664728,671221,54.49,,,,,,,,53,3,4-Seam Fastball,0,3,0,3,3,0,0,3,Standard,Standard,133.0,0.0,0.027,,
KC,2023-09-28,82.2,1.33,6.05,"Short, Zack",670097,666142,,called_strike,,,,,6.0,Zack Short walks.   Andre Lipcius to 2nd.,R,R,L,DET,KC,S,,,0,1,2023,-1.17,-0.64,0.41,2.4,,,686531.0,1,7,Bot,,,,,521692,,,0.1810767328393872,-119.67405505896303,-0.420246201089346,-11.153602109705652,26.07440867761525,-38.44114439007749,3.23,1.54,,,,81.1,2341.0,5.8,716401,666142,521692,668472,686681,679845,677951,680118,664728,671221,54.66,,,,,,,,53,2,Knuckle Curve,0,3,0,3,3,0,0,3,Standard,Standard,325.0,0.0,-0.062,,
FF,2023-09-28,94.1,1.22,6.07,"Short, Zack",670097,666142,,foul,,,,,3.0,Zack Short walks.   Andre Lipcius to 2nd.,R,R,L,DET,KC,S,,,0,0,2023,1.25,1.37,0.42,2.88,,,686531.0,1,7,Bot,,,,,521692,,,-4.82183380461148,-136.87817395835555,-5.541631246794183,16.742307687048687,33.074931912200725,-13.915788775920124,3.28,1.57,211.0,73.3,45.0,93.4,2434.0,6.1,716401,666142,521692,668472,686681,679845,677951,680118,664728,671221,54.41,,,,,,,,53,1,4-Seam Fastball,0,3,0,3,3,0,0,3,Standard,Standard,131.0,0.0,-0.05,,
FF,2023-09-28,94.3,1.3,6.04,"Short, Zack",670097,666142,strikeout,swinging_strike,,,,,14.0,Zack Short strikes out swinging.,R,R,L,DET,KC,S,2.0,,3,2,2023,1.11,1.38,0.51,1.16,,,686531.0,0,5,Bot,,,,,521692,,,-4.517127160024563,-136.96912293468793,-10.00272528126387,15.029487314128142,31.066773809638573,-12.792989944180134,3.28,1.57,,,,94.0,2543.0,6.3,716401,666142,521692,668472,686681,679845,677951,669004,664728,671221,54.21,,0.0,0.0,1.0,0.0,0.0,,38,7,4-Seam Fastball,0,3,0,3,3,0,0,3,Standard,Standard,129.0,-0.04,-0.447,,
CH,2023-09-28,85.4,1.41,5.98,"Short, Zack",670097,666142,,foul,,,,,3.0,Zack Short strikes out swinging.,R,R,L,DET,KC,S,,,3,2,2023,1.36,1.01,0.5,3.2,,,686531.0,0,5,Bot,,,,,521692,,,-4.86221519884426,-124.2793693063538,-2.2280162696329837,15.041495426835946,27.731870250727397,-21.576978517081184,3.28,1.57,,,,84.9,2097.0,6.2,716401,666142,521692,668472,686681,679845,677951,669004,664728,671221,54.27,,,,,,,,38,6,Changeup,0,3,0,3,3,0,0,3,Standard,Standard,118.0,0.0,0.0,,
CH,2023-09-28,85.8,1.33,5.93,"Short, Zack",670097,666142,,called_strike,,,,,5.0,Zack Short strikes out swinging.,R,R,L,DET,KC,S,,,3,1,2023,1.27,0.67,0.14,2.46,,,686531.0,0,5,Bot,,,,,521692,,,-5.382807324372609,-124.68785514005236,-3.19305211831968,14.37324830471932,28.70749563183566,-24.809650239007112,3.18,1.52,,,,85.1,1962.0,6.2,716401,666142,521692,668472,686681,679845,677951,669004,664728,671221,54.28,,,,,,,,38,5,Changeup,0,3,0,3,3,0,0,3,Standard,Standard,116.0,0.0,-0.103,,
FF,2023-09-28,94.1,1.22,6.16,"Short, Zack",670097,666142,,ball,,,,,13.0,Zack Short strikes out swinging.,R,R,L,DET,KC,B,,,2,1,2023,1.06,1.49,-1.07,1.61,,,686531.0,0,5,Bot,,,,,521692,,,-8.231057999651869,-136.59284254205744,-9.3561943571304,15.067759958206016,29.5750120081934,-11.59630808926595,3.2,1.49,,,,93.8,2501.0,6.2,716401,666142,521692,668472,686681,679845,677951,669004,664728,671221,54.32,,,,,,,,38,4,4-Seam Fastball,0,3,0,3,3,0,0,3,Standard,Standard,138.0,0.0,0.151,,
