pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
SL,2023-09-13,81.8,-2.93,5.95,"Faedo, Alex",571912,656412,double_play,hit_into_play,,,,,8,"Reds challenged (tag play), call on the field was upheld: Luke Maile grounds into a double play, third baseman Matt Vierling to first baseman Spencer Torkelson to third baseman Matt Vierling.   Noelvi Marte out at 3rd.    Luke Maile out at 1st.",R,R,R,DET,CIN,X,5.0,ground_ball,1,0,2023,0.38,-0.31,0.13,1.7,,,682622.0,1,9,Top,96.53,163.13,,,608348,,,6.112639712833437,-119.04376026994775,-2.4625385732076035,2.560206822796904,21.037659779043537,-34.893214487610514,3.11,1.43,22.0,82.2,-4.0,81.4,2609,5.9,716601,656412,608348,679529,628451,663837,656716,668731,678009,681481,54.64,0.16,0.127,0.0,1.0,0.0,0.0,2.0,75,2,Slider,3,4,4,3,4,3,4,3,Standard,Standard,58,0.037,-0.435,,
SL,2023-09-13,81.9,-2.87,6.12,"Faedo, Alex",571912,656412,,blocked_ball,,,,,14,"Reds challenged (tag play), call on the field was upheld: Luke Maile grounds into a double play, third baseman Matt Vierling to first baseman Spencer Torkelson to third baseman Matt Vierling.   Noelvi Marte out at 3rd.    Luke Maile out at 1st.",R,R,R,DET,CIN,B,,,0,0,2023,0.24,-0.15,1.12,-0.06,,,682622.0,1,9,Top,,,,,608348,,,8.455108093289619,-118.8513478148891,-7.001845560086863,0.6611395993406138,22.79076831961692,-32.39823414121588,3.01,1.4,,,,81.1,2644,5.9,716601,656412,608348,679529,628451,663837,656716,668731,678009,681481,54.63,,,,,,,,75,1,Slider,3,4,4,3,4,3,4,3,Standard,Standard,63,0.0,0.042,,
CH,2023-09-13,87.5,-2.94,5.76,"Faedo, Alex",670770,656412,field_out,hit_into_play,,,,,7,TJ Friedl pops out to shortstop Zach McKinstry.,R,L,R,DET,CIN,X,6.0,popup,0,1,2023,-1.62,0.6,-0.66,1.64,,,682622.0,0,9,Top,101.07,143.45,,,608348,,,8.756210067879085,-127.01925774321631,-4.94216780078202,-19.37053959812549,27.545707684082632,-24.80258362124967,3.08,1.44,156.0,57.5,49.0,86.4,2068,5.9,716601,656412,608348,679529,628451,663837,656716,668731,678009,681481,54.63,0.06,0.054,0.0,1.0,0.0,0.0,1.0,74,2,Changeup,3,4,4,3,4,3,4,3,Standard,Standard,242,0.022,-0.307,,
FF,2023-09-13,92.4,-2.69,6.07,"Faedo, Alex",670770,656412,,called_strike,,,,,1,TJ Friedl pops out to shortstop Zach McKinstry.,R,L,R,DET,CIN,S,,,0,0,2023,-0.7,1.36,-0.49,2.67,,,682622.0,0,9,Top,,,,,608348,,,7.029931217470038,-134.31160792803067,-5.696278350511985,-10.023189326634464,31.418961800846866,-14.6414742824905,3.0,1.41,,,,91.1,2459,5.8,716601,656412,608348,679529,628451,663837,656716,668731,678009,681481,54.75,,,,,,,,74,1,4-Seam Fastball,3,4,4,3,4,3,4,3,Strategic,Standard,213,0.0,-0.054,,
FF,2023-09-13,91.6,-2.95,5.92,"Faedo, Alex",682622,656412,single,hit_into_play,,,,,2,Noelvi Marte singles on a sharp line drive to left fielder Akil Baddoo.,R,R,R,DET,CIN,X,7.0,line_drive,0,0,2023,-0.75,1.28,-0.23,3.09,,,,0,9,Top,76.28,92.0,,,608348,,,8.393394047048172,-133.03783101270366,-3.943948164365516,-10.752436992428004,30.595155320044608,-16.370069071820563,3.42,1.64,227.0,103.4,10.0,90.4,2396,5.8,716601,656412,608348,679529,628451,663837,656716,668731,678009,681481,54.69,0.866,0.854,0.9,1.0,1.0,0.0,4.0,73,1,4-Seam Fastball,3,4,4,3,4,3,4,3,Standard,Standard,220,-0.023,0.388,,
SL,2023-09-13,82.6,-2.69,6.03,"Faedo, Alex",664056,656412,strikeout,swinging_strike,,,,,14,Harrison Bader strikes out swinging.,R,R,R,DET,CIN,S,2.0,,3,2,2023,0.6,-0.26,1.45,2.15,,,668715.0,2,8,Top,,,,,608348,,,8.250843974124665,-120.17926028774966,-1.8504786774835915,4.297751393641918,21.83130742395852,-34.6110168401008,3.03,1.43,,,,82.5,2681,6.1,716601,656412,608348,679529,628451,663837,656716,668731,678009,681481,54.43,,0.0,0.0,1.0,0.0,0.0,,68,6,Slider,3,4,4,3,4,3,4,3,Standard,Strategic,51,0.024,-0.256,,
SL,2023-09-13,82.9,-2.67,6.06,"Faedo, Alex",664056,656412,,blocked_ball,,,,,14,Harrison Bader strikes out swinging.,R,R,R,DET,CIN,B,,,2,2,2023,0.14,-0.26,0.85,-0.09,,,668715.0,2,8,Top,,,,,608348,,,7.677283572683735,-120.359057765996,-6.997785949930769,-0.118308708805952,23.212990842842547,-33.51494874847759,3.03,1.33,,,,82.1,2750,5.9,716601,656412,608348,679529,628451,663837,656716,668731,678009,681481,54.62,,,,,,,,68,5,Slider,3,4,4,3,4,3,4,3,Standard,Standard,46,0.0,0.055,,
FF,2023-09-13,94.4,-2.83,5.79,"Faedo, Alex",664056,656412,,called_strike,,,,,3,Harrison Bader strikes out swinging.,R,R,R,DET,CIN,S,,,2,1,2023,-0.28,1.68,0.68,2.73,,,668715.0,2,8,Top,,,,,608348,,,9.637968193102749,-137.10060285215758,-5.942161270851676,-5.727133564495207,30.52639300419653,-9.7710732277145,3.11,1.48,,,,93.4,2462,5.8,716601,656412,608348,679529,628451,663837,656716,668731,678009,681481,54.67,,,,,,,,68,4,4-Seam Fastball,3,4,4,3,4,3,4,3,Standard,Standard,218,0.0,-0.053,,
FF,2023-09-13,93.5,-2.78,5.85,"Faedo, Alex",664056,656412,,called_strike,,,,,6,Harrison Bader strikes out swinging.,R,R,R,DET,CIN,S,,,2,0,2023,-0.45,1.54,0.49,2.42,,,668715.0,2,8,Top,,,,,608348,,,9.38826064129725,-135.87136191624282,-6.498737550985154,-7.533335848403232,27.45490310103298,-11.81930368919708,3.39,1.43,,,,93.4,2450,6.2,716601,656412,608348,679529,628451,663837,656716,668731,678009,681481,54.34,,,,,,,,68,3,4-Seam Fastball,3,4,4,3,4,3,4,3,Standard,Standard,222,0.0,-0.043,,
SL,2023-09-13,82.6,-2.69,5.94,"Faedo, Alex",664056,656412,,ball,,,,,14,Harrison Bader strikes out swinging.,R,R,R,DET,CIN,B,,,1,0,2023,0.34,-0.34,1.85,0.96,,,668715.0,2,8,Top,,,,,608348,,,9.601808844066245,-119.92963622143444,-4.121078226553914,1.4979147629824625,22.591581529934864,-34.89992541784525,2.98,1.43,,,,82.1,2652,6.0,716601,656412,608348,679529,628451,663837,656716,668731,678009,681481,54.48,,,,,,,,68,2,Slider,3,4,4,3,4,3,4,3,Standard,Standard,79,0.0,0.031,,
