pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
CH,2023-10-01,89.8,-1.92,5.8,"Lange, Alex",666310,656638,strikeout,swinging_strike,,,,,13,Bo Naylor strikes out swinging.,R,L,R,DET,CLE,S,2.0,,2,2,2023,-1.21,0.19,-1.07,1.67,,686823.0,,2,9,Top,,,,,668670,,,4.659998272990364,-130.67899929828346,-4.655536313434148,-14.900679678965096,26.922327851786285,-29.267322197263898,3.42,1.55,,,,90.0,1515.0,6.3,716361,656638,668670,628451,670097,663837,595879,668731,678009,681481,54.17,,0.0,0.0,1.0,0.0,0.0,,72,5,Changeup,5,2,2,5,2,5,2,5,Infield shade,Standard,242.0,0.012,-0.242,,
KC,2023-10-01,88.4,-2.06,5.65,"Lange, Alex",666310,656638,,blocked_ball,,,,,13,Bo Naylor strikes out swinging.,R,L,R,DET,CLE,B,,,1,2,2023,-0.03,-0.14,-0.64,0.67,,686823.0,,2,9,Top,,,,,668670,,,3.510031328615987,-128.57232638358326,-5.689718148782269,-1.112702762820551,30.40075814511008,-32.547586948453514,3.48,1.64,,,,87.9,2231.0,6.4,716361,656638,668670,628451,670097,663837,595879,668731,678009,681481,54.15,,,,,,,,72,4,Knuckle Curve,5,2,2,5,2,5,2,5,Standard,Standard,343.0,0.0,0.017,,
KC,2023-10-01,86.9,-1.98,5.78,"Lange, Alex",666310,656638,,swinging_strike_blocked,,,,,14,Bo Naylor strikes out swinging.,R,L,R,DET,CLE,S,,,1,1,2023,0.01,-0.22,0.27,0.7,,686823.0,,2,9,Top,,,,,668670,,,5.3675881677732,-126.47117024737688,-5.565845944962134,-0.8974792212039263,24.15304261184325,-33.63312033474308,3.42,1.55,,,,87.1,2195.0,6.3,716361,656638,668670,628451,670097,663837,595879,668731,678009,681481,54.24,,,,,,,,72,3,Knuckle Curve,5,2,2,5,2,5,2,5,Infield shade,Standard,1.0,0.0,-0.071,,
CH,2023-10-01,90.3,-1.99,5.76,"Lange, Alex",666310,656638,,blocked_ball,,,,,13,Bo Naylor strikes out swinging.,R,L,R,DET,CLE,B,,,0,1,2023,-1.31,0.46,-0.26,0.21,,686823.0,,2,9,Top,,,,,668670,,,7.125367244055831,-131.1234316864669,-8.906265511145552,-16.559565809681732,26.14911191922749,-25.156590952317885,3.54,1.61,,,,91.0,1659.0,6.7,716361,656638,668670,628451,670097,663837,595879,668731,678009,681481,53.8,,,,,,,,72,2,Changeup,5,2,2,5,2,5,2,5,Infield shade,Standard,239.0,0.0,0.022,,
CH,2023-10-01,89.1,-2.04,5.76,"Lange, Alex",666310,656638,,swinging_strike,,,,,13,Bo Naylor strikes out swinging.,R,L,R,DET,CLE,S,,,0,0,2023,-1.33,0.22,-0.91,1.31,,686823.0,,2,9,Top,,,,,668670,,,5.580662438658933,-129.60730587845327,-5.39035948495904,-16.122511369596367,25.461632442127826,-28.82096933867181,3.42,1.55,,,,89.3,1519.0,6.3,716361,656638,668670,628451,670097,663837,595879,668731,678009,681481,54.18,,,,,,,,72,1,Changeup,5,2,2,5,2,5,2,5,Standard,Standard,238.0,0.0,-0.051,,
KC,2023-10-01,87.6,-1.95,5.78,"Lange, Alex",677587,656638,strikeout,swinging_strike_blocked,,,,,13,Brayan Rocchio strikes out swinging.   Will Brennan to 2nd.  Wild pitch by pitcher Alex Lange.,R,L,R,DET,CLE,S,2.0,,1,2,2023,-0.43,-0.3,-0.95,0.25,,,686823.0,1,9,Top,,,,,668670,,,3.300282004589426,-127.55477468892774,-6.623072414003105,-5.395400870906542,25.609273564336828,-34.292020098253744,3.04,1.38,,,,87.7,2253.0,6.3,716361,656638,668670,628451,670097,663837,595879,668731,678009,681481,54.21,,0.0,0.0,1.0,0.0,0.0,,71,4,Knuckle Curve,5,2,2,5,2,5,2,5,Infield shade,Standard,358.0,0.021,-0.215,,
KC,2023-10-01,86.7,-1.81,5.87,"Lange, Alex",677587,656638,,foul,,,,,4,Brayan Rocchio strikes out swinging.   Will Brennan to 2nd.  Wild pitch by pitcher Alex Lange.,R,L,R,DET,CLE,S,,,1,1,2023,-0.51,-0.56,-0.67,2.11,,,686823.0,1,9,Top,,,,,668670,,,3.752366857984623,-126.15853172188076,-1.6085525212208782,-6.193731046915575,26.937070511637653,-38.01173427165655,3.04,1.38,4.0,68.1,-31.0,86.2,2200.0,6.1,716361,656638,668670,628451,670097,663837,595879,668731,678009,681481,54.4,,,,,,,,71,3,Knuckle Curve,5,2,2,5,2,5,2,5,Infield shade,Standard,3.0,0.0,-0.065,,
KC,2023-10-01,86.5,-1.92,5.82,"Lange, Alex",677587,656638,,swinging_strike,,,,,13,Brayan Rocchio strikes out swinging.   Will Brennan to 2nd.  Wild pitch by pitcher Alex Lange.,R,L,R,DET,CLE,S,,,1,0,2023,-0.18,-0.39,-1.11,2.01,,,686823.0,1,9,Top,,,,,668670,,,2.31360810572125,-125.91664331676644,-2.0606655666166422,-2.4377338129616333,26.045213882760496,-36.106579971445846,3.04,1.38,,,,86.4,2101.0,6.2,716361,656638,668670,628451,670097,663837,595879,668731,678009,681481,54.28,,,,,,,,71,2,Knuckle Curve,5,2,2,5,2,5,2,5,Infield shade,Standard,24.0,0.0,-0.062,,
KC,2023-10-01,87.0,-2.02,5.8,"Lange, Alex",677587,656638,,ball,,,,,11,Brayan Rocchio strikes out swinging.   Will Brennan to 2nd.  Wild pitch by pitcher Alex Lange.,R,L,R,DET,CLE,B,,,0,0,2023,-0.13,-0.47,-1.26,3.87,,,686823.0,1,9,Top,,,,,668670,,,2.088747434270458,-126.67522114847948,2.5620775103328133,-1.8808283880002268,27.825306169245653,-38.02509793904471,3.04,1.36,,,,86.8,2105.0,6.3,716361,656638,668670,628451,670097,663837,595879,668731,678009,681481,54.19,,,,,,,,71,1,Knuckle Curve,5,2,2,5,2,5,2,5,Infield shade,Standard,37.0,0.0,0.042,,
CH,2023-10-01,90.3,-1.89,5.77,"Lange, Alex",686823,656638,single,hit_into_play,,,,,8,Will Brennan singles on a ground ball to right fielder Kerry Carpenter.,R,L,R,DET,CLE,X,9.0,ground_ball,0,1,2023,-1.22,0.43,-0.27,1.79,,,,1,9,Top,172.58,109.19,,,668670,,,6.622306614660406,-131.30787729380646,-4.908639405028155,-15.543504463854486,26.462730993683376,-26.34862432229893,3.43,1.56,84.0,97.6,4.0,90.4,1704.0,6.3,716361,656638,668670,628451,670097,663837,595879,668731,678009,681481,54.21,0.489,0.44,0.9,1.0,1.0,0.0,4.0,70,2,Changeup,5,2,2,5,2,5,2,5,Infield shade,Standard,244.0,-0.02,0.289,,
