pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
SL,2023-09-30,80.6,2.66,5.55,"Vasquez, Andrew",677587,607755,strikeout,swinging_strike,,,,,12,Brayan Rocchio strikes out swinging.,R,R,L,DET,CLE,S,2.0,,0,2,2023,-1.53,-0.19,1.03,2.49,,,665926.0,2,8,Top,,,,,608348,,,-0.7000232456417486,-117.3855559395789,0.2139027373259572,-13.99820586278114,23.11656645263254,-34.16252214813286,3.06,1.39,,,,80.2,2538.0,6.1,716380,607755,608348,679529,628451,656716,670097,663837,678009,681481,54.41,,0.0,0.0,1.0,0.0,0.0,,70,8,Slider,8,0,0,8,0,8,0,8,Strategic,Standard,304.0,0.001,-0.157,,
SL,2023-09-30,81.1,2.67,5.5,"Vasquez, Andrew",677587,607755,,foul,,,,,4,Brayan Rocchio strikes out swinging.,R,R,L,DET,CLE,S,,,0,2,2023,-1.75,-0.47,-0.56,2.31,,,665926.0,2,8,Top,,,,,608348,,,-3.882299017460338,-118.02904924350209,0.4358962622050752,-15.440202557456043,24.592053625518947,-36.82057222466385,3.06,1.39,3.0,63.8,-37.0,81.1,2657.0,6.5,716380,607755,608348,679529,628451,656716,670097,663837,678009,681481,54.01,,,,,,,,70,7,Slider,8,0,0,8,0,8,0,8,Standard,Standard,304.0,0.0,0.0,,
SI,2023-09-30,89.3,2.3,5.8,"Vasquez, Andrew",677587,607755,,foul,,,,,2,Brayan Rocchio strikes out swinging.,R,R,L,DET,CLE,S,,,0,2,2023,1.22,0.24,0.2,2.65,,,665926.0,2,8,Top,,,,,608348,,,-7.808689768017873,-129.81285719416675,-2.222947200594446,15.465725120911776,28.001027188392023,-29.15782764027259,3.06,1.39,238.0,81.8,46.0,89.8,2184.0,6.7,716380,607755,608348,679529,628451,656716,670097,663837,678009,681481,53.8,,,,,,,,70,6,Sinker,8,0,0,8,0,8,0,8,Strategic,Standard,129.0,0.0,0.0,,
SI,2023-09-30,88.5,2.4,5.84,"Vasquez, Andrew",677587,607755,,foul,,,,,2,Brayan Rocchio strikes out swinging.,R,R,L,DET,CLE,S,,,0,2,2023,1.46,0.4,-0.03,2.56,,,665926.0,2,8,Top,,,,,608348,,,-9.04300303812828,-128.52912686735286,-2.773372210743862,18.099501512455355,26.21140158265781,-27.36102103113948,3.06,1.39,192.0,78.8,60.0,89.1,2234.0,6.7,716380,607755,608348,679529,628451,656716,670097,663837,678009,681481,53.77,,,,,,,,70,5,Sinker,8,0,0,8,0,8,0,8,Standard,Standard,127.0,0.0,0.0,,
SL,2023-09-30,81.3,2.62,5.52,"Vasquez, Andrew",677587,607755,,foul,,,,,4,Brayan Rocchio strikes out swinging.,R,R,L,DET,CLE,S,,,0,2,2023,-1.67,-0.54,-0.46,2.06,,,665926.0,2,8,Top,,,,,608348,,,-3.716356556464699,-118.35330984308646,-0.0194811343565475,-14.777145518937385,25.384642911844125,-37.48184033508251,3.06,1.39,4.0,102.0,-27.0,81.1,2786.0,6.4,716380,607755,608348,679529,628451,656716,670097,663837,678009,681481,54.06,,,,,,,,70,4,Slider,8,0,0,8,0,8,0,8,Strategic,Standard,302.0,0.0,0.0,,
SL,2023-09-30,79.6,2.56,5.5,"Vasquez, Andrew",677587,607755,,foul,,,,,5,Brayan Rocchio strikes out swinging.,R,R,L,DET,CLE,S,,,0,2,2023,-1.53,-0.52,0.18,2.29,,,665926.0,2,8,Top,,,,,608348,,,-2.3444014138632285,-115.80812605233632,0.7488050301297478,-13.225648050782857,23.401565294333,-37.194072684748434,3.06,1.39,4.0,70.6,-32.0,79.3,2583.0,6.2,716380,607755,608348,679529,628451,656716,670097,663837,678009,681481,54.26,,,,,,,,70,3,Slider,8,0,0,8,0,8,0,8,Standard,Standard,303.0,0.0,0.0,,
SL,2023-09-30,79.4,2.53,5.48,"Vasquez, Andrew",677587,607755,,called_strike,,,,,3,Brayan Rocchio strikes out swinging.,R,R,L,DET,CLE,S,,,0,1,2023,-1.5,-0.28,0.54,2.82,,,665926.0,2,8,Top,,,,,608348,,,-1.5466114935467608,-115.63924346208836,1.5224865682414708,-13.08930209691678,23.44172696130719,-35.181055947447334,2.98,1.29,,,,79.2,2705.0,6.3,716380,607755,608348,679529,628451,656716,670097,663837,678009,681481,54.17,,,,,,,,70,2,Slider,8,0,0,8,0,8,0,8,Standard,Standard,304.0,0.0,-0.046,,
SL,2023-09-30,80.3,2.56,5.52,"Vasquez, Andrew",677587,607755,,swinging_strike,,,,,13,Brayan Rocchio strikes out swinging.,R,R,L,DET,CLE,S,,,0,0,2023,-1.48,-0.36,-1.01,1.93,,,665926.0,2,8,Top,,,,,608348,,,-5.124517531621363,-116.87064737530176,-0.541117521264465,-12.467662687321232,23.23598717231317,-35.61602391228006,3.06,1.39,,,,80.2,2653.0,6.3,716380,607755,608348,679529,628451,656716,670097,663837,678009,681481,54.16,,,,,,,,70,1,Slider,8,0,0,8,0,8,0,8,Strategic,Standard,307.0,0.0,-0.038,,
SL,2023-09-30,79.9,2.48,5.6,"Vasquez, Andrew",665926,607755,force_out,hit_into_play,,,,,13,"Andres Gimenez grounds into a force out, fielded by second baseman Andy Ibanez.   Tyler Freeman out at 2nd.    Andres Gimenez to 1st.",R,L,L,DET,CLE,X,4.0,ground_ball,1,2,2023,-1.59,-0.11,-1.4,1.23,,,671289.0,1,8,Top,131.11,165.46,,,608348,,,-5.573426424369789,-116.15928780419922,-2.612067351709056,-13.107756158607971,24.40376164273753,-32.861734829497024,3.23,1.49,56.0,59.1,6.0,79.9,2653.0,6.6,716380,607755,608348,679529,628451,656716,670097,663837,678009,681481,53.91,0.114,0.122,0.0,1.0,0.0,0.0,1.0,69,4,Slider,8,0,0,8,0,8,0,8,Infield shade,Standard,309.0,0.0,-0.308,,
SL,2023-09-30,80.2,2.57,5.55,"Vasquez, Andrew",665926,607755,,foul,,,,,13,"Andres Gimenez grounds into a force out, fielded by second baseman Andy Ibanez.   Tyler Freeman out at 2nd.    Andres Gimenez to 1st.",R,L,L,DET,CLE,S,,,1,1,2023,-1.66,-0.33,-1.74,1.74,,,671289.0,1,8,Top,,,,,608348,,,-6.400260440040667,-116.71771620192465,-1.0422427598852189,-13.825918793364114,23.40577893418989,-35.22000482862475,3.23,1.49,55.0,55.3,7.0,80.3,2768.0,6.5,716380,607755,608348,679529,628451,656716,670097,663837,678009,681481,54.03,,,,,,,,69,3,Slider,8,0,0,8,0,8,0,8,Infield shade,Standard,309.0,0.0,-0.065,,
SL,2023-09-30,79.3,2.35,5.44,"Vasquez, Andrew",665926,607755,,blocked_ball,,,,,13,"Andres Gimenez grounds into a force out, fielded by second baseman Andy Ibanez.   Tyler Freeman out at 2nd.    Andres Gimenez to 1st.",R,L,L,DET,CLE,B,,,0,1,2023,-1.4,-0.5,-3.28,0.08,,,671289.0,1,8,Top,,,,,608348,,,-9.671178413296824,-115.02386659350414,-3.860341986686493,-10.19054608711364,24.78196901746027,-35.94304116758823,3.07,1.41,,,,78.7,2722.0,6.4,716380,607755,608348,679529,628451,656716,670097,663837,678009,681481,54.06,,,,,,,,69,2,Slider,8,0,0,8,0,8,0,8,Infield shade,Standard,307.0,0.0,0.03,,
SI,2023-09-30,87.5,2.52,5.83,"Vasquez, Andrew",665926,607755,,called_strike,,,,,8,"Andres Gimenez grounds into a force out, fielded by second baseman Andy Ibanez.   Tyler Freeman out at 2nd.    Andres Gimenez to 1st.",R,L,L,DET,CLE,S,,,0,0,2023,1.49,0.0,-0.17,1.51,,,671289.0,1,8,Top,,,,,608348,,,-9.630639295436856,-127.02880373328044,-4.316752422077224,18.075194575540717,24.51271509008474,-31.492651174161807,3.1,1.41,,,,88.1,2317.0,6.7,716380,607755,608348,679529,628451,656716,670097,663837,678009,681481,53.82,,,,,,,,69,1,Sinker,8,0,0,8,0,8,0,8,Infield shade,Standard,123.0,0.0,-0.05,,
SL,2023-09-30,80.2,2.48,5.49,"Vasquez, Andrew",594777,607755,strikeout,swinging_strike,,,,,13,Kole Calhoun strikes out swinging.,R,L,L,DET,CLE,S,2.0,,1,2,2023,-1.72,-0.48,-2.64,0.97,,,647304.0,0,8,Top,,,,,608348,,,-8.073120022649137,-116.4413656509548,-2.238684324389552,-13.676002912497028,25.381332960980696,-36.21550808782591,2.87,1.4,,,,79.7,2739.0,6.4,716380,607755,608348,679529,628451,656716,670097,663837,678009,681481,54.05,,0.0,0.0,1.0,0.0,0.0,,68,9,Slider,8,0,0,8,0,8,0,8,Infield shade,Standard,304.0,0.002,-0.247,,
SI,2023-09-30,87.5,2.41,5.84,"Vasquez, Andrew",594777,607755,,foul,,,,,6,Kole Calhoun strikes out swinging.,R,L,L,DET,CLE,S,,,1,2,2023,1.3,0.21,0.8,2.11,,,647304.0,0,8,Top,,,,,608348,,,-6.641657773517628,-127.33262258803344,-3.3502171983202755,15.546190985768131,24.73364876154069,-29.465822946399413,2.87,1.4,3.0,31.2,-31.0,88.4,2167.0,6.7,716380,607755,608348,679529,628451,656716,670097,663837,678009,681481,53.78,,,,,,,,68,8,Sinker,8,0,0,8,0,8,0,8,Infield shade,Standard,128.0,0.0,0.0,,
SI,2023-09-30,88.5,2.34,5.81,"Vasquez, Andrew",594777,607755,,foul,,,,,1,Kole Calhoun strikes out swinging.,R,L,L,DET,CLE,S,,,1,2,2023,1.28,0.17,-0.38,2.66,,,647304.0,0,8,Top,,,,,608348,,,-9.396716921630034,-128.66028777923336,-2.001434433480189,16.107401827225846,24.27439854517493,-30.086722211695218,2.87,1.4,251.0,75.4,34.0,89.6,2120.0,6.8,716380,607755,608348,679529,628451,656716,670097,663837,678009,681481,53.71,,,,,,,,68,7,Sinker,8,0,0,8,0,8,0,8,Infield shade,Standard,125.0,0.0,0.0,,
SL,2023-09-30,78.9,2.53,5.6,"Vasquez, Andrew",594777,607755,,foul,,,,,2,Kole Calhoun strikes out swinging.,R,L,L,DET,CLE,S,,,1,2,2023,-1.35,-0.74,-0.01,2.54,,,647304.0,0,8,Top,,,,,608348,,,-2.9949569133986333,-114.87117923218796,1.5908788292444276,-11.287575432894846,23.47164751472187,-39.2435168585035,2.87,1.4,268.0,93.0,20.0,78.7,2479.0,6.4,716380,607755,608348,679529,628451,656716,670097,663837,678009,681481,54.12,,,,,,,,68,6,Slider,8,0,0,8,0,8,0,8,Infield shade,Standard,306.0,0.0,0.0,,
