pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
CU,2023-09-15,78.9,0.53,5.91,"Misiewicz, Anthony",678225,664948,single,hit_into_play,,,,,4,"Ji Hwan Bae singles on a line drive to right fielder Aaron Judge, deflected by pitcher Anthony Misiewicz.   Miguel Andujar scores.    Joshua Palacios to 3rd.",R,L,L,PIT,NYY,X,1.0,line_drive,1,2,2023,-0.42,-1.11,-0.52,2.41,,609280.0,641943.0,2,6,Bot,126.6,179.95,,,666163,,,-1.4770676142760455,-114.86037778242292,1.262824625691296,-3.4527366482660526,22.489046406118447,-42.44207927645285,3.11,1.44,107.0,100.6,6.0,78.0,2907,5.8,716579,664948,666163,518934,650402,672724,683011,665828,664314,592450,54.72,0.629,0.584,0.9,1.0,1.0,0.0,4.0,58,4,Curveball,2,3,2,3,3,3,3,3,Standard,Standard,329,0.198,1.007,,
FC,2023-09-15,89.7,0.41,5.93,"Misiewicz, Anthony",678225,664948,,called_strike,,,,,1,"Ji Hwan Bae singles on a line drive to right fielder Aaron Judge, deflected by pitcher Anthony Misiewicz.   Miguel Andujar scores.    Joshua Palacios to 3rd.",R,L,L,PIT,NYY,S,,,1,1,2023,-0.34,0.64,-0.79,3.13,,609280.0,641943.0,2,6,Bot,,,,,666163,,,-2.2464852264050643,-130.80730930576303,-2.378121983016788,-3.5357624509684507,24.28071691603666,-24.458483640101303,3.02,1.39,,,,89.8,2168,6.0,716579,664948,666163,518934,650402,672724,683011,665828,664314,592450,54.54,,,,,,,,58,3,Cutter,2,3,2,3,3,2,2,3,Standard,Standard,185,0.0,-0.11,,
CU,2023-09-15,79.0,0.37,5.88,"Misiewicz, Anthony",678225,664948,,blocked_ball,,,,,13,"Ji Hwan Bae singles on a line drive to right fielder Aaron Judge, deflected by pitcher Anthony Misiewicz.   Miguel Andujar scores.    Joshua Palacios to 3rd.",R,L,L,PIT,NYY,B,,,0,1,2023,-0.5,-1.18,-2.08,-0.6,,609280.0,641943.0,2,6,Bot,,,,,666163,,,-4.376243595795304,-114.90305521035567,-5.005778509928943,-3.5065080104459474,23.502503950943886,-41.73289562806739,3.04,1.44,,,,78.1,2912,5.9,716579,664948,666163,518934,650402,672724,683011,665828,664314,592450,54.6,,,,,,,,58,2,Curveball,2,3,2,3,3,2,2,3,Standard,Standard,334,0.0,0.04,,
CU,2023-09-15,79.4,0.43,5.92,"Misiewicz, Anthony",678225,664948,,swinging_strike_blocked,,,,,13,"Ji Hwan Bae singles on a line drive to right fielder Aaron Judge, deflected by pitcher Anthony Misiewicz.   Miguel Andujar scores.    Joshua Palacios to 3rd.",R,L,L,PIT,NYY,S,,,0,0,2023,-0.48,-1.37,-0.23,0.8,,609280.0,641943.0,2,6,Bot,,,,,666163,,,-0.5317075362991428,-115.60348119532252,-1.8123945639728976,-4.184743333979779,24.161749330188737,-44.177702329354325,3.11,1.44,,,,78.4,2959,5.8,716579,664948,666163,518934,650402,672724,683011,665828,664314,592450,54.66,,,,,,,,58,1,Curveball,2,3,2,3,3,2,2,3,Standard,Standard,330,0.0,-0.063,,
CU,2023-09-15,80.0,0.5,5.99,"Misiewicz, Anthony",678894,664948,strikeout,swinging_strike,,,,,14,Liover Peguero strikes out swinging.,R,R,L,PIT,NYY,S,2.0,,1,2,2023,-0.28,-1.27,0.64,1.13,,609280.0,641943.0,1,6,Bot,,,,,666163,,,0.8337467322734131,-116.54257088019904,-1.5647621620191203,-2.713004641195881,23.35499595279411,-43.606693702562815,3.65,1.69,,,,79.3,2917,5.9,716579,664948,666163,518934,650402,672724,683011,665828,664314,592450,54.64,,0.0,0.0,1.0,0.0,0.0,,57,4,Curveball,2,3,2,3,3,2,2,3,Standard,Standard,327,-0.076,-0.336,,
FC,2023-09-15,90.9,0.42,5.95,"Misiewicz, Anthony",678894,664948,,foul,,,,,8,Liover Peguero strikes out swinging.,R,R,L,PIT,NYY,S,,,1,1,2023,-0.11,0.93,-0.21,2.26,,609280.0,641943.0,1,6,Bot,,,,,666163,,,-1.3357374000286435,-132.53720145758655,-5.4186970024778365,-1.026674977356809,24.032026174937943,-20.275895983456664,3.65,1.69,97.0,74.0,16.0,91.3,1988,6.1,716579,664948,666163,518934,650402,672724,683011,665828,664314,592450,54.45,,,,,,,,57,3,Cutter,2,3,2,3,3,2,2,3,Standard,Standard,168,0.0,-0.115,,
CU,2023-09-15,79.7,0.39,5.9,"Misiewicz, Anthony",678894,664948,,blocked_ball,,,,,13,Liover Peguero strikes out swinging.,R,R,L,PIT,NYY,B,,,0,1,2023,-0.36,-1.33,-0.24,-0.58,,609280.0,641943.0,1,6,Bot,,,,,666163,,,-0.6854904163625778,-116.06435080160078,-4.933489925643954,-3.1428592564177538,23.147583708476617,-43.40004296885959,3.79,1.78,,,,79.0,2912,5.9,716579,664948,666163,518934,650402,672724,683011,665828,664314,592450,54.6,,,,,,,,57,2,Curveball,2,3,2,3,3,2,2,3,Standard,Standard,329,0.0,0.061,,
FC,2023-09-15,90.4,0.36,6.13,"Misiewicz, Anthony",678894,664948,,swinging_strike,,,,,11,Liover Peguero strikes out swinging.,R,R,L,PIT,NYY,S,,,0,0,2023,-0.3,0.93,-0.62,4.44,,609280.0,641943.0,1,6,Bot,,,,,666163,,,-1.7777688263709377,-131.78434380471504,-0.33809919394501,-3.239693568744731,24.4843184941724,-21.409768124802863,3.65,1.69,,,,90.0,2216,5.6,716579,664948,666163,518934,650402,672724,683011,665828,664314,592450,54.86,,,,,,,,57,1,Cutter,2,3,2,3,3,2,2,3,Standard,Standard,170,0.0,-0.078,,
FC,2023-09-15,90.4,0.35,5.89,"Misiewicz, Anthony",641943,664948,single,hit_into_play,,,,,7,Joshua Palacios singles on a line drive to right fielder Aaron Judge.   Miguel Andujar to 2nd.,R,L,L,PIT,NYY,X,9.0,line_drive,0,1,2023,-0.27,1.08,-0.5,2.08,,,609280.0,1,6,Bot,178.97,110.07,,,666163,,,-1.507242141676186,-131.61605881679623,-5.877499910783448,-2.9146956423110506,25.50393260131724,-18.622153190423752,3.46,1.65,210.0,95.7,12.0,90.2,2296,6.0,716579,664948,666163,518934,650402,672724,683011,665828,664314,592450,54.54,0.923,0.885,0.9,1.0,1.0,0.0,4.0,56,2,Cutter,2,3,2,3,3,2,2,3,Standard,Standard,161,0.061,0.539,,
FC,2023-09-15,90.3,0.3,6.06,"Misiewicz, Anthony",641943,664948,,called_strike,,,,,7,Joshua Palacios singles on a line drive to right fielder Aaron Judge.   Miguel Andujar to 2nd.,R,L,L,PIT,NYY,S,,,0,0,2023,-0.26,0.99,-0.59,2.16,,,609280.0,1,6,Bot,,,,,666163,,,-1.6442030125129992,-131.46110141366267,-5.872078838539261,-2.72131403850727,25.98306057515306,-19.65228436798369,3.38,1.68,,,,89.6,2212,5.7,716579,664948,666163,518934,650402,672724,683011,665828,664314,592450,54.81,,,,,,,,56,1,Cutter,2,3,2,3,3,2,2,3,Standard,Standard,173,0.0,-0.05,,
