pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
FF,2023-09-30,96.3,-1.3,5.84,"Brieske, Beau",594777,689225,field_out,hit_into_play,,,,,12.0,Kole Calhoun pops out to shortstop Zach McKinstry on the infield fly rule.,R,L,R,DET,CLE,X,6.0,popup,0,0,2023,-0.25,1.42,0.57,3.03,,608070.0,647304.0,0,6,Top,120.49,153.59,,,608348,,,5.520812008489894,-140.11585210793157,-5.086916514293013,-4.519686998066442,32.07523039285599,-12.553259861569575,2.87,1.4,122.0,59.7,61.0,96.0,2270.0,6.1,716380,689225,608348,679529,628451,663837,656716,668731,678009,681481,54.38,0.006,0.005,0.0,1.0,0.0,0.0,3.0,43,1,4-Seam Fastball,1,0,0,1,0,1,0,1,Infield shade,Standard,208.0,0.083,-0.472,,
FF,2023-09-30,96.0,-1.5,5.8,"Brieske, Beau",647304,689225,walk,ball,,,,,11.0,Josh Naylor walks.   Jose Ramirez to 2nd.,R,L,R,DET,CLE,B,,,3,1,2023,-0.77,1.37,-1.24,3.18,,,608070.0,0,6,Top,,,,,608348,,,2.41760079607686,-139.879390446006,-4.4305799822183,-10.66398684235956,30.838669021927245,-13.445420871112056,3.09,1.49,,,,95.9,2386.0,6.1,716380,689225,608348,679529,628451,663837,656716,668731,678009,681481,54.41,,0.695903,0.7,1.0,0.0,0.0,,42,5,4-Seam Fastball,1,0,0,1,0,1,0,1,Infield shade,Standard,203.0,-0.087,0.363,,
CH,2023-09-30,86.3,-1.49,5.8,"Brieske, Beau",647304,689225,,ball,,,,,13.0,Josh Naylor walks.   Jose Ramirez to 2nd.,R,L,R,DET,CLE,B,,,2,1,2023,-1.32,0.34,-1.48,1.44,,,608070.0,0,6,Top,,,,,608348,,,2.703987411345101,-125.68999670256184,-4.867095164818475,-14.586048160430297,24.54149845037833,-27.766087833509538,3.04,1.44,,,,86.1,1875.0,6.0,716380,689225,608348,679529,628451,663837,656716,668731,678009,681481,54.5,,,,,,,,42,4,Changeup,1,0,0,1,0,1,0,1,Infield shade,Standard,233.0,0.0,0.151,,
CH,2023-09-30,86.5,-1.5,5.8,"Brieske, Beau",647304,689225,,foul,,,,,7.0,Josh Naylor walks.   Jose Ramirez to 2nd.,R,L,R,DET,CLE,S,,,2,0,2023,-1.33,0.92,-0.42,1.47,,,608070.0,0,6,Top,,,,,608348,,,5.253548998755898,-125.78948190060936,-5.961160541873548,-15.1857333268607,25.87614944716762,-21.38660199641102,3.17,1.52,3.0,48.7,-24.0,86.0,1966.0,6.0,716380,689225,608348,679529,628451,663837,656716,668731,678009,681481,54.46,,,,,,,,42,3,Changeup,1,0,0,1,0,1,0,1,Infield shade,Standard,233.0,0.0,-0.082,,
FF,2023-09-30,95.4,-1.48,5.8,"Brieske, Beau",647304,689225,,ball,,,,,13.0,Josh Naylor walks.   Jose Ramirez to 2nd.,R,L,R,DET,CLE,B,,,1,0,2023,-0.74,1.54,-1.94,2.21,,,608070.0,0,6,Top,,,,,608348,,,0.455914835956299,-138.89783785045373,-7.308990675168429,-9.772973277291602,29.23510953634448,-10.761565983947778,3.14,1.52,,,,95.4,2411.0,6.1,716380,689225,608348,679529,628451,663837,656716,668731,678009,681481,54.37,,,,,,,,42,2,4-Seam Fastball,1,0,0,1,0,1,0,1,Infield shade,Standard,209.0,0.0,0.082,,
CH,2023-09-30,86.7,-1.62,5.72,"Brieske, Beau",647304,689225,,ball,,,,,13.0,Josh Naylor walks.   Jose Ramirez to 2nd.,R,L,R,DET,CLE,B,,,0,0,2023,-1.29,0.51,-0.7,1.21,,,608070.0,0,6,Top,,,,,608348,,,4.8477832394135,-126.16178709327494,-5.634925482973207,-14.803148633555663,24.982171818898188,-25.77843034937916,3.14,1.49,,,,86.6,1976.0,6.2,716380,689225,608348,679529,628451,663837,656716,668731,678009,681481,54.34,,,,,,,,42,1,Changeup,1,0,0,1,0,1,0,1,Infield shade,Standard,233.0,0.0,0.045,,
FF,2023-09-30,96.5,-1.45,5.81,"Brieske, Beau",608070,689225,walk,ball,,,,,11.0,Jose Ramirez walks.,R,L,R,DET,CLE,B,,,3,2,2023,-0.48,1.34,-1.63,3.06,,,,0,6,Top,,,,,608348,,,0.6114603734288622,-140.5525205336214,-4.819791373514789,-6.500978153066103,30.160096598778917,-13.569652354273432,3.34,1.5,,,,96.4,2399.0,6.1,716380,689225,608348,679529,628451,663837,656716,668731,678009,681481,54.42,,0.695903,0.7,1.0,0.0,0.0,,41,6,4-Seam Fastball,1,0,0,1,0,1,0,1,Infield shade,Standard,209.0,-0.06,0.312,,
FF,2023-09-30,94.4,-1.47,5.8,"Brieske, Beau",608070,689225,,foul,,,,,4.0,Jose Ramirez walks.,R,L,R,DET,CLE,S,,,3,1,2023,-0.43,1.38,-0.79,2.29,,,,0,6,Top,,,,,608348,,,2.722879425413965,-137.43502976289548,-6.491523829450543,-6.014890825818383,29.947679267947645,-13.487044568167576,3.37,1.58,145.0,82.3,74.0,94.3,2522.0,6.2,716380,689225,608348,679529,628451,663837,656716,668731,678009,681481,54.34,,,,,,,,41,5,4-Seam Fastball,1,0,0,1,0,1,0,1,Infield shade,Standard,203.0,0.0,-0.079,,
CH,2023-09-30,87.0,-1.62,5.76,"Brieske, Beau",608070,689225,,ball,,,,,9.0,Jose Ramirez walks.,R,L,R,DET,CLE,B,,,2,1,2023,-1.12,0.2,0.6,1.69,,,,0,6,Top,,,,,608348,,,7.590848354726982,-126.50696053413908,-3.9767982184953294,-13.587143820044217,25.395732736519385,-29.39284393723757,3.5,1.55,,,,86.7,1985.0,6.1,716380,689225,608348,679529,628451,663837,656716,668731,678009,681481,54.37,,,,,,,,41,4,Changeup,1,0,0,1,0,1,0,1,Infield shade,Standard,232.0,0.0,0.116,,
FF,2023-09-30,94.6,-1.4,5.85,"Brieske, Beau",608070,689225,,called_strike,,,,,2.0,Jose Ramirez walks.,R,L,R,DET,CLE,S,,,2,0,2023,-0.35,1.36,0.19,3.05,,,,0,6,Top,,,,,608348,,,4.905560424683,-137.66832914884452,-4.6490392175385455,-5.4767731945885005,29.613379528007187,-14.02300551985485,3.42,1.53,,,,94.5,2485.0,6.1,716380,689225,608348,679529,628451,663837,656716,668731,678009,681481,54.37,,,,,,,,41,3,4-Seam Fastball,1,0,0,1,0,1,0,1,Infield shade,Standard,201.0,0.0,-0.058,,
