pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
CH,2023-06-14,85.4,-2.12,5.07,"Bristo, Braden",592696,668754,field_out,hit_into_play,,,,,7,Eddie Rosario flies out to left fielder Zach McKinstry.,R,L,R,DET,ATL,X,7.0,fly_ball,1,1,2023,-0.89,0.32,-0.83,1.89,,,663586.0,2,9,Top,92.73,85.63,,,606992,,,4.782954183248851,-124.30002078039723,-1.8780695286479132,-10.177774254376294,23.654634031635847,-28.654041732428425,3.34,1.64,294.0,81.6,30.0,84.9,1609,5.8,717770,668754,606992,679529,670097,628451,595879,656716,545350,663837,54.69,0.069,0.072,0.0,1.0,0.0,0.0,3.0,80,3,Changeup,6,10,10,6,10,6,10,6,Infield shade,Standard,237,0.001,-0.224,,
FC,2023-06-14,88.6,-2.06,5.01,"Bristo, Braden",592696,668754,,foul,,,,,11,Eddie Rosario flies out to left fielder Zach McKinstry.,R,L,R,DET,ATL,S,,,1,0,2023,0.06,0.77,-0.16,3.47,,,663586.0,2,9,Top,,,,,606992,,,4.485392620152923,-129.16757290521923,0.579883427322549,-0.1409311212771279,23.244120237422287,-23.73560843259148,3.34,1.64,206.0,73.3,44.0,88.5,2497,5.8,717770,668754,606992,679529,670097,628451,595879,656716,545350,663837,54.69,,,,,,,,80,2,Cutter,6,10,10,6,10,6,10,6,Infield shade,Standard,204,0.0,-0.042,,
FC,2023-06-14,88.8,-2.21,5.0,"Bristo, Braden",592696,668754,,ball,,,,,1,Eddie Rosario flies out to left fielder Zach McKinstry.,R,L,R,DET,ATL,B,,,0,0,2023,0.35,0.73,-0.78,3.15,,,663586.0,2,9,Top,,,,,606992,,,2.782843267273272,-129.3901007460848,-0.0734585542993522,3.3594072347778807,25.086504418519315,-24.096676064718057,3.42,1.75,,,,88.5,2398,5.9,717770,668754,606992,679529,670097,628451,595879,656716,545350,663837,54.62,,,,,,,,80,1,Cutter,6,10,10,6,10,6,10,6,Infield shade,Standard,210,0.0,0.025,,
FC,2023-06-14,88.7,-2.17,5.01,"Bristo, Braden",518595,668754,strikeout,swinging_strike,,,,,2,Travis d'Arnaud strikes out swinging.,R,R,R,DET,ATL,S,2.0,,2,2,2023,0.2,0.64,-0.13,2.94,,,663586.0,1,9,Top,,,,,606992,,,4.522821143667279,-129.33470149973195,-0.4711563738794974,1.548711390603347,21.51052227917688,-24.973841535570447,3.49,1.6,,,,88.8,2483,5.8,717770,668754,606992,679529,670097,628451,595879,656716,545350,663837,54.73,,0.0,0.0,1.0,0.0,0.0,,79,5,Cutter,6,10,10,6,10,6,10,6,Standard,Standard,189,0.002,-0.271,,
SI,2023-06-14,91.2,-2.23,5.06,"Bristo, Braden",518595,668754,,ball,,,,,13,Travis d'Arnaud strikes out swinging.,R,R,R,DET,ATL,B,,,1,2,2023,-1.46,0.31,-1.78,1.98,,,663586.0,1,9,Top,,,,,606992,,,4.219056012541167,-132.8636701744008,-2.546928664063389,-18.24732913111756,26.95529596031304,-28.222827682919544,3.38,1.6,,,,90.7,2113,5.8,717770,668754,606992,679529,670097,628451,595879,656716,545350,663837,54.72,,,,,,,,79,4,Sinker,6,10,10,6,10,6,10,6,Standard,Standard,232,0.0,0.055,,
SI,2023-06-14,92.3,-2.08,5.12,"Bristo, Braden",518595,668754,,ball,,,,,13,Travis d'Arnaud strikes out swinging.,R,R,R,DET,ATL,B,,,0,2,2023,-1.26,0.49,-0.16,1.4,,,663586.0,1,9,Top,,,,,606992,,,7.535563260624458,-134.27309322375436,-4.708247054735663,-16.77927210983753,25.95086877735185,-25.463965986484485,3.46,1.57,,,,91.8,2188,5.7,717770,668754,606992,679529,670097,628451,595879,656716,545350,663837,54.76,,,,,,,,79,3,Sinker,6,10,10,6,10,6,10,6,Standard,Standard,227,0.0,0.027,,
FC,2023-06-14,88.1,-2.26,5.02,"Bristo, Braden",518595,668754,,foul,,,,,5,Travis d'Arnaud strikes out swinging.,R,R,R,DET,ATL,S,,,0,1,2023,0.22,0.53,-0.2,2.8,,,663586.0,1,9,Top,,,,,606992,,,4.531860784840048,-128.52356311002362,-0.5454148243208423,1.715992937543038,21.310152738166924,-26.28097252798617,3.49,1.6,,,,88.4,2496,5.9,717770,668754,606992,679529,670097,628451,595879,656716,545350,663837,54.62,,,,,,,,79,2,Cutter,6,10,10,6,10,6,10,6,Standard,Standard,151,0.0,-0.062,,
ST,2023-06-14,83.0,-2.35,5.02,"Bristo, Braden",518595,668754,,called_strike,,,,,8,Travis d'Arnaud strikes out swinging.,R,R,R,DET,ATL,S,,,0,0,2023,1.37,0.46,-0.02,1.93,,,663586.0,1,9,Top,,,,,606992,,,2.6214942167051074,-120.92918310830024,-1.4859512974547873,12.968190216688518,23.72712713367008,-27.59184829884573,3.46,1.57,,,,82.1,2714,5.7,717770,668754,606992,679529,670097,628451,595879,656716,545350,663837,54.84,,,,,,,,79,1,Sweeper,6,10,10,6,10,6,10,6,Standard,Standard,83,0.0,-0.05,,
ST,2023-06-14,82.0,-2.43,5.07,"Bristo, Braden",663586,668754,single,hit_into_play,,,,,4,Austin Riley singles on a fly ball to first baseman Spencer Torkelson.,R,R,R,DET,ATL,X,3.0,fly_ball,1,2,2023,1.33,0.38,-0.29,2.49,,,,1,9,Top,184.0,143.32,,,606992,,,2.2455602894423468,-119.42987893377578,-0.0453241588402505,12.327938464622292,22.738159185258183,-28.72257009635232,3.46,1.65,201.0,67.9,49.0,81.0,2703,5.5,717770,668754,606992,679529,670097,628451,595879,656716,545350,663837,54.96,0.18,0.177,0.9,1.0,1.0,0.0,3.0,78,4,Sweeper,6,10,10,6,10,6,10,6,Standard,Standard,78,-0.001,0.312,,
ST,2023-06-14,82.7,-2.28,5.04,"Bristo, Braden",663586,668754,,ball,,,,,14,Austin Riley singles on a fly ball to first baseman Spencer Torkelson.,R,R,R,DET,ATL,B,,,0,2,2023,0.83,0.49,1.65,2.18,,,,1,9,Top,,,,,606992,,,7.263359191023268,-120.20630336098256,-0.9664216949124412,6.5559127806991215,23.813093923002768,-27.416155579085327,3.49,1.62,,,,81.8,2633,5.8,717770,668754,606992,679529,670097,628451,595879,656716,545350,663837,54.74,,,,,,,,78,3,Sweeper,6,10,10,6,10,6,10,6,Standard,Standard,74,0.0,0.012,,
