pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
FF,2023-08-29,93.3,-2.46,5.14,"Hill, Garrett",543309,682051,grounded_into_double_play,hit_into_play,,,,,3,"Kyle Higashioka grounds into a double play, shortstop Javier Baez to second baseman Zach McKinstry to first baseman Spencer Torkelson.   Everson Pereira out at 2nd.    Kyle Higashioka out at 1st.",R,R,R,DET,NYY,X,6.0,ground_ball,1,2,2023,-0.76,1.08,0.62,3.33,,,677592.0,1,9,Top,113.8,143.28,,,608348,,,9.607572726567538,-135.55324101301275,-1.2975129908455283,-11.400557805426338,28.441540726204156,-18.710970281848667,3.41,1.58,20.0,98.1,-8.0,93.7,2042.0,6.5,716795,682051,608348,679529,656716,663837,595879,668731,678009,682985,54.0,0.289,0.235,0.0,1.0,0.0,0.0,2.0,64,5,4-Seam Fastball,0,4,4,0,4,0,4,0,Standard,Standard,218.0,0.003,-0.308,,
CH,2023-08-29,83.7,-2.48,5.06,"Hill, Garrett",543309,682051,,foul,,,,,7,"Kyle Higashioka grounds into a double play, shortstop Javier Baez to second baseman Zach McKinstry to first baseman Spencer Torkelson.   Everson Pereira out at 2nd.    Kyle Higashioka out at 1st.",R,R,R,DET,NYY,S,,,1,2,2023,-0.84,0.08,-0.36,2.04,,,677592.0,1,9,Top,,,,,608348,,,6.5794896411402535,-121.76297099478964,-0.693368022856132,-9.674467876001463,23.870192626038023,-31.46755708399716,3.41,1.58,5.0,76.6,-21.0,83.8,1271.0,6.4,716795,682051,608348,679529,656716,663837,595879,668731,678009,682985,54.14,,,,,,,,64,4,Changeup,0,4,4,0,4,0,4,0,Standard,Standard,248.0,0.0,0.0,,
FF,2023-08-29,92.9,-2.61,5.1,"Hill, Garrett",543309,682051,,foul,,,,,4,"Kyle Higashioka grounds into a double play, shortstop Javier Baez to second baseman Zach McKinstry to first baseman Spencer Torkelson.   Everson Pereira out at 2nd.    Kyle Higashioka out at 1st.",R,R,R,DET,NYY,S,,,1,1,2023,-0.69,1.27,-0.39,2.45,,,677592.0,1,9,Top,,,,,608348,,,7.254686346532898,-135.0914203210798,-3.826344424893077,-10.070605837020958,28.919951595987698,-15.961712598042872,3.41,1.58,5.0,87.7,-26.0,93.6,2181.0,6.7,716795,682051,608348,679529,656716,663837,595879,668731,678009,682985,53.78,,,,,,,,64,3,4-Seam Fastball,0,4,4,0,4,0,4,0,Standard,Standard,213.0,0.0,-0.065,,
FF,2023-08-29,93.6,-2.46,5.13,"Hill, Garrett",543309,682051,,ball,,,,,14,"Kyle Higashioka grounds into a double play, shortstop Javier Baez to second baseman Zach McKinstry to first baseman Spencer Torkelson.   Everson Pereira out at 2nd.    Kyle Higashioka out at 1st.",R,R,R,DET,NYY,B,,,0,1,2023,-0.8,1.09,0.97,1.73,,,677592.0,1,9,Top,,,,,608348,,,10.631786539810385,-135.8854447845396,-5.435706494749981,-12.2192099192358,29.338049122562506,-17.574096567607523,3.4,1.52,,,,94.0,2255.0,6.6,716795,682051,608348,679529,656716,663837,595879,668731,678009,682985,53.91,,,,,,,,64,2,4-Seam Fastball,0,4,4,0,4,0,4,0,Standard,Standard,214.0,0.0,0.03,,
SL,2023-08-29,84.7,-2.7,4.99,"Hill, Garrett",543309,682051,,called_strike,,,,,4,"Kyle Higashioka grounds into a double play, shortstop Javier Baez to second baseman Zach McKinstry to first baseman Spencer Torkelson.   Everson Pereira out at 2nd.    Kyle Higashioka out at 1st.",R,R,R,DET,NYY,S,,,0,0,2023,0.33,-0.01,-0.68,2.52,,,677592.0,1,9,Top,,,,,608348,,,4.073409170255994,-123.36055136938604,0.5639192306214535,2.5913172004520684,23.34764974683725,-32.625774647057504,3.33,1.5,,,,84.8,2599.0,6.2,716795,682051,608348,679529,656716,663837,595879,668731,678009,682985,54.33,,,,,,,,64,1,Slider,0,4,4,0,4,0,4,0,Standard,Standard,66.0,0.0,-0.05,,
SL,2023-08-29,87.3,-2.63,5.0,"Hill, Garrett",677592,682051,walk,ball,,,,,14,Everson Pereira walks.,R,R,R,DET,NYY,B,,,3,2,2023,-0.01,0.11,0.89,1.13,,,,1,9,Top,,,,,608348,,,8.529445229222944,-126.96687614118984,-3.438798426516829,-1.76814633811222,24.30826138174219,-30.443781865560865,3.31,1.54,,,,87.8,2624.0,6.5,716795,682051,608348,679529,656716,663837,595879,668731,678009,682985,54.02,,0.695903,0.7,1.0,0.0,0.0,,63,7,Slider,0,4,4,0,4,0,4,0,Standard,Standard,125.0,-0.001,0.227,,
CH,2023-08-29,84.8,-2.35,5.07,"Hill, Garrett",677592,682051,,ball,,,,,13,Everson Pereira walks.,R,R,R,DET,NYY,B,,,2,2,2023,-1.02,0.29,-1.16,1.46,,,,1,9,Top,,,,,608348,,,4.81601829190804,-123.43076692257284,-2.6406048450400714,-11.411054994917931,26.373265496044407,-28.91563224029043,3.24,1.56,,,,84.4,1367.0,6.2,716795,682051,608348,679529,656716,663837,595879,668731,678009,682985,54.33,,,,,,,,63,6,Changeup,0,4,4,0,4,0,4,0,Standard,Standard,247.0,0.0,0.059,,
SL,2023-08-29,86.0,-2.7,5.0,"Hill, Garrett",677592,682051,,foul,,,,,8,Everson Pereira walks.,R,R,R,DET,NYY,S,,,2,2,2023,0.32,0.21,0.17,1.91,,,,1,9,Top,,,,,608348,,,6.165411139087078,-125.37661871677334,-1.6262251480801309,2.438761649110066,20.530362035851784,-29.87587990978917,3.32,1.51,,,,86.9,2696.0,6.3,716795,682051,608348,679529,656716,663837,595879,668731,678009,682985,54.18,,,,,,,,63,5,Slider,0,4,4,0,4,0,4,0,Standard,Standard,90.0,0.0,0.0,,
CH,2023-08-29,83.8,-2.46,5.06,"Hill, Garrett",677592,682051,,ball,,,,,13,Everson Pereira walks.,R,R,R,DET,NYY,B,,,1,2,2023,-0.94,0.34,-1.53,1.71,,,,1,9,Top,,,,,608348,,,4.007583331291817,-122.024192639075,-2.035251724206098,-10.201118470502903,23.412574288248944,-28.539214405540942,3.24,1.5,,,,84.1,1252.0,6.4,716795,682051,608348,679529,656716,663837,595879,668731,678009,682985,54.13,,,,,,,,63,4,Changeup,0,4,4,0,4,0,4,0,Standard,Standard,247.0,0.0,0.029,,
CH,2023-08-29,83.4,-2.47,5.0,"Hill, Garrett",677592,682051,,swinging_strike,,,,,9,Everson Pereira walks.,R,R,R,DET,NYY,S,,,1,1,2023,-0.77,0.52,0.36,1.65,,,,1,9,Top,,,,,608348,,,8.012795997639056,-121.32522481583702,-2.335458946537787,-9.108099150768451,21.70638353860233,-26.804276987075312,3.32,1.51,,,,83.8,1386.0,6.4,716795,682051,608348,679529,656716,663837,595879,668731,678009,682985,54.15,,,,,,,,63,3,Changeup,0,4,4,0,4,0,4,0,Standard,Standard,239.0,0.0,-0.043,,
