pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
SI,2023-09-28,97.2,-1.96,5.63,"Foley, Jason",668472,671345,field_out,hit_into_play,,,,,6,Nick Pratto pops out to shortstop Zack Short.,R,L,R,DET,KC,X,6.0,popup,0,1,2023,-1.41,0.71,0.64,2.41,686681.0,,658668.0,2,8,Top,98.56,143.28,,,608348,,,10.241885886445727,-141.22766519072275,-4.742271952314272,-21.22359427036909,31.412417859369985,-21.713896694847566,3.41,1.61,149.0,71.5,62.0,97.7,1850,6.6,716401,671345,608348,663527,628451,656716,670097,663837,678009,681481,53.88,0.003,0.003,0.0,1.0,0.0,0.0,3.0,67,2,Sinker,7,3,3,7,3,7,3,7,Infield shade,Standard,234,0.019,-0.431,,
SI,2023-09-28,97.9,-1.93,5.71,"Foley, Jason",668472,671345,,swinging_strike,,,,,1,Nick Pratto pops out to shortstop Zack Short.,R,L,R,DET,KC,S,,,0,0,2023,-1.31,0.65,-0.77,3.15,686681.0,,658668.0,2,8,Top,,,,,608348,,,6.203896833026967,-142.56484464322446,-2.972615593262935,-19.338070274680568,30.54216137177279,-22.85162834122376,3.41,1.61,,,,98.7,1866,6.5,716401,671345,608348,663527,628451,656716,670097,663837,678009,681481,53.96,,,,,,,,67,1,Sinker,7,3,3,7,3,7,3,7,Infield shade,Standard,235,0.0,-0.088,,
SI,2023-09-28,97.4,-1.94,5.61,"Foley, Jason",658668,671345,single,hit_into_play,,,,,8,Edward Olivares singles on a ground ball to shortstop Zack Short.   Michael Massey to 3rd.,R,R,R,DET,KC,X,6.0,ground_ball,0,0,2023,-1.38,0.36,-0.21,2.17,,,686681.0,2,8,Top,123.96,124.96,,,608348,,,7.835192977956057,-141.61354082421005,-4.584633684657182,-20.29297458548252,30.64914304913565,-26.42775680086413,3.58,1.72,10.0,98.4,-11.0,98.1,1855,6.6,716401,671345,608348,663527,628451,656716,670097,663837,678009,681481,53.91,0.2,0.212,0.9,1.0,1.0,0.0,2.0,66,1,Sinker,7,3,3,7,3,7,3,7,Standard,Standard,237,-0.011,0.309,,
SI,2023-09-28,98.1,-1.93,5.61,"Foley, Jason",686681,671345,single,hit_into_play,,,,,4,Michael Massey singles on a line drive to center fielder Parker Meadows.,R,L,R,DET,KC,X,8.0,line_drive,1,2,2023,-1.53,0.44,-0.58,2.79,,,,2,8,Top,118.74,85.0,,,608348,,,7.226269006219923,-142.69797001047246,-3.202815593621634,-22.631699786249307,31.49221986148221,-25.64650263488713,3.54,1.7,245.0,84.9,16.0,98.6,1973,6.5,716401,671345,608348,663527,628451,656716,670097,663837,678009,681481,54.0,0.971,0.909,0.9,1.0,1.0,0.0,4.0,65,6,Sinker,7,3,3,7,3,7,3,7,Infield shade,Standard,240,-0.006,0.164,,
CH,2023-09-28,91.3,-2.3,5.2,"Foley, Jason",686681,671345,,ball,,,,,13,Michael Massey singles on a line drive to center fielder Parker Meadows.,R,L,R,DET,KC,B,,,0,2,2023,-1.3,0.24,-1.18,1.2,,,,2,8,Top,,,,,608348,,,5.6519969309648594,-132.7918624822438,-4.712925729531872,-16.58035315558792,28.35389511958948,-28.537397502883024,3.54,1.73,,,,92.0,1623,6.7,716401,671345,608348,663527,628451,656716,670097,663837,678009,681481,53.78,,,,,,,,65,5,Changeup,7,3,3,7,3,7,3,7,Infield shade,Standard,254,0.0,0.009,,
CH,2023-09-28,93.0,-2.23,5.35,"Foley, Jason",686681,671345,,foul,,,,,13,Michael Massey singles on a line drive to center fielder Parker Meadows.,R,L,R,DET,KC,S,,,0,2,2023,-1.33,0.34,-0.85,1.07,,,,2,8,Top,,,,,608348,,,6.503587663587331,-135.30595016341408,-5.990577679788225,-17.78904435091298,28.711662365572455,-26.922604542649143,3.54,1.7,2.0,46.2,-24.0,93.8,1709,6.7,716401,671345,608348,663527,628451,656716,670097,663837,678009,681481,53.77,,,,,,,,65,4,Changeup,7,3,3,7,3,7,3,7,Infield shade,Standard,247,0.0,0.0,,
SL,2023-09-28,90.8,-1.97,5.8,"Foley, Jason",686681,671345,,foul,,,,,6,Michael Massey singles on a line drive to center fielder Parker Meadows.,R,L,R,DET,KC,S,,,0,2,2023,0.09,0.38,0.53,2.85,,,,2,8,Top,,,,,608348,,,6.095758393653939,-132.1323747726574,-2.293171784174918,-0.1947019507700491,27.83408670528869,-27.421680556404727,3.54,1.7,336.0,94.9,31.0,91.4,2222,6.6,716401,671345,608348,663527,628451,656716,670097,663837,678009,681481,53.9,,,,,,,,65,3,Slider,7,3,3,7,3,7,3,7,Infield shade,Standard,179,0.0,0.0,,
SI,2023-09-28,97.3,-1.89,5.69,"Foley, Jason",686681,671345,,swinging_strike,,,,,12,Michael Massey singles on a line drive to center fielder Parker Meadows.,R,L,R,DET,KC,S,,,0,1,2023,-1.23,0.65,1.03,2.92,,,,2,8,Top,,,,,608348,,,10.704654739442953,-141.33518430305958,-3.413653877737455,-18.92240438414466,31.37478526662968,-22.78719610943668,3.54,1.7,,,,97.8,1941,6.6,716401,671345,608348,663527,628451,656716,670097,663837,678009,681481,53.88,,,,,,,,65,2,Sinker,7,3,3,7,3,7,3,7,Infield shade,Standard,235,0.0,-0.023,,
SI,2023-09-28,96.4,-1.9,5.63,"Foley, Jason",686681,671345,,foul_bunt,,,,,6,Michael Massey singles on a line drive to center fielder Parker Meadows.,R,L,R,DET,KC,S,,,0,0,2023,-1.26,0.48,0.36,2.82,,,,2,8,Top,,,,,608348,,,8.89120477271475,-140.0782883976736,-2.9809548411269,-18.650341920739155,31.34715072570572,-25.336581308475782,3.54,1.7,19.0,,,96.6,1840,6.5,716401,671345,608348,663527,628451,656716,670097,663837,678009,681481,54.03,,,,,,,,65,1,Sinker,7,3,3,7,3,7,3,7,Infield shade,Standard,239,0.0,-0.017,,
SI,2023-09-28,97.5,-1.88,5.65,"Foley, Jason",521692,671345,field_out,hit_into_play,,,,,8,"Salvador Perez grounds out, shortstop Zack Short to first baseman Tyler Nevin.",R,R,R,DET,KC,X,6.0,ground_ball,0,0,2023,-1.45,0.3,-0.24,1.92,,,,1,8,Top,112.28,158.55,,,608348,,,7.778866125809746,-141.73553020789532,-5.225039027528446,-21.28884318216561,31.68169090583091,-27.155564527516017,3.51,1.59,8.0,102.6,-13.0,98.0,1812,6.6,716401,671345,608348,663527,628451,656716,670097,663837,678009,681481,53.95,0.24,0.18,0.0,1.0,0.0,0.0,2.0,64,1,Sinker,7,3,3,7,3,7,3,7,Standard,Standard,235,0.007,-0.169,,
