pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
SL,2023-07-22,84.2,-2.36,5.48,"Englert, Mason",663845,669438,double,hit_into_play,,,,,7,Alfonso Rivas doubles (2) on a line drive to right fielder Zach McKinstry.   Luis Campusano to 3rd.,R,L,R,DET,SD,X,9.0,line_drive,3,1,2023,0.11,0.91,-0.31,1.95,,,669134.0,1,5,Top,201.72,115.6,,,668670,,,4.529548984276576,-122.61238771626007,-3.6339623972631543,0.19111685410424,23.834947152388885,-22.436798852194567,3.31,1.53,219.0,89.6,18.0,84.1,2149,6.1,717299,669438,668670,679529,628451,670097,595879,663837,682985,656716,54.36,0.717,0.695,1.25,1.0,1.0,1.0,4.0,44,5,Slider,3,7,7,3,7,3,7,3,Infield shade,Standard,231,-0.028,0.793,,
FF,2023-07-22,88.6,-2.16,5.56,"Englert, Mason",663845,669438,,ball,,,,,14,Alfonso Rivas doubles (2) on a line drive to right fielder Zach McKinstry.   Luis Campusano to 3rd.,R,L,R,DET,SD,B,,,2,1,2023,-0.84,1.31,1.04,1.99,,,669134.0,1,5,Top,,,,,668670,,,9.55186471291221,-128.7428331253735,-5.399067380372768,-11.20255395384181,25.12057485095181,-16.66053537286603,3.33,1.52,,,,88.6,2125,6.3,717299,669438,668670,679529,628451,670097,595879,663837,682985,656716,54.25,,,,,,,,44,4,4-Seam Fastball,3,7,7,3,7,3,7,3,Infield shade,Standard,223,0.0,0.117,,
CH,2023-07-22,82.3,-2.23,5.42,"Englert, Mason",663845,669438,,ball,,,,,13,Alfonso Rivas doubles (2) on a line drive to right fielder Zach McKinstry.   Luis Campusano to 3rd.,R,L,R,DET,SD,B,,,1,1,2023,-1.1,-0.37,-0.64,0.81,,,669134.0,1,5,Top,,,,,668670,,,5.735003222190148,-119.79432892554996,-3.2284091691508428,-11.653009371062176,22.737691896764407,-35.29563809979791,3.31,1.52,,,,82.3,1947,6.3,717299,669438,668670,679529,628451,670097,595879,663837,682985,656716,54.24,,,,,,,,44,3,Changeup,3,7,7,3,7,3,7,3,Infield shade,Standard,253,0.0,0.054,,
CH,2023-07-22,83.8,-2.2,5.46,"Englert, Mason",663845,669438,,ball,,,,,13,Alfonso Rivas doubles (2) on a line drive to right fielder Zach McKinstry.   Luis Campusano to 3rd.,R,L,R,DET,SD,B,,,0,1,2023,-1.09,-0.24,-0.52,0.95,,,669134.0,1,5,Top,,,,,668670,,,6.041322491494056,-121.874103032427,-3.5352886094910776,-12.095232845135142,24.208585785205887,-34.014889744161735,3.44,1.54,,,,83.8,1978,6.3,717299,669438,668670,679529,628451,670097,595879,663837,682985,656716,54.16,,,,,,,,44,2,Changeup,3,7,7,3,7,3,7,3,Infield shade,Standard,255,0.0,0.03,,
SL,2023-07-22,84.4,-2.31,5.45,"Englert, Mason",663845,669438,,called_strike,,,,,5,Alfonso Rivas doubles (2) on a line drive to right fielder Zach McKinstry.   Luis Campusano to 3rd.,R,L,R,DET,SD,S,,,0,0,2023,0.05,0.77,-0.07,2.41,,,669134.0,1,5,Top,,,,,668670,,,5.091200643924271,-122.80570171437844,-2.2135134530886664,-0.5545837441697045,25.092957562180544,-24.21225694551357,3.35,1.56,,,,84.2,2102,6.2,717299,669438,668670,679529,628451,670097,595879,663837,682985,656716,54.3,,,,,,,,44,1,Slider,3,7,7,3,7,3,7,3,Infield shade,Standard,237,0.0,-0.05,,
SL,2023-07-22,85.0,-2.32,5.45,"Englert, Mason",669134,669438,single,hit_into_play,,,,,9,Luis Campusano singles on a line drive to shortstop Javier Baez.   Jake Cronenworth scores.,R,R,R,DET,SD,X,6.0,line_drive,0,0,2023,0.02,0.53,0.59,1.54,630105.0,,,1,5,Top,98.68,144.27,,,668670,,,6.761633462765396,-123.53569404972718,-3.817975319758194,-1.316816186773661,28.203351983718186,-26.13338757394276,3.39,1.61,137.0,89.4,10.0,84.2,2173,6.2,717299,669438,668670,679529,628451,670097,595879,663837,682985,656716,54.32,0.623,0.562,0.9,1.0,1.0,0.0,4.0,43,1,Slider,3,6,6,3,7,3,7,3,Strategic,Standard,245,-0.03,0.577,,
CH,2023-07-22,83.4,-2.13,5.43,"Englert, Mason",630105,669438,triple,hit_into_play,,,,,8,Jake Cronenworth triples (6) on a line drive to right fielder Zach McKinstry.   Xander Bogaerts scores.,R,L,R,DET,SD,X,9.0,line_drive,2,2,2023,-0.92,-0.03,-0.27,1.87,,,593428.0,1,5,Top,218.27,105.63,,,668670,,,6.0530003274335415,-121.34540014012072,-1.6463042136177322,-10.2663540503081,24.72263112408512,-32.40132886344584,3.24,1.57,183.0,84.1,16.0,83.1,1852,6.2,717299,669438,668670,679529,628451,670097,595879,663837,682985,656716,54.32,0.98,0.922,1.6,1.0,1.0,2.0,4.0,42,7,Changeup,3,5,5,3,6,3,6,3,Infield shade,Standard,264,-0.114,1.372,,
CU,2023-07-22,81.3,-2.2,5.51,"Englert, Mason",630105,669438,,foul,,,,,13,Jake Cronenworth triples (6) on a line drive to right fielder Zach McKinstry.   Xander Bogaerts scores.,R,L,R,DET,SD,S,,,2,2,2023,-0.05,-0.68,-0.17,0.69,,,593428.0,1,5,Top,,,,,668670,,,4.635424925887072,-118.33271947918333,-2.929597761874027,-1.2728530309512804,21.2198206419943,-38.23305395984968,3.24,1.57,,,,81.4,2142,6.2,717299,669438,668670,679529,628451,670097,595879,663837,682985,656716,54.28,,,,,,,,42,6,Curveball,3,5,5,3,5,3,5,3,Infield shade,Standard,29,0.0,0.0,,
CU,2023-07-22,80.1,-2.36,5.45,"Englert, Mason",630105,669438,,foul,,,,,11,Jake Cronenworth triples (6) on a line drive to right fielder Zach McKinstry.   Xander Bogaerts scores.,R,L,R,DET,SD,S,,,2,2,2023,0.21,-0.63,-0.98,2.55,,,593428.0,1,5,Top,,,,,668670,,,2.65164452410316,-116.74258855221598,1.3865203511957136,1.4973202040617728,19.936086961590632,-38.36459473963416,3.24,1.57,187.0,69.2,49.0,80.5,2334,6.2,717299,669438,668670,679529,628451,670097,595879,663837,682985,656716,54.25,,,,,,,,42,5,Curveball,3,5,5,3,5,3,5,3,Infield shade,Standard,45,0.0,0.0,,
FF,2023-07-22,89.4,-2.24,5.63,"Englert, Mason",630105,669438,,ball,,,,,11,Jake Cronenworth triples (6) on a line drive to right fielder Zach McKinstry.   Xander Bogaerts scores.,R,L,R,DET,SD,B,,,1,2,2023,-0.87,1.43,-0.77,4.17,,,593428.0,1,5,Top,,,,,668670,,,5.449544203737795,-130.22673283691995,-0.6392210732357253,-11.081464819320104,26.46025768322436,-15.933107461039304,3.35,1.65,,,,89.3,2179,6.1,717299,669438,668670,679529,628451,670097,595879,663837,682985,656716,54.43,,,,,,,,42,4,4-Seam Fastball,3,5,5,3,5,3,5,3,Infield shade,Standard,226,0.0,0.055,,
FF,2023-07-22,89.9,-2.24,5.52,"Englert, Mason",630105,669438,,foul,,,,,5,Jake Cronenworth triples (6) on a line drive to right fielder Zach McKinstry.   Xander Bogaerts scores.,R,L,R,DET,SD,S,,,1,1,2023,-1.01,1.13,-0.05,2.49,,,593428.0,1,5,Top,,,,,668670,,,7.556133502204069,-130.7180194073653,-3.941307234561454,-13.176844402168054,26.826504758617816,-18.53831095215214,3.24,1.57,213.0,72.2,51.0,89.8,2069,6.2,717299,669438,668670,679529,628451,670097,595879,663837,682985,656716,54.29,,,,,,,,42,3,4-Seam Fastball,3,5,5,3,5,3,5,3,Infield shade,Standard,225,0.0,-0.065,,
CH,2023-07-22,83.9,-2.31,5.38,"Englert, Mason",630105,669438,,ball,,,,,13,Jake Cronenworth triples (6) on a line drive to right fielder Zach McKinstry.   Xander Bogaerts scores.,R,L,R,DET,SD,B,,,0,1,2023,-1.05,-0.25,-0.45,0.99,,,593428.0,1,5,Top,,,,,668670,,,6.396765548957832,-122.02957505134754,-3.256306694581956,-11.759557594345642,24.886333946870025,-34.17211684639206,3.31,1.56,,,,84.0,2015,6.4,717299,669438,668670,679529,628451,670097,595879,663837,682985,656716,54.06,,,,,,,,42,2,Changeup,3,5,5,3,5,3,5,3,Infield shade,Standard,255,0.0,0.03,,
CH,2023-07-22,83.2,-2.27,5.48,"Englert, Mason",630105,669438,,called_strike,,,,,7,Jake Cronenworth triples (6) on a line drive to right fielder Zach McKinstry.   Xander Bogaerts scores.,R,L,R,DET,SD,S,,,0,0,2023,-0.88,-0.38,-0.52,2.02,,,593428.0,1,5,Top,,,,,668670,,,5.752948195904166,-120.99712206826878,-0.7181097004586201,-9.803900475091734,24.09341909134808,-35.93568506948237,3.33,1.61,,,,83.0,1985,6.2,717299,669438,668670,679529,628451,670097,595879,663837,682985,656716,54.26,,,,,,,,42,1,Changeup,3,5,5,3,5,3,5,3,Infield shade,Standard,259,0.0,-0.05,,
CU,2023-07-22,80.1,-2.27,5.55,"Englert, Mason",593428,669438,single,hit_into_play,,,,,8,Xander Bogaerts singles on a ground ball to shortstop Javier Baez.,R,R,R,DET,SD,X,6.0,ground_ball,0,0,2023,0.02,-0.29,0.05,2.04,,,,1,5,Top,114.82,160.44,,,668670,,,5.071662725936603,-116.7313765789672,-0.5964981181692932,-0.665097909063122,19.68276303889996,-34.92600760796813,3.49,1.6,2.0,54.6,-53.0,80.3,2203,6.1,717299,669438,668670,679529,628451,670097,595879,663837,682985,656716,54.42,0.286,0.273,0.9,1.0,1.0,0.0,1.0,41,1,Curveball,3,5,5,3,5,3,5,3,Standard,Standard,23,-0.018,0.263,,
FF,2023-07-22,90.0,-2.05,5.66,"Englert, Mason",592518,669438,field_out,hit_into_play,,,,,8,Manny Machado lines out to left fielder Matt Vierling.,R,R,R,DET,SD,X,7.0,line_drive,0,1,2023,-0.93,1.14,-0.01,2.18,,,,0,5,Top,57.49,109.52,,,668670,,,7.024942677983871,-130.81572641910753,-5.084755601643294,-12.158378003514958,26.40846363909567,-18.17812648255831,3.64,1.69,278.0,83.6,22.0,89.9,1999,6.2,717299,669438,668670,679529,628451,670097,595879,663837,682985,656716,54.34,0.426,0.395,0.0,1.0,0.0,0.0,3.0,40,2,4-Seam Fastball,3,5,5,3,5,3,5,3,Standard,Standard,222,0.017,-0.2,,
CH,2023-07-22,83.6,-2.26,5.42,"Englert, Mason",592518,669438,,foul,,,,,13,Manny Machado lines out to left fielder Matt Vierling.,R,R,R,DET,SD,S,,,0,0,2023,-1.0,-0.06,-1.16,2.59,,,,0,5,Top,,,,,668670,,,4.5010607188121,-121.66606854943404,0.0122308212857296,-10.784232810425388,23.36337247069054,-33.00994526034481,3.64,1.69,279.0,101.2,16.0,83.8,1933,6.3,717299,669438,668670,679529,628451,670097,595879,663837,682985,656716,54.15,,,,,,,,40,1,Changeup,3,5,5,3,5,3,5,3,Standard,Standard,253,0.0,-0.038,,
FF,2023-07-22,91.7,-2.35,5.49,"Englert, Mason",665742,669438,field_out,hit_into_play,,,,,13,Juan Soto lines out to left fielder Matt Vierling.,R,L,R,DET,SD,X,7.0,line_drive,3,2,2023,-1.03,1.25,-0.92,1.39,673490.0,665487.0,,2,4,Top,85.78,101.05,,,668670,,,5.821790033868595,-133.36471895452715,-7.240470681758039,-13.56683392633824,26.102817761845085,-15.91749495565364,3.08,1.49,284.0,82.7,24.0,91.9,2147,6.2,717299,669438,668670,679529,628451,670097,595879,663837,682985,656716,54.26,0.269,0.248,0.0,1.0,0.0,0.0,3.0,36,8,4-Seam Fastball,3,5,5,3,5,3,5,3,Standard,Standard,226,0.045,-0.524,,
SL,2023-07-22,86.2,-2.36,5.48,"Englert, Mason",665742,669438,,foul,,,,,9,Juan Soto lines out to left fielder Matt Vierling.,R,L,R,DET,SD,S,,,3,2,2023,-0.05,0.62,0.29,1.64,673490.0,665487.0,,2,4,Top,,,,,668670,,,6.355979023216034,-125.34179272233732,-4.163251976536834,-1.7214487454758074,24.568301651728834,-25.02539877447632,3.08,1.49,121.0,73.3,78.0,86.1,2056,6.2,717299,669438,668670,679529,628451,670097,595879,663837,682985,656716,54.28,,,,,,,,36,7,Slider,3,5,5,3,5,3,5,3,Standard,Standard,240,0.0,0.0,,
CH,2023-07-22,85.9,-2.5,5.36,"Englert, Mason",665742,669438,,ball,,,,,13,Juan Soto lines out to left fielder Matt Vierling.,R,L,R,DET,SD,B,,,2,2,2023,-1.28,0.25,-1.62,1.68,673490.0,665487.0,,2,4,Top,,,,,668670,,,4.69253190039935,-124.9412324363949,-2.932385481979689,-14.36918378534986,26.935771483882544,-29.13185263267459,2.98,1.32,,,,85.9,1950,6.5,717299,669438,668670,679529,628451,670097,595879,663837,682985,656716,54.04,,,,,,,,36,6,Changeup,3,5,5,3,5,3,5,3,Infield shade,Standard,257,0.0,0.109,,
FF,2023-07-22,89.7,-2.35,5.52,"Englert, Mason",665742,669438,,ball,,,,,11,Juan Soto lines out to left fielder Matt Vierling.,R,L,R,DET,SD,B,,,1,2,2023,-0.86,1.24,-0.36,3.76,673490.0,665487.0,,2,4,Top,,,,,668670,,,6.697812001637781,-130.45661399126726,-0.9893368419339814,-11.167983940210547,27.175406824371343,-18.036797779518203,3.0,1.34,,,,89.4,2074,6.1,717299,669438,668670,679529,628451,670097,595879,663837,682985,656716,54.39,,,,,,,,36,5,4-Seam Fastball,3,5,5,3,5,3,5,3,Infield shade,Standard,221,0.0,0.035,,
FF,2023-07-22,91.6,-2.19,5.5,"Englert, Mason",665742,669438,,foul,,,,,12,Juan Soto lines out to left fielder Matt Vierling.,R,L,R,DET,SD,S,,,1,2,2023,-1.0,1.39,1.35,2.51,673490.0,665487.0,,2,4,Top,,,,,668670,,,11.069360732984933,-132.8673607838266,-4.639000338536878,-14.226519970119536,28.615713503049705,-14.799073951156895,3.08,1.49,147.0,101.2,8.0,91.3,2146,6.3,717299,669438,668670,679529,628451,670097,595879,663837,682985,656716,54.18,,,,,,,,36,4,4-Seam Fastball,3,5,5,3,5,3,5,3,Standard,Standard,228,0.0,0.0,,
CH,2023-07-22,85.1,-2.32,5.41,"Englert, Mason",665742,669438,,foul,,,,,9,Juan Soto lines out to left fielder Matt Vierling.,R,L,R,DET,SD,S,,,1,1,2023,-0.91,0.37,0.29,1.79,673490.0,665487.0,,2,4,Top,,,,,668670,,,7.97299627746335,-123.66109217217551,-2.9010622681321774,-10.987018723892746,25.240982093532708,-27.95114679784116,3.08,1.49,310.0,97.0,22.0,85.1,2022,6.4,717299,669438,668670,679529,628451,670097,595879,663837,682985,656716,54.08,,,,,,,,36,3,Changeup,3,5,5,3,5,3,5,3,Standard,Standard,257,0.0,-0.131,,
FF,2023-07-22,91.5,-2.19,5.49,"Englert, Mason",665742,669438,,ball,,,,,14,Juan Soto lines out to left fielder Matt Vierling.,R,L,R,DET,SD,B,,,0,1,2023,-1.01,1.4,2.02,2.22,673490.0,665487.0,,2,4,Top,,,,,668670,,,12.72868346508116,-132.60851770419342,-5.350427896009221,-14.558782097612704,27.83789017420173,-14.616166811218072,3.15,1.54,,,,91.2,2165,6.3,717299,669438,668670,679529,628451,670097,595879,663837,682985,656716,54.2,,,,,,,,36,2,4-Seam Fastball,3,5,5,3,5,3,5,3,Standard,Standard,226,0.0,0.002,,
FF,2023-07-22,91.6,-2.26,5.45,"Englert, Mason",665742,669438,,called_strike,,,,,6,Juan Soto lines out to left fielder Matt Vierling.,R,L,R,DET,SD,S,,,0,0,2023,-1.09,1.32,0.69,2.12,673490.0,665487.0,,2,4,Top,,,,,668670,,,9.814963246278738,-133.01054349880184,-5.373172798741323,-15.084872287693328,28.53468860575138,-15.52526078234542,3.24,1.54,,,,91.6,2160,6.4,717299,669438,668670,679529,628451,670097,595879,663837,682985,656716,54.11,,,,,,,,36,1,4-Seam Fastball,3,5,5,3,5,3,5,3,Standard,Standard,231,0.0,-0.073,,
SL,2023-07-22,85.8,-2.3,5.47,"Englert, Mason",665487,669438,double,hit_into_play,,,,,4,Fernando Tatis Jr.  doubles (23) on a sharp line drive to left fielder Matt Vierling.   Luis Campusano scores.    Ha-Seong Kim to 3rd.,R,R,R,DET,SD,X,7.0,line_drive,0,0,2023,-0.16,0.45,-0.41,2.99,669134.0,,673490.0,2,4,Top,89.12,91.68,,,668670,,,4.807054029289468,-124.8681052048406,-0.5231818771152241,-2.636120533216974,24.735225419059592,-27.5653437224098,3.68,1.75,207.0,106.4,9.0,85.8,2155,6.2,717299,669438,668670,679529,628451,670097,595879,663837,682985,656716,54.28,0.749,0.712,1.25,1.0,1.0,1.0,4.0,35,1,Slider,3,4,4,3,5,3,5,3,Standard,Standard,231,-0.116,1.432,,
SL,2023-07-22,85.6,-2.28,5.44,"Englert, Mason",673490,669438,single,hit_into_play,,,,,2,Ha-Seong Kim singles on a line drive to center fielder Riley Greene.   Luis Campusano to 3rd.,R,R,R,DET,SD,X,8.0,line_drive,1,2,2023,0.06,0.37,0.03,3.31,,,669134.0,2,4,Top,143.99,83.62,,,668670,,,5.332021221738128,-124.65338836231314,0.4660195560656522,-0.383805099984912,23.425031416927094,-28.632690951146863,3.27,1.48,249.0,85.8,16.0,85.6,2122,6.1,717299,669438,668670,679529,628451,670097,595879,663837,682985,656716,54.38,0.974,0.913,0.9,1.0,1.0,0.0,4.0,34,4,Slider,3,4,4,3,4,3,4,3,Standard,Standard,212,-0.026,0.377,,
FF,2023-07-22,90.6,-2.22,5.5,"Englert, Mason",673490,669438,,called_strike,,,,,6,Ha-Seong Kim singles on a line drive to center fielder Riley Greene.   Luis Campusano to 3rd.,R,R,R,DET,SD,S,,,1,1,2023,-0.97,1.24,0.65,2.54,,,669134.0,2,4,Top,,,,,668670,,,9.19792005505442,-131.5963330351235,-4.118347536720042,-13.14077563676311,26.1300146871218,-17.064296426204674,3.35,1.54,,,,90.5,2093,6.2,717299,669438,668670,679529,628451,670097,595879,663837,682985,656716,54.29,,,,,,,,34,3,4-Seam Fastball,3,4,4,3,4,3,4,3,Standard,Standard,221,0.0,-0.05,,
CH,2023-07-22,84.5,-2.26,5.39,"Englert, Mason",673490,669438,,ball,,,,,14,Ha-Seong Kim singles on a line drive to center fielder Riley Greene.   Luis Campusano to 3rd.,R,R,R,DET,SD,B,,,0,1,2023,-1.05,-0.17,0.9,1.16,,,669134.0,2,4,Top,,,,,668670,,,9.45710184710504,-122.83902032285486,-3.221804316378258,-12.409164530157003,21.53874596747917,-33.48567419078503,3.4,1.52,,,,85.0,1988,6.4,717299,669438,668670,679529,628451,670097,595879,663837,682985,656716,54.1,,,,,,,,34,2,Changeup,3,4,4,3,4,3,4,3,Standard,Standard,252,0.0,0.021,,
CH,2023-07-22,84.1,-2.27,5.42,"Englert, Mason",673490,669438,,foul,,,,,7,Ha-Seong Kim singles on a line drive to center fielder Riley Greene.   Luis Campusano to 3rd.,R,R,R,DET,SD,S,,,0,0,2023,-0.99,0.19,-0.47,1.94,,,669134.0,2,4,Top,,,,,668670,,,6.12498111644061,-122.2508666696164,-2.0051089958130137,-11.117431803232552,25.64734505523176,-30.0618704498316,3.27,1.48,161.0,61.6,38.0,83.9,2062,6.3,717299,669438,668670,679529,628451,670097,595879,663837,682985,656716,54.16,,,,,,,,34,1,Changeup,3,4,4,3,4,3,4,3,Standard,Standard,258,0.0,-0.038,,
CH,2023-07-22,83.8,-2.25,5.41,"Englert, Mason",663757,669438,field_out,hit_into_play,,,,,5,Trent Grisham flies out to center fielder Riley Greene.,R,L,R,DET,SD,X,8.0,fly_ball,1,1,2023,-0.94,0.38,-0.01,2.27,,,669134.0,1,4,Top,111.09,99.74,,,668670,,,7.047992483140313,-121.89654401645716,-1.646382572116294,-10.717071739230596,22.352438460223148,-28.21105717007716,3.46,1.71,252.0,81.1,43.0,84.2,2032,6.4,717299,669438,668670,679529,628451,670097,595879,663837,682985,656716,54.1,0.023,0.022,0.0,1.0,0.0,0.0,3.0,33,3,Changeup,3,4,4,3,4,3,4,3,Infield shade,Standard,262,0.028,-0.283,,
CU,2023-07-22,81.5,-2.31,5.46,"Englert, Mason",663757,669438,,ball,,,,,14,Trent Grisham flies out to center fielder Riley Greene.,R,L,R,DET,SD,B,,,0,1,2023,-0.05,-0.16,0.28,1.34,,,669134.0,1,4,Top,,,,,668670,,,5.903990871968592,-118.7849202850836,-2.49748468782213,-1.4104485575436891,18.677959975249248,-33.44858113432198,3.62,1.76,,,,82.1,2233,6.2,717299,669438,668670,679529,628451,670097,595879,663837,682985,656716,54.32,,,,,,,,33,2,Curveball,3,4,4,3,4,3,4,3,Infield shade,Standard,8,0.0,0.03,,
FF,2023-07-22,90.7,-2.26,5.52,"Englert, Mason",663757,669438,,called_strike,,,,,7,Trent Grisham flies out to center fielder Riley Greene.,R,L,R,DET,SD,S,,,0,0,2023,-0.94,1.26,-0.38,1.68,,,669134.0,1,4,Top,,,,,668670,,,6.700559470489542,-131.90565873468628,-6.388880253631406,-12.394715114172053,26.710713569060744,-16.303303831434718,3.6,1.72,,,,90.9,2099,6.3,717299,669438,668670,679529,628451,670097,595879,663837,682985,656716,54.19,,,,,,,,33,1,4-Seam Fastball,3,4,4,3,4,3,4,3,Infield shade,Standard,222,0.0,-0.05,,
FF,2023-07-22,90.7,-2.14,5.51,"Englert, Mason",663845,669438,field_out,hit_into_play,,,,,6,Alfonso Rivas flies out to center fielder Riley Greene.,R,L,R,DET,SD,X,8.0,fly_ball,1,1,2023,-0.93,1.2,0.65,2.24,,,669134.0,0,4,Top,108.26,102.5,,,668670,,,8.942734669843025,-131.68256968257495,-4.773427672041721,-12.773421568127382,28.28216862863204,-17.36620326185427,3.31,1.53,246.0,96.0,52.0,90.4,2061,6.2,717299,669438,668670,679529,628451,670097,595879,663837,682985,656716,54.26,0.003,0.003,0.0,1.0,0.0,0.0,3.0,32,3,4-Seam Fastball,3,4,4,3,4,3,4,3,Infield shade,Standard,228,0.033,-0.343,,
CH,2023-07-22,83.8,-2.45,5.38,"Englert, Mason",663845,669438,,ball,,,,,13,Alfonso Rivas flies out to center fielder Riley Greene.,R,L,R,DET,SD,B,,,0,1,2023,-1.34,-0.22,-1.02,0.77,,,669134.0,0,4,Top,,,,,668670,,,5.939325635885582,-121.80097425870802,-3.7652299295605056,-14.51267996693718,24.717689565978823,-33.75521461606993,3.31,1.56,,,,83.6,2038,6.3,717299,669438,668670,679529,628451,670097,595879,663837,682985,656716,54.22,,,,,,,,32,2,Changeup,3,4,4,3,4,3,4,3,Infield shade,Standard,252,0.0,0.036,,
SL,2023-07-22,86.5,-2.21,5.47,"Englert, Mason",663845,669438,,swinging_strike,,,,,9,Alfonso Rivas flies out to center fielder Riley Greene.,R,L,R,DET,SD,S,,,0,0,2023,0.04,0.58,0.46,1.52,,,669134.0,0,4,Top,,,,,668670,,,6.288526393067345,-125.90763254215136,-4.4040542871633965,-0.8308241610390419,24.57401385097242,-25.323683406693316,3.31,1.53,,,,86.5,2068,6.2,717299,669438,668670,679529,628451,670097,595879,663837,682985,656716,54.33,,,,,,,,32,1,Slider,3,4,4,3,4,3,4,3,Infield shade,Standard,227,0.0,-0.054,,
FF,2023-07-22,90.5,-2.15,5.5,"Englert, Mason",669134,669438,single,hit_into_play,,,,,5,Luis Campusano singles on a sharp line drive to center fielder Riley Greene.,R,R,R,DET,SD,X,8.0,line_drive,0,0,2023,-0.87,1.18,0.04,2.67,,,,0,4,Top,126.4,63.15,,,668670,,,7.286867243581519,-131.6233016238266,-3.628575134481985,-11.60001526344201,27.647049223672425,-17.88684134828999,3.39,1.61,287.0,107.4,11.0,90.5,1973,6.3,717299,669438,668670,679529,628451,670097,595879,663837,682985,656716,54.22,0.934,0.956,0.9,1.0,1.0,0.0,4.0,31,1,4-Seam Fastball,3,4,4,3,4,3,4,3,Standard,Standard,224,-0.035,0.388,,
