pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
FF,2023-09-06,93.2,-1.81,5.56,"Manning, Matt",519317,666159,field_out,hit_into_play,,,,,7,"Giancarlo Stanton lines out, pitcher Matt Manning to first baseman Spencer Torkelson.",R,R,R,NYY,DET,X,1.0,line_drive,1,0,2023,-0.23,1.25,-0.5,1.89,518934.0,592450.0,,2,1,Bot,129.75,180.43,,,608348,,,3.9511909984134057,-135.7006060810477,-6.593801988123902,-3.7004169384438206,28.12246991773491,-15.50137103339081,3.67,1.77,77.0,119.5,2.0,95.3,2053.0,7.4,716694,666159,608348,679529,628451,663837,670097,668731,678009,656716,53.14,0.629,0.591,0.0,1.0,0.0,0.0,5.0,10,2,4-Seam Fastball,0,1,0,1,1,0,0,1,Standard,Standard,194.0,-0.06,-0.616,,
FF,2023-09-06,94.3,-1.86,5.62,"Manning, Matt",519317,666159,,ball,,,,,11,"Giancarlo Stanton lines out, pitcher Matt Manning to first baseman Spencer Torkelson.",R,R,R,NYY,DET,B,,,0,0,2023,-0.17,1.26,-1.03,3.4,518934.0,592450.0,,2,1,Bot,,,,,608348,,,2.5898056081021155,-137.3274081862855,-2.959471746367375,-2.6524508895402787,28.90144361881887,-15.778165124236248,3.59,1.78,,,,96.1,2089.0,7.2,716694,666159,608348,679529,628451,663837,670097,668731,678009,656716,53.32,,,,,,,,10,1,4-Seam Fastball,0,1,0,1,1,0,0,1,Standard,Standard,197.0,0.0,0.035,,
FF,2023-09-06,93.6,-1.59,5.59,"Manning, Matt",650402,666159,strikeout,swinging_strike,,,,,6,Gleyber Torres strikes out swinging.,R,R,R,NYY,DET,S,2.0,,0,2,2023,-0.21,1.3,0.57,2.09,518934.0,592450.0,,1,1,Bot,,,,,608348,,,6.135133906399617,-136.14715901583438,-6.2882655315332645,-3.9551140919593903,28.39633659941807,-14.80667153202344,3.2,1.49,,,,95.3,2074.0,7.2,716694,666159,608348,679529,628451,663837,670097,668731,678009,656716,53.32,,0.0,0.0,1.0,0.0,0.0,,9,3,4-Seam Fastball,0,1,0,1,1,0,0,1,Standard,Standard,195.0,-0.082,-0.587,,
ST,2023-09-06,83.9,-2.14,5.65,"Manning, Matt",650402,666159,,swinging_strike,,,,,12,Gleyber Torres strikes out swinging.,R,R,R,NYY,DET,S,,,0,1,2023,1.04,0.66,0.86,2.39,518934.0,592450.0,,1,1,Bot,,,,,608348,,,4.96089468874577,-122.0331136361686,-2.429390372944113,9.255965076493297,25.62176295617653,-25.284339621058862,3.2,1.49,,,,84.6,2364.0,6.9,716694,666159,608348,679529,628451,663837,670097,668731,678009,656716,53.58,,,,,,,,9,2,Sweeper,0,1,0,1,1,0,0,1,Standard,Standard,95.0,0.0,-0.133,,
ST,2023-09-06,81.8,-2.26,5.61,"Manning, Matt",650402,666159,,swinging_strike,,,,,6,Gleyber Torres strikes out swinging.,R,R,R,NYY,DET,S,,,0,0,2023,1.11,0.68,0.42,2.55,518934.0,592450.0,,1,1,Bot,,,,,608348,,,3.96114901071542,-119.04013377920086,-1.607279047815847,9.639386305973918,24.593570453673365,-25.629705749886067,3.2,1.49,,,,82.7,2322.0,7.1,716694,666159,608348,679529,628451,663837,670097,668731,678009,656716,53.44,,,,,,,,9,1,Sweeper,0,1,0,1,1,0,0,1,Standard,Standard,91.0,0.0,-0.07,,
FF,2023-09-06,94.4,-1.99,5.64,"Manning, Matt",691176,666159,field_out,hit_into_play,,,,,5,"Jasson Dominguez grounds out, shortstop Zack Short to first baseman Spencer Torkelson.   DJ LeMahieu to 3rd.    Aaron Judge to 2nd.",R,L,R,NYY,DET,X,6.0,ground_ball,2,2,2023,-0.27,1.25,-0.11,2.33,,518934.0,592450.0,0,1,Bot,117.62,154.36,,,608348,,,5.596266145749073,-137.35428658408372,-5.821566236963556,-4.550390210210101,28.81656048003621,-15.22481570444267,3.29,1.49,2.0,99.0,-50.0,96.1,1961.0,7.2,716694,666159,608348,679529,628451,663837,670097,668731,678009,656716,53.32,0.126,0.129,0.0,1.0,0.0,0.0,2.0,8,5,4-Seam Fastball,0,1,0,1,1,0,0,1,Standard,Standard,199.0,-0.003,-0.514,,
ST,2023-09-06,82.5,-2.5,5.58,"Manning, Matt",691176,666159,,foul,,,,,5,"Jasson Dominguez grounds out, shortstop Zack Short to first baseman Spencer Torkelson.   DJ LeMahieu to 3rd.    Aaron Judge to 2nd.",R,L,R,NYY,DET,S,,,2,1,2023,1.0,0.81,0.01,2.13,,518934.0,592450.0,0,1,Bot,,,,,608348,,,3.8000439930980168,-120.13273298969924,-2.9491805267198137,8.96659368695961,22.560834117979475,-23.983586746683677,3.29,1.49,151.0,59.6,38.0,83.4,2407.0,6.8,716694,666159,608348,679529,628451,663837,670097,668731,678009,656716,53.71,,,,,,,,8,4,Sweeper,0,1,0,1,1,0,0,1,Standard,Standard,92.0,0.0,-0.191,,
FF,2023-09-06,93.9,-2.21,5.51,"Manning, Matt",691176,666159,,ball,,,,,14,"Jasson Dominguez grounds out, shortstop Zack Short to first baseman Spencer Torkelson.   DJ LeMahieu to 3rd.    Aaron Judge to 2nd.",R,L,R,NYY,DET,B,,,1,1,2023,-0.25,1.06,0.96,0.96,,518934.0,592450.0,0,1,Bot,,,,,608348,,,8.871058992758458,-136.32835362468057,-8.551873177086787,-4.841995401934541,26.66657232293837,-17.232188991595265,3.38,1.52,,,,95.6,2078.0,7.1,716694,666159,608348,679529,628451,663837,670097,668731,678009,656716,53.37,,,,,,,,8,3,4-Seam Fastball,0,1,0,1,1,0,0,1,Standard,Standard,201.0,0.0,0.107,,
FF,2023-09-06,94.6,-2.1,5.72,"Manning, Matt",691176,666159,,ball,,,,,1,"Jasson Dominguez grounds out, shortstop Zack Short to first baseman Spencer Torkelson.   DJ LeMahieu to 3rd.    Aaron Judge to 2nd.",R,L,R,NYY,DET,B,,,0,1,2023,-0.26,1.13,-0.8,3.21,,518934.0,592450.0,0,1,Bot,,,,,608348,,,4.01870060060608,-137.75173833310532,-3.45794564075896,-4.145559169775824,29.256854355518144,-17.17579546397401,3.48,1.64,,,,96.0,2067.0,7.0,716694,666159,608348,679529,628451,663837,670097,668731,678009,656716,53.53,,,,,,,,8,2,4-Seam Fastball,0,1,0,1,1,0,0,1,Standard,Standard,196.0,0.0,0.07,,
ST,2023-09-06,81.3,-2.39,5.59,"Manning, Matt",691176,666159,,foul,,,,,14,"Jasson Dominguez grounds out, shortstop Zack Short to first baseman Spencer Torkelson.   DJ LeMahieu to 3rd.    Aaron Judge to 2nd.",R,L,R,NYY,DET,S,,,0,0,2023,0.86,0.66,0.26,1.31,,518934.0,592450.0,0,1,Bot,,,,,608348,,,4.338167248184614,-118.32651942301696,-4.339259614280978,7.378724738749455,20.99744563533753,-25.339939761665907,3.29,1.49,,,,82.4,2364.0,6.8,716694,666159,608348,679529,628451,663837,670097,668731,678009,656716,53.65,,,,,,,,8,1,Sweeper,0,1,0,1,1,0,0,1,Standard,Standard,98.0,0.0,-0.097,,
