pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
CH,2023-10-01,86.9,-1.31,5.81,"Lorenzen, Michael",624413,547179,field_out,hit_into_play,,,,,8.0,Pete Alonso pops out to shortstop Edmundo Sosa.,R,R,R,NYM,PHI,X,6.0,popup,0,2,2023,-1.51,0.52,-0.22,1.71,,,,2,9,Bot,86.55,121.45,,,596117,,,5.660897543324239,-126.35497765517204,-4.61838524312317,-17.277747156538833,28.048016438441373,-25.850349389456408,3.38,1.59,217.0,71.0,46.0,86.1,2030.0,6.0,716355,547179,596117,595909,681082,664761,624641,642215,679032,669016,54.5,0.2,0.183,0.0,1.0,0.0,0.0,3.0,72,3,Changeup,1,9,1,9,9,1,1,9,Standard,Standard,236.0,0.0,-0.065,,
ST,2023-10-01,84.0,-1.66,5.57,"Lorenzen, Michael",624413,547179,,foul,,,,,6.0,Pete Alonso pops out to shortstop Edmundo Sosa.,R,R,R,NYM,PHI,S,,,0,1,2023,1.28,-0.14,0.68,2.22,,,,2,9,Bot,,,,,596117,,,2.855850253928962,-122.21354472608267,-0.987345798110938,12.016966655535692,27.790629420140903,-33.62672223703126,3.38,1.59,147.0,68.6,18.0,82.7,2500.0,5.7,716355,547179,596117,595909,681082,664761,624641,642215,679032,669016,54.75,,,,,,,,72,2,Sweeper,1,9,1,9,9,1,1,9,Standard,Standard,52.0,0.0,-0.023,,
SL,2023-10-01,86.1,-1.5,5.67,"Lorenzen, Michael",624413,547179,,called_strike,,,,,5.0,Pete Alonso pops out to shortstop Edmundo Sosa.,R,R,R,NYM,PHI,S,,,0,0,2023,0.18,-0.39,-0.09,2.52,,,,2,9,Bot,,,,,596117,,,2.971896182610376,-125.38729610925796,-0.4039306916241856,1.2103528687904537,26.6874357845232,-36.453400304491566,3.38,1.6,,,,85.4,2602.0,5.9,716355,547179,596117,595909,681082,664761,624641,642215,679032,669016,54.59,,,,,,,,72,1,Slider,1,9,1,9,9,1,1,9,Standard,Standard,56.0,0.0,-0.017,,
CH,2023-10-01,86.4,-1.44,5.71,"Lorenzen, Michael",677595,547179,strikeout,swinging_strike,,,,,11.0,Ronny Mauricio strikes out swinging.,R,L,R,NYM,PHI,S,2.0,,1,2,2023,-1.58,0.7,-2.18,3.05,,,,1,9,Bot,,,,,596117,,,1.4307448714104964,-125.80077977039385,-1.5024675868488613,-17.046039735490872,27.52114441900821,-24.67563153655392,3.77,1.79,,,,85.1,1964.0,5.6,716355,547179,596117,595909,681082,664761,624641,642215,679032,669016,54.89,,0.0,0.0,1.0,0.0,0.0,,71,6,Changeup,1,9,1,9,9,1,1,9,Infield shade,Standard,241.0,0.0,-0.119,,
CU,2023-10-01,84.2,-1.38,5.63,"Lorenzen, Michael",677595,547179,,foul,,,,,14.0,Ronny Mauricio strikes out swinging.,R,L,R,NYM,PHI,S,,,1,2,2023,0.14,-0.91,0.7,1.6,,,,1,9,Bot,,,,,596117,,,4.527681695812625,-122.55016992927932,-1.1592968211531205,0.4569896282806168,24.913712944957368,-41.32148706975941,3.77,1.79,4.0,80.0,-26.0,83.4,2701.0,5.8,716355,547179,596117,595909,681082,664761,624641,642215,679032,669016,54.71,,,,,,,,71,5,Curveball,1,9,1,9,9,1,1,9,Infield shade,Standard,28.0,0.0,0.0,,
CH,2023-10-01,86.9,-1.49,5.82,"Lorenzen, Michael",677595,547179,,foul,,,,,14.0,Ronny Mauricio strikes out swinging.,R,L,R,NYM,PHI,S,,,1,2,2023,-1.33,0.83,0.02,1.22,,,,1,9,Bot,,,,,596117,,,6.268815168770897,-126.1610542795485,-6.402530403037539,-15.469550163346792,28.04734073405908,-22.14451625113253,3.77,1.79,,,,85.6,2019.0,5.8,716355,547179,596117,595909,681082,664761,624641,642215,679032,669016,54.68,,,,,,,,71,4,Changeup,1,9,1,9,9,1,1,9,Infield shade,Standard,238.0,0.0,0.0,,
CH,2023-10-01,86.1,-1.52,5.74,"Lorenzen, Michael",677595,547179,,foul,,,,,11.0,Ronny Mauricio strikes out swinging.,R,L,R,NYM,PHI,S,,,1,1,2023,-1.32,0.34,-1.2,2.91,,,,1,9,Bot,,,,,596117,,,3.399397376939517,-125.27202520623472,-1.133749982686893,-14.539011437912473,26.99575837574294,-28.602056430505808,3.77,1.79,,,,85.3,1927.0,5.9,716355,547179,596117,595909,681082,664761,624641,642215,679032,669016,54.58,,,,,,,,71,3,Changeup,1,9,1,9,9,1,1,9,Infield shade,Standard,246.0,0.0,-0.043,,
SL,2023-10-01,87.9,-1.61,5.62,"Lorenzen, Michael",677595,547179,,ball,,,,,14.0,Ronny Mauricio strikes out swinging.,R,L,R,NYM,PHI,B,,,0,1,2023,0.15,-0.03,0.26,0.81,,,,1,9,Bot,,,,,596117,,,4.207353550779122,-127.8777695521021,-5.455759220725376,0.7292037633018524,26.27174918999385,-31.63848243668413,3.77,1.72,,,,87.3,2638.0,5.9,716355,547179,596117,595909,681082,664761,624641,642215,679032,669016,54.62,,,,,,,,71,2,Slider,1,9,1,9,9,1,1,9,Infield shade,Standard,74.0,0.0,0.019,,
CU,2023-10-01,83.7,-1.56,5.71,"Lorenzen, Michael",677595,547179,,called_strike,,,,,8.0,Ronny Mauricio strikes out swinging.,R,L,R,NYM,PHI,S,,,0,0,2023,0.33,-1.22,0.06,2.33,,,,1,9,Bot,,,,,596117,,,3.046346525384275,-121.92859221206608,1.008858935898297,2.6894250374755826,24.56762905910797,-44.74260879248568,3.87,1.87,,,,83.1,2576.0,5.9,716355,547179,596117,595909,681082,664761,624641,642215,679032,669016,54.61,,,,,,,,71,1,Curveball,1,9,1,9,9,1,1,9,Standard,Standard,21.0,0.0,-0.026,,
SL,2023-10-01,88.0,-1.69,5.67,"Lorenzen, Michael",542364,547179,field_out,hit_into_play,,,,,14.0,Rafael Ortega flies out to center fielder Johan Rojas.,R,L,R,NYM,PHI,X,8.0,fly_ball,2,2,2023,0.28,0.03,0.14,1.44,,,,0,9,Bot,108.61,77.47,,,596117,,,3.837387596408667,-128.18413828164486,-4.2362703233518095,2.344386723152728,23.89134984832569,-31.27971902970136,3.34,1.59,306.0,85.2,35.0,87.6,2653.0,5.8,716355,547179,596117,595909,681082,664761,624641,642215,679032,669016,54.71,0.02,0.026,0.0,1.0,0.0,0.0,3.0,70,5,Slider,1,9,1,9,9,1,1,9,Standard,Standard,91.0,-0.001,-0.214,,
CH,2023-10-01,86.5,-1.44,5.8,"Lorenzen, Michael",542364,547179,,ball,,,,,11.0,Rafael Ortega flies out to center fielder Johan Rojas.,R,L,R,NYM,PHI,B,,,1,2,2023,-1.26,0.57,-1.17,2.67,,,,0,9,Bot,,,,,596117,,,3.179643845163137,-125.86001460798389,-2.3652256088918167,-14.035376503550708,26.694319481614727,-25.88180910320205,3.43,1.58,,,,85.5,1956.0,5.7,716355,547179,596117,595909,681082,664761,624641,642215,679032,669016,54.76,,,,,,,,70,4,Changeup,1,9,1,9,9,1,1,9,Strategic,Standard,236.0,0.0,0.041,,
CU,2023-10-01,82.4,-1.45,5.72,"Lorenzen, Michael",542364,547179,,called_strike,,,,,9.0,Rafael Ortega flies out to center fielder Johan Rojas.,R,L,R,NYM,PHI,S,,,1,1,2023,0.44,-1.19,0.66,2.09,,,,0,9,Bot,,,,,596117,,,3.914071315837636,-119.98363797086589,0.5924217270042076,3.424480077043319,24.595918956837284,-44.0024941515437,3.34,1.6,,,,81.4,2572.0,5.7,716355,547179,596117,595909,681082,664761,624641,642215,679032,669016,54.77,,,,,,,,70,3,Curveball,1,9,1,9,9,1,1,9,Standard,Standard,33.0,0.0,-0.055,,
FF,2023-10-01,95.3,-1.34,5.82,"Lorenzen, Michael",542364,547179,,foul,,,,,2.0,Rafael Ortega flies out to center fielder Johan Rojas.,R,L,R,NYM,PHI,S,,,1,0,2023,-0.86,1.43,0.02,2.9,,,,0,9,Bot,,,,,596117,,,5.436238189060899,-138.63969142655293,-5.127035931333364,-12.358219677975876,33.20619284759908,-12.87235375658271,3.34,1.59,176.0,71.1,61.0,94.0,2361.0,5.7,716355,547179,596117,595909,681082,664761,624641,642215,679032,669016,54.8,,,,,,,,70,2,4-Seam Fastball,1,9,1,9,9,1,1,9,Standard,Standard,221.0,0.0,-0.046,,
SL,2023-10-01,89.0,-1.65,5.71,"Lorenzen, Michael",542364,547179,,ball,,,,,14.0,Rafael Ortega flies out to center fielder Johan Rojas.,R,L,R,NYM,PHI,B,,,0,0,2023,0.19,0.06,1.86,0.02,,,,0,9,Bot,,,,,596117,,,8.109810232006653,-129.15660967434405,-7.871315387032991,0.2518982960885081,29.97012737472128,-29.86496226100992,3.29,1.52,,,,87.6,2604.0,5.8,716355,547179,596117,595909,681082,664761,624641,642215,679032,669016,54.71,,,,,,,,70,1,Slider,1,9,1,9,9,1,1,9,Standard,Standard,169.0,0.0,0.036,,
FF,2023-09-28,95.4,-1.45,5.86,"Lorenzen, Michael",641943,547179,field_out,hit_into_play,,,,,5.0,Joshua Palacios flies out sharply to center fielder Cristian Pache.,R,L,R,PHI,PIT,X,8.0,fly_ball,0,0,2023,-0.94,1.52,-0.2,2.77,,,609280.0,2,7,Top,111.09,46.33,,,592663,,,5.348290010998772,-138.6825438654189,-5.786964624880486,-13.39942387108848,34.20091017889767,-11.537819045378631,3.42,1.64,379.0,105.5,22.0,94.1,2427.0,5.8,716409,547179,592663,664761,624641,666801,607208,595909,665506,592206,54.69,0.811,1.32,0.0,1.0,0.0,0.0,6.0,57,1,4-Seam Fastball,1,3,3,1,3,1,3,1,Standard,Standard,223.0,0.016,-0.241,,
ST,2023-09-28,83.3,-1.54,5.78,"Lorenzen, Michael",609280,547179,force_out,hit_into_play,,,,,14.0,"Miguel Andujar grounds into a force out, shortstop Trea Turner to second baseman Edmundo Sosa.   Jack Suwinski out at 2nd.    Miguel Andujar to 1st.",R,R,R,PHI,PIT,X,6.0,ground_ball,2,2,2023,1.46,-0.21,0.86,1.8,,,669261.0,1,7,Top,110.5,153.73,,,592663,,,2.6126238078250097,-121.21358065165376,-2.210495568632277,13.808816890219072,25.4622266418835,-34.01704696047127,3.23,1.53,16.0,75.2,-5.0,82.3,2554.0,5.8,716409,547179,592663,664761,624641,666801,607208,595909,665506,592206,54.72,0.086,0.082,0.0,1.0,0.0,0.0,2.0,56,7,Sweeper,1,3,3,1,3,1,3,1,Standard,Standard,58.0,0.019,-0.363,,
ST,2023-09-28,84.8,-1.47,5.8,"Lorenzen, Michael",609280,547179,,ball,,,,,14.0,"Miguel Andujar grounds into a force out, shortstop Trea Turner to second baseman Edmundo Sosa.   Jack Suwinski out at 2nd.    Miguel Andujar to 1st.",R,R,R,PHI,PIT,B,,,1,2,2023,1.33,-0.03,2.06,1.29,,,669261.0,1,7,Top,,,,,592663,,,5.546980661114339,-123.3180611523584,-4.09224087205795,12.298029855230046,26.34115071330429,-31.79273096881545,3.33,1.58,,,,83.9,2606.0,5.9,716409,547179,592663,664761,624641,666801,607208,595909,665506,592206,54.63,,,,,,,,56,6,Sweeper,1,3,3,1,3,1,3,1,Standard,Standard,46.0,0.0,0.055,,
SI,2023-09-28,95.3,-1.31,5.91,"Lorenzen, Michael",609280,547179,,foul,,,,,4.0,"Miguel Andujar grounds into a force out, shortstop Trea Turner to second baseman Edmundo Sosa.   Jack Suwinski out at 2nd.    Miguel Andujar to 1st.",R,R,R,PHI,PIT,S,,,1,2,2023,-1.34,1.0,-0.82,2.31,,,669261.0,1,7,Top,,,,,592663,,,4.240207648394664,-138.6485352756084,-6.015784746808219,-18.19338560948124,32.38051456097854,-18.162723839408628,3.23,1.53,3.0,78.9,-35.0,94.4,2197.0,5.9,716409,547179,592663,664761,624641,666801,607208,595909,665506,592206,54.62,,,,,,,,56,5,Sinker,1,3,3,1,3,1,3,1,Standard,Standard,217.0,0.0,0.0,,
CH,2023-09-28,84.9,-1.35,5.96,"Lorenzen, Michael",609280,547179,,foul,,,,,1.0,"Miguel Andujar grounds into a force out, shortstop Trea Turner to second baseman Edmundo Sosa.   Jack Suwinski out at 2nd.    Miguel Andujar to 1st.",R,R,R,PHI,PIT,S,,,1,2,2023,-1.39,0.57,-0.8,2.72,,,669261.0,1,7,Top,,,,,592663,,,3.9865349129845047,-123.43293761357052,-2.305556180815832,-14.915010596322066,28.208725097367022,-26.094691005769214,3.23,1.53,330.0,102.1,51.0,83.3,1907.0,5.6,716409,547179,592663,664761,624641,666801,607208,595909,665506,592206,54.87,,,,,,,,56,4,Changeup,1,3,3,1,3,1,3,1,Standard,Standard,241.0,0.0,0.0,,
