pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
SL,2023-09-26,83.0,-2.68,5.88,"Olson, Reese",676369,681857,strikeout,called_strike,,,,,14,Nelson Velazquez called out on strikes.,R,R,R,DET,KC,S,2.0,,1,2,2023,1.08,-0.49,0.55,1.54,,,521692.0,1,6,Top,,,,,608348,,,5.259553290315691,-120.80559740112096,-2.4773727499333043,9.5408785182343,24.0368282330068,-36.71280095629383,3.5,1.72,,,,82.4,2939.0,5.9,716433,681857,608348,679529,628451,656716,595879,663837,678009,681481,54.55,,0.0,0.0,1.0,0.0,0.0,,39,4,Slider,0,2,2,0,2,0,2,0,Standard,Standard,68.0,0.02,-0.215,,
CH,2023-09-26,86.2,-2.86,5.71,"Olson, Reese",676369,681857,,blocked_ball,,,,,14,Nelson Velazquez called out on strikes.,R,R,R,DET,KC,B,,,0,2,2023,-0.91,-0.36,0.96,0.55,,,521692.0,1,6,Top,,,,,608348,,,10.806978829050337,-125.07301944126009,-5.202895140873967,-11.82127373136269,26.220349139170885,-34.969865119356264,3.45,1.74,,,,85.1,2140.0,5.8,716433,681857,608348,679529,628451,656716,595879,663837,678009,681481,54.67,,,,,,,,39,3,Changeup,0,2,2,0,2,0,2,0,Standard,Standard,252.0,0.0,0.027,,
CH,2023-09-26,86.2,-2.85,5.77,"Olson, Reese",676369,681857,,swinging_strike,,,,,14,Nelson Velazquez called out on strikes.,R,R,R,DET,KC,S,,,0,1,2023,-0.84,-0.22,0.37,0.84,,,521692.0,1,6,Top,,,,,608348,,,9.273689322178074,-125.19191100538929,-4.998530797781941,-10.657999682494111,24.976674644449584,-33.65994690015622,3.45,1.73,,,,85.4,2159.0,5.9,716433,681857,608348,679529,628451,656716,595879,663837,678009,681481,54.63,,,,,,,,39,2,Changeup,0,2,2,0,2,0,2,0,Standard,Standard,245.0,0.0,-0.062,,
SI,2023-09-26,93.6,-2.54,5.92,"Olson, Reese",676369,681857,,foul_tip,,,,,7,Nelson Velazquez called out on strikes.,R,R,R,DET,KC,S,,,0,0,2023,-1.54,0.93,-0.31,1.72,,,521692.0,1,6,Top,,,,,608348,,,9.058403859031408,-135.7707136598442,-6.997590579632285,-21.098281736856453,33.057604340221594,-19.19048969394912,3.45,1.73,,,,92.3,2075.0,6.0,716433,681857,608348,679529,628451,656716,595879,663837,678009,681481,54.54,,,,,,,,39,1,Sinker,0,2,2,0,2,0,2,0,Standard,Standard,229.0,0.0,-0.05,,
CH,2023-09-26,86.1,-3.0,5.67,"Olson, Reese",669004,681857,strikeout,swinging_strike,,,,,13,MJ Melendez strikes out swinging.,R,L,R,DET,KC,S,2.0,,1,2,2023,-0.89,-0.39,-1.05,1.53,,,521692.0,0,6,Top,,,,,608348,,,6.331181632054392,-125.18436628497896,-2.709499948281314,-10.65980928093221,27.80950568102633,-35.879185028271806,3.32,1.63,,,,84.8,2121.0,5.7,716433,681857,608348,679529,628451,656716,595879,663837,678009,681481,54.81,,0.0,0.0,1.0,0.0,0.0,,38,4,Changeup,0,2,2,0,2,0,2,0,Infield shade,Standard,248.0,0.023,-0.247,,
CH,2023-09-26,85.8,-2.97,5.83,"Olson, Reese",669004,681857,,foul,,,,,1,MJ Melendez strikes out swinging.,R,L,R,DET,KC,S,,,1,1,2023,-0.82,0.26,-0.67,2.96,,,521692.0,0,6,Top,,,,,608348,,,7.004762826916301,-124.83945339554846,-1.033824666707069,-9.95546895987014,25.402939486974898,-29.494554768462507,3.32,1.63,193.0,77.6,60.0,84.7,1951.0,5.6,716433,681857,608348,679529,628451,656716,595879,663837,678009,681481,54.9,,,,,,,,38,3,Changeup,0,2,2,0,2,0,2,0,Standard,Standard,246.0,0.0,-0.088,,
SL,2023-09-26,81.7,-2.85,5.81,"Olson, Reese",669004,681857,,blocked_ball,,,,,13,MJ Melendez strikes out swinging.,R,L,R,DET,KC,B,,,0,1,2023,1.21,-1.09,-0.45,0.27,,,521692.0,0,6,Top,,,,,608348,,,3.0412477416400345,-118.85775402296528,-3.662294030748527,10.654282798612678,26.5490533160576,-41.80302021212327,3.25,1.59,,,,80.5,3066.0,5.8,716433,681857,608348,679529,628451,656716,595879,663837,678009,681481,54.65,,,,,,,,38,2,Slider,0,2,2,0,2,0,2,0,Standard,Standard,60.0,0.0,0.036,,
SL,2023-09-26,82.8,-2.78,5.9,"Olson, Reese",669004,681857,,swinging_strike,,,,,8,MJ Melendez strikes out swinging.,R,L,R,DET,KC,S,,,0,0,2023,1.12,-0.74,0.22,1.7,,,521692.0,0,6,Top,,,,,608348,,,4.622168137596665,-120.56330805481984,-1.6222118003365116,9.989826904927623,24.252096838537295,-39.31562969223015,3.32,1.63,,,,82.1,2995.0,5.9,716433,681857,608348,679529,628451,656716,595879,663837,678009,681481,54.63,,,,,,,,38,1,Slider,0,2,2,0,2,0,2,0,Standard,Standard,64.0,0.0,-0.054,,
SI,2023-09-26,92.5,-2.72,5.99,"Olson, Reese",521692,681857,single,hit_into_play,,,,,5,"Salvador Perez singles on a ground ball to left fielder Matt Vierling, deflected by shortstop Javier Baez.   Bobby Witt Jr.  scores.",R,R,R,DET,KC,X,6.0,ground_ball,1,1,2023,-1.41,0.8,-0.27,2.69,677951.0,,,0,6,Top,91.96,132.59,,,608348,,,9.242492872058342,-134.42376150742888,-4.303285483862881,-19.141257787238896,28.80094134099534,-21.74388013985046,3.53,1.61,94.0,97.8,5.0,91.6,2096.0,5.8,716433,681857,608348,679529,628451,656716,595879,663837,678009,681481,54.68,0.614,0.598,0.9,1.0,1.0,0.0,4.0,37,3,Sinker,0,1,1,0,2,0,2,0,Strategic,Standard,229.0,-0.044,0.511,,
SI,2023-09-26,92.3,-2.55,6.0,"Olson, Reese",521692,681857,,swinging_strike,,,,,9,"Salvador Perez singles on a ground ball to left fielder Matt Vierling, deflected by shortstop Javier Baez.   Bobby Witt Jr.  scores.",R,R,R,DET,KC,S,,,1,0,2023,-1.77,0.81,0.54,1.71,677951.0,,,0,6,Top,,,,,608348,,,11.53070567263596,-133.6419289450966,-6.651667460136198,-23.80071499394513,33.962531033748554,-21.02041871622893,3.53,1.61,,,,90.4,2116.0,5.8,716433,681857,608348,679529,628451,656716,595879,663837,678009,681481,54.67,,,,,,,,37,2,Sinker,0,1,1,0,1,0,1,0,Strategic,Standard,230.0,0.0,-0.072,,
CH,2023-09-26,85.6,-2.93,5.89,"Olson, Reese",521692,681857,,ball,,,,,11,"Salvador Perez singles on a ground ball to left fielder Matt Vierling, deflected by shortstop Javier Baez.   Bobby Witt Jr.  scores.",R,R,R,DET,KC,B,,,0,0,2023,-1.53,-0.28,-2.51,2.91,677951.0,,,0,6,Top,,,,,608348,,,4.0031498103972885,-124.549014881128,-0.0956847599983892,-16.65368783933073,29.178512636070224,-35.28751442473646,3.53,1.59,,,,83.9,2063.0,5.6,716433,681857,608348,679529,628451,656716,595879,663837,678009,681481,54.94,,,,,,,,37,1,Changeup,0,1,1,0,1,0,1,0,Strategic,Standard,246.0,0.0,0.036,,
SI,2023-09-26,91.3,-2.7,5.94,"Olson, Reese",677951,681857,triple,hit_into_play,,,,,5,Bobby Witt Jr.  triples (10) on a sharp line drive to left fielder Matt Vierling.,R,R,R,DET,KC,X,7.0,line_drive,0,0,2023,-1.36,0.48,0.09,2.52,,,,0,6,Top,95.7,74.43,,,608348,,,9.820887930156903,-132.50236686446107,-3.627075795583449,-18.227561387664764,32.55539375253578,-25.84377346695533,3.49,1.66,318.0,113.8,11.0,89.6,2003.0,5.7,716433,681857,608348,679529,628451,656716,595879,663837,678009,681481,54.78,0.886,0.937,1.6,1.0,1.0,2.0,6.0,36,1,Sinker,0,1,1,0,1,0,1,0,Standard,Standard,229.0,-0.102,0.89,,
FF,2023-09-26,94.1,-2.83,5.88,"Olson, Reese",672580,681857,field_out,hit_into_play,,,,,4,Maikel Garcia pops out to first baseman Spencer Torkelson.,R,R,R,DET,KC,X,3.0,popup,2,1,2023,-0.81,1.15,-0.68,2.8,,,,2,5,Top,162.57,157.53,,,608348,,,7.280017499343954,-136.73553976081337,-4.74589158879856,-11.740531043378166,31.210247608113285,-16.935476994769918,3.49,1.69,140.0,79.8,62.0,92.9,2123.0,5.7,716433,681857,608348,679529,628451,656716,595879,663837,678009,681481,54.76,0.014,0.014,0.0,1.0,0.0,0.0,3.0,32,4,4-Seam Fastball,0,1,1,0,1,0,1,0,Standard,Standard,229.0,0.011,-0.121,,
FF,2023-09-26,93.7,-2.65,5.91,"Olson, Reese",672580,681857,,foul_tip,,,,,6,Maikel Garcia pops out to first baseman Spencer Torkelson.,R,R,R,DET,KC,S,,,2,0,2023,-0.76,1.3,0.74,2.62,,,,2,5,Top,,,,,608348,,,10.298158982879468,-135.9899818938176,-5.52177817413181,-11.81420012166338,31.92841679176872,-14.97965531131382,3.49,1.69,,,,92.4,2201.0,5.8,716433,681857,608348,679529,628451,656716,595879,663837,678009,681481,54.67,,,,,,,,32,3,4-Seam Fastball,0,1,1,0,1,0,1,0,Standard,Standard,227.0,0.0,-0.023,,
FF,2023-09-26,93.9,-2.65,5.93,"Olson, Reese",672580,681857,,ball,,,,,14,Maikel Garcia pops out to first baseman Spencer Torkelson.,R,R,R,DET,KC,B,,,1,0,2023,-0.61,1.36,0.95,1.11,,,,2,5,Top,,,,,608348,,,10.546306023994722,-135.91932248948174,-9.533526873398916,-10.062307628242811,34.05793782973423,-13.253756268814364,3.64,1.85,,,,92.3,2189.0,5.9,716433,681857,608348,679529,628451,656716,595879,663837,678009,681481,54.56,,,,,,,,32,2,4-Seam Fastball,0,1,1,0,1,0,1,0,Standard,Standard,229.0,0.0,0.022,,
SL,2023-09-26,83.1,-2.67,5.89,"Olson, Reese",672580,681857,,ball,,,,,14,Maikel Garcia pops out to first baseman Spencer Torkelson.,R,R,R,DET,KC,B,,,0,0,2023,0.92,-0.91,0.53,0.25,,,,2,5,Top,,,,,608348,,,5.469351026494217,-120.82775483230552,-4.518239595106712,7.664665536128283,27.91377741175833,-40.18096150743312,3.59,1.69,,,,81.7,2921.0,5.8,716433,681857,608348,679529,628451,656716,595879,663837,678009,681481,54.68,,,,,,,,32,1,Slider,0,1,1,0,1,0,1,0,Standard,Standard,59.0,0.0,0.016,,
